#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.015581318561e-01       1.615100348426e-06      -1.182046465361e+00       2.070716173210e-07       4.282021739631e-13       1.070505434908e-12       1.245258543342e-21       2.141010869816e-13      -8.865348490207e-01       2.070716173210e-07       5.913631706792e-01       7.044884078972e-01      -8.865348490207e-01       2.070716268952e-07      -1.182046465530e+00       2.070716127612e-07       1.940995908846e-08       3.333333333333e-01      -1.182046465361e+00       2.070716127758e-07       1.934997371256e-08       3.333333333333e-01 
       7.022824116651e-01       1.616769748103e-06      -1.182046425638e+00       2.072851338334e-07       4.295302490528e-13       1.073825622632e-12       1.251704296626e-21       2.147651245264e-13      -8.865348192285e-01       2.072851338334e-07       5.914216767741e-01       7.044884178780e-01      -8.865348192285e-01       2.072851434373e-07      -1.182046425807e+00       2.072851292595e-07       1.945002823981e-08       3.333333333333e-01      -1.182046425638e+00       2.072851292742e-07       1.934997370826e-08       3.333333333333e-01 
       7.030066914740e-01       1.618439151885e-06      -1.182046665453e+00       2.074986988323e-07       4.308611701617e-13       1.077152925404e-12       1.258177020765e-21       2.154305850808e-13      -8.865349990895e-01       2.074986988323e-07       5.914799337767e-01       7.044883579744e-01      -8.865349990895e-01       2.074987084659e-07      -1.182046665622e+00       2.074986942442e-07       1.949013849223e-08       3.333333333333e-01      -1.182046665453e+00       2.074986942591e-07       1.934997367393e-08       3.333333333333e-01 
       7.061162771604e-01       1.625606530884e-06      -1.182057777007e+00       2.084173807404e-07       4.366102606572e-13       1.091525651643e-12       1.286282760388e-21       2.183051303286e-13      -8.865433327552e-01       2.084173807404e-07       5.917256447274e-01       7.044855803014e-01      -8.865433327552e-01       2.084173905024e-07      -1.182057777178e+00       2.084173760911e-07       1.966278261824e-08       3.333333333333e-01      -1.182057777007e+00       2.084173761068e-07       1.934997370273e-08       3.333333333333e-01 
       7.092258628467e-01       1.632773985558e-06      -1.182076769194e+00       2.093374656473e-07       4.424132715070e-13       1.106033178768e-12       1.314897596451e-21       2.212066357535e-13      -8.865575768954e-01       2.093374656473e-07       5.919662022558e-01       7.044808324712e-01      -8.865575768954e-01       2.093374755388e-07      -1.182076769367e+00       2.093374609363e-07       1.983617276788e-08       3.333333333333e-01      -1.182076769194e+00       2.093374609533e-07       1.934997361507e-08       3.333333333333e-01 
       7.123354485331e-01       1.639941515905e-06      -1.182100835537e+00       2.102584731527e-07       4.482694822509e-13       1.120673705627e-12       1.344025580958e-21       2.241347411255e-13      -8.865756266525e-01       2.102584731527e-07       5.922023081567e-01       7.044748161030e-01      -8.865756266525e-01       2.102584831748e-07      -1.182100835711e+00       2.102584683795e-07       2.001032212784e-08       3.333333333333e-01      -1.182100835537e+00       2.102584683984e-07       1.934997370140e-08       3.333333333333e-01 
       7.154450342195e-01       1.647109121927e-06      -1.182128877722e+00       2.111802184121e-07       4.541787729049e-13       1.135446932262e-12       1.373672543605e-21       2.270893864524e-13      -8.865966582916e-01       2.111802184121e-07       5.924342713277e-01       7.044678057750e-01      -8.865966582916e-01       2.111802285659e-07      -1.182128877898e+00       2.111802135760e-07       2.018523534726e-08       3.333333333333e-01      -1.182128877722e+00       2.111802135974e-07       1.934997367371e-08       3.333333333333e-01 
       7.222806973093e-01       1.662865615577e-06      -1.182202636512e+00       2.132087537585e-07       4.673561761271e-13       1.168390440318e-12       1.440701250201e-21       2.336780880635e-13      -8.866519773839e-01       2.132087537585e-07       5.929303256537e-01       7.044493665611e-01      -8.866519773839e-01       2.132087642059e-07      -1.182202636691e+00       2.132087487823e-07       2.057243188100e-08       3.333333333333e-01      -1.182202636512e+00       2.132087488111e-07       1.934997370331e-08       3.333333333333e-01 
       7.291163603992e-01       1.678622474909e-06      -1.182292708565e+00       2.152404636063e-07       4.807933252893e-13       1.201983313223e-12       1.510344913849e-21       2.403966626446e-13      -8.867195314238e-01       2.152404636063e-07       5.934078558001e-01       7.044268490359e-01      -8.867195314238e-01       2.152404743530e-07      -1.182292708748e+00       2.152404584874e-07       2.096333279816e-08       3.333333333333e-01      -1.182292708565e+00       2.152404585262e-07       1.934997361585e-08       3.333333333333e-01 
       7.359520234890e-01       1.694379699922e-06      -1.182397915778e+00       2.172752153284e-07       4.944927267519e-13       1.236231816880e-12       1.582679684757e-21       2.472463633760e-13      -8.867984368337e-01       2.172752153284e-07       5.938676701559e-01       7.044005477254e-01      -8.867984368337e-01       2.172752263800e-07      -1.182397915964e+00       2.172752100640e-07       2.135794396872e-08       3.333333333333e-01      -1.182397915778e+00       2.172752101155e-07       1.934997368931e-08       3.333333333333e-01 
       7.427876865789e-01       1.710137290616e-06      -1.182517055656e+00       2.193128629417e-07       5.084568410834e-13       1.271142102708e-12       1.657783030413e-21       2.542284205417e-13      -8.868877917421e-01       2.193128629417e-07       5.943105609767e-01       7.043707632533e-01      -8.868877917421e-01       2.193128743039e-07      -1.182517055846e+00       2.193128575292e-07       2.175627053068e-08       3.333333333333e-01      -1.182517055656e+00       2.193128575961e-07       1.934997369968e-08       3.333333333333e-01 
       7.598894696128e-01       1.749561973134e-06      -1.182869755752e+00       2.244226849178e-07       5.445690358905e-13       1.361422589726e-12       1.858331744452e-21       2.722845179453e-13      -8.871523168143e-01       2.244226849178e-07       5.953491220825e-01       7.042825894940e-01      -8.871523168143e-01       2.244226970825e-07      -1.182869755951e+00       2.244226791226e-07       2.276913040807e-08       3.333333333333e-01      -1.182869755752e+00       2.244226792401e-07       1.934997362579e-08       3.333333333333e-01 
       7.769912526468e-01       1.788988944538e-06      -1.183288018222e+00       2.295479414643e-07       5.823924533576e-13       1.455981133394e-12       2.077986361113e-21       2.911962266788e-13      -8.874660136668e-01       2.295479414643e-07       5.962969051860e-01       7.041780251704e-01      -8.874660136668e-01       2.295479544684e-07      -1.183288018430e+00       2.295479352687e-07       2.380535232835e-08       3.333333333333e-01      -1.183288018222e+00       2.295479354543e-07       1.934997362896e-08       3.333333333333e-01 
       7.940930356807e-01       1.828418204829e-06      -1.183758528864e+00       2.346868313674e-07       6.219655262673e-13       1.554913815668e-12       2.318083243450e-21       3.109827631337e-13      -8.878188966477e-01       2.346868313674e-07       5.971633952791e-01       7.040603988333e-01      -8.878188966477e-01       2.346868452485e-07      -1.183758529080e+00       2.346868247533e-07       2.486500370198e-08       3.333333333333e-01      -1.183758528864e+00       2.346868250251e-07       1.934997366483e-08       3.333333333333e-01 
       8.111948187147e-01       1.867849754005e-06      -1.184270301407e+00       2.398377976739e-07       6.633267680119e-13       1.658316920030e-12       2.580019823185e-21       3.316633840060e-13      -8.882027260555e-01       2.398377976739e-07       5.979568922039e-01       7.039324570499e-01      -8.882027260555e-01       2.398378124705e-07      -1.184270301633e+00       2.398377906228e-07       2.594814353921e-08       3.333333333333e-01      -1.184270301407e+00       2.398377909991e-07       1.934997368209e-08       3.333333333333e-01 
       8.282966017486e-01       1.907283592067e-06      -1.184814278356e+00       2.449994949123e-07       7.065147777371e-13       1.766286944343e-12       2.865256034918e-21       3.532573888686e-13      -8.886107087669e-01       2.449994949123e-07       5.986846774871e-01       7.037964641947e-01      -8.886107087669e-01       2.449995106638e-07      -1.184814278591e+00       2.449994874054e-07       2.705482371083e-08       3.333333333333e-01      -1.184814278356e+00       2.449994879049e-07       1.934997368069e-08       3.333333333333e-01 
       8.707241253352e-01       2.005124215383e-06      -1.186256712342e+00       2.578440169559e-07       8.217957695677e-13       2.054489423919e-12       3.683478213680e-21       4.108978847839e-13      -8.896925342563e-01       2.578440169559e-07       6.002462865578e-01       7.034358592539e-01      -8.896925342563e-01       2.578440352519e-07      -1.186256712602e+00       2.578440082342e-07       2.990230142213e-08       3.333333333333e-01      -1.186256712342e+00       2.578440091231e-07       1.934997371324e-08       3.333333333333e-01 
