# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.675451253597e-10       4.364675560698e-15       3.266683346746e-13       2.014709632526e-19       7.246563788587e-09       5.920892482741e-10      -1.834946697075e-12 
    3       1.528254258070e-10       5.263150551003e-15       3.775318770700e-13       4.030446966847e-19       4.521998428728e-09       4.123573553110e-10      -1.340767209764e-12 
    4       1.408710967632e-10       4.229469355072e-15       3.544171915128e-13       6.719668406446e-19       3.153510807617e-09       3.082720006868e-10      -8.222781985600e-13 
    5       1.322604206416e-10       2.617162754134e-15       3.001950527309e-13       1.008367010005e-18       2.355302857889e-09       2.412363218043e-10      -4.052208052744e-13 
    6       1.263195320064e-10       1.393275677075e-15       2.398244846145e-13       1.412401077833e-18       1.839291266312e-09       1.948838306511e-10      -1.175166298615e-13 
    7       1.223256627657e-10       7.753903525631e-16       1.872599662217e-13       1.884247422629e-18       1.482373653871e-09       1.612340075916e-10       4.722382240136e-14 
    8       1.197557989757e-10       5.434236726137e-16       1.481387059281e-13       2.424102750770e-18       1.223852532136e-09       1.359233555529e-10       1.133240598830e-13 
    9       1.182090103393e-10       4.449258938461e-16       1.232433417336e-13       3.032177649233e-18       1.029980622266e-09       1.163743844723e-10       1.125973847817e-13 
   10       1.174237702442e-10       3.678750241694e-16       1.106945732008e-13       3.708692032042e-18       8.802337986890e-10       1.009360185159e-10       7.667051368711e-14 
   11       1.172198457883e-10       3.071208737900e-16       1.074194328973e-13       4.453870645539e-18       7.469347933757e-10       8.886533491650e-11       3.192882417525e-14 
   12       1.174820909601e-10       2.782559723777e-16       1.101976957745e-13       5.267938792544e-18       6.525306642881e-10       7.844408115052e-11      -5.556674304591e-15 
   13       1.180357407483e-10       2.784455550386e-16       1.163503413881e-13       6.151118423842e-18       5.750055570784e-10       6.985540826037e-11      -2.733835641544e-14 
   14       1.188847109525e-10       2.955146530744e-16       1.240778368049e-13       7.103624727866e-18       5.104820599909e-10       6.243218337438e-11      -3.341249317866e-14 
