#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.003523705402e-02       1.610721263724e-07      -1.182223754397e+00       2.069686020407e-06       4.256927617640e-14       1.064231904410e-13       1.231267946831e-23       2.128463808820e-14      -8.866678157976e-01       2.069686020407e-06       5.910665764978e-01       7.044440855596e-01      -1.182223754397e+00       2.069685975277e-06       1.932702668008e-08      -8.866678157976e-01       2.069686115812e-06      -1.182223754397e+00       2.069685975277e-06       1.932694416272e-08       3.333333333333e-01 
       7.006213623478e-02       1.611339984371e-07      -1.182223373933e+00       2.070480185437e-06       4.261833328108e-14       1.065458332027e-13       1.233634065003e-23       2.130916664054e-14      -8.866675304494e-01       2.070480185437e-06       5.910667939894e-01       7.044441806942e-01      -1.182223373933e+00       2.070480140255e-06       1.934187744360e-08      -8.866675304494e-01       2.070480280951e-06      -1.182223373933e+00       2.070480140255e-06       1.934171169320e-08       3.333333333333e-01 
       7.008903541554e-02       1.611958705074e-07      -1.182223000517e+00       2.071274362356e-06       4.266742830830e-14       1.066685707707e-13       1.236003826606e-23       2.133371415415e-14      -8.866672503879e-01       2.071274362356e-06       5.910670098342e-01       7.044442740666e-01      -1.182223000517e+00       2.071274317123e-06       1.935673388214e-08      -8.866672503879e-01       2.071274457981e-06      -1.182223000517e+00       2.071274317123e-06       1.935648484353e-08       3.333333333333e-01 
       7.020500807014e-02       1.614626247278e-07      -1.182222465061e+00       2.074700242309e-06       4.287956634146e-14       1.071989158537e-13       1.246263640325e-23       2.143978317073e-14      -8.866668487954e-01       2.074700242309e-06       5.910676981674e-01       7.044444080109e-01      -1.182222465061e+00       2.074700196850e-06       1.942084629981e-08      -8.866668487954e-01       2.074700338409e-06      -1.182222465061e+00       2.074700196850e-06       1.942023753152e-08       3.333333333333e-01 
       7.032098072475e-02       1.617293790534e-07      -1.182222469892e+00       2.078127066874e-06       4.309242600685e-14       1.077310650171e-13       1.256592047326e-23       2.154621300343e-14      -8.866668524191e-01       2.078127066874e-06       5.910682634347e-01       7.044444068833e-01      -1.182222469892e+00       2.078127021190e-06       1.948506232550e-08      -8.866668524191e-01       2.078127163452e-06      -1.182222469892e+00       2.078127021190e-06       1.948409262801e-08       3.333333333333e-01 
       7.043695337935e-02       1.619961334842e-07      -1.182222628101e+00       2.081554158984e-06       4.330599457233e-14       1.082649864308e-13       1.266988984535e-23       2.165299728616e-14      -8.866669710761e-01       2.081554158984e-06       5.910687924024e-01       7.044443674114e-01      -1.182222628101e+00       2.081554113074e-06       1.954938363302e-08      -8.866669710761e-01       2.081554256040e-06      -1.182222628101e+00       2.081554113074e-06       1.954805175059e-08       3.333333333333e-01 
       7.055292603396e-02       1.622628880203e-07      -1.182222816794e+00       2.084981304557e-06       4.352026878475e-14       1.088006719619e-13       1.277454662895e-23       2.176013439238e-14      -8.866671125959e-01       2.084981304557e-06       5.910693127340e-01       7.044443203186e-01      -1.182222816794e+00       2.084981258418e-06       1.961381081354e-08      -8.866671125959e-01       2.084981402092e-06      -1.182222816795e+00       2.084981258419e-06       1.961211556802e-08       3.333333333333e-01 
       7.084874791599e-02       1.629433232872e-07      -1.182223273106e+00       2.093723190637e-06       4.407003498702e-14       1.101750874676e-13       1.304463881351e-23       2.203501749351e-14      -8.866674548294e-01       2.093723190637e-06       5.910706389772e-01       7.044442064468e-01      -1.182223273106e+00       2.093723143916e-06       1.977863107903e-08      -8.866674548294e-01       2.093723289405e-06      -1.182223273106e+00       2.093723143917e-06       1.977600377719e-08       3.333333333333e-01 
       7.114456979802e-02       1.636237592390e-07      -1.182223727422e+00       2.102465069100e-06       4.462441192453e-14       1.115610298113e-13       1.331928042053e-23       2.231220596227e-14      -8.866677955668e-01       2.102465069100e-06       5.910719542406e-01       7.044440930746e-01      -1.182223727422e+00       2.102465021791e-06       1.994414095512e-08      -8.866677955668e-01       2.102465169110e-06      -1.182223727422e+00       2.102465021791e-06       1.994057369121e-08       3.333333333333e-01 
       7.144039168005e-02       1.643041958756e-07      -1.182224206245e+00       2.111206989662e-06       4.518341991861e-14       1.129585497965e-13       1.359852900682e-23       2.259170995931e-14      -8.866681546840e-01       2.111206989662e-06       5.910732526927e-01       7.044439735766e-01      -1.182224206245e+00       2.111206941761e-06       2.011034045800e-08      -8.866681546840e-01       2.111207090925e-06      -1.182224206245e+00       2.111206941761e-06       2.010582545832e-08       3.333333333333e-01 
