# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.676468283770e-10       4.364712602178e-15       3.268901106773e-13       1.981899991107e-19       7.249424012375e-09       5.920199527127e-10      -1.834876923311e-12 
    3       1.529174413980e-10       5.262786279229e-15       3.777790384106e-13       3.964820968898e-19       4.518625742885e-09       4.122745822668e-10      -1.340576332094e-12 
    4       1.409519709365e-10       4.228798714941e-15       3.546427967941e-13       6.610276946087e-19       3.150757666393e-09       3.081999494048e-10      -8.220946384462e-13 
    5       1.323306044123e-10       2.616487890550e-15       3.003705452559e-13       9.919555461701e-19       2.353126626734e-09       2.411668676152e-10      -4.050672638275e-13 
    6       1.263784347396e-10       1.392794011215e-15       2.399482408442e-13       1.389420476799e-18       1.837482679567e-09       1.948137519882e-10      -1.174038288075e-13 
    7       1.223735009106e-10       7.750978173723e-16       1.873392105595e-13       1.853599647429e-18       1.480957904788e-09       1.611666553366e-10       4.729375504408e-14 
    8       1.197941989109e-10       5.432147209521e-16       1.481811075008e-13       2.384688396066e-18       1.222669678894e-09       1.358604193273e-10       1.133497909514e-13 
    9       1.182374463997e-10       4.447171882860e-16       1.232563728431e-13       2.982895810407e-18       1.028942762052e-09       1.163162911189e-10       1.125861089717e-13 
   10       1.174417303398e-10       3.676444270185e-16       1.106891895993e-13       3.648440194350e-18       8.793145305451e-10       1.008805226790e-10       7.664282334133e-14 
   11       1.172275109923e-10       3.068715091465e-16       1.074030448821e-13       4.381544592683e-18       7.462967470001e-10       8.881441303868e-11       3.190894830775e-14 
   12       1.174782483310e-10       2.779849637468e-16       1.101709691050e-13       5.182432533208e-18       6.519507522372e-10       7.839347027099e-11      -5.561374959320e-15 
   13       1.180232847328e-10       2.781338396376e-16       1.163204602187e-13       6.051324134060e-18       5.744750437873e-10       6.981074330592e-11      -2.733092829558e-14 
   14       1.188616033677e-10       2.951346267088e-16       1.240422527876e-13       6.988432706471e-18       5.099942237973e-10       6.238976971009e-11      -3.340884398217e-14 
   15       1.199607909376e-10       3.242235506702e-16       1.322464396842e-13       7.993961960450e-18       4.557063024658e-10       5.613761062240e-11      -2.784255886752e-14 
   16       1.212191596073e-10       3.694514350758e-16       1.405398993922e-13       9.068103893828e-18       4.095416870599e-10       5.077340897066e-11      -1.692092902609e-14 
   17       1.226165660430e-10       4.353798799989e-16       1.490582319573e-13       1.021103741490e-17       3.699361684269e-10       4.612550229389e-11      -6.344432090706e-15 
   18       1.241690752470e-10       5.221676744175e-16       1.580176615161e-13       1.142292736417e-17       3.355608654173e-10       4.208858562652e-11       1.063379020732e-16 
   19       1.258722512614e-10       6.287702684423e-16       1.675554463734e-13       1.270392638904e-17       3.058666094041e-10       3.859119140793e-11       1.660097687436e-15 
   20       1.276531982354e-10       7.535016355902e-16       1.777110438779e-13       1.405417189002e-17       2.797156123830e-10       3.548055563666e-11      -1.062393312917e-15 
   21       1.295165754986e-10       8.964445824458e-16       1.882537615211e-13       1.547379261596e-17       2.566976179115e-10       3.270379906857e-11      -6.150716224313e-15 
   22       1.314597337752e-10       1.057987288887e-15       1.987839161916e-13       1.696290512652e-17       2.362608679933e-10       3.020186121040e-11      -1.099106635904e-14 
   23       1.334880903430e-10       1.238145561108e-15       2.089124406117e-13       1.852162177956e-17       2.181244604402e-10       2.797411673070e-11      -1.422519873224e-14 
   24       1.355860634906e-10       1.436930963792e-15       2.182363818884e-13       2.015004715598e-17       2.018697315111e-10       2.600571594646e-11      -1.502380059432e-14 
   25       1.377488503000e-10       1.655893322766e-15       2.265540083189e-13       2.184828743153e-17       1.873050772008e-10       2.424951201724e-11      -1.370731820649e-14 
   26       1.399601651072e-10       1.897145015746e-15       2.337603342771e-13       2.361644616956e-17       1.741663210225e-10       2.263452581047e-11      -1.116549945138e-14 
   27       1.422235277488e-10       2.162442053525e-15       2.399171296391e-13       2.545463239876e-17       1.622957367210e-10       2.115236306850e-11      -8.486318520272e-15 
   28       1.445378440779e-10       2.453403303074e-15       2.451495463664e-13       2.736295764052e-17       1.514887162835e-10       1.980339958192e-11      -6.782153138099e-15 
   29       1.469084511479e-10       2.771244799648e-15       2.494894627200e-13       2.934154512877e-17       1.416897403476e-10       1.858480402257e-11      -6.198838395956e-15 
   30       1.493289138396e-10       3.117010420014e-15       2.529538224119e-13       3.139052357159e-17       1.327931535927e-10       1.748029855879e-11      -6.524359109168e-15 
   31       1.517818008781e-10       3.491676468617e-15       2.555432974123e-13       3.351002637730e-17       1.246170452571e-10       1.646394660281e-11      -7.444486452539e-15 
   32       1.542707804219e-10       3.896192379280e-15       2.571219207981e-13       3.570019737435e-17       1.171189906621e-10       1.553061239224e-11      -8.563751871356e-15 
   33       1.567978138136e-10       4.331442289213e-15       2.574888700851e-13       3.796118849241e-17       1.102458713172e-10       1.467499439380e-11      -9.376572614980e-15 
   34       1.593574104919e-10       4.798279031864e-15       2.564465766464e-13       4.029315729014e-17       1.039013642566e-10       1.388599865565e-11      -9.415362449165e-15 
   35       1.619503078847e-10       5.297704292782e-15       2.539392973633e-13       4.269626077680e-17       9.805267372610e-11       1.315772345309e-11      -8.815265582296e-15 
   36       1.645727488473e-10       5.830745670590e-15       2.499631835656e-13       4.517066051296e-17       9.265245777835e-11       1.248117769533e-11      -7.952094103262e-15 
   37       1.672172946309e-10       6.398363460863e-15       2.445246874689e-13       4.771651811143e-17       8.762999095139e-11       1.184475983759e-11      -7.214467177850e-15 
   38       1.698913158034e-10       7.001300794376e-15       2.376193352381e-13       5.033397218547e-17       8.297211809186e-11       1.124784976546e-11      -6.708103329626e-15 
   39       1.726034727528e-10       7.640176330997e-15       2.292471909951e-13       5.302315415258e-17       7.866396180243e-11       1.069108411444e-11      -6.457610964542e-15 
   40       1.753581119630e-10       8.315516972629e-15       2.194192476171e-13       5.578419442980e-17       7.466431105209e-11       1.017239748234e-11      -6.485253844098e-15 
   41       1.781553618889e-10       9.027847591126e-15       2.081417104443e-13       5.861721227720e-17       7.091993304310e-11       9.688065167581e-12      -6.792309168974e-15 
   42       1.809926890014e-10       9.778009201803e-15       1.953613814063e-13       6.152228132108e-17       6.741963058803e-11       9.236840987623e-12      -7.296636737449e-15 
   43       1.838629864607e-10       1.056693466193e-14       1.810034154776e-13       6.449945282914e-17       6.415391838505e-11       8.816745410044e-12      -7.874230843140e-15 
   44       1.867535482578e-10       1.139556290185e-14       1.649854878823e-13       6.754876423754e-17       6.109880152672e-11       8.423730583540e-12      -8.374217955703e-15 
   45       1.896512772615e-10       1.226472825332e-14       1.472299490361e-13       7.067023209663e-17       5.822429981679e-11       8.053020581637e-12      -8.660415576158e-15 
   46       1.925612739724e-10       1.317478716733e-14       1.277059681092e-13       7.386383002698e-17       5.552577836897e-11       7.703990044892e-12      -8.754551123082e-15 
   47       1.954930053277e-10       1.412588120780e-14       1.063990175308e-13       7.712950299388e-17       5.300002114768e-11       7.376469681248e-12      -8.733169989294e-15 
   48       1.984549695416e-10       1.511803330147e-14       8.329939866878e-14       8.046717206421e-17       5.063578528179e-11       7.069298460737e-12      -8.689092297386e-15 
   49       2.014545529668e-10       1.615114208902e-14       5.840240378328e-14       8.387673334686e-17       4.841320473952e-11       6.780248790084e-12      -8.732316082323e-15 
   50       2.044970274140e-10       1.722510672938e-14       3.170021631503e-14       8.735806285105e-17       4.630975189073e-11       6.506733753183e-12      -8.959045461935e-15 
