# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632225e-26       4.634785000235e-09       2.157545946648e+22       1.419245727533e+04       1.419245727533e-10       1.419245727533e+18       2.675958164815e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       3.669988173570e-08       1.903443976270e+44       4.655004511896e+44       5.658000094058e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049755e-26       4.667526809499e-09       2.127654528182e+22       1.419245727533e+04       1.429180447626e-10       1.409380067064e+18       2.694689871969e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       3.669988173570e-08       1.851067333040e+44       4.526913791292e+44       7.893604635367e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322411e-26       4.700268618762e-09       2.098177236191e+22       1.419245727533e+04       1.439184710759e-10       1.399582986161e+18       2.713552701073e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       3.669988173570e-08       1.800131926217e+44       4.402347714469e+44       1.578720927073e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409266e-26       4.733010428026e-09       2.069108333218e+22       1.419245727533e+04       1.449259003735e-10       1.389854008104e+18       2.732547569980e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       3.669988173570e-08       1.750598097619e+44       4.281209294590e+44       2.368081390609e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563848e-26       4.765752237290e-09       2.040442161294e+22       1.419245727533e+04       1.459403816761e-10       1.380192659487e+18       2.751675402970e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       3.669988173570e-08       1.702427280332e+44       4.163404213585e+44       3.157441854144e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338273e-26       4.800313035958e-09       2.012173140838e+22       1.419245727533e+04       1.469619643478e-10       1.370598470196e+18       2.770937130791e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       3.669988173570e-08       1.655581968676e+44       4.048840748711e+44       3.946802317680e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587446e-26       4.833054845221e-09       1.984295769572e+22       1.419245727533e+04       1.479906980982e-10       1.361070973382e+18       2.790333690706e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       3.669988173570e-08       1.610025689010e+44       3.937429701141e+44       4.736162781216e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473308e-26       4.867615643889e-09       1.956804621445e+22       1.419245727533e+04       1.490266329849e-10       1.351609705444e+18       2.809866026541e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       3.669988173570e-08       1.565722971329e+44       3.829084326510e+44       5.525523244751e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469155e-26       4.900357453153e-09       1.929694345585e+22       1.419245727533e+04       1.500698194158e-10       1.342214206002e+18       2.829535088727e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       3.669988173570e-08       1.522639321645e+44       3.723720267381e+44       6.314883708287e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364011e-26       4.934918251820e-09       1.902959665248e+22       1.419245727533e+04       1.511203081517e-10       1.332884017877e+18       2.849341834348e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       3.669988173570e-08       1.480741195137e+44       3.621255487560e+44       7.104244171822e-07       1.592850683960e+01 
