#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.016127026824e-01       1.515687864487e-06      -1.203280921743e+00       2.107913711045e-07       3.811318211854e-13       9.528295529635e-13       9.691197691627e-22       1.905659105927e-13      -9.024606913072e-01       2.107913711045e-07       6.011334128320e-01       6.991797942166e-01      -1.203280921743e+00       2.107913664820e-07       1.972184931623e-08      -9.024606913072e-01       2.107913806812e-07 
       7.023367228718e-01       1.517253948842e-06      -1.203279007144e+00       2.110082827260e-07       3.823128298388e-13       9.557820745969e-13       9.741326984742e-22       1.911564149194e-13      -9.024592553578e-01       2.110082827260e-07       6.011341071630e-01       6.991802729173e-01      -1.203279007144e+00       2.110082780892e-07       1.976258155719e-08      -9.024592553578e-01       2.110082923324e-07 
       7.030607430612e-01       1.518820037300e-06      -1.203277137931e+00       2.112252010037e-07       3.834962898136e-13       9.587407245339e-13       9.791663918492e-22       1.917481449068e-13      -9.024578534485e-01       2.112252010037e-07       6.011347915370e-01       6.991807402714e-01      -1.203277137931e+00       2.112251963524e-07       1.980335551873e-08      -9.024578534485e-01       2.112252106397e-07 
       7.061885005684e-01       1.525585565575e-06      -1.203276672865e+00       2.121636126202e-07       3.886393442382e-13       9.715983605954e-13       1.001157955052e-21       1.943196721191e-13      -9.024575046491e-01       2.121636126202e-07       6.011360184618e-01       6.991808567586e-01      -1.203276672865e+00       2.121636079066e-07       1.997994630148e-08      -9.024575046491e-01       2.121636223854e-07 
       7.093162580756e-01       1.532351170411e-06      -1.203280068016e+00       2.131026965193e-07       3.938294577037e-13       9.845736442593e-13       1.023546322365e-21       1.969147288519e-13      -9.024600510120e-01       2.131026965193e-07       6.011363689207e-01       6.991800081926e-01      -1.203280068016e+00       2.131026917426e-07       2.015730267331e-08      -9.024600510120e-01       2.131027064147e-07 
       7.124440155828e-01       1.539116851808e-06      -1.203284618287e+00       2.140419808098e-07       3.990659872137e-13       9.976649680344e-13       1.046334623780e-21       1.995329936069e-13      -9.024634637155e-01       2.140419808098e-07       6.011364571302e-01       6.991788708475e-01      -1.203284618287e+00       2.140419759697e-07       2.033543719620e-08      -9.024634637155e-01       2.140419908367e-07 
       7.155717730900e-01       1.545882609765e-06      -1.203289328136e+00       2.149812898669e-07       4.043488163183e-13       1.010872040796e-12       1.069527351377e-21       2.021744081591e-13      -9.024669961022e-01       2.149812898669e-07       6.011365085946e-01       6.991776936089e-01      -1.203289328136e+00       2.149812849627e-07       2.051435430752e-08      -9.024669961022e-01       2.149813000263e-07 
       7.235302449903e-01       1.563098194510e-06      -1.203300355821e+00       2.173711424971e-07       4.180004046425e-13       1.045001011606e-12       1.130399407127e-21       2.090002023213e-13      -9.024752668657e-01       2.173711424971e-07       6.011368767823e-01       6.991749372612e-01      -1.203300355821e+00       2.173711374274e-07       2.097313600644e-08      -9.024752668657e-01       2.173711529991e-07 
       7.314887168905e-01       1.580314274935e-06      -1.203311324047e+00       2.197609594322e-07       4.319560515449e-13       1.079890128862e-12       1.194013356274e-21       2.159780257724e-13      -9.024834930351e-01       2.197609594322e-07       6.011372604191e-01       6.991721957845e-01      -1.203311324047e+00       2.197609541932e-07       2.143698948591e-08      -9.024834930351e-01       2.197609702843e-07 
       7.394471887907e-01       1.597530851038e-06      -1.203322355132e+00       2.221507627740e-07       4.462191589696e-13       1.115547897424e-12       1.260461012660e-21       2.231095794848e-13      -9.024917663492e-01       2.221507627740e-07       6.011376280784e-01       6.991694385993e-01      -1.203322355132e+00       2.221507573620e-07       2.190591478740e-08      -9.024917663492e-01       2.221507739840e-07 
       7.474056606910e-01       1.614747922821e-06      -1.203333477209e+00       2.245405585022e-07       4.607930999014e-13       1.151982749753e-12       1.329836142933e-21       2.303965499507e-13      -9.025001079070e-01       2.245405585022e-07       6.011379738403e-01       6.991666586725e-01      -1.203333477209e+00       2.245405529135e-07       2.237991184789e-08      -9.025001079070e-01       2.245405700779e-07 
       7.701582764484e-01       1.663972847416e-06      -1.203366768352e+00       2.313729396881e-07       5.042038650230e-13       1.260509662557e-12       1.545188036218e-21       2.521019325115e-13      -9.025250762639e-01       2.313729396881e-07       6.011385822765e-01       6.991583376158e-01      -1.203366768352e+00       2.313729335728e-07       2.376300808490e-08      -9.025250762639e-01       2.313729523527e-07 
       7.929108922058e-01       1.713201823400e-06      -1.203401114643e+00       2.382053468971e-07       5.502615066972e-13       1.375653766743e-12       1.787593985951e-21       2.751307533486e-13      -9.025508359820e-01       2.382053468971e-07       6.011389180918e-01       6.991497528238e-01      -1.203401114643e+00       2.382053402233e-07       2.518755891028e-08      -9.025508359820e-01       2.382053607168e-07 
       8.156635079632e-01       1.762434850775e-06      -1.203435675683e+00       2.450376271612e-07       5.990442854434e-13       1.497610713608e-12       2.059528327106e-21       2.995221427217e-13      -9.025767567625e-01       2.450376271612e-07       6.011391893402e-01       6.991411143961e-01      -1.203435675683e+00       2.450376198959e-07       2.665356411953e-08      -9.025767567625e-01       2.450376422042e-07 
       8.384161237206e-01       1.811671929540e-06      -1.203470099057e+00       2.518697104254e-07       6.506306171671e-13       1.626576542918e-12       2.363612635270e-21       3.253153085836e-13      -9.026025742926e-01       2.518697104254e-07       6.011394841005e-01       6.991325104371e-01      -1.203470099057e+00       2.518697025345e-07       2.816102296669e-08      -9.026025742926e-01       2.518697267618e-07 
       8.611687394780e-01       1.860913059694e-06      -1.203504374513e+00       2.587015922618e-07       7.050990791989e-13       1.762747697997e-12       2.702620153361e-21       3.525495395994e-13      -9.026282808851e-01       2.587015922618e-07       6.011398069664e-01       6.991239435091e-01      -1.203504374513e+00       2.587015837103e-07       2.970993416129e-08      -9.026282808851e-01       2.587016099635e-07 
       9.176151243171e-01       1.983091618259e-06      -1.203588611938e+00       2.756497119243e-07       8.531798270618e-13       2.132949567655e-12       3.713717226074e-21       4.265899135309e-13      -9.026914589538e-01       2.756497119243e-07       6.011407759040e-01       6.991028891799e-01      -1.203588611938e+00       2.756497015770e-07       3.373156373470e-08      -9.026914589538e-01       2.756497333368e-07 
       9.740615091562e-01       2.105295112069e-06      -1.203672714554e+00       2.925967236438e-07       1.020684451084e-12       2.551711127709e-12       5.007260191188e-21       5.103422255419e-13      -9.027545359156e-01       2.925967236438e-07       6.011417640843e-01       6.990818688718e-01      -1.203672714554e+00       2.925967112653e-07       3.800828919193e-08      -9.027545359156e-01       2.925967492523e-07 
       1.030507893995e+00       2.227523541124e-06      -1.203756919302e+00       3.095426835430e-07       1.208814947765e-12       3.022037369411e-12       6.638762354611e-21       6.044074738823e-13      -9.028176894763e-01       3.095426835430e-07       6.011427115353e-01       6.990608233497e-01      -1.203756919302e+00       3.095426688833e-07       4.254009426921e-08      -9.028176894763e-01       3.095427138621e-07 
       1.086954278834e+00       2.349776905426e-06      -1.203841012537e+00       3.264875392595e-07       1.418773744802e-12       3.546934362004e-12       8.670598995780e-21       7.093868724008e-13      -9.028807594031e-01       3.264875392595e-07       6.011436572888e-01       6.990398060243e-01      -1.203841012537e+00       3.264875220538e-07       4.732696987747e-08      -9.028807594031e-01       3.264875748336e-07 
       1.143400663673e+00       2.472055204972e-06      -1.203924888365e+00       3.434312575831e-07       1.651764076604e-12       4.129410191510e-12       1.117241457355e-20       8.258820383020e-13      -9.029436662738e-01       3.434312575831e-07       6.011446276162e-01       6.990188433699e-01      -1.203924888365e+00       3.434312375522e-07       5.236890291493e-08      -9.029436662738e-01       3.434312989861e-07 
       1.199847048512e+00       2.594358439765e-06      -1.204008553510e+00       3.603738321704e-07       1.908990059549e-12       4.772475148873e-12       1.422152994349e-20       9.544950297746e-13      -9.030064151327e-01       3.603738321704e-07       6.011456316205e-01       6.989979337048e-01      -1.204008553510e+00       3.603738090205e-07       5.766587329269e-08      -9.030064151327e-01       3.603738800061e-07 
       1.351844598384e+00       2.923817803260e-06      -1.204233083577e+00       4.059907658052e-07       2.731514083509e-12       6.828785208774e-12       2.584560796159e-20       1.365757041755e-12      -9.031748126825e-01       4.059907658052e-07       6.011484471912e-01       6.989418206025e-01      -1.204233083577e+00       4.059907326822e-07       7.319733409131e-08      -9.031748126825e-01       4.059908341943e-07 
       1.503842148256e+00       3.253457973473e-06      -1.204457169042e+00       4.515996310110e-07       3.762069940584e-12       9.405174851459e-12       4.407577561479e-20       1.881034970292e-12      -9.033428767814e-01       4.515996310110e-07       6.011513713354e-01       6.988858209615e-01      -1.204457169042e+00       4.515995853932e-07       9.057756650134e-08      -9.033428767815e-01       4.515997251231e-07 
       1.655839698127e+00       3.583278950402e-06      -1.204681042593e+00       4.972004987504e-07       5.024257394382e-12       1.256064348595e-11       7.140289378684e-20       2.512128697191e-12      -9.035107819449e-01       4.972004987504e-07       6.011543284534e-01       6.988298766095e-01      -1.204681042593e+00       4.972004378302e-07       1.098062396016e-07      -9.035107819450e-01       4.972006243318e-07 
