# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02716e-05 to 23.4501 h/Mpc,
# number of wavenumbers equal to 850
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.027155073070e-05      -1.315128047758e-03      -9.868642211540e-04      -9.868642439761e-04      -1.315113115618e-03      -9.869618369082e-04       4.672580883161e-01       4.671121263330e-01 
       2.293238174215e-05      -6.541583939205e-03      -4.919050251247e-03      -4.919050818109e-03      -6.541213642783e-03      -4.919533089525e-03       4.672545614124e-01       4.671090427666e-01 
       3.563623187601e-05      -1.573818570157e-02      -1.187851603380e-02      -1.187851933716e-02      -1.573603259655e-02      -1.187966609453e-02       4.672483439862e-01       4.671036072982e-01 
       4.841612108324e-05      -2.889487662936e-02      -2.192564651961e-02      -2.192565776346e-02      -2.888757100533e-02      -2.192772715524e-02       4.672393682102e-01       4.670957548866e-01 
       6.130559711966e-05      -4.600145536434e-02      -3.515317100178e-02      -3.515319986752e-02      -4.598277764743e-02      -3.515641837992e-02       4.672275764240e-01       4.670854321899e-01 
       7.433902458295e-05      -6.704485003942e-02      -5.168776616045e-02      -5.168782846784e-02      -6.700474238671e-02      -5.169237959370e-02       4.672128678465e-01       4.670725443377e-01 
       8.755188289218e-05      -9.200541430580e-02      -7.169233052221e-02      -7.169245016219e-02      -9.192888418408e-02      -7.169846123591e-02       4.671951294838e-01       4.670569857002e-01 
       1.009810770488e-04      -1.208520817229e-01      -9.536898098040e-02      -9.536919220864e-02      -1.207179682017e-01      -9.537671883543e-02       4.671742075132e-01       4.670386111817e-01 
       1.146652650487e-04      -1.535361982234e-01      -1.229628578763e-01      -1.229632080919e-01      -1.533157656176e-01      -1.229722155137e-01       4.671499228745e-01       4.670172516736e-01 
       1.286452058459e-04      -1.899837670941e-01      -1.547668333268e-01      -1.547673864398e-01      -1.896391079471e-01      -1.547777270791e-01       4.671220633986e-01       4.669927058807e-01 
