# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.403652090297e-10       5.181834900267e-15       3.893324016585e-13       0.000000000000e+00       8.249489524079e-09       4.631223685938e-10      -2.060912822669e-12 
    3       1.325118631806e-10       7.448829729840e-15       4.588493357836e-13       0.000000000000e+00       5.068354697030e-09       3.286565867064e-10      -1.668562959678e-12 
    4       1.249997722994e-10       7.284074602201e-15       4.472297862846e-13       0.000000000000e+00       3.523952998434e-09       2.490608087040e-10      -1.195040558742e-12 
    5       1.192793562922e-10       5.532321670787e-15       3.955169367408e-13       0.000000000000e+00       2.631029520961e-09       1.968216879822e-10      -7.627552475415e-13 
    6       1.152616985227e-10       3.464833859703e-15       3.292549077763e-13       0.000000000000e+00       2.055709982353e-09       1.602078834687e-10      -4.116856272228e-13 
    7       1.126262261899e-10       1.924191287432e-15       2.644139972740e-13       0.000000000000e+00       1.658890800985e-09       1.333115333290e-10      -1.550344309290e-13 
    8       1.109727940780e-10       1.105007478550e-15       2.094627645729e-13       0.000000000000e+00       1.371252579524e-09       1.128453637331e-10       9.781190016237e-15 
    9       1.101138822839e-10       7.910587449931e-16       1.680474368606e-13       0.000000000000e+00       1.154678797082e-09       9.688676935855e-11       9.527212644505e-14 
   10       1.098599619099e-10       6.851641848410e-16       1.406457842285e-13       0.000000000000e+00       9.867762848045e-10       8.421914306501e-11       1.197823152736e-13 
   11       1.100231560430e-10       6.072973870522e-16       1.258072569215e-13       0.000000000000e+00       8.307824108988e-10       7.427612819916e-11       1.037493265456e-13 
   12       1.105700773499e-10       5.184917532344e-16       1.208971149617e-13       0.000000000000e+00       7.258148830491e-10       6.578954812726e-11       6.690896738327e-14 
   13       1.113674974416e-10       4.481759705211e-16       1.228366789562e-13       0.000000000000e+00       6.396558142470e-10       5.868924264506e-11       2.473753962862e-14 
   14       1.123550125784e-10       4.212908865154e-16       1.289070476379e-13       0.000000000000e+00       5.679704020909e-10       5.266030022517e-11      -1.166046414156e-14 
   15       1.135382173176e-10       4.330054753275e-16       1.369650389105e-13       0.000000000000e+00       5.076395763530e-10       4.757720258072e-11      -3.606742843089e-14 
