# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.403656779573e-10       5.182074344782e-15       3.893323975139e-13       2.394444734858e-19       8.249489524079e-09       4.631223685938e-10      -2.060912822669e-12 
    3       1.325127988341e-10       7.449308741411e-15       4.588493173194e-13       4.790111604339e-19       5.068354697030e-09       3.286565867064e-10      -1.668562959678e-12 
    4       1.250013268876e-10       7.284873224516e-15       4.472297332535e-13       7.986202983161e-19       3.523952998434e-09       2.490608087040e-10      -1.195040558742e-12 
    5       1.192816792488e-10       5.533520103667e-15       3.955168159972e-13       1.198425984381e-18       2.631029520961e-09       1.968216879822e-10      -7.627552475415e-13 
    6       1.152649359462e-10       3.466512491965e-15       3.292546705114e-13       1.678613481731e-18       2.055709982353e-09       1.602078834687e-10      -4.116856272228e-13 
    7       1.126305203656e-10       1.926430725754e-15       2.644135765274e-13       2.239394703385e-18       1.658890800985e-09       1.333115333290e-10      -1.550344309290e-13 
    8       1.109782830915e-10       1.107888571697e-15       2.094620730591e-13       2.881003163039e-18       1.371252579524e-09       1.128453637331e-10       9.781190016237e-15 
    9       1.101206997340e-10       7.946626028056e-16       1.680463651323e-13       3.603688569969e-18       1.154678797082e-09       9.688676935855e-11       9.527212644505e-14 
   10       1.098682367228e-10       6.895721914884e-16       1.406441991906e-13       4.407711256301e-18       9.867762848045e-10       8.421914306501e-11       1.197823152736e-13 
   11       1.100330123890e-10       6.125912081610e-16       1.258050006982e-13       5.293336628287e-18       8.307824108988e-10       7.427612819916e-11       1.037493265456e-13 
   12       1.105816346578e-10       5.247533366061e-16       1.208940041083e-13       6.260829829361e-18       7.258148830491e-10       6.578954812726e-11       6.690896738327e-14 
   13       1.113808705053e-10       4.554875402863e-16       1.228325039980e-13       7.310450791587e-18       6.396558142470e-10       5.868924264506e-11       2.473753962862e-14 
