# Matter power spectrum P(k) at redshift z=0
# for k=1.03775e-05 to 8.40488 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037753586731e-05       4.882273039104e+01 
       2.317084389199e-05       1.062681994158e+02 
       3.600852977297e-05       1.628499641775e+02 
       4.892466487517e-05       2.191176481156e+02 
       6.195387649860e-05       2.753920013469e+02 
       7.513165246877e-05       3.319181904549e+02 
       8.849465533977e-05       3.889089508641e+02 
       1.020810503369e-04       4.465623642368e+02 
       1.159308511973e-04       5.050710469475e+02 
       1.300862881004e-04       5.646277761423e+02 
       1.445922018884e-04       6.254294648217e+02 
       1.594964687252e-04       6.876054353201e+02 
       1.748504591816e-04       7.515047548748e+02 
       1.907095353996e-04       8.172921778838e+02 
       2.071335893865e-04       8.852090815664e+02 
       2.241876245035e-04       9.555141521268e+02 
       2.419423806885e-04       1.028485815672e+03 
       2.604750016839e-04       1.104424706630e+03 
       2.798697392814e-04       1.183656149447e+03 
       3.002186850388e-04       1.266532614009e+03 
       3.216225137223e-04       1.353436089346e+03 
       3.441912144981e-04       1.444780227168e+03 
       3.680447752850e-04       1.541012140199e+03 
       3.933137724189e-04       1.642613637223e+03 
       4.201398018510e-04       1.750101605230e+03 
       4.486756699230e-04       1.864027229092e+03 
       4.790852424646e-04       1.984973640005e+03 
       5.115428327527e-04       2.113551492870e+03 
       5.462319953644e-04       2.250392062126e+03 
       5.833435893700e-04       2.396137290765e+03 
       6.230729874019e-04       2.551426471949e+03 
       6.656163443373e-04       2.716879338723e+03 
       7.111659071666e-04       2.893075684063e+03 
       7.599044488025e-04       3.080532033241e+03 
       8.119990386827e-04       3.279676517586e+03 
       8.675945072541e-04       3.490823441367e+03 
       9.268070938714e-04       3.714149792669e+03 
       9.897188545055e-04       3.949675960311e+03 
       1.056373413717e-03       4.197253020119e+03 
       1.126773553971e-03       4.456558378110e+03 
       1.200880947458e-03       4.727100830264e+03 
       1.278618081858e-03       5.008234617713e+03 
       1.359872163689e-03       5.299181692140e+03 
       1.444500558420e-03       5.599059312100e+03 
       1.532337189112e-03       5.906910803131e+03 
       1.623199283010e-03       6.221736148003e+03 
       1.716893917763e-03       6.542520789609e+03 
       1.813223945475e-03       6.868260557853e+03 
       1.911993026160e-03       7.197982116713e+03 
       2.013009649711e-03       7.530758677194e+03 
       2.116090145617e-03       7.865721371296e+03 
       2.221060763528e-03       8.202065869218e+03 
       2.327758955800e-03       8.539056614618e+03 
       2.436034012077e-03       8.876026010166e+03 
       2.545747194051e-03       9.212374167733e+03 
       2.656771504097e-03       9.547566630507e+03 
