# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       1.000000000000e+14       7.092156347254e-26       4.349203663878e-09       2.299416154403e+22       1.372279007890e+04       1.372279007890e-10       1.372279007890e+18       2.510855932207e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       2.535754115505e+44       8.452513718351e+43       5.697620130165e-08       5.287314651132e+44       6.908064729159e-20       2.000000000000e+14 
       9.930486593843e+13       7.191794051776e-26       4.380126483738e-09       2.267559214992e+22       1.372279007890e+04       1.381884960945e-10       1.362739829086e+18       2.528431923732e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       2.465978335245e+44       8.219927784150e+43       5.697620130165e-08       5.141824793497e+44       9.637598243374e-08       1.433565615564e+02 
       9.861456399050e+13       7.292831566410e-26       4.409230314195e-09       2.236143633091e+22       1.372279007890e+04       1.391558155672e-10       1.353266960364e+18       2.546130947198e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       2.398122559563e+44       7.993741865209e+43       5.697620130165e-08       5.000338347814e+44       1.927519648674e-07       7.167828077820e+01 
       9.792906056653e+13       7.395288557086e-26       4.440153134055e-09       2.205163293974e+22       1.372279007890e+04       1.401299062761e-10       1.343859940778e+18       2.563953863829e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       2.332133956121e+44       7.773779853736e+43       5.697620130165e-08       4.862745153092e+44       2.891279473010e-07       4.778552051881e+01 
       9.724832231036e+13       7.499184966025e-26       4.471075953916e-09       2.174612167632e+22       1.372279007890e+04       1.411108156201e-10       1.334518312590e+18       2.581901540875e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       2.267961146358e+44       7.559870487859e+43       5.697620130165e-08       4.728938079611e+44       3.855039297347e-07       3.583914038910e+01 
       9.657231609767e+13       7.604541015612e-26       4.503817763180e-09       2.144484307594e+22       1.372279007890e+04       1.420985913294e-10       1.325241621241e+18       2.599974851661e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       2.205554165484e+44       7.351847218279e+43       5.697620130165e-08       4.598812945519e+44       4.818799121683e-07       2.867131231128e+01 
       9.590100903443e+13       7.711377212341e-26       4.534740583040e-09       2.114773849779e+22       1.372279007890e+04       1.430932814687e-10       1.316029415334e+18       2.618174675623e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       2.144864423579e+44       7.149548078597e+43       5.697620130165e-08       4.472268435710e+44       5.782558946019e-07       2.389276025940e+01 
       9.523436845525e+13       7.819714350797e-26       4.565663402900e-09       2.085475011345e+22       1.372279007890e+04       1.440949344390e-10       1.306881246608e+18       2.636501898352e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       2.085844667762e+44       6.952815559208e+43       5.697620130165e-08       4.349206022944e+44       6.746318770355e-07       2.047950879377e+01 
       9.457236192179e+13       7.929573517711e-26       4.598405212164e-09       2.056582089569e+22       1.372279007890e+04       1.451035989801e-10       1.297796669918e+18       2.654957411641e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       2.028448945399e+44       6.761496484664e+43       5.697620130165e-08       4.229529891135e+44       7.710078594691e-07       1.791957019455e+01 
       9.391495722125e+13       8.040976096061e-26       4.631147021428e-09       2.028089460735e+22       1.372279007890e+04       1.461193241729e-10       1.288775243216e+18       2.673542113522e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       1.972632568323e+44       6.575441894409e+43       5.697620130165e-08       4.113146860745e+44       8.673838419027e-07       1.592850683960e+01 
       9.326212236469e+13       8.153943769235e-26       4.663888830692e-09       1.999991579041e+22       1.372279007890e+04       1.471421594421e-10       1.279816527523e+18       2.692256908317e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       1.918352078042e+44       6.394506926805e+43       5.697620130165e-08       3.999966316237e+44       9.637598243363e-07       1.433565615564e+01 
       9.261382558559e+13       8.268498525249e-26       4.696630639955e-09       1.972282975519e+22       1.372279007890e+04       1.481721545582e-10       1.270920086915e+18       2.711102706675e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       1.865565211901e+44       6.218550706338e+43       5.697620130165e-08       3.889900135521e+44       1.060135806770e-06       1.303241468694e+01 
       9.197003533823e+13       8.384662661030e-26       4.729372449219e-09       1.944958256967e+22       1.372279007890e+04       1.492093596401e-10       1.262085488495e+18       2.730080425621e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       1.814230870180e+44       6.047436233933e+43       5.697620130165e-08       3.782862621343e+44       1.156511789203e-06       1.194638012970e+01 
       9.133072029615e+13       8.502458786754e-26       4.762114258483e-09       1.918012104905e+22       1.372279007890e+04       1.502538251576e-10       1.253312302379e+18       2.749190988601e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       1.764309084086e+44       5.881030280288e+43       5.697620130165e-08       3.678770434563e+44       1.252887771637e-06       1.102742781203e+01 
       9.069584935070e+13       8.621909830249e-26       4.794856067747e-09       1.891439274537e+22       1.372279007890e+04       1.513056019337e-10       1.244600101667e+18       2.768435325521e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       1.715760984643e+44       5.719203282145e+43       5.697620130165e-08       3.577542529262e+44       1.349263754071e-06       1.023975439688e+01 
       9.006539160943e+13       8.743039041454e-26       4.829416866414e-09       1.865234593730e+22       1.372279007890e+04       1.523647411473e-10       1.235948462430e+18       2.787814372799e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       1.668548772421e+44       5.561829241405e+43       5.697620130165e-08       3.479100089648e+44       1.445639736504e-06       9.557104103758e+00 
       8.943931639467e+13       8.865869996948e-26       4.862158675678e-09       1.839392962007e+22       1.372279007890e+04       1.534312943353e-10       1.227356963684e+18       2.807329073409e-09       1.760730780460e+44       1.779844290434e+33       9.418576810560e+33       1.622635688110e+44       5.408785627033e+43       5.697620130165e-08       3.383366468682e+44       1.542015718938e-06       8.959785097273e+00 
       8.881759324197e+13       8.990426604535e-26       4.896719474345e-09       1.813909349556e+22       1.372279007890e+04       1.545053133956e-10       1.218825187373e+18       2.826980376923e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       1.577985983896e+44       5.259953279653e+43       5.697620130165e-08       3.290267128405e+44       1.638391701371e-06       8.432738915080e+00 
       8.820019189868e+13       9.116733107901e-26       4.931280273013e-09       1.788778796247e+22       1.372279007890e+04       1.555868505894e-10       1.210352718344e+18       2.846769239561e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       1.534564895631e+44       5.115216318772e+43       5.697620130165e-08       3.199729581904e+44       1.734767683805e-06       7.964253419798e+00 
       8.758708232243e+13       9.244814091334e-26       4.965841071680e-09       1.763996410674e+22       1.372279007890e+04       1.566759585435e-10       1.201939144334e+18       2.866696624238e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       1.492338615765e+44       4.974462052551e+43       5.697620130165e-08       3.111683336870e+44       1.831143666238e-06       7.545082187176e+00 
       8.697823467967e+13       9.374694484503e-26       5.000401870348e-09       1.739557369194e+22       1.372279007890e+04       1.577726902533e-10       1.193584055942e+18       2.886763500607e-09       1.574785573594e+44       1.636923422878e+33       8.662268421030e+33       1.451274267021e+44       4.837580890071e+43       5.697620130165e-08       3.026059840718e+44       1.927519648672e-06       7.167828077817e+00 
       8.637361934426e+13       9.506399567316e-26       5.034962669015e-09       1.715456914996e+22       1.372279007890e+04       1.588770990851e-10       1.185287046616e+18       2.906970845111e-09       1.531452550306e+44       1.603023730218e+33       8.482878088466e+33       1.411339876800e+44       4.704466256001e+43       5.697620130165e-08       2.942792427207e+44       2.023895631105e-06       6.826502931254e+00 
       8.577320689599e+13       9.639954974836e-26       5.069523467682e-09       1.691690357168e+22       1.372279007890e+04       1.599892387787e-10       1.177047712628e+18       2.927319641027e-09       1.489311912151e+44       1.569826079661e+33       8.307202821039e+33       1.372504352285e+44       4.575014507618e+43       5.697620130165e-08       2.861816264536e+44       2.120271613539e-06       6.516207343470e+00 
       8.517696811915e+13       9.775386702278e-26       5.105903255753e-09       1.668253069791e+22       1.372279007890e+04       1.611091634502e-10       1.168865653056e+18       2.947810878514e-09       1.448330848536e+44       1.537315932340e+33       8.135165682000e+33       1.334737456234e+44       4.449124854114e+43       5.697620130165e-08       2.783068304866e+44       2.216647595972e-06       6.232893980710e+00 
       8.458487400115e+13       9.912721110058e-26       5.142283043824e-09       1.645140491032e+22       1.372279007890e+04       1.622369275943e-10       1.160740469768e+18       2.968445554664e-09       1.408477451704e+44       1.505479050481e+33       7.966691327913e+33       1.298009783436e+44       4.326699278119e+43       5.697620130165e-08       2.706487235235e+44       2.313023578406e-06       5.973190064847e+00 
       8.399689573103e+13       1.005198492893e-25       5.176843842492e-09       1.622348122263e+22       1.372279007890e+04       1.633725860875e-10       1.152671767396e+18       2.989224673546e-09       1.369720691902e+44       1.474301491162e+33       7.801705975661e+33       1.262292737816e+44       4.207642459385e+43       5.697620130165e-08       2.632013429810e+44       2.409399560839e-06       5.734262462253e+00 
       8.341300469814e+13       1.019320526520e-25       5.213223630562e-09       1.599871527178e+22       1.372279007890e+04       1.645161941901e-10       1.144659153323e+18       3.010149246261e-09       1.332030393213e+44       1.443769600213e+33       7.640137370128e+33       1.227558510171e+44       4.091861700570e+43       5.697620130165e-08       2.559588903475e+44       2.505775543273e-06       5.513713906013e+00 
       8.283317249071e+13       1.033640960597e-25       5.249603418633e-09       1.577706330935e+22       1.372279007890e+04       1.656678075494e-10       1.136702237659e+18       3.031220290985e-09       1.295377210063e+44       1.413870006234e+33       7.481914752559e+33       1.193780056519e+44       3.979266855065e+43       5.697620130165e-08       2.489157266672e+44       2.602151525706e-06       5.309502279864e+00 
       8.225737089444e+13       1.048162582452e-25       5.287802196108e-09       1.555848219302e+22       1.372279007890e+04       1.668274822023e-10       1.128800633226e+18       3.052438833021e-09       1.259732604377e+44       1.384589614737e+33       7.326968829569e+33       1.160931077041e+44       3.869770256803e+43       5.697620130165e-08       2.420663681505e+44       2.698527508140e-06       5.119877198440e+00 
       8.168557189121e+13       1.062888218573e-25       5.324181984179e-09       1.534292937819e+22       1.372279007890e+04       1.679952745777e-10       1.120953955538e+18       3.073805904852e-09       1.225068823354e+44       1.355915602413e+33       7.175231742800e+33       1.128985995602e+44       3.763286652006e+43       5.697620130165e-08       2.354054819041e+44       2.794903490573e-06       4.943329708839e+00 
       8.111774765760e+13       1.077820735156e-25       5.360561772250e-09       1.513036290967e+22       1.372279007890e+04       1.691712414997e-10       1.113161822778e+18       3.095322546186e-09       1.191358877859e+44       1.327835411518e+33       7.026637039196e+33       1.097919939842e+44       3.659733132806e+43       5.697620130165e-08       2.289278817784e+44       2.891279473006e-06       4.778552051877e+00 
       8.055387056366e+13       1.092963038664e-25       5.398760549724e-09       1.492074141355e+22       1.372279007890e+04       1.703554401902e-10       1.105423855788e+18       3.116989804009e-09       1.158576521413e+44       1.300336744370e+33       6.881119641904e+33       1.067708721807e+44       3.559029072690e+43       5.697620130165e-08       2.226285243302e+44       2.987655455440e-06       4.624405211494e+00 
       7.999391317146e+13       1.108318076394e-25       5.436959327199e-09       1.471402408913e+22       1.372279007890e+04       1.715479282715e-10       1.097739678041e+18       3.138808732637e-09       1.126696229756e+44       1.273407557963e+33       6.738615821776e+33       1.038328819119e+44       3.461096063729e+43       5.697620130165e-08       2.165025048955e+44       3.084031437873e-06       4.479892548635e+00 
       7.943784823382e+13       1.123888837049e-25       5.475158104673e-09       1.451017070095e+22       1.372279007890e+04       1.727487637694e-10       1.090108915632e+18       3.160780393766e-09       1.095693180972e+44       1.247036058696e+33       6.599063169453e+33       1.009757356658e+44       3.365857855526e+43       5.697620130165e-08       2.105450537708e+44       3.180407420307e-06       4.344138228979e+00 
       7.888564869297e+13       1.139678351321e-25       5.513356882147e-09       1.430914157102e+22       1.372279007890e+04       1.739580051158e-10       1.082531197251e+18       3.182905856522e-09       1.065543236164e+44       1.221210697207e+33       6.462400568037e+33       9.819720887551e+43       3.273240295850e+43       5.697620130165e-08       2.047515324996e+44       3.276783402740e-06       4.216369457539e+00 
       7.833728767922e+13       1.155689692479e-25       5.551555659622e-09       1.411089757105e+22       1.372279007890e+04       1.751757111516e-10       1.075006154172e+18       3.205186197517e-09       1.036222920661e+44       1.195920163313e+33       6.328568166325e+33       9.549513818704e+43       3.183171272901e+43       5.697620130165e-08       1.991174302606e+44       3.373159385174e-06       4.095901758752e+00 
       7.779273850965e+13       1.171925976968e-25       5.589754437096e-09       1.391540011484e+22       1.372279007890e+04       1.764019411297e-10       1.067533420230e+18       3.227622500900e-09       1.007709405738e+44       1.171153381058e+33       6.197507352595e+33       9.286741977485e+43       3.095580659162e+43       5.697620130165e-08       1.936383603560e+44       3.469535367607e-06       3.982126709898e+00 
       7.725197468684e+13       1.188390365019e-25       5.629772203974e-09       1.372261115078e+22       1.372279007890e+04       1.776367547176e-10       1.060112631808e+18       3.250215858406e-09       9.799804908440e+43       1.146899503863e+33       6.069160728938e+33       9.031200770396e+43       3.010400256799e+43       5.697620130165e-08       1.883100567956e+44       3.565911350041e-06       3.874501663684e+00 
       7.671496989756e+13       1.205086061257e-25       5.669789970852e-09       1.353249315446e+22       1.372279007890e+04       1.788802120006e-10       1.052743427813e+18       3.272967369415e-09       9.530145863146e+43       1.123147909775e+33       5.943472086121e+33       8.782691233691e+43       2.927563744564e+43       5.697620130165e-08       1.831283709754e+44       3.662287332474e-06       3.772541093587e+00 
       7.618169801148e+13       1.222016315331e-25       5.707988748327e-09       1.334500912131e+22       1.372279007890e+04       1.801323734846e-10       1.045425449665e+18       3.295878141000e-09       9.267906965640e+43       1.099888196816e+33       5.820386378973e+33       8.541019878463e+43       2.847006626154e+43       5.697620130165e-08       1.780892684479e+44       3.758663314907e-06       3.675809270675e+00 
       7.565213307992e+13       1.239184422545e-25       5.748006515205e-09       1.316012255948e+22       1.372279007890e+04       1.813933000990e-10       1.038158341276e+18       3.318949287987e-09       9.012884037370e+43       1.077110178424e+33       5.699849702270e+33       8.305998540000e+43       2.768666180000e+43       5.697620130165e-08       1.731888257805e+44       3.855039297341e-06       3.583914038908e+00 
       7.512624933457e+13       1.256593724498e-25       5.788024282083e-09       1.297779748265e+22       1.372279007890e+04       1.826630531997e-10       1.030941749033e+18       3.342181933003e-09       8.764878518120e+43       1.054803878997e+33       5.581809267138e+33       8.077444231272e+43       2.692481410424e+43       5.697620130165e-08       1.684232275006e+44       3.951415279774e-06       3.496501501374e+00 
       7.460402118627e+13       1.274247609733e-25       5.829861038364e-09       1.279799840308e+22       1.372279007890e+04       1.839416945721e-10       1.023775321781e+18       3.365577206534e-09       8.523697311413e+43       1.032959529521e+33       5.466213377923e+33       7.855179000467e+43       2.618393000156e+43       5.697620130165e-08       1.637887631253e+44       4.047791262208e-06       3.413251465627e+00 
       7.408542322370e+13       1.292149514402e-25       5.869878805242e-09       1.262069032471e+22       1.372279007890e+04       1.852292864341e-10       1.016658710805e+18       3.389136246979e-09       8.289152634162e+43       1.011567563292e+33       5.353011409563e+33       7.639029792430e+43       2.546343264143e+43       5.697620130165e-08       1.592818242723e+44       4.144167244641e-06       3.333873524565e+00 
       7.357043021222e+13       1.310302922930e-25       5.911715561524e-09       1.244583873631e+22       1.372279007890e+04       1.865258914392e-10       1.009591569816e+18       3.412860200708e-09       8.061061870468e+43       9.906186117280e+32       5.242153785404e+33       7.428828313927e+43       2.476276104642e+43       5.697620130165e-08       1.548989018502e+44       4.240543227074e-06       3.258103671735e+00 
