# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.672861881239e-10       4.358304344351e-15       3.261965925946e-13       0.000000000000e+00       7.210880146187e-09       5.897762634867e-10      -1.833411042389e-12 
    3       1.525201172151e-10       5.254075270794e-15       3.768039177441e-13       0.000000000000e+00       4.495659602471e-09       4.103789589121e-10      -1.339293546152e-12 
    4       1.405189952864e-10       4.220779143687e-15       3.535585726672e-13       0.000000000000e+00       3.133175663499e-09       3.065687040433e-10      -8.210935299514e-13 
    5       1.318572556926e-10       2.610265843127e-15       2.993085468593e-13       0.000000000000e+00       2.338891510437e-09       2.397508706359e-10      -4.043470730421e-13 
    6       1.258609723982e-10       1.388102449047e-15       2.389675206928e-13       0.000000000000e+00       1.825644809785e-09       1.935753183692e-10      -1.168858869052e-13 
    7       1.218071849504e-10       7.712585117577e-16       1.864415082508e-13       0.000000000000e+00       1.470801376252e-09       1.600716104851e-10       4.771291280251e-14 
    8       1.191725816560e-10       5.395644585838e-16       1.473310733877e-13       0.000000000000e+00       1.213880329039e-09       1.348827968275e-10       1.137639486087e-13 
    9       1.175582622202e-10       4.406120485919e-16       1.223969070666e-13       0.000000000000e+00       1.021256044519e-09       1.154364852864e-10       1.130449684067e-13 
   10       1.167020534095e-10       3.624733822910e-16       1.097524919492e-13       0.000000000000e+00       8.724990415129e-10       1.000857462274e-10       7.713856061781e-14 
   11       1.164248883711e-10       3.001853729853e-16       1.063283215694e-13       0.000000000000e+00       7.401485488201e-10       8.809195856344e-11       3.238477413028e-14 
   12       1.166118650838e-10       2.695547453961e-16       1.089129867562e-13       0.000000000000e+00       6.464193038839e-10       7.773793280790e-11      -5.142781308126e-15 
   13       1.170888188550e-10       2.678488412433e-16       1.148386176120e-13       0.000000000000e+00       5.694685684275e-10       6.920811753788e-11      -2.700829866471e-14 
   14       1.178597518421e-10       2.828292584958e-16       1.223146792296e-13       0.000000000000e+00       5.054391501783e-10       6.183745612372e-11      -3.318501129950e-14 
   15       1.188904077934e-10       3.095625296723e-16       1.302611593652e-13       0.000000000000e+00       4.515430958016e-10       5.563113887926e-11      -2.771063423396e-14 
   16       1.200801341107e-10       3.519987198348e-16       1.382678077254e-13       0.000000000000e+00       4.057213709991e-10       5.030847462568e-11      -1.685920549463e-14 
   17       1.214097702109e-10       4.147009703940e-16       1.464958465288e-13       0.000000000000e+00       3.664179668525e-10       4.569680837625e-11      -6.319523891761e-15 
   18       1.228933552257e-10       4.977692247168e-16       1.551475507994e-13       0.000000000000e+00       3.323113725462e-10       4.169114186336e-11       1.324434338575e-16 
   19       1.245271348990e-10       6.001702623722e-16       1.643779032545e-13       0.000000000000e+00       3.028550293745e-10       3.822122955620e-11       1.716035739177e-15 
   20       1.262400714109e-10       7.202495338260e-16       1.742529063605e-13       0.000000000000e+00       2.769180996403e-10       3.513631896792e-11      -9.658704365366e-16 
   21       1.280361670766e-10       8.579801435181e-16       1.845039847684e-13       0.000000000000e+00       2.540924515155e-10       3.238365930921e-11      -6.017491520724e-15 
   22       1.299114960485e-10       1.013621706165e-15       1.946804026590e-13       0.000000000000e+00       2.338298591335e-10       2.990392030304e-11      -1.083757914432e-14 
   23       1.318720688429e-10       1.187294145322e-15       2.044324434982e-13       0.000000000000e+00       2.158509853927e-10       2.769594626963e-11      -1.406405184340e-14 
   24       1.339035461658e-10       1.379155561673e-15       2.134221714350e-13       0.000000000000e+00       1.997399355239e-10       2.574467134870e-11      -1.485831279806e-14 
   25       1.360013008554e-10       1.590586432923e-15       2.214425406707e-13       0.000000000000e+00       1.853062238344e-10       2.400388810776e-11      -1.353982718776e-14 
   26       1.381488416056e-10       1.823448406655e-15       2.283592230891e-13       0.000000000000e+00       1.722874871886e-10       2.240392583464e-11      -1.100002681294e-14 
   27       1.403492177380e-10       2.079501457444e-15       2.342195834711e-13       0.000000000000e+00       1.605270135428e-10       2.093604120348e-11      -8.328318249842e-15 
   28       1.426008759669e-10       2.360443958108e-15       2.391384966702e-13       0.000000000000e+00       1.498216595191e-10       1.959990823866e-11      -6.637419850445e-15 
   29       1.449093235140e-10       2.667473308228e-15       2.431429541559e-13       0.000000000000e+00       1.401161726569e-10       1.839283422030e-11      -6.068394613082e-15 
   30       1.472686157719e-10       3.001582513285e-15       2.462464437750e-13       0.000000000000e+00       1.313056451054e-10       1.729912644235e-11      -6.401612973985e-15 
   31       1.496618291205e-10       3.363691365209e-15       2.484513111066e-13       0.000000000000e+00       1.232096004764e-10       1.629345237428e-11      -7.316286195018e-15 
   32       1.520925178352e-10       3.754684803670e-15       2.496471712629e-13       0.000000000000e+00       1.157858591432e-10       1.537033977985e-11      -8.421992738709e-15 
   33       1.545623145167e-10       4.175375237004e-15       2.496717972109e-13       0.000000000000e+00       1.089816735204e-10       1.452381424298e-11      -9.223424239730e-15 
   34       1.570654243843e-10       4.626553005985e-15       2.483607390912e-13       0.000000000000e+00       1.027014958913e-10       1.374224824938e-11      -9.262511368521e-15 
   35       1.596025639409e-10       5.109223136031e-15       2.456363581662e-13       0.000000000000e+00       9.691274841776e-11       1.302015158824e-11      -8.671139223611e-15 
   36       1.621700792469e-10       5.624446911755e-15       2.414493693837e-13       0.000000000000e+00       9.156845824976e-11       1.234938786964e-11      -7.816803997727e-15 
   37       1.647606495425e-10       6.173214608486e-15       2.357626175973e-13       0.000000000000e+00       8.659849583042e-11       1.171920023276e-11      -7.080054254581e-15 
   38       1.673816122018e-10       6.756225892032e-15       2.285748375850e-13       0.000000000000e+00       8.198977542825e-11       1.112891214309e-11      -6.566602705060e-15 
   39       1.700415619298e-10       7.374029285149e-15       2.199058992081e-13       0.000000000000e+00       7.772751715703e-11       1.057880652129e-11      -6.303855571348e-15 
   40       1.727447953396e-10       8.027072841338e-15       2.097915768104e-13       0.000000000000e+00       7.377086674030e-11       1.006640109595e-11      -6.317651581096e-15 
   41       1.754914024257e-10       8.715803308969e-15       1.982621735567e-13       0.000000000000e+00       7.006706955101e-11       9.587594274753e-12      -6.612929428128e-15 
   42       1.782788003984e-10       9.441017636646e-15       1.852679203297e-13       0.000000000000e+00       6.660500516446e-11       9.141160984505e-12      -7.108828965598e-15 
   43       1.810998424355e-10       1.020361526008e-14       1.707307656526e-13       0.000000000000e+00       6.337525503642e-11       8.725293556205e-12      -7.681995678813e-15 
   44       1.839418011013e-10       1.100450341225e-14       1.545638889587e-13       0.000000000000e+00       6.035403894730e-11       8.336174078059e-12      -8.182253135744e-15 
   45       1.867915648015e-10       1.184449151436e-14       1.366848839960e-13       0.000000000000e+00       5.751165416958e-11       7.969254689616e-12      -8.473762128621e-15 
   46       1.896541816789e-10       1.272393456192e-14       1.170615502877e-13       0.000000000000e+00       5.484349203323e-11       7.623925809483e-12      -8.576895609580e-15 
   47       1.925390641576e-10       1.364298466751e-14       9.567867893821e-14       0.000000000000e+00       5.234635199318e-11       7.299975780748e-12      -8.566090576483e-15 
   48       1.954546684018e-10       1.460168322885e-14       7.252554281728e-14       0.000000000000e+00       5.000909114060e-11       6.996201673567e-12      -8.531649117555e-15 
   49       1.984083528881e-10       1.559995570111e-14       4.759603941697e-14       0.000000000000e+00       4.781203426327e-11       6.710334683801e-12      -8.580619497517e-15 
   50       2.014053677534e-10       1.663772048335e-14       2.088153417195e-14       0.000000000000e+00       4.573287387490e-11       6.439756338759e-12      -8.806662618920e-15 
   51       2.044458275439e-10       1.771526254949e-14      -7.653231147471e-15       0.000000000000e+00       4.376762697272e-11       6.184049375418e-12      -9.187964553910e-15 
