# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.672865963920e-10       4.358495195858e-15       3.261965890074e-13       1.908514995489e-19       7.210880146187e-09       5.897762634867e-10      -1.833411042389e-12 
    3       1.525209320820e-10       5.254457072209e-15       3.768039017558e-13       3.818013402484e-19       4.495659602471e-09       4.103789589121e-10      -1.339293546152e-12 
    4       1.405203497269e-10       4.221415695555e-15       3.535585267201e-13       6.365515039391e-19       3.133175663499e-09       3.065687040433e-10      -8.210935299514e-13 
    5       1.318592805621e-10       2.611221070336e-15       2.993084421685e-13       9.552259737882e-19       2.338891510437e-09       2.397508706359e-10      -4.043470730421e-13 
    6       1.258637959913e-10       1.389440426187e-15       2.389673147937e-13       1.337973810127e-18       1.825644809785e-09       1.935753183692e-10      -1.168858869052e-13 
    7       1.218109326143e-10       7.730434849297e-16       1.864411427614e-13       1.784965536246e-18       1.470801376252e-09       1.600716104851e-10       4.771291280251e-14 
    8       1.191773754661e-10       5.418608631951e-16       1.473304720170e-13       2.296389115096e-18       1.213880329039e-09       1.348827968275e-10       1.137639486087e-13 
    9       1.175642207217e-10       4.434845228091e-16       1.223959738883e-13       2.872445666287e-18       1.021256044519e-09       1.154364852864e-10       1.130449684067e-13 
   10       1.167092914295e-10       3.659867759287e-16       1.097511099574e-13       3.513345080839e-18       8.724990415129e-10       1.000857462274e-10       7.713856061781e-14 
   11       1.164335168999e-10       3.044047517471e-16       1.063263515192e-13       4.219301692789e-18       7.401485488201e-10       8.809195856344e-11       3.238477413028e-14 
   12       1.166219912260e-10       2.745453905034e-16       1.089102662905e-13       4.990530161896e-18       6.464193038839e-10       7.773793280790e-11      -5.142781308126e-15 
   13       1.171005458455e-10       2.736762446018e-16       1.148349606654e-13       5.827241710588e-18       5.694685684275e-10       6.920811753788e-11      -2.700829866471e-14 
   14       1.178731791225e-10       2.895591136463e-16       1.223098756970e-13       6.729640841330e-18       5.054391501783e-10       6.183745612372e-11      -3.318501129950e-14 
   15       1.189056311407e-10       3.172607188568e-16       1.302549750172e-13       7.697922638629e-18       4.515430958016e-10       5.563113887926e-11      -2.771063423396e-14 
   16       1.200972458114e-10       3.607312975693e-16       1.382599843489e-13       8.732270733679e-18       4.057213709991e-10       5.030847462568e-11      -1.685920549463e-14 
   17       1.214288592700e-10       4.245341439760e-16       1.464861022711e-13       9.832855980457e-18       3.664179668525e-10       4.569680837625e-11      -6.319523891761e-15 
   18       1.229145076045e-10       5.087693319285e-16       1.551355807026e-13       1.099983551896e-17       3.323113725462e-10       4.169114186336e-11       1.324434338575e-16 
   19       1.245504337470e-10       6.124037479206e-16       1.643633798999e-13       1.223335460596e-17       3.028550293745e-10       3.822122955620e-11       1.716035739177e-15 
   20       1.262655973481e-10       7.337829219686e-16       1.742354807577e-13       1.353354366552e-17       2.769180996403e-10       3.513631896792e-11      -9.658704365366e-16 
   21       1.280639984053e-10       8.728800120207e-16       1.844832872279e-13       1.490052470043e-17       2.540924515155e-10       3.238365930921e-11      -6.017491520724e-15 
   22       1.299417090223e-10       1.029954656122e-15       1.946560439268e-13       1.633440787403e-17       2.338298591335e-10       2.990392030304e-11      -1.083757914432e-14 
   23       1.319047378341e-10       1.205126773152e-15       2.044040158454e-13       1.783529927613e-17       2.158509853927e-10       2.769594626963e-11      -1.406405184340e-14 
   24       1.339387438912e-10       1.398554426872e-15       2.133892500180e-13       1.940329746889e-17       1.997399355239e-10       2.574467134870e-11      -1.485831279806e-14 
   25       1.360390984648e-10       1.611618028605e-15       2.214046848432e-13       2.103850260385e-17       1.853062238344e-10       2.400388810776e-11      -1.353982718776e-14 
   26       1.381893088417e-10       1.846179125508e-15       2.283159779941e-13       2.274101235241e-17       1.722874871886e-10       2.240392583464e-11      -1.100002681294e-14 
   27       1.403924229661e-10       2.103997559628e-15       2.341704816468e-13       2.451092977243e-17       1.605270135428e-10       2.093604120348e-11      -8.328318249842e-15 
   28       1.426468862492e-10       2.386771535127e-15       2.390830599238e-13       2.634836044131e-17       1.498216595191e-10       1.959990823866e-11      -6.637419850445e-15 
   29       1.449582044824e-10       2.695698248626e-15       2.430806955555e-13       2.825342145746e-17       1.401161726569e-10       1.839283422030e-11      -6.068394613082e-15 
   30       1.473204316479e-10       3.031770463225e-15       2.461768698636e-13       3.022623537738e-17       1.313056451054e-10       1.729912644235e-11      -6.401612973985e-15 
   31       1.497166427256e-10       3.395907686045e-15       2.483739243736e-13       3.226692949265e-17       1.232096004764e-10       1.629345237428e-11      -7.316286195018e-15 
   32       1.521503903560e-10       3.788994528526e-15       2.495614730193e-13       3.437564147541e-17       1.157858591432e-10       1.537033977985e-11      -8.421992738709e-15 
   33       1.546233054094e-10       4.211843024842e-15       2.495772904861e-13       3.655251709888e-17       1.089816735204e-10       1.452381424298e-11      -9.223424239730e-15 
   34       1.571295912976e-10       4.665243091881e-15       2.482569318119e-13       3.879770786282e-17       1.027014958913e-10       1.374224824938e-11      -9.262511368521e-15 
   35       1.596699625232e-10       5.150199273899e-15       2.455227671018e-13       4.111136510393e-17       9.691274841776e-11       1.302015158824e-11      -8.671139223611e-15 
   36       1.622407630073e-10       5.667772318605e-15       2.413255238961e-13       4.349364491133e-17       9.156845824976e-11       1.234938786964e-11      -7.816803997727e-15 
   37       1.648346697468e-10       6.218951904628e-15       2.356280636766e-13       4.594470378128e-17       8.659849583042e-11       1.171920023276e-11      -7.080054254581e-15 
   38       1.674590178279e-10       6.804437027493e-15       2.284291429325e-13       4.846467634226e-17       8.198977542825e-11       1.112891214309e-11      -6.566602705060e-15 
   39       1.701223995624e-10       7.424775471523e-15       2.197486579557e-13       5.105369066571e-17       7.772751715703e-11       1.057880652129e-11      -6.303855571348e-15 
   40       1.728291090338e-10       8.080414484307e-15       2.096224142238e-13       5.371187428227e-17       7.377086674030e-11       1.006640109595e-11      -6.317651581096e-15 
   41       1.755792336381e-10       8.771799935378e-15       1.980807511009e-13       5.643934434532e-17       7.006706955101e-11       9.587594274753e-12      -6.612929428128e-15 
   42       1.783701881742e-10       9.499727808791e-15       1.850739414612e-13       5.923617418444e-17       6.660500516446e-11       9.141160984505e-12      -7.108828965598e-15 
   43       1.811948234033e-10       1.026509649464e-14       1.705239814715e-13       6.210241592425e-17       6.337525503642e-11       8.725293556205e-12      -7.681995678813e-15 
   44       1.840404093898e-10       1.106881209939e-14       1.543441039428e-13       6.503810878583e-17       6.035403894730e-11       8.336174078059e-12      -8.182253135744e-15 
   45       1.868938320579e-10       1.191168283940e-14       1.364519614634e-13       6.804327217820e-17       5.751165416958e-11       7.969254689616e-12      -8.473762128621e-15 
   46       1.897601374463e-10       1.279406244158e-14       1.168154164303e-13       7.111788404079e-17       5.484349203323e-11       7.623925809483e-12      -8.576895609580e-15 
   47       1.926487359905e-10       1.371610167155e-14       9.541932823064e-14       7.426189492123e-17       5.234635199318e-11       7.299975780748e-12      -8.566090576483e-15 
   48       1.955680818817e-10       1.467784049465e-14       7.225304406629e-14       7.747523268826e-17       5.000909114060e-11       6.996201673567e-12      -8.531649117555e-15 
   49       1.985255316390e-10       1.567920284607e-14       4.731054200214e-14       8.075780152172e-17       4.781203426327e-11       6.710334683801e-12      -8.580619497517e-15 
   50       2.015263335123e-10       1.672010553457e-14       2.058327304736e-14       8.410948646188e-17       4.573287387490e-11       6.439756338759e-12      -8.806662618920e-15 
   51       2.045706004118e-10       1.780083193655e-14      -7.963935009354e-15       8.753017085670e-17       4.376762697272e-11       6.184049375418e-12      -9.187964553910e-15 
   52       2.076552708481e-10       1.892175069676e-14      -3.837507479768e-14       9.101972190452e-17       4.191434700793e-11       5.943010316229e-12      -9.663136534611e-15 
   53       2.107747282831e-10       2.008321059780e-14      -7.069642582234e-14       9.457798477786e-17       4.016685331438e-11       5.715882678947e-12      -1.015924295792e-14 
   54       2.139206188005e-10       2.128554070119e-14      -1.049767549891e-13       9.820478187493e-17       3.851444657921e-11       5.501319589717e-12      -1.059122295987e-14 
   55       2.170847209771e-10       2.252895961760e-14      -1.412552405260e-13       1.018999346274e-16       3.694515241562e-11       5.297782017510e-12      -1.088212637938e-14 
