#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       7.007317565317e-03       1.611293134725e-08      -1.180681061222e+00       2.068326738861e-05       4.257132401477e-15       1.064283100369e-14       1.232190628438e-25       2.128566200739e-15      -8.855107959164e-01       2.068326738861e-05       5.913262894224e-01       7.048297588804e-01      -8.855107959164e-01       2.068326834436e-05      -1.180681061391e+00       2.068326693520e-05       1.936866810829e-08       3.333333333333e-01 
       7.014551747615e-03       1.612956613981e-08      -1.180680089665e+00       2.070460298509e-05       4.270327429243e-15       1.067581857311e-14       1.238563216672e-25       2.135163714621e-15      -8.855100672487e-01       2.070460298509e-05       5.913267503009e-01       7.048300018196e-01      -8.855100672487e-01       2.070460394381e-05      -1.180680089834e+00       2.070460253028e-05       1.940864343125e-08       3.333333333333e-01 
       7.021785929913e-03       1.614620093279e-08      -1.180679165163e+00       2.072593937794e-05       4.283549859098e-15       1.070887464774e-14       1.244962191608e-25       2.141774929549e-15      -8.855093738725e-01       2.072593937794e-05       5.913271999368e-01       7.048302329950e-01      -8.855093738725e-01       2.072594033963e-05      -1.180679165333e+00       2.072593892171e-05       1.944865983909e-08       3.333333333333e-01 
       7.052891721307e-03       1.621772780514e-08      -1.180682794299e+00       2.081781601236e-05       4.340743027435e-15       1.085185756859e-14       1.272786971038e-25       2.170371513718e-15      -8.855120957241e-01       2.081781601236e-05       5.913274169967e-01       7.048293259265e-01      -8.855120957241e-01       2.081781698689e-05      -1.180682794470e+00       2.081781555005e-05       1.962116033914e-08       3.333333333333e-01 
       7.083997512700e-03       1.628925468507e-08      -1.180690212867e+00       2.090976032657e-05       4.398457272528e-15       1.099614318132e-14       1.301111260011e-25       2.199228636264e-15      -8.855176596503e-01       2.090976032657e-05       5.913267657048e-01       7.048274715007e-01      -8.855176596503e-01       2.090976131405e-05      -1.180690213040e+00       2.090975985811e-05       1.979440708315e-08       3.333333333333e-01 
       7.115103304094e-03       1.636078157258e-08      -1.180698639203e+00       2.100172368549e-05       4.456684885606e-15       1.114171221401e-14       1.329938785364e-25       2.228342442803e-15      -8.855239794022e-01       2.100172368549e-05       5.913258693541e-01       7.048253651340e-01      -8.855239794022e-01       2.100172468604e-05      -1.180698639377e+00       2.100172321083e-05       1.996841210971e-08       3.333333333333e-01 
       7.146209095487e-03       1.643230846765e-08      -1.180707134311e+00       2.109368959271e-05       4.515424679208e-15       1.128856169802e-14       1.359275192076e-25       2.257712339604e-15      -8.855303507330e-01       2.109368959271e-05       5.913249378933e-01       7.048232415754e-01      -8.855303507330e-01       2.109369060644e-05      -1.180707134486e+00       2.109368911180e-05       2.014318005681e-08       3.333333333333e-01 
       7.214616284067e-03       1.658960890623e-08      -1.180724733459e+00       2.129592409671e-05       4.646411585817e-15       1.161602896454e-14       1.425612858298e-25       2.323205792908e-15      -8.855435500944e-01       2.129592409671e-05       5.913230808761e-01       7.048188422715e-01      -8.855435500944e-01       2.129592513983e-05      -1.180724733638e+00       2.129592360186e-05       2.053021240575e-08       3.333333333333e-01 
       7.283023472647e-03       1.674690938142e-08      -1.180741721650e+00       2.149815346714e-05       4.779906366540e-15       1.194976591635e-14       1.494515283176e-25       2.389953183270e-15      -8.855562912375e-01       2.149815346714e-05       5.913212750588e-01       7.048145957117e-01      -8.855562912375e-01       2.149815454021e-05      -1.180741721832e+00       2.149815295808e-05       2.092093782768e-08       3.333333333333e-01 
       7.351430661226e-03       1.690420989325e-08      -1.180758181594e+00       2.170037886787e-05       4.915933023662e-15       1.228983255916e-14       1.566056191846e-25       2.457966511831e-15      -8.855686361952e-01       2.170037886787e-05       5.913195044030e-01       7.048104812183e-01      -8.855686361952e-01       2.170037997147e-05      -1.180758181779e+00       2.170037834433e-05       2.131535597512e-08       3.333333333333e-01 
       7.419837849806e-03       1.706151044169e-08      -1.180774151014e+00       2.190260075605e-05       5.054515414902e-15       1.263628853725e-14       1.640310664597e-25       2.527257707451e-15      -8.855806132607e-01       2.190260075605e-05       5.913177641958e-01       7.048064893603e-01      -8.855806132607e-01       2.190260189073e-05      -1.180774151204e+00       2.190260021776e-05       2.171346692159e-08       3.333333333333e-01 
       7.590974153665e-03       1.745503407550e-08      -1.180812791514e+00       2.240850414041e-05       5.412565308988e-15       1.353141327247e-14       1.838468453734e-25       2.706282654494e-15      -8.856095936359e-01       2.240850414041e-05       5.913133588775e-01       7.047968304991e-01      -8.856095936359e-01       2.240850535543e-05      -1.180812791713e+00       2.240850356401e-05       2.272560822188e-08       3.333333333333e-01 
       7.762110457523e-03       1.784855793852e-08      -1.180849155905e+00       2.291439609952e-05       5.787134274703e-15       1.446783568676e-14       2.055329503411e-25       2.893567137351e-15      -8.856368669290e-01       2.291439609952e-05       5.913090278335e-01       7.047877406942e-01      -8.856368669290e-01       2.291439739858e-05      -1.180849156112e+00       2.291439548326e-05       2.376086056538e-08       3.333333333333e-01 
       7.933246761382e-03       1.824208203074e-08      -1.180883027948e+00       2.342026942929e-05       6.178592701972e-15       1.544648175493e-14       2.292186795311e-25       3.089296350986e-15      -8.856622709609e-01       2.342026942929e-05       5.913048770468e-01       7.047792740051e-01      -8.856622709609e-01       2.342027081617e-05      -1.180883028164e+00       2.342026877137e-05       2.481922332307e-08       3.333333333333e-01 
       8.104383065240e-03       1.863560635217e-08      -1.180914433307e+00       2.392612145713e-05       6.587311880832e-15       1.646827970208e-14       2.550391854551e-25       3.293655940416e-15      -8.856858249803e-01       2.392612145713e-05       5.913009466147e-01       7.047714240158e-01      -8.856858249803e-01       2.392612293571e-05      -1.180914433533e+00       2.392612075572e-05       2.590069573246e-08       3.333333333333e-01 
       8.275519369099e-03       1.902913090281e-08      -1.180943571512e+00       2.443195314643e-05       7.013663992873e-15       1.753415998218e-14       2.831356099654e-25       3.506831996437e-15      -8.857076786337e-01       2.443195314643e-05       5.912972285141e-01       7.047641408439e-01      -8.857076786337e-01       2.443195472065e-05      -1.180943571747e+00       2.443195239965e-05       2.700527683310e-08       3.333333333333e-01 
       8.690140100316e-03       1.998254403548e-08      -1.181005795852e+00       2.565737785545e-05       8.121994249611e-15       2.030498562403e-14       3.615562436262e-25       4.060997124806e-15      -8.857543468887e-01       2.565737785545e-05       5.912890592354e-01       7.047485882203e-01      -8.857543468887e-01       2.565737967831e-05      -1.181005796111e+00       2.565737699074e-05       2.977721089539e-08       3.333333333333e-01 
       9.104760831533e-03       2.093595851352e-08      -1.181058477938e+00       2.688271254579e-05       9.341306558962e-15       2.335326639740e-14       4.564623412482e-25       4.670653279481e-15      -8.857938584535e-01       2.688271254579e-05       5.912818356249e-01       7.047354213294e-01      -8.857938584535e-01       2.688271464218e-05      -1.181058478223e+00       2.688271155135e-05       3.268476769194e-08       3.333333333333e-01 
       9.519381562751e-03       2.188937433694e-08      -1.181103532680e+00       2.810797307516e-05       1.067689698133e-14       2.669224245332e-14       5.703262744015e-25       5.338448490663e-15      -8.858276495104e-01       2.810797307516e-05       5.912753937581e-01       7.047241614438e-01      -8.858276495104e-01       2.810797547115e-05      -1.181103532992e+00       2.810797193862e-05       3.572793781462e-08       3.333333333333e-01 
       9.934002293968e-03       2.284279150573e-08      -1.181142221082e+00       2.933316707196e-05       1.213405956844e-14       3.033514892111e-14       7.058559905342e-25       6.067029784222e-15      -8.858566658111e-01       2.933316707196e-05       5.912696494941e-01       7.047144933129e-01      -8.858566658111e-01       2.933316979482e-05      -1.181142221421e+00       2.933316578041e-05       3.890671618134e-08       3.333333333333e-01 
       1.034862302519e-02       2.379621001989e-08      -1.181175547009e+00       3.055830070883e-05       1.371808818219e-14       3.429522045546e-14       8.660058133063e-25       6.859044091093e-15      -8.858816602568e-01       3.055830070883e-05       5.912645330174e-01       7.047061659697e-01      -8.858816602568e-01       3.055830378701e-05      -1.181175547377e+00       3.055829924876e-05       4.222109710568e-08       3.333333333333e-01 
       1.076324375640e-02       2.474962987944e-08      -1.181204402519e+00       3.178338130526e-05       1.543427760129e-14       3.858569400324e-14       1.053987244592e-24       7.717138800647e-15      -8.859033018896e-01       3.178338130526e-05       5.912599673973e-01       7.046989564002e-01      -8.859033018896e-01       3.178338476840e-05      -1.181204402918e+00       3.178337966262e-05       4.567107331905e-08       3.333333333333e-01 
       1.183947623584e-02       2.722443141564e-08      -1.181263234146e+00       3.496312212729e-05       2.054360259111e-14       5.135900647777e-14       1.697484714682e-24       1.027180129555e-14      -8.859474256093e-01       3.496312212729e-05       5.912502153026e-01       7.046842604661e-01      -8.859474256093e-01       3.496312673650e-05      -1.181263234627e+00       3.496311994115e-05       5.525893263833e-08       3.333333333333e-01 
       1.291570871528e-02       2.969924201654e-08      -1.181305680773e+00       3.814263795725e-05       2.667166868241e-14       6.667917170602e-14       2.622723750419e-24       1.333583434120e-14      -8.859792605794e-01       3.814263795725e-05       5.912427681051e-01       7.046736619225e-01      -8.859792605794e-01       3.814264394099e-05      -1.181305681346e+00       3.814263511924e-05       6.576025773189e-08       3.333333333333e-01 
       1.399194119472e-02       3.217406168215e-08      -1.181337174073e+00       4.132198636841e-05       3.391108388182e-14       8.477770970456e-14       3.913497690699e-24       1.695554194091e-14      -8.860028805546e-01       4.132198636841e-05       5.912369846095e-01       7.046658028511e-01      -8.860028805546e-01       4.132199397594e-05      -1.181337174746e+00       4.132198276035e-05       7.717499166251e-08       3.333333333333e-01 
       1.506817367416e-02       3.464889041246e-08      -1.181361096152e+00       4.450120636426e-05       4.235445693581e-14       1.058861423395e-13       5.668777498207e-24       2.117722846791e-14      -8.860208221140e-01       4.450120636426e-05       5.912324126713e-01       7.046598377256e-01      -8.860208221140e-01       4.450121586559e-05      -1.181361096932e+00       4.450120185809e-05       8.950310981586e-08       3.333333333333e-01 
       1.614440615360e-02       3.712372820748e-08      -1.181379644355e+00       4.768032537558e-05       5.209439749194e-14       1.302359937298e-13       8.003976759251e-24       2.604719874597e-14      -8.860347332659e-01       4.768032537558e-05       5.912287503328e-01       7.046552172098e-01      -8.860347332660e-01       4.768033706149e-05      -1.181379645250e+00       4.768031983338e-05       1.027445861359e-07       3.333333333333e-01 
       1.722063863304e-02       3.959857506720e-08      -1.181394317308e+00       5.085936444329e-05       6.322351761934e-14       1.580587940483e-13       1.105221698464e-23       3.161175880967e-14      -8.860457379810e-01       5.085936444329e-05       5.912257891977e-01       7.046515666467e-01      -8.860457379811e-01       5.085937862536e-05      -1.181394318327e+00       5.085935771732e-05       1.168993880991e-07       3.333333333333e-01 
       1.964643100950e-02       4.517683119286e-08      -1.181418067936e+00       5.802459732364e-05       9.388413456389e-14       2.347103364097e-13       2.136167819505e-23       4.694206728194e-14      -8.860635509518e-01       5.802459732364e-05       5.912209207642e-01       7.046456730115e-01      -8.860635509519e-01       5.802461838245e-05      -1.181418069262e+00       5.802458733636e-05       1.521530600130e-07       3.333333333333e-01 
       2.207222338596e-02       5.075513337054e-08      -1.181433881531e+00       6.518961345873e-05       1.331333394341e-13       3.328333485851e-13       3.823476303615e-23       6.656666971703e-14      -8.860754111484e-01       6.518961345873e-05       5.912177570516e-01       7.046417694280e-01      -8.860754111485e-01       6.518964332043e-05      -1.181433883205e+00       6.518959929659e-05       1.920464303061e-07       3.333333333333e-01 
       2.449801576241e-02       5.633348160024e-08      -1.181445207469e+00       7.235447873327e-05       1.820316936102e-13       4.550792340256e-13       6.440088362451e-23       9.101584680511e-14      -8.860839056017e-01       7.235447873327e-05       5.912156429416e-01       7.046389935524e-01      -8.860839056019e-01       7.235451956179e-05      -1.181445209531e+00       7.235445936988e-05       2.365793903528e-07       3.333333333333e-01 
       2.692380813887e-02       6.191187588195e-08      -1.181453972267e+00       7.951924020270e-05       2.416398092520e-13       6.040995231301e-13       1.032590299500e-22       1.208199046260e-13      -8.860904792003e-01       7.951924020270e-05       5.912141642997e-01       7.046368637552e-01      -8.860904792006e-01       7.951929439977e-05      -1.181453974758e+00       7.951921449886e-05       2.857518940148e-07       3.333333333333e-01 
       2.934960051532e-02       6.749031621567e-08      -1.181461268595e+00       8.668393060147e-05       3.130183442088e-13       7.825458605221e-13       1.589513959428e-22       1.565091721044e-13      -8.860959514463e-01       8.668393060147e-05       5.912130821416e-01       7.046351068689e-01      -8.860959514468e-01       8.668400080659e-05      -1.181461271555e+00       8.668389730513e-05       3.395638892600e-07       3.333333333333e-01 
       3.177539289178e-02       7.306880260141e-08      -1.181467618253e+00       9.384856363093e-05       3.972279607823e-13       9.930699019558e-13       2.364369902859e-22       1.986139803912e-13      -8.861007136899e-01       9.384856363093e-05       5.912122829670e-01       7.046335924434e-01      -8.861007136906e-01       9.384865272142e-05      -1.181467621723e+00       9.384852137723e-05       3.980153120643e-07       3.333333333333e-01 
       3.497710126098e-02       8.043169884437e-08      -1.181475003749e+00       1.033048033194e-04       5.298136074111e-13       1.324534018528e-12       3.821107204957e-22       2.649068037056e-13      -8.861062528115e-01       1.033048033194e-04       5.912115461930e-01       7.046318512742e-01      -8.861062528125e-01       1.033049221437e-04      -1.181475007953e+00       1.033047469625e-04       4.822657164749e-07       3.333333333333e-01 
