# Matter power spectrum P(k) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.019204976993e-06       7.372386229763e+01 
       2.013438014409e-05       1.599051309416e+02 
       3.127868234905e-05       2.445114383652e+02 
       4.247442557899e-05       3.283941153871e+02 
       5.374419929777e-05       4.120135328978e+02 
       6.511101857491e-05       4.956991403592e+02 
       7.659847783023e-05       5.797217057637e+02 
       8.823090974742e-05       6.643222795495e+02 
       1.000335509225e-04       7.497265772926e+02 
       1.120327158298e-04       8.361532365661e+02 
       1.242559807030e-04       9.238191530675e+02 
       1.367323789378e-04       1.012943312568e+03 
       1.494926096110e-04       1.103749794046e+03 
       1.625692606757e-04       1.196470275993e+03 
       1.759970483069e-04       1.291346318118e+03 
       1.898130737261e-04       1.388631448694e+03 
       2.040570985940e-04       1.488593220194e+03 
       2.187718396958e-04       1.591515207189e+03 
       2.340032831118e-04       1.697699017710e+03 
       2.498010173128e-04       1.807466304879e+03 
       2.662185835800e-04       1.921160779460e+03 
       2.833138407498e-04       2.039150199145e+03 
       3.011493394298e-04       2.161828296180e+03 
       3.197926984326e-04       2.289616595598e+03 
       3.393169731301e-04       2.422966031308e+03 
       3.598010016445e-04       2.562358275163e+03 
       3.813297102150e-04       2.708306608869e+03 
       4.039943536983e-04       2.861356201824e+03 
       4.278926610814e-04       3.022083558290e+03 
       4.531288493575e-04       3.191094880814e+03 
       4.798134626171e-04       3.369023078056e+03 
       5.080629875164e-04       3.556523045431e+03 
       5.379991925169e-04       3.754264954560e+03 
       5.697481379765e-04       3.962925115048e+03 
       6.034388091171e-04       4.183174270182e+03 
       6.392013360914e-04       4.415663084091e+03 
       6.771647865580e-04       4.661004883262e+03 
       7.174545473443e-04       4.919756071776e+03 
       7.601893524407e-04       5.192394776212e+03 
       8.054780621013e-04       5.479298946492e+03 
       8.534163469723e-04       5.780725249625e+03 
       9.040834742503e-04       6.096790538882e+03 
       9.575394207352e-04       6.427457406849e+03 
       1.013822541642e-03       6.772525282652e+03 
