# Matter power spectrum P(k) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.019204976993e-06       7.364108975289e+01 
       2.013438014409e-05       1.597259897983e+02 
       3.127868234905e-05       2.442385653739e+02 
       4.247442557899e-05       3.280296592886e+02 
       5.374419929777e-05       4.115596019821e+02 
       6.511101857491e-05       4.951579657063e+02 
       7.659847783023e-05       5.790957303532e+02 
       8.823090974742e-05       6.636142216372e+02 
       1.000335509225e-04       7.489394844172e+02 
       1.120327158298e-04       8.352905371164e+02 
       1.242559807030e-04       9.228847087689e+02 
       1.367323789378e-04       1.011941473631e+03 
       1.494926096110e-04       1.102685457849e+03 
       1.625692606757e-04       1.195348949641e+03 
       1.759970483069e-04       1.290174184682e+03 
       1.898130737261e-04       1.387415436472e+03 
       2.040570985940e-04       1.487341073703e+03 
       2.187718396958e-04       1.590235557885e+03 
       2.340032831118e-04       1.696401451456e+03 
       2.498010173128e-04       1.806161422015e+03 
       2.662185835800e-04       1.919860241851e+03 
       2.833138407498e-04       2.037866756842e+03 
       3.011493394298e-04       2.160575784274e+03 
       3.197926984326e-04       2.288409889633e+03 
       3.393169731301e-04       2.421820947398e+03 
       3.598010016445e-04       2.561291399062e+03 
       3.813297102150e-04       2.707335037318e+03 
       4.039943536983e-04       2.860497180310e+03 
       4.278926610814e-04       3.021354003212e+03 
       4.531288493575e-04       3.190510782481e+03 
       4.798134626171e-04       3.368598795663e+03 
       5.080629875164e-04       3.556270527737e+03 
       5.379991925169e-04       3.754192950912e+03 
       5.697481379765e-04       3.963038478901e+03 
       6.034388091171e-04       4.183473495516e+03 
       6.392013360914e-04       4.416144242455e+03 
       6.771647865580e-04       4.661660127406e+03 
       7.174545473443e-04       4.920574818093e+03 
       7.601893524407e-04       5.193365552663e+03 
       8.054780621013e-04       5.480411692518e+03 
       8.534163469723e-04       5.781973612698e+03 
       9.040834742503e-04       6.098173513831e+03 
       9.575394207352e-04       6.428979636448e+03 
       1.013822541642e-03       6.774195610133e+03 
       1.072947998486e-03       7.133455945589e+03 
       1.134907093856e-03       7.506228792526e+03 
       1.199667581565e-03       7.891825592241e+03 
       1.237686565779e-03       8.116288379518e+03 
       1.267174929296e-03       8.289417522643e+03 
       1.337354422516e-03       8.698057029092e+03 
       1.410113927546e-03       9.116702731090e+03 
       1.485347088335e-03       9.544246437004e+03 
       1.562936719724e-03       9.979539621485e+03 
       1.642758176941e-03       1.042141901370e+04 
       1.724682519414e-03       1.086872937939e+04 
       1.808579336922e-03       1.132034288778e+04 
       1.894319158360e-03       1.177517573326e+04 
       1.981775410681e-03       1.223219943058e+04 
       2.070825933598e-03       1.269044936097e+04 
       2.161354082699e-03       1.314902961084e+04 
       2.253249470150e-03       1.360711559504e+04 
       2.346408399903e-03       1.406395482382e+04 
       2.440734055354e-03       1.451886334127e+04 
       2.536136493966e-03       1.497122643810e+04 
       2.632532497351e-03       1.542049178339e+04 
       2.729845318075e-03       1.586616895120e+04 
       2.828004357063e-03       1.630782005697e+04 
       2.926944798562e-03       1.674506233499e+04 
