# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       9.019204976993e-06      -1.300937574473e-03      -9.762231540388e-04      -9.762231781269e-04      -1.302097831708e-03      -9.763330282067e-04       4.322643636972e-01       4.321109953686e-01 
       2.013438014409e-05      -6.469516487269e-03      -4.865038879058e-03      -4.865039477104e-03      -6.474988559368e-03      -4.865582149334e-03       4.322605252742e-01       4.321076302383e-01 
       3.127868234905e-05      -1.555452527483e-02      -1.174090713525e-02      -1.174091061598e-02      -1.556641361948e-02      -1.174219996274e-02       4.322536650717e-01       4.321016041078e-01 
       4.247442557899e-05      -2.852705940676e-02      -2.164973269167e-02      -2.164974451501e-02      -2.854550354081e-02      -2.165206830325e-02       4.322437987781e-01       4.320929339150e-01 
       5.374419929777e-05      -4.534891943067e-02      -3.466180713995e-02      -3.466183740712e-02      -4.537120541882e-02      -3.466544556181e-02       4.322308698939e-01       4.320815652545e-01 
       6.511101857491e-05      -6.597050493177e-02      -5.087274297381e-02      -5.087280806672e-02      -6.599012538185e-02      -5.087789985548e-02       4.322147974586e-01       4.320674200882e-01 
       7.659847783023e-05      -9.032799022937e-02      -7.040479185128e-02      -7.040491627962e-02      -9.033363512114e-02      -7.041162605396e-02       4.321954924923e-01       4.320504130687e-01 
       8.823090974742e-05      -1.183397116184e-01      -9.340856745416e-02      -9.340878597071e-02      -1.183141756935e-01      -9.341716704909e-02       4.321728361018e-01       4.320304295068e-01 
       1.000335509225e-04      -1.499017103875e-01      -1.200652132884e-01      -1.200655733595e-01      -1.498206939187e-01      -1.200755795991e-01       4.321466883277e-01       4.320073340971e-01 
       1.120327158298e-04      -1.848823234833e-01      -1.505890569444e-01      -1.505896216388e-01      -1.847131260982e-01      -1.506010862001e-01       4.321168871972e-01       4.319809696815e-01 
       1.242559807030e-04      -2.231157627530e-01      -1.852308047324e-01      -1.852316561644e-01      -2.228158429784e-01      -1.852442669185e-01       4.320832446900e-01       4.319511529965e-01 
       1.367323789378e-04      -2.643945665565e-01      -2.242813444272e-01      -2.242825878393e-01      -2.639099777261e-01      -2.242958588193e-01       4.320455460359e-01       4.319176736063e-01 
       1.494926096110e-04      -3.084608873500e-01      -2.680762351085e-01      -2.680780037866e-01      -3.077245735448e-01      -2.680912420253e-01       4.320035490865e-01       4.318802928678e-01 
       1.625692606757e-04      -3.549965392655e-01      -3.170009742595e-01      -3.170034354060e-01      -3.539265205621e-01      -3.170157024632e-01       4.319569785249e-01       4.318387376167e-01 
       1.759970483069e-04      -4.036118590101e-01      -3.714971595652e-01      -3.715005213713e-01      -4.021093312930e-01      -3.715105888128e-01       4.319055287069e-01       4.317927023768e-01 
       1.898130737261e-04      -4.538335077245e-01      -4.320696621792e-01      -4.320741823906e-01      -4.517808783516e-01      -4.320804804772e-01       4.318488567269e-01       4.317418416746e-01 
       2.040570985940e-04      -5.050913798413e-01      -4.992949700710e-01      -4.993009661817e-01      -5.023504085892e-01      -4.993015250766e-01       4.317865830319e-01       4.316857697189e-01 
       2.187718396958e-04      -5.567053387014e-01      -5.738308601725e-01      -5.738387219822e-01      -5.531153443659e-01      -5.738311048463e-01       4.317182864459e-01       4.316240543544e-01 
       2.340032831118e-04      -6.078721704879e-01      -6.564275984230e-01      -6.564378028234e-01      -6.032487293863e-01      -6.564190304474e-01       4.316435021301e-01       4.315562137234e-01 
       2.498010173128e-04      -6.576544647230e-01      -7.479408784406e-01      -7.479540075739e-01      -6.517886057533e-01      -7.479204744276e-01       4.315617184513e-01       4.314817116680e-01 
       2.662185835800e-04      -7.049727629827e-01      -8.493467393076e-01      -8.493635022043e-01      -6.976311987900e-01      -8.493108844112e-01       4.314723741583e-01       4.313999532247e-01 
       2.833138407498e-04      -7.486037273231e-01      -9.617587204638e-01      -9.617799790027e-01      -7.395305510925e-01      -9.617031354506e-01       4.313748553223e-01       4.313102797175e-01 
       3.011493394298e-04      -7.871877190974e-01      -1.086447529110e+00      -1.086474329214e+00      -7.761081453427e-01      -1.086367198080e+00       4.312684921203e-01       4.312119635719e-01 
       3.197926984326e-04      -8.192502325697e-01      -1.224863506083e+00      -1.224897115112e+00      -8.058771322315e-01      -1.224752609508e+00       4.311525564024e-01       4.311042038935e-01 
       3.393169731301e-04      -8.432423876554e-01      -1.378662166602e+00      -1.378704116960e+00      -8.272868312883e-01      -1.378514025282e+00       4.310262585995e-01       4.309861215368e-01 
       3.598010016445e-04      -8.576075806188e-01      -1.549733072634e+00      -1.549785213631e+00      -8.387940916927e-01      -1.549540112123e+00       4.308887459855e-01       4.308567559199e-01 
       3.813297102150e-04      -8.608809346587e-01      -1.740232226447e+00      -1.740296786493e+00      -8.389683646083e-01      -1.739985973714e+00       4.307390991396e-01       4.307150607925e-01 
       4.039943536983e-04      -8.518259512740e-01      -1.952618105260e+00      -1.952697758831e+00      -8.266364558757e-01      -1.952309224670e+00       4.305763296815e-01       4.305599025481e-01 
       4.278926610814e-04      -8.296157207110e-01      -2.189691269726e+00      -2.189789220402e+00      -8.010697849936e-01      -2.189309661324e+00       4.303993767942e-01       4.303900591440e-01 
       4.531288493575e-04      -7.940503418795e-01      -2.454637304027e+00      -2.454757371038e+00      -7.622104012504e-01      -2.454172265095e+00       4.302071020573e-01       4.302042199841e-01 
       4.798134626171e-04      -7.458023818325e-01      -2.751072509881e+00      -2.751219229707e+00      -7.109205139214e-01      -2.750512977284e+00       4.299982835332e-01       4.300009883890e-01 
       5.080629875164e-04      -6.866541165497e-01      -3.083091402888e+00      -3.083270127799e+00      -6.492225951378e-01      -3.082426257385e+00       4.297716047671e-01       4.297788830663e-01 
       5.379991925169e-04      -6.196793480453e-01      -3.455314554872e+00      -3.455531561517e+00      -5.804733018371e-01      -3.454532977851e+00       4.295256432015e-01       4.295363432963e-01 
       5.697481379765e-04      -5.492839055990e-01      -3.872934715035e+00      -3.873197303681e+00      -5.093870628952e-01      -3.872026532744e+00       4.292588503286e-01       4.292717297812e-01 
       6.034388091171e-04      -4.810058110183e-01      -4.341758535830e+00      -4.342075121302e+00      -4.418022896346e-01      -4.340714469551e+00       4.289695323699e-01       4.289833282068e-01 
       6.392013360914e-04      -4.209638804777e-01      -4.868240503270e+00      -4.868620673017e+00      -3.840795284649e-01      -4.867052185996e+00       4.286558277935e-01       4.286693484329e-01 
       6.771647865580e-04      -3.748844531123e-01      -5.459505065668e+00      -5.459959609298e+00      -3.420599446565e-01      -5.458164687558e+00       4.283156879906e-01       4.283279201855e-01 
       7.174545473443e-04      -3.467319029813e-01      -6.123352656461e+00      -6.123893536249e+00      -3.196208773841e-01      -6.121852083975e+00       4.279468731109e-01       4.279570901106e-01 
       7.601893524407e-04      -3.371553940849e-01      -6.868245050003e+00      -6.868885341015e+00      -3.170588253783e-01      -6.866574389526e+00       4.275469671396e-01       4.275548167908e-01 
       8.054780621013e-04      -3.422135964479e-01      -7.703266248406e+00      -7.704019948163e+00      -3.297892373615e-01      -7.701411878652e+00       4.271134301283e-01       4.271189764038e-01 
       8.534163469723e-04      -3.530671632602e-01      -8.638055686384e+00      -8.638937562398e+00      -3.480870951106e-01      -8.635998249138e+00       4.266436906847e-01       4.266473834912e-01 
       9.040834742503e-04      -3.573785958292e-01      -9.682712967846e+00      -9.683738245395e+00      -3.586249902194e-01      -9.680425751721e+00       4.261352824070e-01       4.261378418444e-01 
       9.575394207352e-04      -3.427857339526e-01      -1.084767480436e+01      -1.084885896378e+01      -3.481719883107e-01      -1.084512347180e+01       4.255860039130e-01       4.255882290204e-01 
       1.013822541642e-03      -3.019218996165e-01      -1.214356845943e+01      -1.214492702130e+01      -3.088602760426e-01      -1.214071254844e+01       4.249940769998e-01       4.249966204666e-01 
       1.072947998486e-03      -2.371625673897e-01      -1.358104775217e+01      -1.358259618126e+01      -2.431005953272e-01      -1.357784396370e+01       4.243582517671e-01       4.243614301805e-01 
       1.134907093856e-03      -1.622863244396e-01      -1.517062059718e+01      -1.517237441027e+01      -1.652294954144e-01      -1.516702687088e+01       4.236778343728e-01       4.236815502654e-01 
       1.199667581565e-03      -9.852273240197e-02      -1.692247754038e+01      -1.692445270083e+01      -9.732753666472e-02      -1.691845605746e+01       4.229526127083e-01       4.229564358189e-01 
       1.237686565779e-03      -7.494829945980e-02      -1.799373913469e+01      -1.799584753377e+01      -7.121012326798e-02      -1.798945950454e+01       4.225206931867e-01       4.225243320354e-01 
       1.267174929296e-03      -6.489934223370e-02      -1.884633180956e+01      -1.884854536729e+01      -5.922739197089e-02      -1.884184894094e+01       4.221827273441e-01       4.221861172352e-01 
       1.337354422516e-03      -6.680780440377e-02      -2.095127911823e+01      -2.095375017954e+01      -5.685657701101e-02      -2.094630179962e+01       4.213685409368e-01       4.213711176599e-01 
       1.410113927546e-03      -8.994461025058e-02      -2.324568384714e+01      -2.324843482737e+01      -7.626091793345e-02      -2.324017419738e+01       4.205105772051e-01       4.205123051667e-01 
       1.485347088335e-03      -1.059077993852e-01      -2.573709627645e+01      -2.574015428155e+01      -8.953630792916e-02      -2.573100829663e+01       4.196095727753e-01       4.196107538929e-01 
       1.562936719724e-03      -8.904330029662e-02      -2.843220083088e+01      -2.843559906604e+01      -7.190260075848e-02      -2.842548287006e+01       4.186665802229e-01       4.186676562535e-01 
       1.642758176941e-03      -3.484785378334e-02      -3.133679562249e+01      -3.134057437844e+01      -1.979400609906e-02      -3.132939865990e+01       4.176830569272e-01       4.176843411295e-01 
       1.724682519414e-03       3.427419871290e-02      -3.445579826176e+01      -3.446000586396e+01       4.426869950164e-02      -3.444768595671e+01       4.166608374288e-01       4.166623484993e-01 
       1.808579336922e-03       8.350181589003e-02      -3.779327448860e+01      -3.779796729871e+01       8.696030561152e-02      -3.778442740177e+01       4.156019835758e-01       4.156034894217e-01 
       1.894319158360e-03       9.206509983007e-02      -4.135248497067e+01      -4.135772696972e+01       9.038623289683e-02      -4.134289551654e+01       4.145086109363e-01       4.145098401102e-01 
       1.981775410681e-03       7.084706656640e-02      -4.513594178999e+01      -4.514180335162e+01       6.812090636191e-02      -4.512560279790e+01       4.133827555666e-01       4.133836107810e-01 
       2.070825933598e-03       5.411539845917e-02      -4.914547261644e+01      -4.915202918786e+01       5.504404522736e-02      -4.913436889182e+01       4.122263840650e-01       4.122269957689e-01 
       2.161354082699e-03       6.971733742819e-02      -5.338228723003e+01      -5.338961763685e+01       7.701684926405e-02      -5.337039692710e+01       4.110414759199e-01       4.110420688328e-01 
       2.253249470150e-03       1.134187514033e-01      -5.784704443402e+01      -5.785522929915e+01       1.268407434334e-01      -5.783434890585e+01       4.098300884848e-01       4.098307889260e-01 
       2.346408399903e-03       1.524817263774e-01      -6.253991707884e+01      -6.254903781599e+01       1.702845124735e-01      -6.252640958350e+01       4.085943273104e-01       4.085950797777e-01 
       2.440734055354e-03       1.574834498432e-01      -6.746064743698e+01      -6.747078575934e+01       1.787380325341e-01      -6.744633137671e+01       4.073362034337e-01       4.073368566704e-01 
       2.536136493966e-03       1.325075064615e-01      -7.260860941178e+01      -7.261984789925e+01       1.575657883216e-01      -7.259348754234e+01       4.060575911673e-01       4.060580575642e-01 
       2.632532497351e-03       1.126599542289e-01      -7.798285087869e+01      -7.799527421162e+01       1.410195388316e-01      -7.796691632541e+01       4.047601788096e-01       4.047605129394e-01 
       2.729845318075e-03       1.293215235924e-01      -8.358214682343e+01      -8.359584374915e+01       1.573279324422e-01      -8.356538645719e+01       4.034455896832e-01       4.034459216994e-01 
       2.828004357063e-03       1.777333590642e-01      -8.940502596850e+01      -8.942009198941e+01       1.994394898785e-01      -8.938743481522e+01       4.021153782125e-01       4.021157821318e-01 
       2.926944798562e-03       2.213707876804e-01      -9.544982464063e+01      -9.546636416547e+01       2.328033230689e-01      -9.543141779208e+01       4.007711092015e-01       4.007715414002e-01 
       3.026607223423e-03       2.298034737527e-01      -1.017146958130e+02      -1.017328247372e+02       2.327759832364e-01      -1.016955079823e+02       3.994141942116e-01       3.994145549738e-01 
       3.126937216290e-03       2.101889708276e-01      -1.081976660101e+02      -1.082175124812e+02       2.114434083698e-01      -1.081777396627e+02       3.980459655906e-01       3.980462086554e-01 
       3.227884977962e-03       1.980637686789e-01      -1.148966227098e+02      -1.149183284753e+02       2.040239976158e-01      -1.148760005087e+02       3.966675526316e-01       3.966677269646e-01 
       3.329404950766e-03       2.173009385446e-01      -1.218093700882e+02      -1.218330895554e+02       2.294575541260e-01      -1.217880988185e+02       3.952800722636e-01       3.952802616557e-01 
       3.431455462131e-03       2.538624652704e-01      -1.289336306454e+02      -1.289595292634e+02       2.691960836998e-01      -1.289117726171e+02       3.938846007996e-01       3.938848358401e-01 
       3.533998389475e-03       2.731367896663e-01      -1.362670537464e+02      -1.362953072676e+02       2.883330129150e-01      -1.362446924631e+02       3.924821423970e-01       3.924823799372e-01 
       3.636998848055e-03       2.609731804180e-01      -1.438072575078e+02      -1.438380482520e+02       2.750240435128e-01      -1.437844872048e+02       3.910736654599e-01       3.910738487793e-01 
