# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.540039301059e-10       4.301391825062e-15       3.390439036756e-13       0.000000000000e+00       7.643672051381e-09       5.339357837903e-10      -1.844465493659e-12 
    3       1.427028336575e-10       5.320743186569e-15       3.861440120567e-13       0.000000000000e+00       4.750886693926e-09       3.746320431562e-10      -1.369234235350e-12 
    4       1.330271966107e-10       4.411027210871e-15       3.614872868767e-13       0.000000000000e+00       3.313117214830e-09       2.814231159623e-10      -8.644794859816e-13 
    5       1.259576564884e-10       2.816050320968e-15       3.066512434616e-13       0.000000000000e+00       2.475167730976e-09       2.210282995116e-10      -4.504749276669e-13 
    6       1.210849490358e-10       1.525990241127e-15       2.456567719854e-13       0.000000000000e+00       1.933403552307e-09       1.790362526903e-10      -1.564201943470e-13 
    7       1.178355493612e-10       8.339435479598e-16       1.921441975089e-13       0.000000000000e+00       1.558535217055e-09       1.483876914856e-10       2.048396938983e-14 
    8       1.157979473307e-10       5.640467790697e-16       1.518067187369e-13       0.000000000000e+00       1.286761317801e-09       1.253016751577e-10       1.003810085337e-13 
    9       1.146835950251e-10       4.593021348568e-16       1.255726045844e-13       0.000000000000e+00       1.082939267298e-09       1.074880290106e-10       1.114153147859e-13 
   10       1.141902520220e-10       3.839230777581e-16       1.117806332421e-13       0.000000000000e+00       9.256819299430e-10       9.338256559227e-11       8.288563618561e-14 
   11       1.142040605754e-10       3.193787018103e-16       1.075380594536e-13       0.000000000000e+00       7.838740400717e-10       8.226096833518e-11       4.047339973495e-14 
   12       1.146177468910e-10       2.831772456603e-16       1.096654852249e-13       0.000000000000e+00       6.848988685122e-10       7.268736027138e-11       1.302528990071e-15 
   13       1.152970719618e-10       2.781486755921e-16       1.154864730926e-13       0.000000000000e+00       6.036305255835e-10       6.480923470333e-11      -2.458575995581e-14 
   14       1.162586069068e-10       2.926083195983e-16       1.230964348413e-13       0.000000000000e+00       5.359953611989e-10       5.802894196134e-11      -3.510241167175e-14 
   15       1.173735150431e-10       3.183262607028e-16       1.313067638124e-13       0.000000000000e+00       4.790546323709e-10       5.227579922612e-11      -3.279745287575e-14 
   16       1.186779377108e-10       3.573005039036e-16       1.396269136058e-13       0.000000000000e+00       4.306349389835e-10       4.732640828981e-11      -2.314390066878e-14 
   17       1.201177362456e-10       4.153363499179e-16       1.480190343407e-13       0.000000000000e+00       3.890941048792e-10       4.306580361992e-11      -1.182568157411e-14 
   18       1.216617445156e-10       4.948468048489e-16       1.567439093766e-13       0.000000000000e+00       3.530368061062e-10       3.934207851338e-11      -3.301383583490e-15 
   19       1.233260400377e-10       5.948597339436e-16       1.659933360427e-13       0.000000000000e+00       3.218888888796e-10       3.608467850781e-11       8.189622293871e-16 
   20       1.250763230691e-10       7.129753425034e-16       1.758599349294e-13       0.000000000000e+00       2.944548978876e-10       3.317860994212e-11       1.766428990070e-16 
   21       1.269108964085e-10       8.492766883988e-16       1.861955027756e-13       0.000000000000e+00       2.703047513574e-10       3.060594377398e-11      -3.817303780209e-15 
   22       1.288072790006e-10       1.004310626042e-15       1.966898114123e-13       0.000000000000e+00       2.488604521480e-10       2.833399215226e-11      -8.796683295593e-15 
   23       1.307713939748e-10       1.177823843353e-15       2.069647972840e-13       0.000000000000e+00       2.298276548208e-10       2.630930925493e-11      -1.309821627824e-14 
   24       1.327953552602e-10       1.369355643596e-15       2.165889018953e-13       0.000000000000e+00       2.127672395221e-10       2.445158296137e-11      -1.531577622106e-14 
   25       1.348753546864e-10       1.580053358497e-15       2.253001108040e-13       0.000000000000e+00       1.974786499716e-10       2.275924661553e-11      -1.528470412733e-14 
   26       1.369953445039e-10       1.811695344583e-15       2.329158677343e-13       0.000000000000e+00       1.836851393976e-10       2.123822930833e-11      -1.344236247176e-14 
   27       1.391634450767e-10       2.066144653987e-15       2.394469476812e-13       0.000000000000e+00       1.712212034298e-10       1.987429104795e-11      -1.076828289348e-14 
   28       1.413840120522e-10       2.345273749625e-15       2.449833996557e-13       0.000000000000e+00       1.598719720899e-10       1.863731972932e-11      -8.432587098987e-15 
   29       1.436604318035e-10       2.650373488638e-15       2.495799283806e-13       0.000000000000e+00       1.495794532577e-10       1.751686086054e-11      -6.845829464333e-15 
   30       1.459814081023e-10       2.982522043160e-15       2.533046300888e-13       0.000000000000e+00       1.402331324338e-10       1.649652549859e-11      -6.202765018297e-15 
   31       1.483249703812e-10       3.342729555005e-15       2.562185329645e-13       0.000000000000e+00       1.316423867221e-10       1.555122298279e-11      -6.605772722193e-15 
   32       1.506954558208e-10       3.731916317033e-15       2.582296817340e-13       0.000000000000e+00       1.237627653394e-10       1.467684486493e-11      -7.705168963578e-15 
   33       1.530977458354e-10       4.150912892728e-15       2.591820798769e-13       0.000000000000e+00       1.165384398553e-10       1.386997449287e-11      -8.907323133003e-15 
   34       1.555300358879e-10       4.600520571381e-15       2.589091602989e-13       0.000000000000e+00       1.098681991461e-10       1.312237860389e-11      -9.607875772304e-15 
   35       1.579964205495e-10       5.081729968798e-15       2.572968376348e-13       0.000000000000e+00       1.037177893857e-10       1.243133274718e-11      -9.722011394041e-15 
   36       1.604969972871e-10       5.595573208988e-15       2.542408171325e-13       0.000000000000e+00       9.803775144310e-11       1.179192386716e-11      -9.338078396703e-15 
   37       1.630273369942e-10       6.143012651723e-15       2.496513494254e-13       0.000000000000e+00       9.275404114324e-11       1.119644636226e-11      -8.584606082936e-15 
   38       1.655911743685e-10       6.724762631181e-15       2.435284081826e-13       0.000000000000e+00       8.785294239832e-11       1.064338515318e-11      -7.643444487528e-15 
   39       1.681907143930e-10       7.341400969845e-15       2.359124818279e-13       0.000000000000e+00       8.331886131249e-11       1.013079726321e-11      -6.746108728273e-15 
   40       1.708224740716e-10       7.993408834619e-15       2.268661243329e-13       0.000000000000e+00       7.910850096943e-11       9.653551449866e-12      -6.174276666844e-15 
   41       1.734797627187e-10       8.681261093850e-15       2.164481843327e-13       0.000000000000e+00       7.516592520050e-11       9.205141226049e-12      -6.172659339666e-15 
   42       1.761625246149e-10       9.405747492076e-15       2.046232697028e-13       0.000000000000e+00       7.147945496440e-11       8.784501171299e-12      -6.646039021187e-15 
   43       1.788696987247e-10       1.016774571678e-14       1.913250043141e-13       0.000000000000e+00       6.803922751961e-11       8.390942252109e-12      -7.368830504081e-15 
   44       1.815960430568e-10       1.096813443623e-14       1.764800106653e-13       0.000000000000e+00       6.482012347775e-11       8.022121207454e-12      -8.063758611351e-15 
   45       1.843354608070e-10       1.180770706356e-14       1.600153276750e-13       0.000000000000e+00       6.179071872968e-11       7.674935995026e-12      -8.472455506591e-15 
   46       1.870930688661e-10       1.268688116285e-14       1.418846293104e-13       0.000000000000e+00       5.894619224655e-11       7.348846917781e-12      -8.599714631873e-15 
   47       1.898760845596e-10       1.360590299159e-14       1.220488909030e-13       0.000000000000e+00       5.628319148796e-11       7.043320599719e-12      -8.536994153694e-15 
   48       1.926902633235e-10       1.456492228676e-14       1.004689929922e-13       0.000000000000e+00       5.378990851355e-11       6.756814139313e-12      -8.396183107679e-15 
   49       1.955397286188e-10       1.556398775528e-14       7.710562032637e-14       0.000000000000e+00       5.144545152412e-11       6.486700482621e-12      -8.310750303632e-15 
   50       1.984267312044e-10       1.660312060222e-14       5.192203143735e-14       0.000000000000e+00       4.922612594989e-11       6.230059217778e-12      -8.401837968398e-15 
   51       2.013512445245e-10       1.768256910656e-14       2.489348795084e-14       0.000000000000e+00       4.712774568756e-11       5.986475147132e-12      -8.663027180490e-15 
   52       2.043109654902e-10       1.880261535214e-14      -3.999789828281e-15       0.000000000000e+00       4.514829166684e-11       5.755870358723e-12      -9.046279268112e-15 
   53       2.073012062245e-10       1.996350241221e-14      -3.477523651312e-14       0.000000000000e+00       4.328123550586e-11       5.537672101130e-12      -9.493768378987e-15 
   54       2.103147206521e-10       2.116543351223e-14      -6.744790754866e-14       0.000000000000e+00       4.151523620763e-11       5.330778882297e-12      -9.937380726008e-15 
   55       2.133443434631e-10       2.240853006812e-14      -1.020279877049e-13       0.000000000000e+00       3.983759077420e-11       5.133926214753e-12      -1.031321037123e-14 
   56       2.163920719703e-10       2.369269551185e-14      -1.385126698427e-13       0.000000000000e+00       3.824628470543e-11       4.946967914432e-12      -1.061041071586e-14 
   57       2.194619366386e-10       2.501771617088e-14      -1.768921989544e-13       0.000000000000e+00       3.674040384272e-11       4.769853723408e-12      -1.083360165858e-14 
   58       2.225573239315e-10       2.638329704252e-14      -2.171520258205e-13       0.000000000000e+00       3.531648910351e-11       4.602239619607e-12      -1.098901802683e-14 
   59       2.256809124741e-10       2.778905935453e-14      -2.592726771795e-13       0.000000000000e+00       3.396837943421e-11       4.443469486266e-12      -1.108459310321e-14 
   60       2.288346092155e-10       2.923453812574e-14      -3.032296258985e-13       0.000000000000e+00       3.268705476311e-11       4.292556781391e-12      -1.113004215181e-14 
   61       2.320197859042e-10       3.071919207001e-14      -3.489993119825e-13       0.000000000000e+00       3.146313491763e-11       4.148459925615e-12      -1.113511184750e-14 
   62       2.352381949564e-10       3.224244142488e-14      -3.965790785991e-13       0.000000000000e+00       3.029538711640e-11       4.011022167751e-12      -1.110368043631e-14 
   63       2.384911468200e-10       3.380363432382e-14      -4.459715008883e-13       0.000000000000e+00       2.918385808285e-11       3.880211114367e-12      -1.103847548495e-14 
   64       2.417791745691e-10       3.540203319486e-14      -4.971786940301e-13       0.000000000000e+00       2.812731525354e-11       3.755834794559e-12      -1.094281595082e-14 
   65       2.451019795962e-10       3.703681271283e-14      -5.502023785763e-13       0.000000000000e+00       2.712317400285e-11       3.637532648867e-12      -1.082063751387e-14 
   66       2.484583773035e-10       3.870705775156e-14      -6.050439457822e-13       0.000000000000e+00       2.616742486766e-11       3.524766518202e-12      -1.067651790846e-14 
   67       2.518462427942e-10       4.041176133616e-14      -6.617045229382e-13       0.000000000000e+00       2.525456077199e-11       3.416811632762e-12      -1.051570225518e-14 
   68       2.552634365508e-10       4.214987761722e-14      -7.201799238001e-13       0.000000000000e+00       2.437904416241e-11       3.312950625915e-12      -1.034348795440e-14 
   69       2.587109206711e-10       4.392049783548e-14      -7.804441657103e-13       0.000000000000e+00       2.354021629671e-11       3.213121368567e-12      -1.016317801178e-14 
   70       2.621901794026e-10       4.572270649741e-14      -8.424627146312e-13       0.000000000000e+00       2.273825654016e-11       3.117384818326e-12      -9.977756604411e-15 
   71       2.657022663041e-10       4.755552887878e-14      -9.061972402255e-13       0.000000000000e+00       2.197269767709e-11       3.025729858947e-12      -9.790501617625e-15 
   72       2.692477750006e-10       4.941793038419e-14      -9.716055503729e-13       0.000000000000e+00       2.124239251950e-11       2.938069481702e-12      -9.604993597356e-15 
   73       2.728268099389e-10       5.130881590646e-14      -1.038641525686e-12       0.000000000000e+00       2.054548051561e-11       2.854236966759e-12      -9.425124702491e-15 
   74       2.764389571421e-10       5.322702918609e-14      -1.107255054024e-12       0.000000000000e+00       1.987935435846e-11       2.773982064556e-12      -9.255107657225e-15 
   75       2.800832549649e-10       5.517135217070e-14      -1.177391965012e-12       0.000000000000e+00       1.924062659449e-11       2.696967177176e-12      -9.099484703413e-15 
   76       2.837587151072e-10       5.714049898056e-14      -1.248998810605e-12       0.000000000000e+00       1.862596823853e-11       2.622852424949e-12      -8.962026903972e-15 
   77       2.874660599887e-10       5.913309795066e-14      -1.322038357985e-12       0.000000000000e+00       1.803487498217e-11       2.551577196193e-12      -8.842180538070e-15 
   78       2.912062505325e-10       6.114770513496e-14      -1.396476816021e-12       0.000000000000e+00       1.746734709493e-11       2.483123240293e-12      -8.737985942889e-15 
   79       2.949799463422e-10       6.318280867075e-14      -1.472279273196e-12       0.000000000000e+00       1.692304690865e-11       2.417428373546e-12      -8.647116095821e-15 
   80       2.987874877406e-10       6.523682802755e-14      -1.549409731494e-12       0.000000000000e+00       1.640128330720e-11       2.354384483203e-12      -8.566862812571e-15 
   81       3.026288778079e-10       6.730811325588e-14      -1.627831140285e-12       0.000000000000e+00       1.590099621629e-11       2.293835531505e-12      -8.494122945258e-15 
   82       3.065037644207e-10       6.939494423615e-14      -1.707505430220e-12       0.000000000000e+00       1.542074109323e-11       2.235575559727e-12      -8.425384580521e-15 
   83       3.104114222902e-10       7.149552992747e-14      -1.788393547109e-12       0.000000000000e+00       1.495867341669e-11       2.179346692208e-12      -8.356713237622e-15 
   84       3.143511060581e-10       7.360804921584e-14      -1.870453326939e-12       0.000000000000e+00       1.451299552491e-11       2.124902806363e-12      -8.284658017953e-15 
   85       3.183232161833e-10       7.573078288471e-14      -1.953632641904e-12       0.000000000000e+00       1.408341621705e-11       2.072217042399e-12      -8.209172886199e-15 
   86       3.223282943017e-10       7.786200224682e-14      -2.037875174978e-12       0.000000000000e+00       1.366990581061e-11       2.021305194764e-12      -8.131156622306e-15 
   87       3.263666578015e-10       7.999992943883e-14      -2.123122475407e-12       0.000000000000e+00       1.327224768145e-11       1.972162225616e-12      -8.051577563689e-15 
   88       3.304383880981e-10       8.214273736933e-14      -2.209313956317e-12       0.000000000000e+00       1.289003052408e-11       1.924761372497e-12      -7.971475264704e-15 
   89       3.345433189090e-10       8.428854966677e-14      -2.296386892317e-12       0.000000000000e+00       1.252264061203e-11       1.879053255998e-12      -7.891962156122e-15 
   90       3.386810245284e-10       8.643544062749e-14      -2.384276417102e-12       0.000000000000e+00       1.216925405818e-11       1.834964987427e-12      -7.814225204594e-15 
   91       3.428508081023e-10       8.858143516367e-14      -2.472915521057e-12       0.000000000000e+00       1.182882907506e-11       1.792399276482e-12      -7.739527572130e-15 
   92       3.470516899030e-10       9.072450875137e-14      -2.562235048865e-12       0.000000000000e+00       1.150009823523e-11       1.751233538912e-12      -7.669210275569e-15 
   93       3.512827113181e-10       9.286262759795e-14      -2.652165344165e-12       0.000000000000e+00       1.118186823980e-11       1.711349954426e-12      -7.604357941413e-15 
   94       3.555439245832e-10       9.499387616804e-14      -2.742641471698e-12       0.000000000000e+00       1.087398760791e-11       1.672732749816e-12      -7.544734961367e-15 
   95       3.598355309190e-10       9.711634883060e-14      -2.833598779800e-12       0.000000000000e+00       1.057651089520e-11       1.635383965472e-12      -7.489691658216e-15 
   96       3.641575707882e-10       9.922811184173e-14      -2.924971343265e-12       0.000000000000e+00       1.028940068211e-11       1.599293347611e-12      -7.438483022055e-15 
   97       3.685099165043e-10       1.013272038448e-13      -3.016691983561e-12       0.000000000000e+00       1.001252405531e-11       1.564437880800e-12      -7.390265758853e-15 
   98       3.728922648400e-10       1.034116363704e-13      -3.108692289042e-12       0.000000000000e+00       9.745649089207e-12       1.530781320470e-12      -7.344095339019e-15 
   99       3.773041296359e-10       1.054793943365e-13      -3.200902635160e-12       0.000000000000e+00       9.488441327362e-12       1.498273725433e-12      -7.298923045963e-15 
  100       3.817448344089e-10       1.075284365487e-13      -3.293252204682e-12       0.000000000000e+00       9.240460263931e-12       1.466850990402e-12      -7.253593024663e-15 
  101       3.862135049612e-10       1.095566961999e-13      -3.385669007898e-12       0.000000000000e+00       9.001155825126e-12       1.436434378503e-12      -7.206839330224e-15 
  102       3.907090619883e-10       1.115620813707e-13      -3.478079902839e-12       0.000000000000e+00       8.769864850661e-12       1.406930053799e-12      -7.157282976447e-15 
  103       3.952302136879e-10       1.135424755293e-13      -3.570410615486e-12       0.000000000000e+00       8.545807575198e-12       1.378228613803e-12      -7.103428984391e-15 
  104       3.997757200268e-10       1.154957885110e-13      -3.662586275885e-12       0.000000000000e+00       8.328263855773e-12       1.350230504096e-12      -7.044025500512e-15 
  105       4.043452421179e-10       1.174201162221e-13      -3.754533065424e-12       0.000000000000e+00       8.117136544387e-12       1.322927179019e-12      -6.979202756969e-15 
  106       4.089385943358e-10       1.193136035421e-13      -3.846176830796e-12       0.000000000000e+00       7.912458013540e-12       1.296330084122e-12      -6.909483182184e-15 
  107       4.135554785520e-10       1.211743968135e-13      -3.937442613544e-12       0.000000000000e+00       7.714215681475e-12       1.270445572250e-12      -6.835434085427e-15 
  108       4.181954797282e-10       1.230006448960e-13      -4.028254675940e-12       0.000000000000e+00       7.522350468861e-12       1.245274720474e-12      -6.757668684170e-15 
  109       4.228580615102e-10       1.247905002218e-13      -4.118536526872e-12       0.000000000000e+00       7.336755255472e-12       1.220813147028e-12      -6.676847131434e-15 
  110       4.275425618222e-10       1.265421198501e-13      -4.208210947722e-12       0.000000000000e+00       7.157273336863e-12       1.197050828245e-12      -6.593677543143e-15 
  111       4.322481884599e-10       1.282536665218e-13      -4.297200018252e-12       0.000000000000e+00       6.983696881051e-12       1.173971915494e-12      -6.508917025468e-15 
  112       4.369740146851e-10       1.299233097145e-13      -4.385425142484e-12       0.000000000000e+00       6.815765385195e-12       1.151554552114e-12      -6.423372702187e-15 
  113       4.417189748189e-10       1.315492266974e-13      -4.472807074584e-12       0.000000000000e+00       6.653164132272e-12       1.129770690353e-12      -6.337902742025e-15 
  114       4.464818598359e-10       1.331296035857e-13      -4.559265944742e-12       0.000000000000e+00       6.495522647757e-12       1.108585908300e-12      -6.253417386014e-15 
  115       4.512613129579e-10       1.346626363957e-13      -4.644721285059e-12       0.000000000000e+00       6.342413156304e-12       1.087959226823e-12      -6.170879974835e-15 
  116       4.560560105069e-10       1.361465827162e-13      -4.729092981223e-12       0.000000000000e+00       6.193444053343e-12       1.067852399330e-12      -6.091109763310e-15 
  117       4.608652388299e-10       1.375799215953e-13      -4.812304203493e-12       0.000000000000e+00       6.048556512029e-12       1.048259453774e-12      -6.014160969451e-15 
  118       4.656883795697e-10       1.389612151640e-13      -4.894278882331e-12       0.000000000000e+00       5.907761207842e-12       1.029180415350e-12      -5.939869807273e-15 
  119       4.705247279437e-10       1.402890612448e-13      -4.974940848186e-12       0.000000000000e+00       5.771045834807e-12       1.010612056824e-12      -5.868045227166e-15 
  120       4.753734899759e-10       1.415620948543e-13      -5.054213865565e-12       0.000000000000e+00       5.638374402271e-12       9.925477992235e-13      -5.798468190701e-15 
  121       4.802337797290e-10       1.427789897053e-13      -5.132021667093e-12       0.000000000000e+00       5.509686531679e-12       9.749776125326e-13      -5.730890945433e-15 
  122       4.851046165357e-10       1.439384597090e-13      -5.208287987593e-12       0.000000000000e+00       5.384896753350e-12       9.578879163811e-13      -5.665036299709e-15 
  123       4.899849222311e-10       1.450392604777e-13      -5.282936598143e-12       0.000000000000e+00       5.263893803254e-12       9.412614807382e-13      -5.600596897470e-15 
  124       4.948735183840e-10       1.460801908267e-13      -5.355891340150e-12       0.000000000000e+00       5.146539919782e-12       9.250773266043e-13      -5.537234493058e-15 
  125       4.997691235293e-10       1.470600942772e-13      -5.427076159418e-12       0.000000000000e+00       5.032670140525e-12       9.093106267029e-13      -5.474579226022e-15 
  126       5.046703503994e-10       1.479778605580e-13      -5.496415140212e-12       0.000000000000e+00       4.922091599053e-12       8.939326061730e-13      -5.412228895922e-15 
  127       5.095757031562e-10       1.488324271082e-13      -5.563832539333e-12       0.000000000000e+00       4.814582821683e-12       8.789104432608e-13      -5.349748237133e-15 
  128       5.144835746231e-10       1.496227805794e-13      -5.629252820179e-12       0.000000000000e+00       4.709893024259e-12       8.642071700123e-13      -5.286668193653e-15 
  129       5.193924066468e-10       1.503479994588e-13      -5.692601459827e-12       0.000000000000e+00       4.607795828749e-12       8.497900647847e-13      -5.222592801954e-15 
  130       5.243011969533e-10       1.510073840333e-13      -5.753807398004e-12       0.000000000000e+00       4.508258569227e-12       8.356570816456e-13      -5.157534636667e-15 
  131       5.292090429223e-10       1.516003435878e-13      -5.812800922406e-12       0.000000000000e+00       4.411290316478e-12       8.218131461369e-13      -5.091614964530e-15 
  132       5.341149818560e-10       1.521263583419e-13      -5.869512958972e-12       0.000000000000e+00       4.316888812317e-12       8.082618851853e-13      -5.024959479333e-15 
  133       5.390179893785e-10       1.525849812461e-13      -5.923875111492e-12       0.000000000000e+00       4.225040155783e-12       7.950055885585e-13      -4.957698346726e-15 
  134       5.439169778346e-10       1.529758397787e-13      -5.975819701201e-12       0.000000000000e+00       4.135718489317e-12       7.820451703224e-13      -4.889966249031e-15 
  135       5.488107946892e-10       1.532986377420e-13      -6.025279806381e-12       0.000000000000e+00       4.048885684946e-12       7.693801302969e-13      -4.821902430046e-15 
  136       5.536982209264e-10       1.535531570592e-13      -6.072189301959e-12       0.000000000000e+00       3.964491030469e-12       7.570085155128e-13      -4.753650739859e-15 
  137       5.585779694484e-10       1.537392595708e-13      -6.116482899107e-12       0.000000000000e+00       3.882470915639e-12       7.449268816681e-13      -4.685359679657e-15 
  138       5.634486834750e-10       1.538568888314e-13      -6.158096184843e-12       0.000000000000e+00       3.802748518348e-12       7.331302545842e-13      -4.617182446529e-15 
  139       5.683089349428e-10       1.539060719059e-13      -6.196965661628e-12       0.000000000000e+00       3.725233490811e-12       7.216120916629e-13      -4.549276978282e-15 
  140       5.731572229037e-10       1.538869211663e-13      -6.233028786966e-12       0.000000000000e+00       3.649821645749e-12       7.103642433425e-13      -4.481805998249e-15 
  141       5.779919719248e-10       1.537996360883e-13      -6.266224013005e-12       0.000000000000e+00       3.576394642572e-12       6.993769145543e-13      -4.414937060094e-15 
  142       5.828115304871e-10       1.536445050478e-13      -6.296490826135e-12       0.000000000000e+00       3.504819673566e-12       6.886386261791e-13      -4.348842592626e-15 
  143       5.876141693848e-10       1.534219071175e-13      -6.323769786588e-12       0.000000000000e+00       3.434949150072e-12       6.781361765038e-13      -4.283699944604e-15 
  144       5.923982181265e-10       1.531323256095e-13      -6.348003114569e-12       0.000000000000e+00       3.366651541178e-12       6.678574367365e-13      -4.219654544400e-15 
  145       5.971624926741e-10       1.527763864145e-13      -6.369136430180e-12       0.000000000000e+00       3.299907978795e-12       6.578001295347e-13      -4.156705191010e-15 
  146       6.019059070261e-10       1.523548268752e-13      -6.387117261102e-12       0.000000000000e+00       3.234724624335e-12       6.479638466819e-13      -4.094807486806e-15 
  147       6.066273382020e-10       1.518684862272e-13      -6.401894553832e-12       0.000000000000e+00       3.171102237820e-12       6.383472706827e-13      -4.033909541520e-15 
  148       6.113256254344e-10       1.513183074632e-13      -6.413418716421e-12       0.000000000000e+00       3.109036043108e-12       6.289481525064e-13      -3.973951805074e-15 
  149       6.159995693611e-10       1.507053391968e-13      -6.421641661218e-12       0.000000000000e+00       3.048515593113e-12       6.197632893318e-13      -3.914866900400e-15 
  150       6.206479312176e-10       1.500307375267e-13      -6.426516847604e-12       0.000000000000e+00       2.989524635024e-12       6.107885022909e-13      -3.856579456269e-15 
  151       6.252694320290e-10       1.492957679011e-13      -6.427999324740e-12       0.000000000000e+00       2.932040975528e-12       6.020186142132e-13      -3.799005940115e-15 
  152       6.298627518028e-10       1.485018069812e-13      -6.426045774301e-12       0.000000000000e+00       2.876036346034e-12       5.934474273699e-13      -3.742054490863e-15 
