# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.292660742208e-10       4.159193305279e-15       3.673277068221e-13       0.000000000000e+00       8.688122627022e-09       3.917377877241e-10      -1.862828943666e-12 
    3       1.239245379493e-10       5.414355170923e-15       4.070462685603e-13       0.000000000000e+00       5.331481490926e-09       2.817559757398e-10      -1.422822985006e-12 
    4       1.183745843937e-10       4.782289678271e-15       3.791735796246e-13       0.000000000000e+00       3.710859068279e-09       2.150930639473e-10      -9.472697813575e-13 
    5       1.141405610795e-10       3.263327457419e-15       3.229011152530e-13       0.000000000000e+00       2.772583981412e-09       1.707189098192e-10      -5.427834605996e-13 
    6       1.112493373880e-10       1.856915112298e-15       2.603956237553e-13       0.000000000000e+00       2.167616319860e-09       1.393869394660e-10      -2.398379143519e-13 
    7       1.094666896378e-10       1.000000593644e-15       2.046278640926e-13       0.000000000000e+00       1.750208790928e-09       1.163490347745e-10      -4.144459204882e-14 
    8       1.085046682929e-10       6.270546263952e-16       1.613800557347e-13       0.000000000000e+00       1.447372139029e-09       9.884318212397e-11       6.516927148310e-14 
    9       1.081295658572e-10       4.950233611677e-16       1.320749424001e-13       0.000000000000e+00       1.219093740110e-09       8.515786334243e-11       1.011827606171e-13 
   10       1.082679203025e-10       4.246263498182e-16       1.154403636153e-13       0.000000000000e+00       1.042044400355e-09       7.422488254350e-11       9.077813867544e-14 
   11       1.087372297852e-10       3.594486272273e-16       1.088578237439e-13       0.000000000000e+00       8.758763351034e-10       6.558926497906e-11       5.705636135618e-14 
   12       1.094577325773e-10       3.110363934239e-16       1.094560200302e-13       0.000000000000e+00       7.655591663019e-10       5.828505534011e-11       1.812804730232e-14 
   13       1.104442250631e-10       2.940337077489e-16       1.145458488673e-13       0.000000000000e+00       6.749905030019e-10       5.201345173811e-11      -1.410700296536e-14 
   14       1.115755941208e-10       3.037313578108e-16       1.219348191294e-13       0.000000000000e+00       5.996230822511e-10       4.678244690059e-11      -3.337455402139e-14 
