#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.011855514020e-01       1.461581566753e-06      -1.215216007159e+00       2.127429051954e-07       3.562366998971e-13       8.905917497428e-13       8.388819192015e-22       1.781183499486e-13      -9.114120053691e-01       2.127429051954e-07       6.076698853491e-01       6.961960230944e-01      -9.114120053691e-01       2.127429147546e-07      -1.215216007328e+00       2.127429005180e-07       1.992777167056e-08       3.333333333333e-01      -1.215216007159e+00       2.127429005327e-07       1.990724044392e-08       3.333333333333e-01 
       7.014500412642e-01       1.462133606858e-06      -1.215216458702e+00       2.128231263137e-07       3.566402785570e-13       8.916006963924e-13       8.404668140335e-22       1.783201392785e-13      -9.114123440267e-01       2.128231263137e-07       6.076699103534e-01       6.961959102272e-01      -9.114123440267e-01       2.128231358838e-07      -1.215216458871e+00       2.128231216310e-07       1.994279669444e-08       3.333333333333e-01      -1.215216458702e+00       2.128231216457e-07       1.992224998780e-08       3.333333333333e-01 
       7.017145311263e-01       1.462685647510e-06      -1.215216915170e+00       2.129033482765e-07       3.570441635896e-13       8.926104089739e-13       8.420541080189e-22       1.785220817948e-13      -9.114126863773e-01       2.129033482765e-07       6.076699341754e-01       6.961957961292e-01      -9.114126863773e-01       2.129033578574e-07      -1.215216915339e+00       2.129033435885e-07       1.995782736180e-08       3.333333333333e-01      -1.215216915170e+00       2.129033436032e-07       1.993726516933e-08       3.333333333333e-01 
       7.028549135753e-01       1.465065848866e-06      -1.215219879457e+00       2.132494102590e-07       3.587893549767e-13       8.969733874417e-13       8.489261272739e-22       1.793946774883e-13      -9.114149095930e-01       2.132494102590e-07       6.076698075209e-01       6.961950551382e-01      -9.114149095930e-01       2.132494198866e-07      -1.215219879627e+00       2.132494055481e-07       2.002269430000e-08       3.333333333333e-01      -1.215219879457e+00       2.132494055628e-07       2.000206527628e-08       3.333333333333e-01 
       7.039952960243e-01       1.467446060400e-06      -1.215223336285e+00       2.135955589052e-07       3.605403752031e-13       9.013509380077e-13       8.558433104520e-22       1.802701876015e-13      -9.114175022137e-01       2.135955589052e-07       6.076695667588e-01       6.961941910125e-01      -9.114175022137e-01       2.135955685797e-07      -1.215223336455e+00       2.135955541713e-07       2.008766417742e-08       3.333333333333e-01      -1.215223336285e+00       2.135955541862e-07       2.006696821640e-08       3.333333333333e-01 
       7.051356784732e-01       1.469826282111e-06      -1.215226929725e+00       2.139417320388e-07       3.622971296664e-13       9.057428241659e-13       8.628056326495e-22       1.811485648332e-13      -9.114201972939e-01       2.139417320388e-07       6.076692934774e-01       6.961932927337e-01      -9.114201972939e-01       2.139417417604e-07      -1.215226929896e+00       2.139417272819e-07       2.015273869820e-08       3.333333333333e-01      -1.215226929725e+00       2.139417272968e-07       2.013197569206e-08       3.333333333333e-01 
       7.062760609222e-01       1.472206514000e-06      -1.215230545013e+00       2.142879097345e-07       3.640595941877e-13       9.101489854692e-13       8.698132347371e-22       1.820297970938e-13      -9.114229087594e-01       2.142879097345e-07       6.076690137781e-01       6.961923889932e-01      -9.114229087594e-01       2.142879195033e-07      -1.215230545184e+00       2.142879049544e-07       2.021791857897e-08       3.333333333333e-01      -1.215230545013e+00       2.142879049694e-07       2.019708841916e-08       3.333333333333e-01 
       7.091866145749e-01       1.478281533164e-06      -1.215239658864e+00       2.151714280789e-07       3.685837471083e-13       9.214593677707e-13       8.879050887570e-22       1.842918735541e-13      -9.114297441483e-01       2.151714280789e-07       6.076683213869e-01       6.961901107386e-01      -9.114297441483e-01       2.151714379689e-07      -1.215239659037e+00       2.151714232394e-07       2.038475238954e-08       3.333333333333e-01      -1.215239658864e+00       2.151714232546e-07       2.036375034385e-08       3.333333333333e-01 
       7.120971682276e-01       1.484356618625e-06      -1.215248698731e+00       2.160549369020e-07       3.731452430052e-13       9.328631075130e-13       9.062968631352e-22       1.865726215026e-13      -9.114365240485e-01       2.160549369020e-07       6.076676382959e-01       6.961878509810e-01      -9.114365240485e-01       2.160549469142e-07      -1.215248698906e+00       2.160549320027e-07       2.055227264778e-08       3.333333333333e-01      -1.215248698731e+00       2.160549320180e-07       2.053109800896e-08       3.333333333333e-01 
       7.150077218803e-01       1.490431770382e-06      -1.215257661286e+00       2.169384352787e-07       3.777442340210e-13       9.443605850526e-13       9.249922705321e-22       1.888721170105e-13      -9.114432459642e-01       2.169384352787e-07       6.076669654712e-01       6.961856105525e-01      -9.114432459642e-01       2.169384454141e-07      -1.215257661461e+00       2.169384303191e-07       2.072047924913e-08       3.333333333333e-01      -1.215257661286e+00       2.169384303346e-07       2.069913131006e-08       3.333333333333e-01 
