# Matter power spectrum P(k) at redshift z=0
# for k=1.10732e-05 to 20.1095 h/Mpc,
# number of wavenumbers equal to 847
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.107317772065e-05       4.128044126573e+01 
       2.472387211850e-05       8.955129637350e+01 
       3.842846360950e-05       1.370029477146e+02 
       5.222837606538e-05       1.841583466132e+02 
       6.616580199641e-05       2.313221939068e+02 
       8.028412487584e-05       2.787275141809e+02 
       9.462835654767e-05       3.265769790715e+02 
       1.092455961873e-04       3.750599966237e+02 
       1.241855173283e-04       4.243616620986e+02 
       1.395008895006e-04       4.746683226860e+02 
       1.552481409925e-04       5.261715802398e+02 
       1.714879690707e-04       5.790715286776e+02 
       1.882860035665e-04       6.335796145079e+02 
       2.057135289094e-04       6.899213277960e+02 
       2.238482682627e-04       7.483388492348e+02 
       2.427752311194e-04       8.090936798625e+02 
       2.625876221967e-04       8.724693299014e+02 
       2.833878042717e-04       9.387740076369e+02 
       3.052883001775e-04       1.008343281258e+03 
       3.284128088792e-04       1.081542643593e+03 
       3.528971966689e-04       1.158769814221e+03 
       3.788904064142e-04       1.240456638985e+03 
       4.065552050333e-04       1.327070272221e+03 
       4.360686620715e-04       1.419113327259e+03 
       4.676222215274e-04       1.517122603355e+03 
       5.014211976820e-04       1.621665783188e+03 
       5.376834987030e-04       1.733335632426e+03 
       5.766373673593e-04       1.852741031937e+03 
       6.185179375336e-04       1.980494342795e+03 
       6.635624518613e-04       2.117194738791e+03 
       7.120040827310e-04       2.263407494793e+03 
       7.640644534552e-04       2.419639707789e+03 
       8.199451635708e-04       2.586313635088e+03 
       8.798188576122e-04       2.763739591767e+03 
       9.438205940852e-04       2.952090930622e+03 
       1.012040408795e-03       3.151384267092e+03 
       1.084517963725e-03       3.361467659283e+03 
       1.161239995243e-03       3.582018970177e+03 
       1.242140937371e-03       3.812554946146e+03 
       1.327106664275e-03       4.052449907961e+03 
       1.415980872486e-03       4.300961580710e+03 
       1.508573308148e-03       4.557260539479e+03 
       1.600463238080e-03       4.809000936091e+03 
       1.604668900590e-03       4.820460681388e+03 
       1.704036898571e-03       5.089648519301e+03 
       1.806439278128e-03       5.363910274154e+03 
       1.911637934601e-03       5.642355367496e+03 
       2.019400420676e-03       5.924135093747e+03 
       2.129504201157e-03       6.208455112734e+03 
       2.241739541922e-03       6.494582034600e+03 
