# Matter power spectrum P(k) at redshift z=0
# for k=1.10732e-05 to 20.1095 h/Mpc,
# number of wavenumbers equal to 847
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.107317772065e-05       4.125671691264e+01 
       2.472387211850e-05       8.949994834724e+01 
       3.842846360950e-05       1.369247102505e+02 
       5.222837606538e-05       1.840537978729e+02 
       6.616580199641e-05       2.311918876049e+02 
       8.028412487584e-05       2.785720308599e+02 
       9.462835654767e-05       3.263969574871e+02 
       1.092455961873e-04       3.748561593473e+02 
       1.241855173283e-04       4.241348403136e+02 
       1.395008895006e-04       4.744194825186e+02 
       1.552481409925e-04       5.259018519611e+02 
       1.714879690707e-04       5.787822396976e+02 
       1.882860035665e-04       6.332723268303e+02 
       2.057135289094e-04       6.895978804100e+02 
       2.238482682627e-04       7.480014056523e+02 
       2.427752311194e-04       8.087447806512e+02 
       2.625876221967e-04       8.721119494779e+02 
       2.833878042717e-04       9.384116137408e+02 
       3.052883001775e-04       1.007979894283e+03 
       3.284128088792e-04       1.081182891199e+03 
       3.528971966689e-04       1.158418974325e+03 
       3.788904064142e-04       1.240120661215e+03 
       4.065552050333e-04       1.326755764421e+03 
       4.360686620715e-04       1.418827489928e+03 
       4.676222215274e-04       1.516873091914e+03 
       5.014211976820e-04       1.621460477273e+03 
       5.376834987030e-04       1.733182295511e+03 
       5.766373673593e-04       1.852646856943e+03 
       6.185179375336e-04       1.980465403641e+03 
       6.635624518613e-04       2.117235406287e+03 
       7.120040827310e-04       2.263519925070e+03 
       7.640644534552e-04       2.419823560231e+03 
       8.199451635708e-04       2.586566198639e+03 
       8.798188576122e-04       2.764056456357e+03 
       9.438205940852e-04       2.952467201245e+03 
       1.012040408795e-03       3.151816084254e+03 
       1.084517963725e-03       3.361953536109e+03 
       1.161239995243e-03       3.582560338805e+03 
       1.242140937371e-03       3.813155496916e+03 
       1.327106664275e-03       4.053113848493e+03 
       1.415980872486e-03       4.301691617610e+03 
       1.508573308148e-03       4.558056732252e+03 
       1.600463238080e-03       4.809858483632e+03 
       1.604668900590e-03       4.821320931145e+03 
       1.704036898571e-03       5.090570406655e+03 
       1.806439278128e-03       5.364892942747e+03 
       1.911637934601e-03       5.643400039505e+03 
       2.019400420676e-03       5.925243855629e+03 
       2.129504201157e-03       6.209629049068e+03 
       2.241739541922e-03       6.495820337794e+03 
       2.355911234221e-03       6.783145769726e+03 
       2.471839387193e-03       7.070997925319e+03 
       2.589359517119e-03       7.358831653125e+03 
       2.708322136466e-03       7.646161215280e+03 
       2.828592010923e-03       7.932556090248e+03 
       2.950047216342e-03       8.217637140470e+03 
       3.072578094223e-03       8.501071197452e+03 
       3.196086176276e-03       8.782567148566e+03 
       3.320483126124e-03       9.061870987651e+03 
       3.445689729029e-03       9.338762096806e+03 
       3.571634947869e-03       9.613049415598e+03 
       3.698255054619e-03       9.884568471177e+03 
       3.825492840360e-03       1.015317681067e+04 
       3.953296902846e-03       1.041875463135e+04 
       4.081621008042e-03       1.068119806820e+04 
       4.210423520647e-03       1.094042103804e+04 
       4.339666897875e-03       1.119635011086e+04 
       4.469317240545e-03       1.144892601546e+04 
       4.599343895654e-03       1.169810041217e+04 
       4.729719104860e-03       1.194383276670e+04 
       4.860417693748e-03       1.218609324219e+04 
       4.991416797156e-03       1.242486041833e+04 
       5.122695616330e-03       1.266011696812e+04 
       5.254235204113e-03       1.289185383222e+04 
       5.386018274793e-03       1.312006228724e+04 
       5.518029035642e-03       1.334474368469e+04 
       5.650253037511e-03       1.356590161116e+04 
       5.782677042191e-03       1.378354164697e+04 
       5.915288904509e-03       1.399767385240e+04 
       6.048077467387e-03       1.420830961845e+04 
       6.181032468331e-03       1.441546392462e+04 
       6.314144455979e-03       1.461915648990e+04 
       6.447404715532e-03       1.481940449150e+04 
       6.580805202027e-03       1.501622715352e+04 
       6.714338480547e-03       1.520964859792e+04 
       6.847997672569e-03       1.539968946967e+04 
       6.981776407759e-03       1.558637497756e+04 
       7.115668780595e-03       1.576972912871e+04 
       7.249669311281e-03       1.594978685292e+04 
       7.383772910491e-03       1.612656116971e+04 
       7.517974847507e-03       1.630008371924e+04 
       7.652270721404e-03       1.647038659270e+04 
       7.786656434946e-03       1.663749456357e+04 
       7.921128170914e-03       1.680143333315e+04 
       8.055682370606e-03       1.696223898650e+04 
       8.190315714296e-03       1.711992913026e+04 
       8.325025103439e-03       1.727454098785e+04 
       8.459807644463e-03       1.742610477915e+04 
       8.594660633974e-03       1.757464131990e+04 
       8.729581545247e-03       1.772018342595e+04 
       8.864568015872e-03       1.786276486594e+04 
       8.999617836449e-03       1.800240942619e+04 
       9.134728940226e-03       1.813914164741e+04 
       9.269899393596e-03       1.827300412987e+04 
       9.405127387376e-03       1.840401587302e+04 
       9.540411228791e-03       1.853220432892e+04 
       9.675749334100e-03       1.865760138159e+04 
       9.811140221810e-03       1.878023812238e+04 
       9.946582506424e-03       1.890014155094e+04 
       1.008207489267e-02       1.901733513486e+04 
       1.021761617020e-02       1.913184808095e+04 
       1.035320520864e-02       1.924371334821e+04 
       1.048884095310e-02       1.935294942819e+04 
       1.062452241992e-02       1.945959053087e+04 
       1.076024869283e-02       1.956366319907e+04 
       1.089601891934e-02       1.966518635809e+04 
       1.103183230741e-02       1.976420173405e+04 
       1.116768812232e-02       1.986072316206e+04 
       1.130358568390e-02       1.995478301450e+04 
       1.143952436377e-02       2.004640718221e+04 
       1.157550358295e-02       2.013561613687e+04 
       1.171152280952e-02       2.022244219718e+04 
       1.184758155654e-02       2.030689997649e+04 
       1.198367938004e-02       2.038903878291e+04 
       1.211981587721e-02       2.046886264037e+04 
       1.225599068467e-02       2.054639629032e+04 
       1.239220347693e-02       2.062167341083e+04 
       1.252845396487e-02       2.069471133826e+04 
       1.266474189442e-02       2.076553752115e+04 
       1.280106704526e-02       2.083417299543e+04 
       1.293742922964e-02       2.090064996584e+04 
       1.307382829133e-02       2.096498599361e+04 
       1.321026410455e-02       2.102720732243e+04 
       1.334673657309e-02       2.108732951691e+04 
       1.348324562937e-02       2.114538814135e+04 
       1.361979123370e-02       2.120140010174e+04 
       1.375637337352e-02       2.125538884387e+04 
       1.389299206268e-02       2.130737964459e+04 
       1.402964734084e-02       2.135739085630e+04 
       1.416633927290e-02       2.140544967214e+04 
       1.430306794843e-02       2.145157110334e+04 
       1.443983348120e-02       2.149578509020e+04 
       1.457663600876e-02       2.153809715697e+04 
       1.471347569197e-02       2.157854473787e+04 
       1.485035271472e-02       2.161714866418e+04 
       1.498726728353e-02       2.165392490066e+04 
       1.512421962729e-02       2.168888773235e+04 
       1.526120999698e-02       2.172207544376e+04 
       1.539823866546e-02       2.175349524364e+04 
       1.553530592725e-02       2.178317858301e+04 
       1.567241209837e-02       2.181114302199e+04 
