# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.10732e-05 to 20.1095 h/Mpc,
# number of wavenumbers equal to 847
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       1.107317772065e-05      -1.323430901041e-03      -9.930904748271e-04      -9.930904969689e-04      -1.324611698720e-03      -1.323416095359e-03      -9.931820294437e-04       4.875942959906e-01       4.874524457398e-01 
       2.472387211850e-05      -6.583936259438e-03      -4.950796188253e-03      -4.950796738392e-03      -6.589516955815e-03      -6.583568137110e-03      -4.951249160626e-03       4.875909908460e-01       4.874495675958e-01 
       3.842846360950e-05      -1.584736349243e-02      -1.196035768718e-02      -1.196036089586e-02      -1.585954259675e-02      -1.584522047994e-02      -1.196143728038e-02       4.875850962260e-01       4.874444266243e-01 
       5.222837606538e-05      -2.911709269894e-02      -2.209253087088e-02      -2.209254180827e-02      -2.913613423955e-02      -2.910981033111e-02      -2.209448591394e-02       4.875765882764e-01       4.874370027338e-01 
       6.616580199641e-05      -4.640298738576e-02      -3.545619080738e-02      -3.545621894313e-02      -4.642630282474e-02      -4.638433180477e-02      -3.545924613287e-02       4.875653876748e-01       4.874272223862e-01 
       8.028412487584e-05      -6.771835115609e-02      -5.220052408705e-02      -5.220058497629e-02      -6.773947629107e-02      -6.767819005937e-02      -5.220487163887e-02       4.875513826121e-01       4.874149816407e-01 
       9.462835654767e-05      -9.307574567270e-02      -7.251814820400e-02      -7.251826549133e-02      -9.308317470954e-02      -9.299887981592e-02      -7.252393637722e-02       4.875344410587e-01       4.874001583282e-01 
       1.092455961873e-04      -1.224814236846e-01      -9.664924613070e-02      -9.664945399026e-02      -1.224572564909e-01      -1.223462360819e-01      -9.665656677377e-02       4.875143887335e-01       4.873825899716e-01 
       1.241855173283e-04      -1.559280602265e-01      -1.248868472504e-01      -1.248871933913e-01      -1.558464222989e-01      -1.557049439986e-01      -1.248957196460e-01       4.874910186894e-01       4.873620831691e-01 
       1.395008895006e-04      -1.933853869290e-01      -1.575834133023e-01      -1.575839627184e-01      -1.932105729796e-01      -1.930349044494e-01      -1.575937643307e-01       4.874640852105e-01       4.873384073019e-01 
