# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.539125980436e-10       4.298408195937e-15       3.388530846173e-13       0.000000000000e+00       7.626925367945e-09       5.329279149719e-10      -1.843703893770e-12 
    3       1.425899325249e-10       5.316445725292e-15       3.858293102406e-13       0.000000000000e+00       4.738817289994e-09       3.737852496307e-10      -1.368497053081e-12 
    4       1.328911071496e-10       4.406946741840e-15       3.611018639322e-13       0.000000000000e+00       3.304059771008e-09       2.807043177757e-10      -8.638773132160e-13 
    5       1.257959410164e-10       2.812972806732e-15       3.062422786686e-13       0.000000000000e+00       2.468045542472e-09       2.204086724228e-10      -4.500222117870e-13 
    6       1.208954847128e-10       1.523975617939e-15       2.452531527777e-13       0.000000000000e+00       1.927601556329e-09       1.784962715107e-10      -1.560884699208e-13 
    7       1.176165844862e-10       8.327197697353e-16       1.917531587423e-13       0.000000000000e+00       1.553689058888e-09       1.479132046468e-10       2.074071117303e-14 
    8       1.155474278077e-10       5.632807844815e-16       1.514179959884e-13       0.000000000000e+00       1.282639165688e-09       1.248811637387e-10       1.006072281478e-13 
    9       1.143999361749e-10       4.586724953970e-16       1.251651900275e-13       0.000000000000e+00       1.079381332913e-09       1.071123247967e-10       1.116410864762e-13 
   10       1.138726387402e-10       3.831401707929e-16       1.113287009104e-13       0.000000000000e+00       9.225700279335e-10       9.304506290905e-11       8.312124874481e-14 
   11       1.138514160897e-10       3.182298864340e-16       1.070162920691e-13       0.000000000000e+00       7.809830527559e-10       8.195105591544e-11       4.070677656456e-14 
   12       1.142292620883e-10       2.815568068124e-16       1.090527964850e-13       0.000000000000e+00       6.823098555975e-10       7.240670661642e-11       1.521034089595e-15 
   13       1.148726699110e-10       2.760226685451e-16       1.147660254991e-13       0.000000000000e+00       6.012978171164e-10       6.455372984554e-11      -2.440270453806e-14 
   14       1.157973864728e-10       2.899352649205e-16       1.222555604547e-13       0.000000000000e+00       5.338825186028e-10       5.779583420950e-11      -3.496725142656e-14 
   15       1.168757366386e-10       3.149990922652e-16       1.303368809991e-13       0.000000000000e+00       4.771321585243e-10       5.206275870439e-11      -3.271352171702e-14 
   16       1.181436193430e-10       3.531459795573e-16       1.385215379247e-13       0.000000000000e+00       4.288786137488e-10       4.713132562663e-11      -2.310262528142e-14 
   17       1.195470256092e-10       4.101512602514e-16       1.467728886356e-13       0.000000000000e+00       3.874838206191e-10       4.288641420976e-11      -1.180980419588e-14 
   18       1.210548837159e-10       4.884283832335e-16       1.553518936473e-13       0.000000000000e+00       3.515560660381e-10       3.917660010191e-11      -3.289917676574e-15 
   19       1.226833199478e-10       5.870003079323e-16       1.644504154687e-13       0.000000000000e+00       3.205226350511e-10       3.593172380596e-11       8.443422994529e-16 
   20       1.243981440510e-10       7.034594330279e-16       1.741611980460e-13       0.000000000000e+00       2.931913994811e-10       3.303732345482e-11       2.274427762291e-16 
   21       1.261977435800e-10       8.378700222057e-16       1.843369229679e-13       0.000000000000e+00       2.691333522714e-10       3.047524532856e-11      -3.737450351984e-15 
   22       1.280597266815e-10       9.907582677110e-16       1.946685189595e-13       0.000000000000e+00       2.477722565900e-10       2.821254459713e-11      -8.693118700051e-15 
   23       1.299900160711e-10       1.161862457502e-15       2.047787853311e-13       0.000000000000e+00       2.288145524223e-10       2.619615633301e-11      -1.298084783982e-14 
   24       1.319807147164e-10       1.350715811956e-15       2.142369010820e-13       0.000000000000e+00       2.118224635992e-10       2.434639460162e-11      -1.519692182436e-14 
   25       1.340280505422e-10       1.558442243962e-15       2.227814735584e-13       0.000000000000e+00       1.965959951052e-10       2.266154483780e-11      -1.517462450907e-14 
   26       1.361160289585e-10       1.786790922603e-15       2.302303544106e-13       0.000000000000e+00       1.828592894970e-10       2.114723030302e-11      -1.334685853419e-14 
   27       1.382527448796e-10       2.037603013726e-15       2.365940795234e-13       0.000000000000e+00       1.704473480768e-10       1.978927958232e-11      -1.068789699401e-14 
   28       1.404425229008e-10       2.312731292445e-15       2.419622105515e-13       0.000000000000e+00       1.591460156415e-10       1.855779924942e-11      -8.362444235083e-15 
   29       1.426887891928e-10       2.613447311596e-15       2.463894663708e-13       0.000000000000e+00       1.488974426049e-10       1.744237788926e-11      -6.779803308747e-15 
   30       1.449803353449e-10       2.940810167426e-15       2.499440552280e-13       0.000000000000e+00       1.395914789652e-10       1.642666105677e-11      -6.134942834224e-15 
   31       1.472952874227e-10       3.295811357368e-15       2.526872163147e-13       0.000000000000e+00       1.310381879464e-10       1.548563163418e-11      -6.531055690791e-15 
   32       1.496379774007e-10       3.679353840659e-15       2.545279046792e-13       0.000000000000e+00       1.231932467713e-10       1.461520947884e-11      -7.620736845150e-15 
   33       1.520132531268e-10       4.092251739051e-15       2.553113745675e-13       0.000000000000e+00       1.160010129903e-10       1.381202162650e-11      -8.813657944967e-15 
   34       1.544192708411e-10       4.535289927153e-15       2.548723610710e-13       0.000000000000e+00       1.093606495357e-10       1.306789613487e-11      -9.508758466082e-15 
   35       1.568600537207e-10       5.009440129138e-15       2.530976189134e-13       0.000000000000e+00       1.032380133235e-10       1.238010553058e-11      -9.621503397831e-15 
   36       1.593356148787e-10       5.515714777365e-15       2.498835699613e-13       0.000000000000e+00       9.758382458263e-11       1.174372654852e-11      -9.239462778722e-15 
   37       1.618414516378e-10       6.055056958868e-15       2.451411398292e-13       0.000000000000e+00       9.232432325734e-11       1.115105586909e-11      -8.490139543155e-15 
   38       1.643812901240e-10       6.628164037514e-15       2.388707552592e-13       0.000000000000e+00       8.744583203557e-11       1.060058089352e-11      -7.554242210594e-15 
   39       1.669573585512e-10       7.235597976223e-15       2.311132501564e-13       0.000000000000e+00       8.293280790395e-11       1.009037204616e-11      -6.661906906771e-15 
   40       1.695662173771e-10       7.877824761867e-15       2.219314578528e-13       0.000000000000e+00       7.874212414533e-11       9.615327437008e-12      -6.093135800371e-15 
   41       1.722012258338e-10       8.555304412270e-15       2.113845271437e-13       0.000000000000e+00       7.481807042056e-11       9.168976651338e-12      -6.091202308310e-15 
   42       1.748623324044e-10       9.268810826525e-15       1.994376943625e-13       0.000000000000e+00       7.114900783481e-11       8.750262484632e-12      -6.561546767919e-15 
   43       1.775484735977e-10       1.001920584119e-14       1.860253238436e-13       0.000000000000e+00       6.772510859610e-11       8.358501871448e-12      -7.280054076173e-15 
   44       1.802544140651e-10       1.080735266670e-14       1.710748080227e-13       0.000000000000e+00       6.452135583920e-11       7.991365509993e-12      -7.971249746168e-15 
   45       1.829740587608e-10       1.163403003207e-14       1.545140006971e-13       0.000000000000e+00       6.150645646165e-11       7.645768382527e-12      -8.378424818181e-15 
   46       1.857124717109e-10       1.249964279955e-14       1.362974850367e-13       0.000000000000e+00       5.867560492173e-11       7.321172861664e-12      -8.506257736102e-15 
   47       1.884767996448e-10       1.340442570982e-14       1.163872071098e-13       0.000000000000e+00       5.602545883585e-11       7.017046392183e-12      -8.445495463218e-15 
   48       1.912727238612e-10       1.434851789644e-14       9.474506847018e-14       0.000000000000e+00       5.354425866509e-11       6.731851036254e-12      -8.307160973060e-15 
   49       1.941042904576e-10       1.533195842594e-14       7.133282706214e-14       0.000000000000e+00       5.121120212285e-11       6.462969157390e-12      -8.223693525005e-15 
   50       1.969736815285e-10       1.635475924738e-14       4.611478550691e-14       0.000000000000e+00       4.900269726925e-11       6.207491429993e-12      -8.315301602931e-15 
   51       1.998808494129e-10       1.741715773208e-14       1.906694611713e-14       0.000000000000e+00       4.691457415874e-11       5.965005444246e-12      -8.575609232136e-15 
   52       2.028234897088e-10       1.851942497371e-14      -9.829830385353e-15       0.000000000000e+00       4.494482091847e-11       5.735435576668e-12      -8.956940684093e-15 
   53       2.057969231732e-10       1.966179357228e-14      -4.059236374478e-14       0.000000000000e+00       4.308693728192e-11       5.518213885561e-12      -9.401909903453e-15 
   54       2.087939231733e-10       2.084445681706e-14      -7.323512209621e-14       0.000000000000e+00       4.132963269951e-11       5.312246374999e-12      -9.842923732500e-15 
   55       2.118073413624e-10       2.206752703525e-14      -1.077677128986e-13       0.000000000000e+00       3.966026109868e-11       5.116276315942e-12      -1.021656477314e-14 
   56       2.148391438314e-10       2.333090039341e-14      -1.441866993051e-13       0.000000000000e+00       3.807681596843e-11       4.930157189130e-12      -1.051206214575e-14 
   57       2.178933174996e-10       2.463435707855e-14      -1.824816946210e-13       0.000000000000e+00       3.657838632828e-11       4.753836877255e-12      -1.073399176604e-14 
   58       2.209732064203e-10       2.597759683409e-14      -2.226375353950e-13       0.000000000000e+00       3.516152825018e-11       4.586970444976e-12      -1.088853282723e-14 
   59       2.240814482546e-10       2.736023655173e-14      -2.646341528371e-13       0.000000000000e+00       3.382010855286e-11       4.428901872665e-12      -1.098355075064e-14 
   60       2.272199107444e-10       2.878180786345e-14      -3.084464442377e-13       0.000000000000e+00       3.254514849615e-11       4.278645790153e-12      -1.102868013632e-14 
   61       2.303899289030e-10       3.024176730482e-14      -3.540502681619e-13       0.000000000000e+00       3.132731105882e-11       4.135162589072e-12      -1.103359078020e-14 
   62       2.335932225148e-10       3.173953491852e-14      -4.014422934325e-13       0.000000000000e+00       3.016536878245e-11       3.998297244164e-12      -1.100214325176e-14 
   63       2.368310727862e-10       3.327446008208e-14      -4.506243975700e-13       0.000000000000e+00       2.905936790886e-11       3.868019765722e-12      -1.093706270023e-14 
   64       2.401039868864e-10       3.484580773175e-14      -5.015980005825e-13       0.000000000000e+00       2.800808152564e-11       3.744141635923e-12      -1.084166482787e-14 
   65       2.434116439620e-10       3.645275635331e-14      -5.543641306870e-13       0.000000000000e+00       2.700893713931e-11       3.626306851260e-12      -1.071988119074e-14 
   66       2.467528411524e-10       3.809439597289e-14      -6.089234900307e-13       0.000000000000e+00       2.605794424864e-11       3.513982964962e-12      -1.057628449929e-14 
   67       2.501254396047e-10       3.976972614781e-14      -6.652765204123e-13       0.000000000000e+00       2.514962191783e-11       3.406452129428e-12      -1.041611391910e-14 
   68       2.535272856526e-10       4.147770811750e-14      -7.234183929630e-13       0.000000000000e+00       2.427845891950e-11       3.303003397213e-12      -1.024465814999e-14 
   69       2.569593117753e-10       4.321743801816e-14      -7.833226513838e-13       0.000000000000e+00       2.344379962179e-11       3.203574894118e-12      -1.006520295133e-14 
   70       2.604229698806e-10       4.498800531788e-14      -8.449543572343e-13       0.000000000000e+00       2.264582254878e-11       3.108226273361e-12      -9.880711271720e-15 
   71       2.639192832115e-10       4.678844114912e-14      -9.082748097727e-13       0.000000000000e+00       2.188406277149e-11       3.016945228093e-12      -9.694437389571e-15 
   72       2.674488173017e-10       4.861771768468e-14      -9.732414818557e-13       0.000000000000e+00       2.115737867723e-11       2.929643681105e-12      -9.509935788663e-15 
   73       2.710116509304e-10       5.047474751376e-14      -1.039807955837e-12       0.000000000000e+00       2.046391873906e-11       2.846153974530e-12      -9.331070033718e-15 
   74       2.746073470781e-10       5.235838301788e-14      -1.107923859469e-12       0.000000000000e+00       1.980108828510e-11       2.766225059548e-12      -9.162021645961e-15 
