#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.008094520527e-02       1.562010215315e-07      -1.190536008679e+00       2.085590238962e-06       4.019841495919e-14       1.004960373980e-13       1.089565284489e-23       2.009920747959e-14      -8.929020065092e-01       2.085590238962e-06       5.960420217385e-01       7.023660222147e-01      -8.929020065092e-01       2.085590334554e-06      -1.190536008848e+00       2.085590193236e-06       1.952767695480e-08       3.333333333333e-01      -1.190536008679e+00       2.085590193382e-06       1.946733103392e-08       3.333333333333e-01 
       7.015328692048e-02       1.563622813646e-07      -1.190534970561e+00       2.087741022318e-06       4.032299883542e-14       1.008074970885e-13       1.095199933231e-23       2.016149941771e-14      -8.929012279206e-01       2.087741022318e-06       5.960732681990e-01       7.023662817946e-01      -8.929012279206e-01       2.087741118206e-06      -1.190534970730e+00       2.087740976450e-06       1.956798583654e-08       3.333333333333e-01      -1.190534970561e+00       2.087740976597e-06       1.946733100424e-08       3.333333333333e-01 
       7.022562863570e-02       1.565235412386e-07      -1.190534101438e+00       2.089892097805e-06       4.044784552966e-14       1.011196138241e-13       1.100858024434e-23       2.022392276483e-14      -8.929005760784e-01       2.089892097805e-06       5.961043777345e-01       7.023664991257e-01      -8.929005760784e-01       2.089892193991e-06      -1.190534101607e+00       2.089892051795e-06       1.960833608290e-08       3.333333333333e-01      -1.190534101438e+00       2.089892051943e-06       1.946733095969e-08       3.333333333333e-01 
       7.053583858018e-02       1.572150433686e-07      -1.190539258336e+00       2.099131793265e-06       4.098643052749e-14       1.024660763187e-13       1.125394753448e-23       2.049321526375e-14      -8.929044437519e-01       2.099131793265e-06       5.962346370767e-01       7.023652101178e-01      -8.929044437519e-01       2.099131890731e-06      -1.190539258507e+00       2.099131746642e-06       1.978180121701e-08       3.333333333333e-01      -1.190539258336e+00       2.099131746798e-06       1.946733103708e-08       3.333333333333e-01 
       7.084604852466e-02       1.579065462516e-07      -1.190550334521e+00       2.108382038783e-06       4.152998366378e-14       1.038249591595e-13       1.150372837211e-23       2.076499183189e-14      -8.929127508911e-01       2.108382038783e-06       5.963617673701e-01       7.023624412890e-01      -8.929127508911e-01       2.108382137540e-06      -1.190550334694e+00       2.108381991542e-06       1.995601463688e-08       3.333333333333e-01      -1.190550334521e+00       2.108381991713e-06       1.946733095466e-08       3.333333333333e-01 
       7.115625846914e-02       1.585980498878e-07      -1.190564576652e+00       2.117638079038e-06       4.207843687163e-14       1.051960921791e-13       1.175795714721e-23       2.103921843581e-14      -8.929234324887e-01       2.117638079038e-06       5.964864275015e-01       7.023588809749e-01      -8.929234324887e-01       2.117638179098e-06      -1.190564576826e+00       2.117638031174e-06       2.013098929997e-08       3.333333333333e-01      -1.190564576652e+00       2.117638031364e-06       1.946733099392e-08       3.333333333333e-01 
       7.146646841362e-02       1.592895542770e-07      -1.190580959422e+00       2.126898154051e-06       4.263177886816e-14       1.065794471704e-13       1.201668390754e-23       2.131588943408e-14      -8.929357195663e-01       2.126898154051e-06       5.966088816770e-01       7.023547855018e-01      -8.929357195663e-01       2.126898255425e-06      -1.190580959597e+00       2.126898105558e-06       2.030672975649e-08       3.333333333333e-01      -1.190580959422e+00       2.126898105772e-06       1.946733102406e-08       3.333333333333e-01 
       7.214819037169e-02       1.608092171876e-07      -1.190622886247e+00       2.147259770829e-06       4.386504819799e-14       1.096626204950e-13       1.260135003415e-23       2.193252409899e-14      -8.929671646855e-01       2.147259770829e-06       5.968707554105e-01       7.023443042811e-01      -8.929671646855e-01       2.147259875132e-06      -1.190622886426e+00       2.147259720935e-06       2.069563539137e-08       3.333333333333e-01      -1.190622886247e+00       2.147259721223e-06       1.946733099844e-08       3.333333333333e-01 
       7.282991232976e-02       1.623288837352e-07      -1.190673183375e+00       2.167638005441e-06       4.512222330775e-14       1.128055582694e-13       1.320865764200e-23       2.256111165387e-14      -8.930048875312e-01       2.167638005441e-06       5.971228658776e-01       7.023317304894e-01      -8.930048875312e-01       2.167638112729e-06      -1.190673183557e+00       2.167637954119e-06       2.108824798274e-08       3.333333333333e-01      -1.190673183375e+00       2.167637954507e-06       1.946733094532e-08       3.333333333333e-01 
       7.351163428783e-02       1.638485539199e-07      -1.190731277785e+00       2.188032235414e-06       4.640353350838e-14       1.160088337709e-13       1.383925993783e-23       2.320176675419e-14      -8.930484583389e-01       2.188032235414e-06       5.973656282975e-01       7.023172073817e-01      -8.930484583389e-01       2.188032345742e-06      -1.190731277971e+00       2.188032182637e-06       2.148457063954e-08       3.333333333333e-01      -1.190731277785e+00       2.188032183152e-06       1.946733103149e-08       3.333333333333e-01 
