# Matter power spectrum P(k) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.608806565107e-06       6.163829605608e+01 
       2.145156745703e-05       1.336978307127e+02 
       3.332954735221e-05       2.044655944401e+02 
       4.526975115419e-05       2.746717381238e+02 
       5.729956186539e-05       3.447197359241e+02 
       6.944694710181e-05       4.149041213180e+02 
       8.174067122832e-05       4.854711781923e+02 
       9.421051552855e-05       5.566434635367e+02 
       1.068875088434e-04       6.286321207803e+02 
       1.198041711362e-04       7.016440885175e+02 
       1.329947724596e-04       7.758868943425e+02 
       1.464956097987e-04       8.515722084698e+02 
       1.603453042204e-04       9.289187219332e+02 
       1.745851206528e-04       1.008154653984e+03 
       1.892593124115e-04       1.089520081105e+03 
       2.044154922346e-04       1.173269159049e+03 
       2.201050310352e-04       1.259672311191e+03 
       2.363834847410e-04       1.349018430637e+03 
       2.533110483824e-04       1.441617078376e+03 
       2.709530348823e-04       1.537800695489e+03 
       2.893803736693e-04       1.637926791602e+03 
       3.086701210935e-04       1.742380056854e+03 
       3.289059705157e-04       1.851574351650e+03 
       3.501787446709e-04       1.965954424063e+03 
       3.725868463269e-04       2.085997272832e+03 
       3.962366352877e-04       2.212212925742e+03 
       4.212426904911e-04       2.345144437208e+03 
       4.477279056125e-04       2.485366805908e+03 
       4.758233558858e-04       2.633484509710e+03 
       5.056678639574e-04       2.790127246912e+03 
       5.374071853343e-04       2.955943496801e+03 
       5.711927319294e-04       3.131591544584e+03 
       6.071797585811e-04       3.317727562598e+03 
       6.455249558241e-04       3.514990579802e+03 
       6.863834258880e-04       3.723984360819e+03 
       7.299050697801e-04       3.945256508990e+03 
       7.762304804195e-04       4.179275561351e+03 
       8.254865149471e-04       4.426407390824e+03 
       8.777817983007e-04       4.686892570755e+03 
       9.332024751379e-04       4.960826807572e+03 
       9.918085613878e-04       5.248146421861e+03 
       1.053631235555e-03       5.548620626894e+03 
       1.118671346315e-03       5.861851376748e+03 
       1.186899301353e-03       6.187280623102e+03 
       1.258256359613e-03       6.524204031916e+03 
       1.332657200755e-03       6.871790046376e+03 
       1.340840250952e-03       6.909789563083e+03 
       1.409993519211e-03       7.229102790248e+03 
       1.490138307530e-03       7.595128398000e+03 
       1.572950464739e-03       7.968803643578e+03 
       1.658279387686e-03       8.349044852790e+03 
       1.745969263858e-03       8.734775077911e+03 
       1.835862865565e-03       9.124945415927e+03 
       1.927804730282e-03       9.518550508357e+03 
       2.021643687598e-03       9.914637681801e+03 
       2.117234751992e-03       1.031231375257e+04 
       2.214440440455e-03       1.071075006471e+04 
       2.313131596169e-03       1.110918725914e+04 
       2.413187807521e-03       1.150693723749e+04 
       2.514497509855e-03       1.190338039243e+04 
       2.616957849248e-03       1.229796131350e+04 
       2.720474376409e-03       1.269018190949e+04 
       2.824960626633e-03       1.307959863170e+04 
       2.930337630105e-03       1.346581933170e+04 
       3.036533386399e-03       1.384850088644e+04 
       3.143482328220e-03       1.422734425048e+04 
       3.251124792182e-03       1.460208805630e+04 
       3.359406508800e-03       1.497250494701e+04 
       3.468278119440e-03       1.533839756875e+04 
       3.577694724771e-03       1.569959787855e+04 
       3.687615466840e-03       1.605596535089e+04 
       3.798003145249e-03       1.640738160848e+04 
       3.908823866730e-03       1.675374857409e+04 
       4.020046726690e-03       1.709498339237e+04 
       4.131643520835e-03       1.743102181982e+04 
       4.243588484725e-03       1.776181247690e+04 
       4.355858059030e-03       1.808731886765e+04 
       4.468430678260e-03       1.840751419225e+04 
       4.581286580801e-03       1.872238097365e+04 
       4.694407638220e-03       1.903190937762e+04 
       4.807777201933e-03       1.933609965067e+04 
       4.921379965466e-03       1.963495522669e+04 
       5.035201840715e-03       1.992849109398e+04 
       5.149229846737e-03       2.021672480008e+04 
       5.263452009761e-03       2.049967818724e+04 
       5.377857273226e-03       2.077737484573e+04 
       5.492435416790e-03       2.104984801179e+04 
       5.607176983354e-03       2.131712977138e+04 
       5.722073213252e-03       2.157925693020e+04 
       5.837115984859e-03       2.183627066684e+04 
       5.952297760926e-03       2.208820429158e+04 
       6.067611540054e-03       2.233510702940e+04 
       6.183050812766e-03       2.257702130194e+04 
       6.298609521706e-03       2.281399080377e+04 
       6.414282025528e-03       2.304606522678e+04 
       6.530063066118e-03       2.327328790620e+04 
       6.645947738794e-03       2.349570722087e+04 
       6.761931465189e-03       2.371337669956e+04 
       6.878009968562e-03       2.392633755490e+04 
       6.994179251274e-03       2.413464589927e+04 
       7.110435574241e-03       2.433834979014e+04 
       7.226775438162e-03       2.453749676877e+04 
       7.343195566339e-03       2.473213826851e+04 
       7.459692888970e-03       2.492232559695e+04 
       7.576264528736e-03       2.510811164917e+04 
       7.692907787600e-03       2.528954270160e+04 
       7.809620134675e-03       2.546667126584e+04 
       7.926399195086e-03       2.563956719334e+04 
       8.043242739716e-03       2.580823686519e+04 
       8.160148675780e-03       2.597273114457e+04 
       8.277115038132e-03       2.613311652000e+04 
       8.394139981253e-03       2.628946322833e+04 
       8.511221771859e-03       2.644181003347e+04 
       8.628358782070e-03       2.659019938640e+04 
       8.745549483106e-03       2.673466491469e+04 
       8.862792439445e-03       2.687525756994e+04 
       8.980086303427e-03       2.701202638129e+04 
       9.097429810247e-03       2.714503095296e+04 
       9.214821773323e-03       2.727431051446e+04 
       9.332261079998e-03       2.739990235362e+04 
       9.449746687547e-03       2.752185912201e+04 
       9.567277619478e-03       2.764021990916e+04 
       9.684852962090e-03       2.775503787183e+04 
       9.802471861276e-03       2.786635609526e+04 
       9.920133519552e-03       2.797421205852e+04 
       1.003783719329e-02       2.807864622282e+04 
       1.015558219016e-02       2.817970796290e+04 
       1.027336786669e-02       2.827744019910e+04 
       1.039119362611e-02       2.837187596231e+04 
       1.050905891620e-02       2.846307129652e+04 
       1.062696322741e-02       2.855104525797e+04 
       1.074490609101e-02       2.863586136639e+04 
       1.086288707745e-02       2.871753984333e+04 
       1.098090579479e-02       2.879614083504e+04 
       1.109896188722e-02       2.887168306170e+04 
       1.121705503369e-02       2.894420783427e+04 
       1.133518494670e-02       2.901376679357e+04 
       1.145335137105e-02       2.908039793350e+04 
       1.157155408280e-02       2.914412961593e+04 
       1.168979288821e-02       2.920500614656e+04 
       1.180806762280e-02       2.926305745201e+04 
       1.192637815048e-02       2.931832834314e+04 
       1.204472436269e-02       2.937085819877e+04 
       1.216310617768e-02       2.942066985927e+04 
       1.228152353978e-02       2.946780140613e+04 
       1.239997641876e-02       2.951228246217e+04 
       1.251846480920e-02       2.955414329979e+04 
       1.263698872995e-02       2.959344973509e+04 
       1.275554822362e-02       2.963021421067e+04 
       1.287414335609e-02       2.966447693227e+04 
       1.299277421609e-02       2.969626313865e+04 
       1.311144091480e-02       2.972560920590e+04 
       1.323014358550e-02       2.975254095525e+04 
       1.334888238321e-02       2.977710237543e+04 
       1.340840250952e-02       2.978852519026e+04 
       1.346765748445e-02       2.979931145346e+04 
       1.358646908692e-02       2.981923821412e+04 
       1.370531740931e-02       2.983687252121e+04 
       1.382420269108e-02       2.985225767848e+04 
       1.394312519227e-02       2.986543781372e+04 
       1.406208519336e-02       2.987641841537e+04 
       1.418108299514e-02       2.988525043337e+04 
       1.430011891861e-02       2.989195912642e+04 
       1.441919330488e-02       2.989657669788e+04 
       1.453830651516e-02       2.989912368633e+04 
       1.465745893064e-02       2.989964499283e+04 
       1.477665095257e-02       2.989815131967e+04 
       1.489588300219e-02       2.989468002917e+04 
       1.501515552078e-02       2.988927389599e+04 
       1.513446896973e-02       2.988193773433e+04 
       1.525382383055e-02       2.987271076858e+04 
       1.537322060500e-02       2.986161591144e+04 
       1.549265981514e-02       2.984866830145e+04 
       1.561214200349e-02       2.983393781223e+04 
       1.573166773313e-02       2.981741730591e+04 
       1.585123758789e-02       2.979915707322e+04 
       1.597085217246e-02       2.977914128424e+04 
       1.609051211262e-02       2.975742566170e+04 
       1.621021805544e-02       2.973404815484e+04 
       1.632997066945e-02       2.970901703954e+04 
       1.644977064494e-02       2.968237013923e+04 
       1.656961869415e-02       2.965411343380e+04 
       1.668951555156e-02       2.962429825191e+04 
       1.680946197418e-02       2.959293123849e+04 
       1.692945874185e-02       2.956003324881e+04 
       1.704950665752e-02       2.952562050881e+04 
       1.716960654760e-02       2.948977665063e+04 
       1.728975926234e-02       2.945246930955e+04 
       1.740996567612e-02       2.941375234201e+04 
       1.753022668790e-02       2.937356427344e+04 
       1.765054322158e-02       2.933207069049e+04 
       1.777091622640e-02       2.928921845035e+04 
       1.789134667742e-02       2.924500778727e+04 
       1.801183557591e-02       2.919949473350e+04 
       1.813238394985e-02       2.915271355459e+04 
       1.825299285442e-02       2.910467539976e+04 
       1.837366337244e-02       2.905534846086e+04 
       1.849439661498e-02       2.900486776168e+04 
       1.861519372184e-02       2.895315448027e+04 
       1.873605586209e-02       2.890029369672e+04 
       1.885698423471e-02       2.884624382737e+04 
       1.897798006914e-02       2.879109414665e+04 
       1.909904462590e-02       2.873483583604e+04 
       1.922017919724e-02       2.867749005949e+04 
       1.934138510781e-02       2.861906200262e+04 
       1.946266371531e-02       2.855964060910e+04 
       1.958401641121e-02       2.849915743120e+04 
       1.970544462148e-02       2.843762868277e+04 
       1.982694980735e-02       2.837510528230e+04 
       1.994853346605e-02       2.831167242799e+04 
       2.007019713163e-02       2.824733825694e+04 
       2.019194237580e-02       2.818199427499e+04 
       2.031377080876e-02       2.811577997166e+04 
       2.043568408007e-02       2.804866291503e+04 
       2.055768387959e-02       2.798069283538e+04 
       2.067977193838e-02       2.791188564796e+04 
       2.080195002968e-02       2.784216856527e+04 
       2.092421996990e-02       2.777174040635e+04 
       2.104658361966e-02       2.770052072158e+04 
       2.116904288482e-02       2.762846499945e+04 
       2.129159971762e-02       2.755567574361e+04 
       2.141425611774e-02       2.748212001524e+04 
       2.153701413353e-02       2.740787092570e+04 
       2.165987586316e-02       2.733293607615e+04 
       2.178284345590e-02       2.725723215147e+04 
       2.190591911335e-02       2.718089666740e+04 
       2.202910509081e-02       2.710398108353e+04 
       2.215240369858e-02       2.702631521834e+04 
       2.227581730343e-02       2.694819146531e+04 
       2.239934833002e-02       2.686928429193e+04 
       2.252299926238e-02       2.678990366756e+04 
       2.264677264547e-02       2.670991516894e+04 
       2.277067108681e-02       2.662930932122e+04 
       2.289469725807e-02       2.654822827188e+04 
       2.301885389681e-02       2.646662157006e+04 
       2.314314380825e-02       2.638444687883e+04 
       2.326756986705e-02       2.630183881218e+04 
       2.339213501923e-02       2.621875556497e+04 
       2.351684228407e-02       2.613515997885e+04 
       2.364169475618e-02       2.605106983950e+04 
       2.376669560751e-02       2.596655905195e+04 
       2.389184808955e-02       2.588172831819e+04 
       2.401715553552e-02       2.579643167712e+04 
       2.414262136268e-02       2.571069211470e+04 
       2.426824907472e-02       2.562453272826e+04 
       2.439404226421e-02       2.553815189508e+04 
       2.452000461516e-02       2.545129562647e+04 
       2.464613990562e-02       2.536407253372e+04 
       2.477245201050e-02       2.527663669488e+04 
       2.489894490429e-02       2.518879469432e+04 
       2.502562266411e-02       2.510069287759e+04 
       2.515248947266e-02       2.501228482110e+04 
       2.527954962141e-02       2.492352007132e+04 
       2.540680751389e-02       2.483457615737e+04 
       2.553426766904e-02       2.474534478531e+04 
       2.566193472477e-02       2.465586160972e+04 
       2.578981344156e-02       2.456612870714e+04 
       2.591790870631e-02       2.447620470980e+04 
       2.604622553622e-02       2.438600643591e+04 
       2.617476908292e-02       2.429566539170e+04 
       2.630354463668e-02       2.420513642870e+04 
       2.643255763084e-02       2.411434922465e+04 
       2.656181364641e-02       2.402340786957e+04 
       2.669131841680e-02       2.393234127088e+04 
       2.682107783281e-02       2.384110473369e+04 
       2.695109794777e-02       2.374970647534e+04 
       2.708138498293e-02       2.365820129632e+04 
       2.721194533301e-02       2.356654660029e+04 
       2.734278557209e-02       2.347484206633e+04 
       2.747391245960e-02       2.338291041212e+04 
       2.760533294667e-02       2.329093118719e+04 
       2.773705418273e-02       2.319886951777e+04 
       2.786908352235e-02       2.310674353646e+04 
       2.800142853243e-02       2.301455916176e+04 
       2.813409699967e-02       2.292221131999e+04 
       2.826709693835e-02       2.282990588898e+04 
       2.840043659852e-02       2.273757211732e+04 
       2.853412447450e-02       2.264506870015e+04 
       2.866816931377e-02       2.255259782124e+04 
       2.880258012627e-02       2.246003335226e+04 
       2.893736619415e-02       2.236756340001e+04 
       2.907253708194e-02       2.227503250920e+04 
       2.920810264721e-02       2.218250651547e+04 
       2.934407305175e-02       2.208999954964e+04 
       2.948045877321e-02       2.199739350994e+04 
       2.961727061742e-02       2.190483116540e+04 
       2.975451973121e-02       2.181232809345e+04 
       2.989221761589e-02       2.171976650041e+04 
       3.003037614139e-02       2.162732257323e+04 
       3.016900756117e-02       2.153491578540e+04 
       3.030812452776e-02       2.144242956722e+04 
       3.044774010920e-02       2.135008734812e+04 
       3.058786780630e-02       2.125780504221e+04 
       3.072852157076e-02       2.116551994906e+04 
       3.086971582433e-02       2.107330640628e+04 
       3.101146547885e-02       2.098110014720e+04 
       3.115378595751e-02       2.088900777924e+04 
