# Matter power spectrum P(k) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.608806565107e-06       6.158146199366e+01 
       2.145156745703e-05       1.335748255055e+02 
       3.332954735221e-05       2.042782156209e+02 
       4.526975115419e-05       2.744214382475e+02 
       5.729956186539e-05       3.444079317705e+02 
       6.944694710181e-05       4.145323089407e+02 
       8.174067122832e-05       4.850409977357e+02 
       9.421051552855e-05       5.561567472929e+02 
       1.068875088434e-04       6.280909358618e+02 
       1.198041711362e-04       7.010507790593e+02 
       1.329947724596e-04       7.752441256892e+02 
       1.464956097987e-04       8.508830147134e+02 
       1.603453042204e-04       9.281865575711e+02 
       1.745851206528e-04       1.007383450046e+03 
       1.892593124115e-04       1.088714305693e+03 
       2.044154922346e-04       1.172433881811e+03 
       2.201050310352e-04       1.258813270640e+03 
       2.363834847410e-04       1.348142102494e+03 
       2.533110483824e-04       1.440730742079e+03 
       2.709530348823e-04       1.536912494734e+03 
       2.893803736693e-04       1.637045783067e+03 
       3.086701210935e-04       1.741516239248e+03 
       3.289059705157e-04       1.850738664770e+03 
       3.501787446709e-04       1.965158704935e+03 
       3.725868463269e-04       2.085254153353e+03 
       3.962366352877e-04       2.211535654239e+03 
       4.212426904911e-04       2.344546605733e+03 
       4.477279056125e-04       2.484861967316e+03 
       4.758233558858e-04       2.633085675454e+03 
       5.056678639574e-04       2.789846270223e+03 
       5.374071853343e-04       2.955790368702e+03 
       5.711927319294e-04       3.131573663063e+03 
       6.071797585811e-04       3.317849076575e+03 
       6.455249558241e-04       3.515251952350e+03 
       6.863834258880e-04       3.724382325963e+03 
       7.299050697801e-04       3.945784590212e+03 
       7.762304804195e-04       4.179925250029e+03 
       8.254865149471e-04       4.427169928382e+03 
       8.777817983007e-04       4.687761046646e+03 
       9.332024751379e-04       4.961798035880e+03 
       9.918085613878e-04       5.249221913558e+03 
       1.053631235555e-03       5.549806086624e+03 
       1.118671346315e-03       5.863154619264e+03 
       1.186899301353e-03       6.188708537498e+03 
       1.258256359613e-03       6.525759891561e+03 
       1.332657200755e-03       6.873472580620e+03 
       1.340840250952e-03       6.911485498333e+03 
       1.409993519211e-03       7.230907681360e+03 
       1.490138307530e-03       7.597051464972e+03 
       1.572950464739e-03       7.970843762850e+03 
       1.658279387686e-03       8.351204642079e+03 
       1.745969263858e-03       8.737058832152e+03 
       1.835862865565e-03       9.127355839150e+03 
       1.927804730282e-03       9.521086790753e+03 
       2.021643687598e-03       9.917296421108e+03 
       2.117234751992e-03       1.031509182747e+04 
       2.214440440455e-03       1.071364688221e+04 
       2.313131596169e-03       1.111220442739e+04 
       2.413187807521e-03       1.151007614635e+04 
       2.514497509855e-03       1.190664012841e+04 
       2.616957849248e-03       1.230133888796e+04 
       2.720474376409e-03       1.269367439924e+04 
       2.824960626633e-03       1.308320495168e+04 
       2.930337630105e-03       1.346953988485e+04 
       3.036533386399e-03       1.385233564738e+04 
       3.143482328220e-03       1.423129143300e+04 
       3.251124792182e-03       1.460614473211e+04 
       3.359406508800e-03       1.497666878588e+04 
       3.468278119440e-03       1.534266771667e+04 
       3.577694724771e-03       1.570397409071e+04 
       3.687615466840e-03       1.606044649169e+04 
       3.798003145249e-03       1.641196524761e+04 
       3.908823866730e-03       1.675843203868e+04 
       4.020046726690e-03       1.709976496238e+04 
       4.131643520835e-03       1.743590070504e+04 
       4.243588484725e-03       1.776678772641e+04 
       4.355858059030e-03       1.809238858812e+04 
       4.468430678260e-03       1.841267597300e+04 
       4.581286580801e-03       1.872763292172e+04 
       4.694407638220e-03       1.903725047779e+04 
       4.807777201933e-03       1.934152905390e+04 
       4.921379965466e-03       1.964047137403e+04 
       5.035201840715e-03       1.993409173182e+04 
       5.149229846737e-03       2.022240781150e+04 
       5.263452009761e-03       2.050544220510e+04 
       5.377857273226e-03       2.078321894533e+04 
       5.492435416790e-03       2.105577093167e+04 
       5.607176983354e-03       2.132312962995e+04 
       5.722073213252e-03       2.158533173222e+04 
       5.837115984859e-03       2.184241891191e+04 
       5.952297760926e-03       2.209442493072e+04 
       6.067611540054e-03       2.234139888718e+04 
       6.183050812766e-03       2.258338271746e+04 
       6.298609521706e-03       2.282041992793e+04 
       6.414282025528e-03       2.305256055665e+04 
       6.530063066118e-03       2.327984836475e+04 
       6.645947738794e-03       2.350233171124e+04 
       6.761931465189e-03       2.372006372521e+04 
       6.878009968562e-03       2.393308538106e+04 
       6.994179251274e-03       2.414145303509e+04 
       7.110435574241e-03       2.434521515963e+04 
       7.226775438162e-03       2.454441937696e+04 
       7.343195566339e-03       2.473911680861e+04 
       7.459692888970e-03       2.492935849692e+04 
       7.576264528736e-03       2.511519747768e+04 
       7.692907787600e-03       2.529668039666e+04 
       7.809620134675e-03       2.547385551367e+04 
       7.926399195086e-03       2.564677470488e+04 
       8.043242739716e-03       2.581548959487e+04 
       8.160148675780e-03       2.598004956771e+04 
       8.277115038132e-03       2.614050146350e+04 
       8.394139981253e-03       2.629689808196e+04 
       8.511221771859e-03       2.644927871098e+04 
       8.628358782070e-03       2.659770011519e+04 
       8.745549483106e-03       2.674220692651e+04 
       8.862792439445e-03       2.688284739399e+04 
       8.980086303427e-03       2.701966013394e+04 
       9.097429810247e-03       2.715269970213e+04 
       9.214821773323e-03       2.728201025924e+04 
       9.332261079998e-03       2.740763653754e+04 
       9.449746687547e-03       2.752963210068e+04 
       9.567277619478e-03       2.764803043733e+04 
