# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       9.608806565107e-06      -1.307809988286e-03      -9.813765513031e-04      -9.813765747609e-04      -1.308976515852e-03      -1.307795120786e-03      -9.814802717732e-04       4.492604408587e-01       4.491106841017e-01 
       2.145156745703e-05      -6.504377044636e-03      -4.891163949432e-03      -4.891164531944e-03      -6.509882115746e-03      -6.504005986475e-03      -4.891676884120e-03       4.492567584214e-01       4.491074600470e-01 
       3.332954735221e-05      -1.564306910721e-02      -1.180723837234e-02      -1.180724176457e-02      -1.565504515774e-02      -1.564090978911e-02      -1.180845953378e-02       4.492502206338e-01       4.491017306255e-01 
       4.526975115419e-05      -2.870353420511e-02      -2.178206252077e-02      -2.178207405431e-02      -2.872215712936e-02      -2.869621696933e-02      -2.178427013539e-02       4.492408038557e-01       4.490934740753e-01 
       5.729956186539e-05      -4.566025530338e-02      -3.489607401147e-02      -3.489610357494e-02      -4.568284852351e-02      -4.564157746317e-02      -3.489951612043e-02       4.492284486238e-01       4.490826340253e-01 
       6.944694710181e-05      -6.648013807462e-02      -5.125890069705e-02      -5.125896438273e-02      -6.650021070280e-02      -6.644010877993e-02      -5.126378474045e-02       4.492130660195e-01       4.490691258774e-01 
       8.174067122832e-05      -9.111925639286e-02      -7.101107902671e-02      -7.101120101339e-02      -9.112545348584e-02      -9.104305546796e-02      -7.101756003641e-02       4.491945526956e-01       4.490528516555e-01 
       9.421051552855e-05      -1.195186526138e-01      -9.432631009273e-02      -9.432652484193e-02      -1.194935945360e-01      -1.193854820532e-01      -9.433447708494e-02       4.491727762739e-01       4.490336852968e-01 
       1.068875088434e-04      -1.515990728703e-01      -1.214143081350e-01      -1.214146629897e-01      -1.515180620904e-01      -1.513808801858e-01      -1.214241682488e-01       4.491475789804e-01       4.490114761041e-01 
       1.198041711362e-04      -1.872544929576e-01      -1.525243058226e-01      -1.525248641192e-01      -1.870840650822e-01      -1.869145442735e-01      -1.525357657020e-01       4.491187753481e-01       4.489860462309e-01 
       1.329947724596e-04      -2.263442656247e-01      -1.879492986162e-01      -1.879501434281e-01      -2.260405714728e-01      -2.258355563440e-01      -1.879621424622e-01       4.490861502200e-01       4.489571883784e-01 
       1.464956097987e-04      -2.686837353323e-01      -2.280311283122e-01      -2.280323670071e-01      -2.681907296411e-01      -2.679472153646e-01      -2.280449920008e-01       4.490494571973e-01       4.489246638894e-01 
       1.603453042204e-04      -3.140331278795e-01      -2.731665249615e-01      -2.731682947231e-01      -3.132805760946e-01      -3.129957540798e-01      -2.731808655066e-01       4.490084154095e-01       4.488881990211e-01 
       1.745851206528e-04      -3.620846160839e-01      -3.238142492474e-01      -3.238167238410e-01      -3.609859086533e-01      -3.606572231178e-01      -3.238283089124e-01       4.489627052129e-01       4.488474800565e-01 
       1.892593124115e-04      -4.124474809771e-01      -3.805035065295e-01      -3.805069045850e-01      -4.108972846009e-01      -4.105225012054e-01      -3.805162708159e-01       4.489119675020e-01       4.488021518514e-01 
       2.044154922346e-04      -4.646313970365e-01      -4.438438246733e-01      -4.438484197957e-01      -4.625032265372e-01      -4.620805148966e-01      -4.438539733977e-01       4.488557989462e-01       4.487518121239e-01 
       2.201050310352e-04      -5.180281738865e-01      -5.145366241273e-01      -5.145427573436e-01      -5.151719476740e-01      -5.146999783581e-01      -5.145424749983e-01       4.487937472050e-01       4.486960055114e-01 
       2.363834847410e-04      -5.718924792513e-01      -5.933887440271e-01      -5.933968390286e-01      -5.681322491400e-01      -5.676103068198e-01      -5.933881881914e-01       4.487253086405e-01       4.486342198615e-01 
       2.533110483824e-04      -6.253226139127e-01      -6.813282139564e-01      -6.813387957336e-01      -6.204547405193e-01      -6.198828513684e-01      -6.813186433571e-01       4.486499228043e-01       4.485658790155e-01 
       2.709530348823e-04      -6.772432340030e-01      -7.794226048704e-01      -7.794363227678e-01      -6.710352687679e-01      -6.704143418285e-01      -7.794008321200e-01       4.485669686574e-01       4.484903370198e-01 
       2.893803736693e-04      -7.263924100401e-01      -8.889003180844e-01      -8.889179735858e-01      -7.185834335879e-01      -7.179154122235e-01      -8.888624896611e-01       4.484757603507e-01       4.484068715795e-01 
       3.086701210935e-04      -7.713175121598e-01      -1.011175192853e+00      -1.011197773828e+00      -7.616203917207e-01      -7.609084021014e-01      -1.011116698890e+00       4.483755420577e-01       4.483146762946e-01 
       3.289059705157e-04      -8.103850902298e-01      -1.147874834251e+00      -1.147903556408e+00      -7.984917872855e-01      -7.977402849984e-01      -1.147790218963e+00       4.482654857506e-01       4.482128556374e-01 
       3.501787446709e-04      -8.418124861522e-01      -1.300873028004e+00      -1.300909385011e+00      -8.274035708095e-01      -8.266184497499e-01      -1.300755907744e+00       4.481446855309e-01       4.481004164583e-01 
