# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.414442951529e-10       4.228367948600e-15       3.514914052345e-13       0.000000000000e+00       8.015229617158e-09       4.690365302028e-10      -1.855764695354e-12 
    3       1.332387423735e-10       5.369240699932e-15       3.959070749959e-13       0.000000000000e+00       5.012609635675e-09       3.324526949225e-10      -1.395750618120e-12 
    4       1.256546885172e-10       4.590776549479e-15       3.696586742336e-13       0.000000000000e+00       3.496598434326e-09       2.512049267162e-10      -9.050163582267e-13 
    5       1.200031588704e-10       3.026084421134e-15       3.140924208874e-13       0.000000000000e+00       2.612603159967e-09       1.980403215772e-10      -4.952223928751e-13 
    6       1.161087757724e-10       1.676210193161e-15       2.523574561399e-13       0.000000000000e+00       2.040970741383e-09       1.609219233195e-10      -1.962398026038e-13 
    7       1.136099779469e-10       9.062603995674e-16       1.977526923597e-13       0.000000000000e+00       1.645340233164e-09       1.337984745113e-10      -8.354087463932e-15 
    8       1.120801051718e-10       5.910402872786e-16       1.560368004104e-13       0.000000000000e+00       1.358765779706e-09       1.132609509452e-10       8.480906058389e-14 
    9       1.113135752444e-10       4.762200816154e-16       1.283529375135e-13       0.000000000000e+00       1.144075425484e-09       9.728070442604e-11       1.078959716015e-13 
   10       1.111163122283e-10       4.035157683003e-16       1.131827141232e-13       0.000000000000e+00       9.784725949401e-10       8.460485083131e-11       8.773744738878e-14 
   11       1.113218586532e-10       3.375593313007e-16       1.078205807269e-13       0.000000000000e+00       8.242574510513e-10       7.463701399718e-11       4.891460875069e-14 
   12       1.119027817051e-10       2.948879740990e-16       1.092537498290e-13       0.000000000000e+00       7.202673418197e-10       6.613028490073e-11       9.204321361710e-15 
   13       1.127169169207e-10       2.843593991829e-16       1.146973453063e-13       0.000000000000e+00       6.348939634828e-10       5.899553902104e-11      -2.016764583740e-14 
   14       1.136992947794e-10       2.967330068636e-16       1.221382871885e-13       0.000000000000e+00       5.638482015818e-10       5.286115829002e-11      -3.509275765313e-14 
   15       1.148756782660e-10       3.209696617901e-16       1.303719244431e-13       0.000000000000e+00       5.040424425601e-10       4.768508227671e-11      -3.657082427979e-14 
   16       1.162191806715e-10       3.558761339885e-16       1.386953700852e-13       0.000000000000e+00       4.531898032907e-10       4.327748485600e-11      -2.901407521785e-14 
   17       1.176486648417e-10       4.073180408261e-16       1.470330232125e-13       0.000000000000e+00       4.095627343181e-10       3.943126871667e-11      -1.787904687242e-14 
   18       1.191846190060e-10       4.799008657388e-16       1.556008702111e-13       0.000000000000e+00       3.716920110112e-10       3.602009520442e-11      -7.924564899199e-15 
   19       1.208363919829e-10       5.735591217819e-16       1.646012761164e-13       0.000000000000e+00       3.389793165455e-10       3.302107026309e-11      -1.451759469954e-15 
   20       1.225441300336e-10       6.861506922945e-16       1.741787946921e-13       0.000000000000e+00       3.101656327911e-10       3.036746152562e-11       2.195844220803e-16 
   21       1.243200684128e-10       8.172040290632e-16       1.842511621344e-13       0.000000000000e+00       2.847992548927e-10       2.804295905465e-11      -2.108444400913e-15 
   22       1.261669419390e-10       9.664861410812e-16       1.945900830514e-13       0.000000000000e+00       2.622739475622e-10       2.600388857393e-11      -6.516291693039e-15 
   23       1.280780704192e-10       1.134067343814e-15       2.048963299529e-13       0.000000000000e+00       2.422802798721e-10       2.419593961980e-11      -1.126097409706e-14 
   24       1.300238810556e-10       1.319980356145e-15       2.147918298891e-13       0.000000000000e+00       2.243563443151e-10       2.253967027335e-11      -1.459426311770e-14 
   25       1.320095431342e-10       1.524535156658e-15       2.239180868192e-13       0.000000000000e+00       2.082918942934e-10       2.101561517876e-11      -1.593253503097e-14 
   26       1.340368801443e-10       1.748351339489e-15       2.319491083181e-13       0.000000000000e+00       1.937969150418e-10       1.961321278799e-11      -1.522421568132e-14 
