# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.414447597423e-10       4.228593800884e-15       3.514914012591e-13       2.258522790061e-19       8.015229617158e-09       4.690365302028e-10      -1.855764695354e-12 
    3       1.332396693278e-10       5.369692518480e-15       3.959070572781e-13       4.518184945294e-19       5.012609635675e-09       3.324526949225e-10      -1.395750618120e-12 
    4       1.256562285579e-10       4.591529830609e-15       3.696586233176e-13       7.532808732323e-19       3.496598434326e-09       2.512049267162e-10      -9.050163582267e-13 
    5       1.200054599172e-10       3.027214804696e-15       3.140923048785e-13       1.130382699198e-18       2.612603159967e-09       1.980403215772e-10      -4.952223928751e-13 
    6       1.161119823801e-10       1.677793491379e-15       2.523572279888e-13       1.583295925706e-18       2.040970741383e-09       1.609219233195e-10      -1.962398026038e-13 
    7       1.136142308253e-10       9.083726215383e-16       1.977522873858e-13       2.112216814076e-18       1.645340233164e-09       1.337984745113e-10      -8.354087463932e-15 
    8       1.120855408003e-10       5.937576585769e-16       1.560361340967e-13       2.717361085071e-18       1.358765779706e-09       1.132609509452e-10       8.480906058389e-14 
    9       1.113203255870e-10       4.796190586159e-16       1.283519035968e-13       3.398958765917e-18       1.144075425484e-09       9.728070442604e-11       1.078959716015e-13 
   10       1.111245045528e-10       4.076730469857e-16       1.131811829926e-13       4.157248925785e-18       9.784725949401e-10       8.460485083131e-11       8.773744738878e-14 
   11       1.113316154544e-10       3.425518504878e-16       1.078183981369e-13       4.992474494416e-18       8.242574510513e-10       7.463701399718e-11       4.891460875069e-14 
