#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.007318540085e-03       1.511880385159e-08      -1.202247487342e+00       2.106105629643e-05       3.789090709767e-15       9.472726774418e-15       9.586334159357e-26       1.894545354884e-15      -9.016856155065e-01       2.106105629643e-05       6.011209634501e-01       6.994381527616e-01      -1.202247487342e+00       2.106105583680e-05       1.967763273227e-08      -9.016856155065e-01       2.106105725219e-05 
       7.014548215926e-03       1.513440260607e-08      -1.202244521454e+00       2.108273336498e-05       3.800821463534e-15       9.502053658835e-15       9.635865551864e-26       1.900410731767e-15      -9.016833910907e-01       2.108273336498e-05       6.011216419961e-01       6.994388942843e-01      -1.202244521454e+00       2.108273290392e-05       1.971827087481e-08      -9.016833910907e-01       2.108273432369e-05 
       7.021777891766e-03       1.515000136096e-08      -1.202241612749e+00       2.110441133654e-05       3.812576567385e-15       9.531441418464e-15       9.685601886565e-26       1.906288283693e-15      -9.016812095619e-01       2.110441133654e-05       6.011223080343e-01       6.994396215114e-01      -1.202241612749e+00       2.110441087405e-05       1.975895065057e-08      -9.016812095619e-01       2.110441229823e-05 
       7.053009901406e-03       1.521738757686e-08      -1.202236669441e+00       2.119819278897e-05       3.863661126687e-15       9.659152816718e-15       9.902889390827e-26       1.931830563344e-15      -9.016775020808e-01       2.119819278897e-05       6.011234530503e-01       6.994408575587e-01      -1.202236669441e+00       2.119819232028e-05       1.993513309207e-08      -9.016775020808e-01       2.119819376355e-05 
       7.084241911046e-03       1.528477380040e-08      -1.202235592620e+00       2.129204193118e-05       3.915212430644e-15       9.788031076611e-15       1.012409143530e-25       1.957606215322e-15      -9.016766944650e-01       2.129204193118e-05       6.011237202029e-01       6.994411269851e-01      -1.202235592620e+00       2.129204145624e-05       2.011207952293e-08      -9.016766944650e-01       2.129204291877e-05 
       7.115473920685e-03       1.535216003157e-08      -1.202235634928e+00       2.138591078448e-05       3.967223920057e-15       9.918059800142e-15       1.034923831107e-25       1.983611960028e-15      -9.016767261957e-01       2.138591078448e-05       6.011237328566e-01       6.994411166304e-01      -1.202235634928e+00       2.138591030322e-05       2.028980247898e-08      -9.016767261957e-01       2.138591178518e-05 
       7.146705930325e-03       1.541954627037e-08      -1.202235885394e+00       2.147978337989e-05       4.019694715664e-15       1.004923678916e-14       1.057837493611e-25       2.009847357832e-15      -9.016769140453e-01       2.147978337989e-05       6.011236982169e-01       6.994410542369e-01      -1.202235885394e+00       2.147978289227e-05       2.046830639432e-08      -9.016769140453e-01       2.147978439383e-05 
       7.226172305217e-03       1.559100309470e-08      -1.202235483004e+00       2.171861305994e-05       4.155278970923e-15       1.038819742731e-14       1.117972182664e-25       2.077639485462e-15      -9.016766122530e-01       2.171861305994e-05       6.011238653714e-01       6.994411554065e-01      -1.202235483004e+00       2.171861255587e-05       2.092601546634e-08      -9.016766122530e-01       2.171861410808e-05 
       7.305638680108e-03       1.576245996845e-08      -1.202235020809e+00       2.195744142397e-05       4.293878058505e-15       1.073469514626e-14       1.180811015679e-25       2.146939029252e-15      -9.016762656064e-01       2.195744142397e-05       6.011240478788e-01       6.994412715338e-01      -1.202235020809e+00       2.195744090309e-05       2.138878550641e-08      -9.016762656064e-01       2.195744250707e-05 
       7.385105055000e-03       1.593391689162e-08      -1.202234629449e+00       2.219627084414e-05       4.435525593809e-15       1.108881398452e-14       1.246444314046e-25       2.217762796905e-15      -9.016759720867e-01       2.219627084414e-05       6.011242124939e-01       6.994413699586e-01      -1.202234629449e+00       2.219627030608e-05       2.185661660272e-08      -9.016759720867e-01       2.219627196297e-05 
       7.464571429891e-03       1.610537386421e-08      -1.202234290029e+00       2.243510099242e-05       4.580254681679e-15       1.145063670420e-14       1.314964247362e-25       2.290127340839e-15      -9.016757175215e-01       2.243510099242e-05       6.011243635125e-01       6.994414554047e-01      -1.202234290029e+00       2.243510043680e-05       2.232950873131e-08      -9.016757175215e-01       2.243510214776e-05 
       7.692058980599e-03       1.659620219900e-08      -1.202234848433e+00       2.311882583720e-05       5.011909025908e-15       1.252977256477e-14       1.527929479080e-25       2.505954512954e-15      -9.016761363248e-01       2.311882583720e-05       6.011244069270e-01       6.994413175308e-01      -1.202234848433e+00       2.311882522922e-05       2.371123511340e-08      -9.016761363248e-01       2.311882710143e-05 
       7.919546531307e-03       1.708703093879e-08      -1.202236432492e+00       2.380257104069e-05       5.469870534218e-15       1.367467633554e-14       1.767636475583e-25       2.734935267109e-15      -9.016773243690e-01       2.380257104069e-05       6.011241831767e-01       6.994409232950e-01      -1.202236432492e+00       2.380257037715e-05       2.513443909127e-08      -9.016773243690e-01       2.380257242043e-05 
       8.147034082014e-03       1.757786008358e-08      -1.202238179291e+00       2.448632076236e-05       5.954914095129e-15       1.488728523782e-14       2.036527145293e-25       2.977457047564e-15      -9.016786344679e-01       2.448632076236e-05       6.011239056982e-01       6.994404884263e-01      -1.202238179291e+00       2.448632003998e-05       2.659912153478e-08      -9.016786344679e-01       2.448632226443e-05 
       8.374521632722e-03       1.806868963338e-08      -1.202239745356e+00       2.517006809097e-05       6.467816067965e-15       1.616954016991e-14       2.337188135681e-25       3.233908033982e-15      -9.016798090170e-01       2.517006809097e-05       6.011236610258e-01       6.994400987926e-01      -1.202239745356e+00       2.517006730638e-05       2.810528275878e-08      -9.016798090170e-01       2.517006972242e-05 
       8.602009183430e-03       1.855951958817e-08      -1.202241120987e+00       2.585381250588e-05       7.009354166253e-15       1.752338541563e-14       2.672355068128e-25       3.504677083126e-15      -9.016808407403e-01       2.585381250588e-05       6.011234539298e-01       6.994397568194e-01      -1.202241120987e+00       2.585381165560e-05       2.965292251989e-08      -9.016808407403e-01       2.585381427392e-05 
       9.166626719399e-03       1.977774712154e-08      -1.202243668414e+00       2.755083076769e-05       8.482195410223e-15       2.120548852556e-14       3.672354591810e-25       4.241097705111e-15      -9.016827513106e-01       2.755083076769e-05       6.011231255114e-01       6.994391249882e-01      -1.202243668414e+00       2.755082973874e-05       3.367335060833e-08      -9.016827513106e-01       2.755083290723e-05 
       9.731244255369e-03       2.099597714978e-08      -1.202245936297e+00       2.924784573223e-05       1.014812918811e-14       2.537032297027e-14       4.951546548637e-25       5.074064594054e-15      -9.016844522227e-01       2.924784573223e-05       6.011228526439e-01       6.994385633624e-01      -1.202245936297e+00       2.924784450120e-05       3.794928425657e-08      -9.016844522227e-01       2.924784829197e-05 
