#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.007238461859e-04       1.511845815377e-09      -1.202238127496e+00       2.106089254067e-04       3.788889327827e-16       9.472223319567e-16       9.585386303688e-28       1.894444663913e-16      -9.016785956219e-01       2.106089254067e-04       6.011208398978e-01       6.994404927226e-01      -1.202238127496e+00       2.106089208106e-04       1.967723086170e-08      -9.016785956219e-01       2.106089349641e-04 
       7.014468041867e-04       1.513405634448e-09      -1.202235150999e+00       2.108256946223e-04       3.800619359402e-16       9.501548398506e-16       9.634912284762e-28       1.900309679701e-16      -9.016763632492e-01       2.108256946223e-04       6.011215185185e-01       6.994412368976e-01      -1.202235150999e+00       2.108256900120e-04       1.971786814962e-08      -9.016763632492e-01       2.108257042093e-04 
       7.021697621875e-04       1.514965453522e-09      -1.202232227723e+00       2.110424721330e-04       3.812373725901e-16       9.530934314751e-16       9.684643148859e-28       1.906186862950e-16      -9.016741707919e-01       2.110424721330e-04       6.011221854889e-01       6.994419677676e-01      -1.202232227723e+00       2.110424675083e-04       1.975854706981e-08      -9.016741707919e-01       2.110424817497e-04 
       7.052929218409e-04       1.521703831174e-09      -1.202227248281e+00       2.119802821625e-04       3.863455169160e-16       9.658637922899e-16       9.901906957190e-28       1.931727584580e-16      -9.016704362108e-01       2.119802821625e-04       6.011233287312e-01       6.994432128481e-01      -1.202227248281e+00       2.119802774758e-04       1.993472581233e-08      -9.016704362108e-01       2.119802919081e-04 
       7.084160814943e-04       1.528442208902e-09      -1.202226123022e+00       2.129187668202e-04       3.915003280069e-16       9.787508200172e-16       1.012308471451e-27       1.957501640034e-16      -9.016695922662e-01       2.129187668202e-04       6.011235967731e-01       6.994434943842e-01      -1.202226123022e+00       2.129187620710e-04       2.011166852904e-08      -9.016695922662e-01       2.129187766959e-04 
       7.115392411478e-04       1.535180586706e-09      -1.202226129543e+00       2.138574509910e-04       3.967011585132e-16       9.917528962829e-16       1.034820692655e-27       1.983505792566e-16      -9.016695971576e-01       2.138574509910e-04       6.011236075793e-01       6.994434929759e-01      -1.202226129543e+00       2.138574461788e-04       2.028938775642e-08      -9.016695971576e-01       2.138574609979e-04 
       7.146624008012e-04       1.541918964586e-09      -1.202226338348e+00       2.147961715131e-04       4.019479141167e-16       1.004869785292e-15       1.057731833931e-27       2.009739570584e-16      -9.016697537612e-01       2.147961715131e-04       6.011235723618e-01       6.994434409978e-01      -1.202226338348e+00       2.147961666372e-04       2.046788792846e-08      -9.016697537612e-01       2.147961816523e-04 
       7.226089307144e-04       1.559064012682e-09      -1.202225825122e+00       2.171844529622e-04       4.155054934382e-16       1.038763733595e-15       1.117859855226e-27       2.077527467191e-16      -9.016693688412e-01       2.171844529622e-04       6.011237390972e-01       6.994435698766e-01      -1.202225825122e+00       2.171844479218e-04       2.092558726527e-08      -9.016693688412e-01       2.171844634434e-04 
       7.305554606275e-04       1.576209061272e-09      -1.202225265770e+00       2.195727240769e-04       4.293645376971e-16       1.073411344243e-15       1.180691693209e-27       2.146822688485e-16      -9.016689493277e-01       2.195727240769e-04       6.011239182223e-01       6.994437102929e-01      -1.202225265770e+00       2.195727188684e-04       2.138834747297e-08      -9.016689493277e-01       2.195727349077e-04 
       7.385019905407e-04       1.593354110355e-09      -1.202224761126e+00       2.219610028343e-04       4.435283968948e-16       1.108820992237e-15       1.246317625312e-27       2.217641984474e-16      -9.016685708443e-01       2.219610028343e-04       6.011240829461e-01       6.994438370388e-01      -1.202224761126e+00       2.219609974540e-04       2.185616863758e-08      -9.016685708443e-01       2.219610140225e-04 
       7.464485204539e-04       1.610499159934e-09      -1.202224324654e+00       2.243492922490e-04       4.580003935675e-16       1.145000983919e-15       1.314829841836e-27       2.290001967838e-16      -9.016682434903e-01       2.243492922490e-04       6.011242305586e-01       6.994439467479e-01      -1.202224324654e+00       2.243492866931e-04       2.232905073805e-08      -9.016682434903e-01       2.243493038022e-04 
       7.691972404103e-04       1.659580703383e-09      -1.202224573981e+00       2.311865830933e-04       5.011636005817e-16       1.252909001454e-15       1.527773489296e-27       2.505818002908e-16      -9.016684304860e-01       2.311865830933e-04       6.011242709939e-01       6.994438861431e-01      -1.202224573981e+00       2.311865770138e-04       2.371076469063e-08      -9.016684304860e-01       2.311865957354e-04 
       7.919459603668e-04       1.708662250883e-09      -1.202225856242e+00       2.380240806100e-04       5.469573803962e-16       1.367393450991e-15       1.767456086848e-27       2.734786901981e-16      -9.016693921813e-01       2.380240806100e-04       6.011240426830e-01       6.994435673570e-01      -1.202225856242e+00       2.380240739750e-04       2.513395644671e-08      -9.016693921813e-01       2.380240944072e-04 
       8.146946803232e-04       1.757743802432e-09      -1.202227302229e+00       2.448616251680e-04       5.954592125735e-16       1.488648031434e-15       2.036319243641e-27       2.977296062868e-16      -9.016704766714e-01       2.448616251680e-04       6.011237604255e-01       6.994432076911e-01      -1.202227302229e+00       2.448616179446e-04       2.659862688617e-08      -9.016704766714e-01       2.448616401886e-04 
       8.374434002797e-04       1.806825358031e-09      -1.202228565765e+00       2.516991470729e-04       6.467467245708e-16       1.616866811427e-15       2.336949286817e-27       3.233733622854e-16      -9.016714243235e-01       2.516991470729e-04       6.011235113450e-01       6.994428936898e-01      -1.202228565765e+00       2.516991392274e-04       2.810477633256e-08      -9.016714243235e-01       2.516991633872e-04 
       8.601921202361e-04       1.855906917681e-09      -1.202229639314e+00       2.585366415799e-04       7.008976815746e-16       1.752244203936e-15       2.672081501715e-27       3.504488407873e-16      -9.016722294856e-01       2.585366415799e-04       6.011232997448e-01       6.994426272370e-01      -1.202229639314e+00       2.585366330775e-04       2.965240455208e-08      -9.016722294856e-01       2.585366592601e-04 
       9.166540186220e-04       1.977726450251e-09      -1.202231436694e+00       2.755070259262e-04       8.481745954262e-16       2.120436488566e-15       3.671980785666e-27       4.240872977131e-16      -9.016735775205e-01       2.755070259262e-04       6.011229602145e-01       6.994421829175e-01      -1.202231436694e+00       2.755070156373e-04       3.367282211834e-08      -9.016735775205e-01       2.755070473215e-04 
       9.731159170079e-04       2.099546007770e-09      -1.202232962186e+00       2.924773893885e-04       1.014759733927e-15       2.536899334817e-15       4.951043175564e-27       5.073798669634e-16      -9.016747216396e-01       2.924773893885e-04       6.011226745557e-01       6.994418068894e-01      -1.202232962186e+00       2.924773770788e-04       3.794874902631e-08      -9.016747216396e-01       2.924774149858e-04 
       1.029577815394e-03       2.221365590238e-09      -1.202234518222e+00       3.094477981731e-04       1.201842651777e-15       3.004606629442e-15       6.564027454706e-27       6.009213258884e-16      -9.016758886669e-01       3.094477981731e-04       6.011223697713e-01       6.994414235446e-01      -1.202234518222e+00       3.094477835941e-04       4.248018546303e-08      -9.016758886669e-01       3.094478284895e-04 
       1.086039713780e-03       2.343185197655e-09      -1.202235930625e+00       3.264182064689e-04       1.410612533529e-15       3.526531333822e-15       8.572424416525e-27       7.053062667644e-16      -9.016769479685e-01       3.264182064689e-04       6.011220768063e-01       6.994410764277e-01      -1.202235930625e+00       3.264181893574e-04       4.726713896340e-08      -9.016769479685e-01       3.264182420514e-04 
       1.142501612166e-03       2.465004830021e-09      -1.202237048140e+00       3.433885643092e-04       1.642258466695e-15       4.105646166737e-15       1.104484828627e-26       8.211292333474e-16      -9.016777861053e-01       3.433885643092e-04       6.011218321595e-01       6.994408033519e-01      -1.202237048140e+00       3.433885443877e-04       5.230961296584e-08      -9.016777861053e-01       3.433886057349e-04 
       1.198963510552e-03       2.586824487336e-09      -1.202237952805e+00       3.603588841926e-04       1.897969771863e-15       4.744924429656e-15       1.405742949917e-26       9.489848859313e-16      -9.016784646035e-01       3.603588841926e-04       6.011216290062e-01       6.994405838083e-01      -1.202237952805e+00       3.603588611693e-04       5.760760386897e-08      -9.016784646035e-01       3.603589320685e-04 
       1.352409222598e-03       2.917892193321e-09      -1.202239561913e+00       4.064786959875e-04       2.723932867816e-15       6.809832169541e-15       2.566951009404e-26       1.361966433908e-15      -9.016796714349e-01       4.064786959875e-04       6.011212442061e-01       6.994402011426e-01      -1.202239561913e+00       4.064786629449e-04       7.329669191148e-08      -9.016796714349e-01       4.064787646978e-04 
       1.505854934645e-03       3.248960083574e-09      -1.202240787336e+00       4.525984403658e-04       3.760295092170e-15       9.400737730426e-15       4.393325439459e-26       1.880147546085e-15      -9.016805905021e-01       4.525984403658e-04       6.011210115402e-01       6.994399167571e-01      -1.202240787336e+00       4.525983947517e-04       9.087290509821e-08      -9.016805905021e-01       4.525985352178e-04 
       1.659300646691e-03       3.580028158096e-09      -1.202241864969e+00       4.987181678111e-04       5.030929067885e-15       1.257732266971e-14       7.136804089071e-26       2.515464533943e-15      -9.016813987269e-01       4.987181678111e-04       6.011208520839e-01       6.994396716780e-01      -1.202241864969e+00       4.987181067837e-04       1.103362360285e-07      -9.016813987270e-01       4.987182947142e-04 
       1.812746358737e-03       3.911096416886e-09      -1.202242778500e+00       5.448378516647e-04       6.559706865855e-15       1.639926716464e-14       1.110616632596e-25       3.279853432927e-15      -9.016820838753e-01       5.448378516647e-04       6.011207111184e-01       6.994394699833e-01      -1.202242778500e+00       5.448377720926e-04       1.316867416188e-07      -9.016820838754e-01       5.448380171302e-04 
       1.966192070784e-03       4.242164859944e-09      -1.202243556093e+00       5.909574852856e-04       8.370500648745e-15       2.092625162186e-14       1.667282587916e-25       4.185250324372e-15      -9.016826670698e-01       5.909574852856e-04       6.011205736661e-01       6.994393046323e-01      -1.202243556093e+00       5.909573837478e-04       1.549244516117e-07      -9.016826670699e-01       5.909576964272e-04 
       2.119637782830e-03       4.573233487271e-09      -1.202244212637e+00       6.370770575285e-04       1.048718245124e-14       2.621795612811e-14       2.427662274880e-25       5.243591225622e-15      -9.016831594779e-01       6.370770575285e-04       6.011204605399e-01       6.994391719024e-01      -1.202244212637e+00       6.370769303144e-04       1.800493441838e-07      -9.016831594780e-01       6.370773220619e-04 
       2.423861787879e-03       5.229616164957e-09      -1.202245351658e+00       7.285143575593e-04       1.568186984053e-14       3.920467460133e-14       4.747010251804e-25       7.840934920265e-15      -9.016840137436e-01       7.285143575593e-04       6.011202876100e-01       6.994389563882e-01      -1.202245351658e+00       7.285141673315e-04       2.354421578209e-07      -9.016840137438e-01       7.285147531250e-04 
       2.728085792928e-03       5.885999566959e-09      -1.202246437591e+00       8.199515442229e-04       2.235881245498e-14       5.589703113744e-14       8.573771022153e-25       1.117940622749e-14      -9.016848281930e-01       8.199515442229e-04       6.011201921952e-01       6.994387634185e-01      -1.202246437590e+00       8.199512730009e-04       2.982528595564e-07      -9.016848281934e-01       8.199521082095e-04 
       3.032309797977e-03       6.542383693277e-09      -1.202247530603e+00       9.113886319649e-04       3.070405353108e-14       7.676013382769e-14       1.454622939131e-24       1.535202676554e-14      -9.016856479523e-01       9.113886319649e-04       6.011201342539e-01       6.994385779512e-01      -1.202247530603e+00       9.113882595115e-04       3.684814391797e-07      -9.016856479529e-01       9.113894064534e-04 
       3.336533803025e-03       7.198768543912e-09      -1.202248655572e+00       1.002825625038e-03       4.090363664680e-14       1.022590916170e-13       2.346178433522e-24       2.045181832340e-14      -9.016864916790e-01       1.002825625038e-03       6.011200769977e-01       6.994383937672e-01      -1.202248655571e+00       1.002825128859e-03       4.461279684120e-07      -9.016864916798e-01       1.002826656802e-03 
       3.640757808074e-03       7.855154118863e-09      -1.202249792103e+00       1.094262492067e-03       5.314360418797e-14       1.328590104699e-13       3.629469252118e-24       2.657180209398e-14      -9.016873440770e-01       1.094262492067e-03       6.011200188913e-01       6.994382159653e-01      -1.202249792102e+00       1.094261847412e-03       5.311924759313e-07      -9.016873440782e-01       1.094263832573e-03 
       3.944981813123e-03       8.511540418131e-09      -1.202250996960e+00       1.185699275286e-03       6.761000209953e-14       1.690250052488e-13       5.421381594046e-24       3.380500104976e-14      -9.016882477202e-01       1.185699275286e-03       6.011199548367e-01       6.994380303541e-01      -1.202250996959e+00       1.185698455147e-03       6.236749279609e-07      -9.016882477218e-01       1.185700980693e-03 
       4.355874241263e-03       9.398073057304e-09      -1.202252684593e+00       1.309195850421e-03       9.101276465184e-14       2.275319116296e-13       8.897390183588e-24       4.550638232592e-14      -9.016895134450e-01       1.309195850421e-03       6.011198764898e-01       6.994377793015e-01      -1.202252684592e+00       1.309194746396e-03       7.603592212894e-07      -9.016895134475e-01       1.309198146139e-03 
