# Matter power spectrum P(k) at redshift z=0
# for k=1.02716e-05 to 23.4501 h/Mpc,
# number of wavenumbers equal to 850
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027155073070e-05       5.101020107338e+01 
       2.293238174215e-05       1.106508444712e+02 
       3.563623187601e-05       1.692476032772e+02 
       4.841612108324e-05       2.274231882868e+02 
       6.130559711966e-05       2.855302308505e+02 
       7.433902458295e-05       3.438318288478e+02 
       8.755188289218e-05       4.025521283606e+02 
       1.009810770488e-04       4.618969351962e+02 
       1.146652650487e-04       5.220642685523e+02 
       1.286452058459e-04       5.832506835084e+02 
       1.429641317819e-04       6.456556295379e+02 
       1.576681493508e-04       7.094848062810e+02 
       1.728066720381e-04       7.749529989443e+02 
       1.884328886778e-04       8.422866448504e+02 
       2.046042702535e-04       9.117262771648e+02 
       2.213831172066e-04       9.835289311830e+02 
       2.388371479838e-04       1.057970538566e+03 
       2.570401275708e-04       1.135348361575e+03 
       2.760725319049e-04       1.215983404060e+03 
       2.960222400665e-04       1.300222832633e+03 
       3.169852407060e-04       1.388442276664e+03 
       3.390663319275e-04       1.481047963581e+03 
       3.623797844927e-04       1.578478519267e+03 
       3.870499264603e-04       1.681206258747e+03 
       4.132115931721e-04       1.789737716646e+03 
       4.410103700934e-04       1.904613121366e+03 
       4.706025382944e-04       2.026404424162e+03 
       5.021546150456e-04       2.155711471649e+03 
       5.358423680446e-04       2.293155870087e+03 
       5.718491755537e-04       2.439372049809e+03 
       6.103636119985e-04       2.594995177352e+03 
       6.515761660582e-04       2.760645661587e+03 
       6.956750523038e-04       2.936910257833e+03 
       7.428411618043e-04       3.124320228790e+03 
       7.932423100602e-04       3.323327346364e+03 
       8.470270718585e-04       3.534279195434e+03 
       9.043186217786e-04       3.757395617931e+03 
       9.652090971708e-04       3.992748540136e+03 
       1.029755036084e-03       4.240247396086e+03 
       1.097974391874e-03       4.499632069255e+03 
       1.169845483248e-03       4.770474680410e+03 
       1.245308022080e-03       5.052190393285e+03 
       1.324266112579e-03       5.344056380304e+03 
       1.406592886356e-03       5.645237138590e+03 
       1.457785448969e-03       5.830911458344e+03 
       1.492136275074e-03       5.954813455075e+03 
       1.580725352096e-03       6.271812573185e+03 
       1.672176697728e-03       6.595236900015e+03 
       1.766300337890e-03       6.924089748885e+03 
       1.862904940967e-03       7.257396792494e+03 
       1.961802099332e-03       7.594223377264e+03 
       2.062809646387e-03       7.933686922007e+03 
       2.165754053571e-03       8.274965190924e+03 
       2.270472011535e-03       8.617301329818e+03 
       2.376811329494e-03       8.960005076800e+03 
       2.484631293607e-03       9.302451521303e+03 
       2.593802617008e-03       9.644080438706e+03 
       2.704207097426e-03       9.984390526908e+03 
       2.815737078307e-03       1.032293787096e+04 
       2.928294789251e-03       1.065932868405e+04 
       3.041791623320e-03       1.099321788019e+04 
       3.156147393297e-03       1.132430297448e+04 
       3.271289596363e-03       1.165231806281e+04 
       3.387152706862e-03       1.197703387682e+04 
       3.503677509409e-03       1.229825048120e+04 
       3.620810479152e-03       1.261579764495e+04 
       3.738503212130e-03       1.292952748918e+04 
       3.856711906024e-03       1.323931654684e+04 
       3.975396889812e-03       1.354505839050e+04 
       4.094522199770e-03       1.384666620449e+04 
       4.214055198624e-03       1.414406823223e+04 
       4.333966234382e-03       1.443720378838e+04 
       4.454228335282e-03       1.472603065376e+04 
       4.574816937406e-03       1.501050953259e+04 
       4.695709641655e-03       1.529056990774e+04 
       4.816885997007e-03       1.556626961705e+04 
       4.938327307253e-03       1.583757892452e+04 
       5.060016458617e-03       1.610447127043e+04 
       5.181937765964e-03       1.636690262744e+04 
       5.304076835506e-03       1.662507795301e+04 
       5.426420442150e-03       1.687883755098e+04 
       5.548956419837e-03       1.712820881335e+04 
       5.671673563417e-03       1.737245465171e+04 
       5.794561540740e-03       1.761315172965e+04 
       5.917610813838e-03       1.784949835741e+04 
       6.040812568160e-03       1.808157074678e+04 
       6.164158648985e-03       1.830951192875e+04 
       6.287641504205e-03       1.853360982429e+04 
       6.411254132785e-03       1.875300293297e+04 
       6.534990038280e-03       1.896811860534e+04 
       6.658843186867e-03       1.917913570203e+04 
       6.782807969398e-03       1.938623537386e+04 
       6.906879167064e-03       1.958926568810e+04 
       7.031051920274e-03       1.978827793960e+04 
       7.155321700423e-03       1.998317214095e+04 
       7.279684284251e-03       2.017413149733e+04 
       7.404135730526e-03       2.036128781962e+04 
       7.528672358818e-03       2.054513074275e+04 
       7.653290730156e-03       2.072460409727e+04 
       7.777987629375e-03       2.090026203153e+04 
       7.902760049002e-03       2.107219246042e+04 
       8.027605174513e-03       2.124044500282e+04 
       8.152520370849e-03       2.140501436526e+04 
       8.277503170056e-03       2.156595726429e+04 
       8.402551259954e-03       2.172331741998e+04 
       8.527662473732e-03       2.187710647481e+04 
       8.652834780395e-03       2.202741419500e+04 
       8.778066275970e-03       2.217416638173e+04 
       8.903355175419e-03       2.231754129680e+04 
       9.028699805185e-03       2.245751563941e+04 
       9.154098596320e-03       2.259413127129e+04 
       9.279550078147e-03       2.272743630473e+04 
       9.405052872403e-03       2.285744638364e+04 
       9.530605687829e-03       2.298421094816e+04 
       9.656207315165e-03       2.310777721953e+04 
       9.781856622522e-03       2.322814416066e+04 
       9.907552551093e-03       2.334536704553e+04 
       1.003329411118e-02       2.345949268299e+04 
       1.015908037850e-02       2.357054356840e+04 
       1.028491049080e-02       2.367856368359e+04 
       1.041078364465e-02       2.378369776171e+04 
       1.053669909250e-02       2.388568765177e+04 
       1.066265613997e-02       2.398483123401e+04 
       1.078865414329e-02       2.408104549067e+04 
       1.091469250694e-02       2.417445261582e+04 
       1.104077068146e-02       2.426501048751e+04 
       1.116688816139e-02       2.435283269754e+04 
       1.129304448337e-02       2.443773779063e+04 
       1.141923922438e-02       2.451999779069e+04 
       1.154547200010e-02       2.459957473781e+04 
       1.167174246335e-02       2.467642574142e+04 
       1.179805030269e-02       2.475072308336e+04 
       1.192439524110e-02       2.482233838255e+04 
       1.205077703470e-02       2.489146677606e+04 
       1.217719547165e-02       2.495800359890e+04 
       1.230365037106e-02       2.502198776598e+04 
       1.243014158202e-02       2.508353169952e+04 
       1.255666898266e-02       2.514265924461e+04 
       1.268323247927e-02       2.519934514878e+04 
       1.280983200559e-02       2.525361701168e+04 
       1.293646752200e-02       2.530561049198e+04 
