# Matter power spectrum P(k) at redshift z=0
# for k=1.03775e-05 to 8.40488 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037753586731e-05       4.882309718595e+01 
       2.317084389199e-05       1.062689901697e+02 
       3.600852977297e-05       1.628511553367e+02 
       4.892466487517e-05       2.191192107770e+02 
       6.195387649860e-05       2.753938990336e+02 
       7.513165246877e-05       3.319203777532e+02 
       8.849465533977e-05       3.889113720803e+02 
       1.020810503369e-04       4.465649518500e+02 
       1.159308511973e-04       5.050737197476e+02 
       1.300862881004e-04       5.646304369613e+02 
       1.445922018884e-04       6.254319977637e+02 
       1.594964687252e-04       6.876825604455e+02 
       1.748504591816e-04       7.515962630204e+02 
       1.907095353996e-04       8.173997337316e+02 
       2.071335893865e-04       8.853345110626e+02 
       2.241876245035e-04       9.556594672856e+02 
       2.419423806885e-04       1.028653242713e+03 
       2.604750016839e-04       1.104616717954e+03 
       2.798697392814e-04       1.183875499979e+03 
       3.002186850388e-04       1.266782382490e+03 
       3.216225137223e-04       1.353719725139e+03 
       3.441912144981e-04       1.445101603144e+03 
       3.680447752850e-04       1.541375612188e+03 
       3.933137724189e-04       1.643024110389e+03 
       4.201398018510e-04       1.750564607500e+03 
       4.486756699230e-04       1.864548991410e+03 
       4.790852424646e-04       1.985561182695e+03 
       5.115428327527e-04       2.114212716664e+03 
       5.462319953644e-04       2.251135841581e+03 
       5.833435893700e-04       2.396973566668e+03 
       6.230729874019e-04       2.552366338152e+03 
       6.656163443373e-04       2.717935117596e+03 
       7.111659071666e-04       2.894260983809e+03 
       7.599044488025e-04       3.081861779649e+03 
       8.119990386827e-04       3.281166953189e+03 
       8.675945072541e-04       3.492492086153e+03 
       9.268070938714e-04       3.716015363222e+03 
       9.897188545055e-04       3.951758248046e+03 
       1.056373413717e-03       4.199572734177e+03 
       1.126773553971e-03       4.459136963088e+03 
       1.200880947458e-03       4.729960273549e+03 
       1.278618081858e-03       5.011397263099e+03 
       1.359872163689e-03       5.302670076873e+03 
       1.444500558420e-03       5.602896041432e+03 
       1.532337189112e-03       5.911118471925e+03 
       1.623199283010e-03       6.226337312276e+03 
       1.716893917763e-03       6.547537984946e+03 
       1.813223945475e-03       6.873716355775e+03 
       1.911993026160e-03       7.203899206475e+03 
       2.013009649711e-03       7.537159958406e+03 
       2.116090145617e-03       7.872630043317e+03 
       2.221060763528e-03       8.209505504107e+03 
       2.327758955800e-03       8.547051204616e+03 
       2.436034012077e-03       8.884599982001e+03 
       2.545747194051e-03       9.221552363197e+03 
       2.656771504097e-03       9.557374255471e+03 
       2.768991200935e-03       9.891589263899e+03 
       2.882301153343e-03       1.022377980709e+04 
       2.996606102145e-03       1.055357724177e+04 
       3.111819882448e-03       1.088066096494e+04 
       3.227864643160e-03       1.120475005453e+04 
       3.344670088914e-03       1.152560400391e+04 
       3.462172760496e-03       1.184301156005e+04 
       3.580315363164e-03       1.215679453222e+04 
       3.699046147441e-03       1.246679869352e+04 
       3.818318343619e-03       1.277289455609e+04 
       3.938089648986e-03       1.307497228523e+04 
       4.058321765366e-03       1.337294140384e+04 
       4.178979983719e-03       1.366672559847e+04 
       4.300032812148e-03       1.395626624680e+04 
       4.421451643496e-03       1.424151465569e+04 
       4.543210458773e-03       1.452243522946e+04 
       4.665285562809e-03       1.479900279274e+04 
       4.787655348759e-03       1.507116555831e+04 
       4.910300088357e-03       1.533897690835e+04 
       5.033201745074e-03       1.560242392590e+04 
       5.156343807636e-03       1.586143118870e+04 
       5.279711141591e-03       1.611611107363e+04 
       5.403289856894e-03       1.636639695673e+04 
       5.527067189672e-03       1.661235755770e+04 
       5.651031396558e-03       1.685401862473e+04 
       5.775171660174e-03       1.709136680448e+04 
       5.899478004477e-03       1.732442433534e+04 
       6.023941218876e-03       1.755320481436e+04 
       6.148552790116e-03       1.777775591920e+04 
       6.273304841075e-03       1.799813259496e+04 
       6.398190075697e-03       1.821434320216e+04 
       6.523201729393e-03       1.842642670775e+04 
       6.648333524304e-03       1.863441128241e+04 
       6.773579628916e-03       1.883836277219e+04 
       6.898934621535e-03       1.903828953147e+04 
       7.024393457243e-03       1.923422424725e+04 
       7.149951437938e-03       1.942622046836e+04 
       7.275604185160e-03       1.961430296293e+04 
       7.401347615404e-03       1.979855554585e+04 
       7.527177917669e-03       1.997896123881e+04 
       7.653091533021e-03       2.015559062712e+04 
       7.779085135954e-03       2.032848428789e+04 
       7.905155617401e-03       2.049766596116e+04 
       8.031300069197e-03       2.066319385653e+04 
       8.157515769880e-03       2.082508786908e+04 
       8.283800171699e-03       2.098340609552e+04 
       8.410150888697e-03       2.113818781898e+04 
       8.536565685789e-03       2.128946057521e+04 
       8.663042468739e-03       2.143725335689e+04 
       8.789579274937e-03       2.158161581834e+04 
       8.916174264926e-03       2.172261709756e+04 
       9.042825714603e-03       2.186027198696e+04 
       9.169532008023e-03       2.199461117303e+04 
       9.296291630779e-03       2.212568182856e+04 
       9.423103163876e-03       2.225352076905e+04 
       9.549965278086e-03       2.237816792979e+04 
       9.676876728728e-03       2.249964625831e+04 
       9.803836350835e-03       2.261800544883e+04 
       9.930843054686e-03       2.273327367390e+04 
       1.005789582167e-02       2.284549681153e+04 
       1.018499370044e-02       2.295470214163e+04 
       1.031213580338e-02       2.306091666997e+04 
       1.043932130328e-02       2.316419934440e+04 
       1.056654943028e-02       2.326456250925e+04 
       1.069381946905e-02       2.336204932424e+04 
       1.082113075611e-02       2.345668970146e+04 
       1.094848267742e-02       2.354852244346e+04 
       1.107587466605e-02       2.363757279515e+04 
       1.120330620011e-02       2.372389352403e+04 
       1.133077680074e-02       2.380749271070e+04 
       1.145828603027e-02       2.388841428789e+04 
       1.158583349056e-02       2.396669312704e+04 
       1.171341882136e-02       2.404235788159e+04 
       1.184104169885e-02       2.411543769175e+04 
       1.196870183429e-02       2.418596332824e+04 
       1.209639897269e-02       2.425396676339e+04 
       1.222413289166e-02       2.431947524071e+04 
       1.235190340032e-02       2.438252506031e+04 
       1.247971033822e-02       2.444313940677e+04 
       1.260755357441e-02       2.450135570989e+04 
       1.273543300660e-02       2.455718720970e+04 
       1.286334856026e-02       2.461067725470e+04 
       1.299130018793e-02       2.466184919045e+04 
       1.311928786847e-02       2.471073401042e+04 
       1.324731160645e-02       2.475735871809e+04 
       1.337537143153e-02       2.480175108353e+04 
       1.350346739789e-02       2.484394537226e+04 
       1.363159958379e-02       2.488396654353e+04 
       1.375976809101e-02       2.492184045871e+04 
       1.388797304454e-02       2.495759021175e+04 
       1.401621459210e-02       2.499122974527e+04 
       1.414449290385e-02       2.502281425969e+04 
       1.427280817204e-02       2.505234868724e+04 
       1.440116061077e-02       2.507986462759e+04 
       1.452955045569e-02       2.510539225197e+04 
       1.465797796384e-02       2.512895760210e+04 
       1.478644341340e-02       2.515057412355e+04 
       1.491494710358e-02       2.517026777169e+04 
       1.504348935445e-02       2.518808653277e+04 
       1.517207050682e-02       2.520402089469e+04 
       1.530069092219e-02       2.521811988662e+04 
       1.542935098266e-02       2.523040681921e+04 
       1.555805109091e-02       2.524089661626e+04 
       1.568679167014e-02       2.524961412596e+04 
       1.581557316411e-02       2.525659028458e+04 
       1.594439603715e-02       2.526183997304e+04 
       1.607326077421e-02       2.526539537816e+04 
       1.620216788092e-02       2.526727242388e+04 
       1.633111788364e-02       2.526749770304e+04 
       1.646011132963e-02       2.526609556084e+04 
       1.658914878708e-02       2.526308849288e+04 
       1.671823084532e-02       2.525849011399e+04 
       1.684735811496e-02       2.525234261314e+04 
       1.697653122801e-02       2.524464353693e+04 
       1.710575083814e-02       2.523543098876e+04 
       1.723501762082e-02       2.522472371453e+04 
       1.736433227362e-02       2.521253266585e+04 
       1.749369551637e-02       2.519889844375e+04 
       1.762310809145e-02       2.518383661704e+04 
       1.775257076409e-02       2.516733253770e+04 
       1.788208432261e-02       2.514949580773e+04 
       1.801164957875e-02       2.513026298262e+04 
       1.814126736801e-02       2.510967728189e+04 
       1.827093854994e-02       2.508777763230e+04 
       1.840066400855e-02       2.506455429924e+04 
       1.853044465265e-02       2.504006209248e+04 
       1.866028141625e-02       2.501428575042e+04 
       1.879017525896e-02       2.498727482484e+04 
       1.892012716642e-02       2.495904660181e+04 
       1.905013815075e-02       2.492958612085e+04 
       1.918020925098e-02       2.489895061818e+04 
       1.931034153355e-02       2.486714877626e+04 
       1.944053609281e-02       2.483419989140e+04 
       1.957079405152e-02       2.480012949830e+04 
       1.970111656137e-02       2.476494314142e+04 
       1.983150480357e-02       2.472865901465e+04 
       1.996195998938e-02       2.469133522457e+04 
       2.009248336072e-02       2.465292941199e+04 
       2.022307619079e-02       2.461347359073e+04 
       2.035373978468e-02       2.457302738788e+04 
       2.048447548003e-02       2.453156736540e+04 
       2.061528464772e-02       2.448913731537e+04 
       2.074616869253e-02       2.444573022790e+04 
       2.087712905390e-02       2.440138025708e+04 
       2.100816720665e-02       2.435610704381e+04 
       2.113928466175e-02       2.430993205332e+04 
       2.127048296710e-02       2.426287283687e+04 
       2.140176370838e-02       2.421489360703e+04 
       2.153312850985e-02       2.416607053060e+04 
       2.166457903523e-02       2.411641886624e+04 
       2.179611698861e-02       2.406591854840e+04 
       2.192774411538e-02       2.401460940283e+04 
       2.205946220314e-02       2.396247917023e+04 
       2.219127308273e-02       2.390965028375e+04 
       2.232317862922e-02       2.385598388623e+04 
       2.245518076294e-02       2.380159518545e+04 
       2.258728145060e-02       2.374647319110e+04 
       2.271948270637e-02       2.369062319646e+04 
       2.285178659302e-02       2.363409053916e+04 
       2.298419522313e-02       2.357688500639e+04 
       2.311671076028e-02       2.351896464132e+04 
       2.324933542034e-02       2.346040539834e+04 
       2.338207147273e-02       2.340117031345e+04 
       2.351492124179e-02       2.334134272772e+04 
       2.364788710815e-02       2.328093692818e+04 
       2.378097151015e-02       2.321982500210e+04 
       2.391417694530e-02       2.315826067564e+04 
       2.404750597184e-02       2.309608061161e+04 
       2.418096121025e-02       2.303332546081e+04 
       2.431454534491e-02       2.297005929488e+04 
       2.444826112575e-02       2.290619632278e+04 
       2.458211136999e-02       2.284183433707e+04 
       2.471609896389e-02       2.277703016293e+04 
       2.485022686461e-02       2.271167736502e+04 
       2.498449810213e-02       2.264586607761e+04 
       2.511891578116e-02       2.257957705242e+04 
       2.525348308322e-02       2.251279996761e+04 
       2.538820326870e-02       2.244564165652e+04 
       2.552307967905e-02       2.237806718901e+04 
       2.565811573900e-02       2.231001421794e+04 
       2.579331495892e-02       2.224160917101e+04 
       2.592868093716e-02       2.217274912174e+04 
       2.606421736255e-02       2.210357513856e+04 
       2.619992801699e-02       2.203393247319e+04 
       2.633581677808e-02       2.196403638793e+04 
       2.647188762187e-02       2.189375303765e+04 
       2.660814462573e-02       2.182313733215e+04 
       2.674459197124e-02       2.175217904932e+04 
       2.688123394733e-02       2.168086545327e+04 
       2.701807495336e-02       2.160930746444e+04 
       2.715511950246e-02       2.153745619238e+04 
       2.729237222486e-02       2.146525355308e+04 
       2.742983787152e-02       2.139285362835e+04 
       2.756752131765e-02       2.132011568847e+04 
       2.770542756664e-02       2.124720757882e+04 
       2.784356175388e-02       2.117398754237e+04 
       2.798192915090e-02       2.110052249781e+04 
       2.812053516960e-02       2.102688520098e+04 
       2.825938536667e-02       2.095296362690e+04 
       2.839848544813e-02       2.087892823749e+04 
       2.853784127408e-02       2.080456437787e+04 
       2.867745886370e-02       2.073010816471e+04 
       2.881734440030e-02       2.065543819926e+04 
       2.895750423673e-02       2.058060389852e+04 
       2.909794490090e-02       2.050556763903e+04 
       2.923867310159e-02       2.043040326120e+04 
       2.937969573444e-02       2.035508606699e+04 
       2.952101988823e-02       2.027956435869e+04 
       2.966265285143e-02       2.020398578769e+04 
       2.980460211896e-02       2.012824687268e+04 
       2.994687539935e-02       2.005240186896e+04 
       3.008948062206e-02       1.997643510776e+04 
       3.023242594525e-02       1.990036728273e+04 
       3.037571976380e-02       1.982422859845e+04 
       3.051937071775e-02       1.974792130492e+04 
       3.066338770103e-02       1.967158014688e+04 
       3.080777987064e-02       1.959514897751e+04 
       3.095255665627e-02       1.951865579148e+04 
       3.109772777027e-02       1.944211215730e+04 
       3.124330321812e-02       1.936547904627e+04 
       3.138929330946e-02       1.928881024350e+04 
       3.153570866946e-02       1.921207889539e+04 
       3.168256025093e-02       1.913528842756e+04 
       3.182985934684e-02       1.905847091101e+04 
       3.197761760356e-02       1.898166186403e+04 
       3.212584703463e-02       1.890478267168e+04 
       3.227456003534e-02       1.882794530894e+04 
       3.242376939791e-02       1.875099529897e+04 
       3.257348832749e-02       1.867412641891e+04 
       3.272373045899e-02       1.859718517872e+04 
       3.287450987465e-02       1.852024712405e+04 
       3.302584112270e-02       1.844332966752e+04 
