# Matter power spectrum P(k) at redshift z=0
# for k=1.03775e-05 to 8.40488 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037753586731e-05       4.882273039104e+01 
       2.317084389199e-05       1.062681994158e+02 
       3.600852977297e-05       1.628499641775e+02 
       4.892466487517e-05       2.191176481156e+02 
       6.195387649860e-05       2.753920013469e+02 
       7.513165246877e-05       3.319181904549e+02 
       8.849465533977e-05       3.889089508641e+02 
       1.020810503369e-04       4.465623642368e+02 
       1.159308511973e-04       5.050710469475e+02 
       1.300862881004e-04       5.646277761423e+02 
       1.445922018884e-04       6.254294648217e+02 
       1.594964687252e-04       6.876802933869e+02 
       1.748504591816e-04       7.515944260922e+02 
       1.907095353996e-04       8.173985224642e+02 
       2.071335893865e-04       8.853341584334e+02 
       2.241876245035e-04       9.556602512583e+02 
       2.419423806885e-04       1.028655495471e+03 
       2.604750016839e-04       1.104620837218e+03 
       2.798697392814e-04       1.183881962910e+03 
       3.002186850388e-04       1.266791762763e+03 
       3.216225137223e-04       1.353732713944e+03 
       3.441912144981e-04       1.445119035010e+03 
       3.680447752850e-04       1.541398496733e+03 
       3.933137724189e-04       1.643053671313e+03 
       4.201398018510e-04       1.750602330368e+03 
       4.486756699230e-04       1.864596682030e+03 
       4.790852424646e-04       1.985621038114e+03 
       5.115428327527e-04       2.114287410991e+03 
       5.462319953644e-04       2.251228628888e+03 
       5.833435893700e-04       2.397088403100e+03 
       6.230729874019e-04       2.552508024934e+03 
       6.656163443373e-04       2.718109465825e+03 
       7.111659071666e-04       2.894475000459e+03 
       7.599044488025e-04       3.082123872388e+03 
       8.119990386827e-04       3.281487148889e+03 
       8.675945072541e-04       3.492882255044e+03 
       9.268070938714e-04       3.716489437391e+03 
       9.897188545055e-04       3.952332420121e+03 
       1.056373413717e-03       4.200265619936e+03 
       1.126773553971e-03       4.459969711546e+03 
       1.200880947458e-03       4.730956609224e+03 
       1.278618081858e-03       5.012583449064e+03 
       1.359872163689e-03       5.304074792594e+03 
       1.444500558420e-03       5.604550175924e+03 
       1.532337189112e-03       5.913054839818e+03 
       1.623199283010e-03       6.228590306474e+03 
       1.716893917763e-03       6.550143184555e+03 
       1.813223945475e-03       6.876710110635e+03 
       1.911993026160e-03       7.207318220310e+03 
       2.013009649711e-03       7.541040891552e+03 
       2.116090145617e-03       7.877009152843e+03 
       2.221060763528e-03       8.214418334683e+03 
       2.327758955800e-03       8.552532339972e+03 
       2.436034012077e-03       8.890682859089e+03 
       2.545747194051e-03       9.228269150859e+03 
       2.656771504097e-03       9.564755791801e+03 
