# Matter power spectrum P(k) at redshift z=0
# for k=1.03775e-05 to 8.40488 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037753586731e-05       4.882309718595e+01 
       2.317084389199e-05       1.062689901697e+02 
       3.600852977297e-05       1.628511553367e+02 
       4.892466487517e-05       2.191192107770e+02 
       6.195387649860e-05       2.753938990336e+02 
       7.513165246877e-05       3.319203777532e+02 
       8.849465533977e-05       3.889113720803e+02 
       1.020810503369e-04       4.465649518500e+02 
       1.159308511973e-04       5.050737197476e+02 
       1.300862881004e-04       5.646304369613e+02 
       1.445922018884e-04       6.254319977637e+02 
       1.594964687252e-04       6.876082334881e+02 
       1.748504591816e-04       7.515072282496e+02 
       1.907095353996e-04       8.172941442270e+02 
       2.071335893865e-04       8.852103226244e+02 
       2.241876245035e-04       9.555144063272e+02 
       2.419423806885e-04       1.028484769162e+03 
       2.604750016839e-04       1.104421982271e+03 
       2.798697392814e-04       1.183651293284e+03 
       3.002186850388e-04       1.266525078623e+03 
       3.216225137223e-04       1.353425213350e+03 
       3.441912144981e-04       1.444765209966e+03 
       3.680447752850e-04       1.540992010910e+03 
       3.933137724189e-04       1.642587216475e+03 
       4.201398018510e-04       1.750067458286e+03 
       4.486756699230e-04       1.863983608516e+03 
       4.790852424646e-04       1.984918415860e+03 
       5.115428327527e-04       2.113482068256e+03 
       5.462319953644e-04       2.250305271805e+03 
       5.833435893700e-04       2.396029280736e+03 
       6.230729874019e-04       2.551292558287e+03 
       6.656163443373e-04       2.716713844758e+03 
       7.111659071666e-04       2.892871756431e+03 
       7.599044488025e-04       3.080281439151e+03 
       8.119990386827e-04       3.279369428345e+03 
       8.675945072541e-04       3.490448210112e+03 
       9.268070938714e-04       3.713692737518e+03 
       9.897188545055e-04       3.949121166975e+03 
       1.056373413717e-03       4.196582180164e+03 
       1.126773553971e-03       4.455750679236e+03 
       1.200880947458e-03       4.726132913874e+03 
       1.278618081858e-03       5.007080615164e+03 
       1.359872163689e-03       5.297813345716e+03 
       1.444500558420e-03       5.597446180240e+03 
       1.532337189112e-03       5.905020542411e+03 
       1.623199283010e-03       6.219534858270e+03 
       1.716893917763e-03       6.539973403696e+03 
       1.813223945475e-03       6.865331254633e+03 
       1.911993026160e-03       7.194634735531e+03 
       2.013009649711e-03       7.526957112814e+03 
       2.116090145617e-03       7.861429931579e+03 
       2.221060763528e-03       8.197249582219e+03 
       2.327758955800e-03       8.533681475311e+03 
       2.436034012077e-03       8.870059164652e+03 
       2.545747194051e-03       9.205784033191e+03 
       2.656771504097e-03       9.540322956689e+03 
       2.768991200935e-03       9.873200605670e+03 
       2.882301153343e-03       1.020400053183e+04 
       2.996606102145e-03       1.053235528585e+04 
       3.111819882448e-03       1.085794549840e+04 
       3.227864643160e-03       1.118049151709e+04 
       3.344670088914e-03       1.149975412058e+04 
       3.462172760496e-03       1.181552336466e+04 
       3.580315363164e-03       1.212762236763e+04 
       3.699046147441e-03       1.243589821979e+04 
       3.818318343619e-03       1.274022274532e+04 
       3.938089648986e-03       1.304048741871e+04 
       4.058321765366e-03       1.333660306084e+04 
       4.178979983719e-03       1.362849465107e+04 
       4.300032812148e-03       1.391610483751e+04 
       4.421451643496e-03       1.419938619079e+04 
       4.543210458773e-03       1.447830435756e+04 
       4.665285562809e-03       1.475283538603e+04 
       4.787655348759e-03       1.502292881186e+04 
       4.910300088357e-03       1.528863900187e+04 
       5.033201745074e-03       1.554995423862e+04 
       5.156343807636e-03       1.580680052864e+04 
       5.279711141591e-03       1.605929101741e+04 
       5.403289856894e-03       1.630736048259e+04 
       5.527067189672e-03       1.655107855071e+04 
       5.651031396558e-03       1.679047202227e+04 
       5.775171660174e-03       1.702552874462e+04 
       5.899478004477e-03       1.725627201640e+04 
       6.023941218876e-03       1.748271652380e+04 
       6.148552790116e-03       1.770491088404e+04 
       6.273304841075e-03       1.792291093398e+04 
       6.398190075697e-03       1.813672611383e+04 
       6.523201729393e-03       1.834639632911e+04 
       6.648333524304e-03       1.855195072550e+04 
       6.773579628916e-03       1.875345593738e+04 
       6.898934621535e-03       1.895092135981e+04 
       7.024393457243e-03       1.914438059908e+04 
       7.149951437938e-03       1.933388800850e+04 
       7.275604185160e-03       1.951946928732e+04 
       7.401347615404e-03       1.970120886968e+04 
       7.527177917669e-03       1.987909089370e+04 
       7.653091533021e-03       2.005318660202e+04 
       7.779085135954e-03       2.022353736637e+04 
       7.905155617401e-03       2.039016779950e+04 
       8.031300069197e-03       2.055313678327e+04 
       8.157515769880e-03       2.071246508144e+04 
       8.283800171699e-03       2.086821143275e+04 
       8.410150888697e-03       2.102041585169e+04 
       8.536565685789e-03       2.116910666110e+04 
       8.663042468739e-03       2.131431362225e+04 
       8.789579274937e-03       2.145608702169e+04 
       8.916174264926e-03       2.159449649145e+04 
       9.042825714603e-03       2.172955763476e+04 
       9.169532008023e-03       2.186130184238e+04 
       9.296291630779e-03       2.198977687406e+04 
       9.423103163876e-03       2.211502018326e+04 
       9.549965278086e-03       2.223707230947e+04 
       9.676876728728e-03       2.235595690432e+04 
       9.803836350835e-03       2.247172417583e+04 
       9.930843054686e-03       2.258440294108e+04 
       1.005789582167e-02       2.269403958888e+04 
       1.018499370044e-02       2.280066202511e+04 
       1.031213580338e-02       2.290429787368e+04 
       1.043932130328e-02       2.300500645936e+04 
       1.056654943028e-02       2.310280082430e+04 
       1.069381946905e-02       2.319772459274e+04 
       1.082113075611e-02       2.328980822538e+04 
       1.094848267742e-02       2.337909099503e+04 
       1.107587466605e-02       2.346559870725e+04 
       1.120330620011e-02       2.354938446698e+04 
       1.133077680074e-02       2.363045702495e+04 
       1.145828603027e-02       2.370886069574e+04 
       1.158583349056e-02       2.378463078983e+04 
       1.171341882136e-02       2.385779643770e+04 
       1.184104169885e-02       2.392838724222e+04 
       1.196870183429e-02       2.399643441277e+04 
       1.209639897269e-02       2.406197033908e+04 
       1.222413289166e-02       2.412502271070e+04 
       1.235190340032e-02       2.418562818624e+04 
       1.247971033822e-02       2.424381040934e+04 
       1.260755357441e-02       2.429960713573e+04 
       1.273543300660e-02       2.435303213174e+04 
       1.286334856026e-02       2.440412899844e+04 
       1.299130018793e-02       2.445292149870e+04 
       1.311928786847e-02       2.449944096520e+04 
       1.324731160645e-02       2.454371476606e+04 
       1.337537143153e-02       2.458577101909e+04 
       1.350346739789e-02       2.462564426656e+04 
       1.363159958379e-02       2.466335982016e+04 
       1.375976809101e-02       2.469894387596e+04 
       1.388797304454e-02       2.473241987985e+04 
       1.401621459210e-02       2.476380220692e+04 
       1.414449290385e-02       2.479314608009e+04 
       1.427280817204e-02       2.482045693188e+04 
       1.440116061077e-02       2.484576659390e+04 
       1.452955045569e-02       2.486910547225e+04 
       1.465797796384e-02       2.489049987450e+04 
       1.478644341340e-02       2.490996363176e+04 
       1.491494710358e-02       2.492752295050e+04 
       1.504348935445e-02       2.494322582884e+04 
       1.517207050682e-02       2.495706335401e+04 
       1.530069092219e-02       2.496908453671e+04 
       1.542935098266e-02       2.497931292648e+04 
       1.555805109091e-02       2.498776376797e+04 
       1.568679167014e-02       2.499446211667e+04 
       1.581557316411e-02       2.499943904040e+04 
       1.594439603715e-02       2.500270971770e+04 
       1.607326077421e-02       2.500430643475e+04 
       1.620216788092e-02       2.500424538570e+04 
       1.633111788364e-02       2.500255330694e+04 
       1.646011132963e-02       2.499925470317e+04 
       1.658914878708e-02       2.499437224177e+04 
       1.671823084532e-02       2.498791980391e+04 
       1.684735811496e-02       2.497993950646e+04 
       1.697653122801e-02       2.497042933337e+04 
       1.710575083814e-02       2.495942734568e+04 
       1.723501762082e-02       2.494695246410e+04 
       1.736433227362e-02       2.493301590172e+04 
       1.749369551637e-02       2.491765815799e+04 
       1.762310809145e-02       2.490089499067e+04 
       1.775257076409e-02       2.488271230594e+04 
       1.788208432261e-02       2.486321872803e+04 
       1.801164957875e-02       2.484235195129e+04 
       1.814126736801e-02       2.482015501802e+04 
       1.827093854994e-02       2.479666671644e+04 
       1.840066400855e-02       2.477187777833e+04 
       1.853044465265e-02       2.474584265623e+04 
       1.866028141625e-02       2.471854661533e+04 
       1.879017525896e-02       2.469003889767e+04 
       1.892012716642e-02       2.466033688358e+04 
       1.905013815075e-02       2.462942612480e+04 
       1.918020925098e-02       2.459736341819e+04 
       1.931034153355e-02       2.456415763392e+04 
       1.944053609281e-02       2.452982811012e+04 
       1.957079405152e-02       2.449440033188e+04 
       1.970111656137e-02       2.445788005661e+04 
       1.983150480357e-02       2.442028551571e+04 
       1.996195998938e-02       2.438167429675e+04 
       2.009248336072e-02       2.434200489351e+04 
       2.022307619079e-02       2.430130914976e+04 
       2.035373978468e-02       2.425964612335e+04 
       2.048447548003e-02       2.421699295908e+04 
       2.061528464772e-02       2.417339308420e+04 
       2.074616869253e-02       2.412883983482e+04 
       2.087712905390e-02       2.408336712083e+04 
       2.100816720665e-02       2.403699453675e+04 
       2.113928466175e-02       2.398974346762e+04 
       2.127048296710e-02       2.394163143406e+04 
       2.140176370838e-02       2.389262339765e+04 
       2.153312850985e-02       2.384279462650e+04 
       2.166457903523e-02       2.379216036199e+04 
       2.179611698861e-02       2.374070104558e+04 
       2.192774411538e-02       2.368845611301e+04 
       2.205946220314e-02       2.363541369119e+04 
       2.219127308273e-02       2.358169454740e+04 
       2.232317862922e-02       2.352716212699e+04 
       2.245518076294e-02       2.347193006566e+04 
       2.258728145060e-02       2.341598772002e+04 
       2.271948270637e-02       2.335934047957e+04 
       2.285178659302e-02       2.330203314717e+04 
       2.298419522313e-02       2.324407552045e+04 
       2.311671076028e-02       2.318542647099e+04 
       2.324933542034e-02       2.312616091338e+04 
       2.338207147273e-02       2.306624262974e+04 
       2.351492124179e-02       2.300575377802e+04 
       2.364788710815e-02       2.294470855337e+04 
       2.378097151015e-02       2.288298126629e+04 
       2.391417694530e-02       2.282082164990e+04 
       2.404750597184e-02       2.275806916336e+04 
       2.418096121025e-02       2.269476392863e+04 
       2.431454534491e-02       2.263096908363e+04 
       2.444826112575e-02       2.256660039204e+04 
       2.458211136999e-02       2.250175413873e+04 
       2.471609896389e-02       2.243648630033e+04 
       2.485022686461e-02       2.237069235143e+04 
       2.498449810213e-02       2.230446101061e+04 
       2.511891578116e-02       2.223777346288e+04 
       2.525348308322e-02       2.217061967206e+04 
       2.538820326870e-02       2.210310472540e+04 
       2.552307967905e-02       2.203519438404e+04 
       2.565811573900e-02       2.196682748538e+04 
       2.579331495892e-02       2.189812833425e+04 
       2.592868093716e-02       2.182899590167e+04 
       2.606421736255e-02       2.175956884366e+04 
       2.619992801699e-02       2.168969524483e+04 
       2.633581677808e-02       2.161958659891e+04 
       2.647188762187e-02       2.154911152683e+04 
       2.660814462573e-02       2.147832402283e+04 
       2.674459197124e-02       2.140721411864e+04 
       2.688123394733e-02       2.133576938177e+04 
       2.701807495336e-02       2.126409876152e+04 
       2.715511950246e-02       2.119215431640e+04 
       2.729237222486e-02       2.111987909965e+04 
       2.742983787152e-02       2.104742438422e+04 
       2.756752131765e-02       2.097465211474e+04 
       2.770542756664e-02       2.090172703690e+04 
       2.784356175388e-02       2.082851010513e+04 
       2.798192915090e-02       2.075506702435e+04 
       2.812053516960e-02       2.068146920103e+04 
       2.825938536667e-02       2.060760678816e+04 
       2.839848544813e-02       2.053364700818e+04 
       2.853784127408e-02       2.045937938024e+04 
       2.867745886370e-02       2.038503548285e+04 
       2.881734440030e-02       2.031049629724e+04 
       2.895750423673e-02       2.023581030274e+04 
       2.909794490090e-02       2.016094064101e+04 
       2.923867310159e-02       2.008595971786e+04 
       2.937969573444e-02       2.001084333952e+04 
       2.952101988823e-02       1.993554086242e+04 
       2.966265285143e-02       1.986019699868e+04 
       2.980460211896e-02       1.978471035136e+04 
       2.994687539935e-02       1.970913409453e+04 
       3.008948062206e-02       1.963345288473e+04 
       3.023242594525e-02       1.955768700174e+04 
       3.037571976380e-02       1.948186603306e+04 
       3.051937071775e-02       1.940589424537e+04 
       3.066338770103e-02       1.932990360910e+04 
       3.080777987064e-02       1.925383913444e+04 
       3.095255665627e-02       1.917772823147e+04 
       3.109772777027e-02       1.910158221943e+04 
       3.124330321812e-02       1.902536288509e+04 
       3.138929330946e-02       1.894912287413e+04 
       3.153570866946e-02       1.887283589223e+04 
       3.168256025093e-02       1.879650528622e+04 
       3.182985934684e-02       1.872016243145e+04 
       3.197761760356e-02       1.864384206438e+04 
       3.212584703463e-02       1.856746724949e+04 
       3.227456003534e-02       1.849114752087e+04 
       3.242376939791e-02       1.841473174539e+04 
       3.257348832749e-02       1.833840945421e+04 
       3.272373045899e-02       1.826203049730e+04 
       3.287450987465e-02       1.818566874550e+04 
       3.302584112270e-02       1.810934120131e+04 
