# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.539140862448e-10       4.298424672338e-15       3.388548085764e-13       0.000000000000e+00       7.627597996052e-09       5.329503224302e-10      -1.843706577078e-12 
    3       1.425916801900e-10       5.316475087513e-15       3.858324317299e-13       0.000000000000e+00       4.739209087220e-09       3.738058772859e-10      -1.368500193629e-12 
    4       1.328930913942e-10       4.406984570042e-15       3.611064767729e-13       0.000000000000e+00       3.304331084581e-09       2.807228573024e-10      -8.638803227530e-13 
    5       1.257981979784e-10       2.813015326752e-15       3.062484449947e-13       0.000000000000e+00       2.468245151044e-09       2.204253527660e-10      -4.500249675848e-13 
    6       1.208980588227e-10       1.524019614803e-15       2.452609517252e-13       0.000000000000e+00       1.927753447203e-09       1.785113428079e-10      -1.560910735309e-13 
    7       1.176195105800e-10       8.327627391475e-16       1.917627566022e-13       0.000000000000e+00       1.553809777069e-09       1.479269246883e-10       2.073809858545e-14 
    8       1.155507823111e-10       5.633220989680e-16       1.514295379774e-13       0.000000000000e+00       1.282739334437e-09       1.248937853924e-10       1.006045038900e-13 
    9       1.144037805681e-10       4.587141304227e-16       1.251788574528e-13       0.000000000000e+00       1.079467106279e-09       1.071240040242e-10       1.116382344023e-13 
   10       1.138770287311e-10       3.831857947763e-16       1.113448740576e-13       0.000000000000e+00       9.226454178887e-10       9.305586732884e-11       8.311831641629e-14 
   11       1.138564064289e-10       3.182834078664e-16       1.070352456094e-13       0.000000000000e+00       7.810780549543e-10       8.196173799917e-11       4.070395491990e-14 
   12       1.142349301502e-10       2.816219636555e-16       1.090746809619e-13       0.000000000000e+00       6.823961239403e-10       7.241669355497e-11       1.518385408159e-15 
   13       1.148790489779e-10       2.761034371162e-16       1.147910329838e-13       0.000000000000e+00       6.013765929950e-10       6.456309029820e-11      -2.440497258110e-14 
   14       1.158045480113e-10       2.900367150897e-16       1.222838505237e-13       0.000000000000e+00       5.339547957080e-10       5.780459633626e-11      -3.496905514708e-14 
   15       1.168837068649e-10       3.151277240516e-16       1.303686743666e-13       0.000000000000e+00       4.771987464810e-10       5.207095912714e-11      -3.271489964554e-14 
   16       1.181524488300e-10       3.533089728321e-16       1.385570521530e-13       0.000000000000e+00       4.289401808895e-10       4.713904826044e-11      -2.310379021593e-14 
   17       1.195567736922e-10       4.103556461112e-16       1.468121914067e-13       0.000000000000e+00       3.875409252092e-10       4.289371529925e-11      -1.181101578306e-14 
   18       1.210655772711e-10       4.886815036873e-16       1.553948787984e-13       0.000000000000e+00       3.516091751891e-10       3.918346434202e-11      -3.291362468139e-15 
   19       1.226949873096e-10       5.873104328944e-16       1.644971053940e-13       0.000000000000e+00       3.205721592111e-10       3.593815958273e-11       8.425561814782e-16 
   20       1.244108271767e-10       7.038358179733e-16       1.742118141337e-13       0.000000000000e+00       2.932376749664e-10       3.304338709683e-11       2.252960562345e-16 
   21       1.262114755112e-10       8.383221886088e-16       1.843914763766e-13       0.000000000000e+00       2.691766887296e-10       3.048097651972e-11      -3.739935614164e-15 
   22       1.280745251514e-10       9.912958536645e-16       1.947267077459e-13       0.000000000000e+00       2.478129077420e-10       2.821794343566e-11      -8.695886023268e-15 
   23       1.300059024918e-10       1.162496252586e-15       2.048404290021e-13       0.000000000000e+00       2.288527522367e-10       2.620123653053e-11      -1.298378244238e-14 
   24       1.319977186066e-10       1.351458049864e-15       2.143020622380e-13       0.000000000000e+00       2.118584099241e-10       2.435119402683e-11      -1.519985457860e-14 
   25       1.340461929779e-10       1.559305819458e-15       2.228501381096e-13       0.000000000000e+00       1.966298715399e-10       2.266608743508e-11      -1.517742034544e-14 
   26       1.361353195390e-10       1.787789135939e-15       2.303023358799e-13       0.000000000000e+00       1.828912536346e-10       2.115151578829e-11      -1.334945647167e-14 
   27       1.382732004433e-10       2.038749808649e-15       2.366691564573e-13       0.000000000000e+00       1.704775438950e-10       1.979332099568e-11      -1.069030695067e-14 
   28       1.404641718023e-10       2.314041347729e-15       2.420401717262e-13       0.000000000000e+00       1.591745664873e-10       1.856163068849e-11      -8.364744238529e-15 
   29       1.427116551373e-10       2.614936165587e-15       2.464701012034e-13       0.000000000000e+00       1.489244692730e-10       1.744602831724e-11      -6.782085607272e-15 
   30       1.450044305896e-10       2.942494280083e-15       2.500271557091e-13       0.000000000000e+00       1.396170919992e-10       1.643014159409e-11      -6.137293955556e-15 
   31       1.473206124671e-10       3.297708127057e-15       2.527725777209e-13       0.000000000000e+00       1.310624768232e-10       1.548893470255e-11      -6.533547201120e-15 
   32       1.496645300938e-10       3.681481551566e-15       2.546153045358e-13       0.000000000000e+00       1.232162981580e-10       1.461833067417e-11      -7.623404828153e-15 
   33       1.520410318864e-10       4.094629551295e-15       2.554005651934e-13       0.000000000000e+00       1.160229085523e-10       1.381496727083e-11      -8.816488016922e-15 
   34       1.544482755274e-10       4.537937890537e-15       2.549630659401e-13       0.000000000000e+00       1.093814594696e-10       1.307068239566e-11      -9.511685410551e-15 
   35       1.568902865792e-10       5.012379219868e-15       2.531895233330e-13       0.000000000000e+00       1.032578050693e-10       1.238274831848e-11      -9.624454822341e-15 
   36       1.593670815516e-10       5.518966919171e-15       2.499763149678e-13       0.000000000000e+00       9.760266031829e-11       1.174623723652e-11      -9.242374112120e-15 
   37       1.618741608730e-10       6.058644948851e-15       2.452343250551e-13       0.000000000000e+00       9.234225621675e-11       1.115344076901e-11      -8.492959992181e-15 
   38       1.644152488489e-10       6.632111166458e-15       2.389639685583e-13       0.000000000000e+00       8.746291484669e-11       1.060284586894e-11      -7.556948475955e-15 
   39       1.669925700364e-10       7.239927844790e-15       2.312060795003e-13       0.000000000000e+00       8.294909205605e-11       1.009252354291e-11      -6.664512407255e-15 
