# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.539145256626e-10       4.298635894971e-15       3.388548047819e-13       2.112226263359e-19       7.627597996052e-09       5.329503224302e-10      -1.843706577078e-12 
    3       1.425925570889e-10       5.316897639269e-15       3.858324148179e-13       4.225516946289e-19       4.739209087220e-09       3.738058772859e-10      -1.368500193629e-12 
    4       1.328945486374e-10       4.407689056832e-15       3.611064281730e-13       7.044864934138e-19       3.304331084581e-09       2.807228573024e-10      -8.638803227530e-13 
    5       1.258003759805e-10       2.814072488820e-15       3.062483342647e-13       1.057161067291e-18       2.468245151044e-09       2.204253527660e-10      -4.500249675848e-13 
    6       1.209010950496e-10       1.525500353921e-15       2.452607339601e-13       1.480736442375e-18       1.927753447203e-09       1.785113428079e-10      -1.560910735309e-13 
    7       1.176235391165e-10       8.347381418652e-16       1.917623700728e-13       1.975396641959e-18       1.553809777069e-09       1.479269246883e-10       2.073809858545e-14 
    8       1.155559335066e-10       5.658634554035e-16       1.514289020293e-13       2.541344254194e-18       1.282739334437e-09       1.248937853924e-10       1.006045038900e-13 
    9       1.144101807642e-10       4.618929482401e-16       1.251778706874e-13       3.178795717868e-18       1.079467106279e-09       1.071240040242e-10       1.116382344023e-13 
   10       1.138848000764e-10       3.870738081231e-16       1.113434128113e-13       3.887976501196e-18       9.226454178887e-10       9.305586732884e-11       8.311831641629e-14 
   11       1.138656667787e-10       3.229525811961e-16       1.070331627335e-13       4.669116350364e-18       7.810780549543e-10       8.196173799917e-11       4.070395491990e-14 
   12       1.142457930510e-10       2.871444904977e-16       1.090718049034e-13       5.522444778988e-18       6.823961239403e-10       7.241669355497e-11       1.518385408159e-15 
   13       1.148916237298e-10       2.825517339844e-16       1.147871671570e-13       6.448186957217e-18       6.013765929950e-10       6.456309029820e-11      -2.440497258110e-14 
   14       1.158189398014e-10       2.974834108297e-16       1.222787729574e-13       7.446560140231e-18       5.339547957080e-10       5.780459633626e-11      -3.496905514708e-14 
   15       1.169000169624e-10       3.236456450245e-16       1.303621376073e-13       8.517770751281e-18       4.771987464810e-10       5.207095912714e-11      -3.271489964554e-14 
   16       1.181707748308e-10       3.629711243936e-16       1.385487834002e-13       9.662012205155e-18       4.289401808895e-10       4.713904826044e-11      -2.310379021593e-14 
   17       1.195772098011e-10       4.212351908891e-16       1.468018928559e-13       1.087946352534e-17       3.875409252092e-10       4.289371529925e-11      -1.181101578306e-14 
   18       1.210882146138e-10       5.008517369517e-16       1.553822281772e-13       1.217028839074e-17       3.516091751891e-10       3.918346434202e-11      -3.291362468139e-15 
