#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.000860357326e-02       1.560397619249e-07      -1.190537407441e+00       2.083440084416e-06       4.007410016249e-14       1.001852504062e-13       1.083954184400e-23       2.003705008125e-14      -8.929030555807e-01       2.083440084416e-06       5.960603392515e-01       7.023656724739e-01      -8.929030555807e-01       2.083440179711e-06      -1.190537407609e+00       2.083440038831e-06       1.948740860612e-08       3.333333333333e-01      -1.190537407441e+00       2.083440038976e-06       1.940272315926e-08       3.333333333333e-01 
       7.000860365646e-02       1.560397621104e-07      -1.190537407443e+00       2.083440086896e-06       4.007410029600e-14       1.001852507400e-13       1.083954190588e-23       2.003705014800e-14      -8.929030555826e-01       2.083440086896e-06       5.961099233461e-01       7.023656724733e-01      -8.929030555826e-01       2.083440182192e-06      -1.190537407612e+00       2.083440041311e-06       1.948740865240e-08       3.333333333333e-01      -1.190537407443e+00       2.083440041456e-06       1.933832448078e-08       3.333333333333e-01 
       7.000860373966e-02       1.560397622958e-07      -1.190537407446e+00       2.083440089376e-06       4.007410042955e-14       1.001852510739e-13       1.083954196777e-23       2.003705021477e-14      -8.929030555846e-01       2.083440089376e-06       5.961593434966e-01       7.023656724726e-01      -8.929030555846e-01       2.083440184672e-06      -1.190537407615e+00       2.083440043791e-06       1.948740869867e-08       3.333333333333e-01      -1.190537407446e+00       2.083440043936e-06       1.927413872882e-08       3.333333333333e-01 
       7.000860412503e-02       1.560397631549e-07      -1.190537407461e+00       2.083440100870e-06       4.007410104858e-14       1.001852526215e-13       1.083954225456e-23       2.003705052429e-14      -8.929030555959e-01       2.083440100870e-06       5.963862619526e-01       7.023656724689e-01      -8.929030555959e-01       2.083440196166e-06      -1.190537407630e+00       2.083440055285e-06       1.948740891300e-08       3.333333333333e-01      -1.190537407461e+00       2.083440055430e-06       1.897942226776e-08       3.333333333333e-01 
       7.000860451041e-02       1.560397640139e-07      -1.190537407481e+00       2.083440112372e-06       4.007410166842e-14       1.001852541711e-13       1.083954254157e-23       2.003705083421e-14      -8.929030556110e-01       2.083440112372e-06       5.966097837248e-01       7.023656724638e-01      -8.929030556110e-01       2.083440207668e-06      -1.190537407650e+00       2.083440066787e-06       1.948740912733e-08       3.333333333333e-01      -1.190537407481e+00       2.083440066933e-06       1.868911733644e-08       3.333333333333e-01 
       7.000860489578e-02       1.560397648730e-07      -1.190537407506e+00       2.083440123883e-06       4.007410228908e-14       1.001852557227e-13       1.083954282880e-23       2.003705114454e-14      -8.929030556296e-01       2.083440123883e-06       5.968299074436e-01       7.023656724576e-01      -8.929030556296e-01       2.083440219179e-06      -1.190537407675e+00       2.083440078298e-06       1.948740934166e-08       3.333333333333e-01      -1.190537407506e+00       2.083440078443e-06       1.840322571372e-08       3.333333333333e-01 
       7.000860528116e-02       1.560397657320e-07      -1.190537407536e+00       2.083440135402e-06       4.007410291054e-14       1.001852572763e-13       1.083954311625e-23       2.003705145527e-14      -8.929030556519e-01       2.083440135402e-06       5.970466669988e-01       7.023656724502e-01      -8.929030556519e-01       2.083440230698e-06      -1.190537407704e+00       2.083440089817e-06       1.948740955598e-08       3.333333333333e-01      -1.190537407536e+00       2.083440089962e-06       1.812170338464e-08       3.333333333333e-01 
       7.000860614530e-02       1.560397676584e-07      -1.190537407619e+00       2.083440161262e-06       4.007410430692e-14       1.001852607673e-13       1.083954376158e-23       2.003705215346e-14      -8.929030557146e-01       2.083440161262e-06       5.975208141355e-01       7.023656724293e-01      -8.929030557146e-01       2.083440256558e-06      -1.190537407788e+00       2.083440115677e-06       1.948741003659e-08       3.333333333333e-01      -1.190537407619e+00       2.083440115822e-06       1.750589196241e-08       3.333333333333e-01 
       7.000860700945e-02       1.560397695847e-07      -1.190537407726e+00       2.083440187162e-06       4.007410570714e-14       1.001852642679e-13       1.083954440795e-23       2.003705285357e-14      -8.929030557945e-01       2.083440187162e-06       5.979788570900e-01       7.023656724027e-01      -8.929030557945e-01       2.083440282458e-06      -1.190537407895e+00       2.083440141577e-06       1.948741051719e-08       3.333333333333e-01      -1.190537407726e+00       2.083440141723e-06       1.691099625972e-08       3.333333333333e-01 
       7.000860787360e-02       1.560397715110e-07      -1.190537407855e+00       2.083440213101e-06       4.007410711108e-14       1.001852677777e-13       1.083954505532e-23       2.003705355554e-14      -8.929030558911e-01       2.083440213101e-06       5.984213304724e-01       7.023656723705e-01      -8.929030558911e-01       2.083440308397e-06      -1.190537408023e+00       2.083440167517e-06       1.948741099779e-08       3.333333333333e-01      -1.190537407855e+00       2.083440167662e-06       1.633632193819e-08       3.333333333333e-01 
