# Matter power spectrum P(k) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.608806565107e-06       6.163830130681e+01 
       2.145156745703e-05       1.336978305717e+02 
       3.332954735221e-05       2.044655960161e+02 
       4.526975115419e-05       2.746717416110e+02 
       5.729956186539e-05       3.447197417874e+02 
       6.944694710181e-05       4.149041312211e+02 
       8.174067122832e-05       4.854711944488e+02 
       9.421051552855e-05       5.566434868692e+02 
       1.068875088434e-04       6.286321534635e+02 
       1.198041711362e-04       7.016441330072e+02 
       1.329947724596e-04       7.758869546176e+02 
       1.464956097987e-04       8.515722884780e+02 
       1.603453042204e-04       9.289188248322e+02 
       1.745851206528e-04       1.008154785858e+03 
       1.892593124115e-04       1.089520248478e+03 
       2.044154922346e-04       1.173269366849e+03 
       2.201050310352e-04       1.259672569199e+03 
       2.363834847410e-04       1.349018748047e+03 
       2.533110483824e-04       1.441617466393e+03 
       2.709530348823e-04       1.537801167233e+03 
       2.893803736693e-04       1.637927362134e+03 
       3.086701210935e-04       1.742380746245e+03 
       3.289059705157e-04       1.851575180395e+03 
       3.501787446709e-04       1.965955420055e+03 
       3.725868463269e-04       2.085998465374e+03 
       3.962366352877e-04       2.212214351829e+03 
       4.212426904911e-04       2.345146141160e+03 
       4.477279056125e-04       2.485368842767e+03 
       4.758233558858e-04       2.633486942158e+03 
       5.056678639574e-04       2.790130147889e+03 
       5.374071853343e-04       2.955946963996e+03 
       5.711927319294e-04       3.131595684628e+03 
       6.071797585811e-04       3.317732507362e+03 
       6.455249558241e-04       3.514996486347e+03 
       6.863834258880e-04       3.723991408733e+03 
       7.299050697801e-04       3.945264930600e+03 
       7.762304804195e-04       4.179285619501e+03 
       8.254865149471e-04       4.426419405419e+03 
       8.777817983007e-04       4.686906912304e+03 
       9.332024751379e-04       4.960843901261e+03 
       9.918085613878e-04       5.248166765960e+03 
       1.053631235555e-03       5.548644799868e+03 
       1.118671346315e-03       5.861880042386e+03 
       1.186899301353e-03       6.187314523722e+03 
       1.258256359613e-03       6.524244011427e+03 
       1.332657200755e-03       6.871837050148e+03 
       1.340840250952e-03       6.909837414827e+03 
       1.409993519211e-03       7.229157839988e+03 
       1.490138307530e-03       7.595192634796e+03 
       1.572950464739e-03       7.968878313523e+03 
       1.658279387686e-03       8.349131319587e+03 
       1.745969263858e-03       8.734874701514e+03 
       1.835862865565e-03       9.125059758683e+03 
       1.927804730282e-03       9.518681142954e+03 
       2.021643687598e-03       9.914786253477e+03 
       2.117234751992e-03       1.031248205997e+04 
       2.214440440455e-03       1.071093998815e+04 
       2.313131596169e-03       1.110940056911e+04 
       2.413187807521e-03       1.150717582868e+04 
       2.514497509855e-03       1.190364640731e+04 
       2.616957849248e-03       1.229825667221e+04 
       2.720474376409e-03       1.269050866099e+04 
       2.824960626633e-03       1.307995882024e+04 
       2.930337630105e-03       1.346621527764e+04 
       3.036533386399e-03       1.384893447547e+04 
       3.143482328220e-03       1.422781761028e+04 
       3.251124792182e-03       1.460260351660e+04 
       3.359406508800e-03       1.497306463083e+04 
       3.468278119440e-03       1.533900342104e+04 
       3.577694724771e-03       1.570025228051e+04 
       3.687615466840e-03       1.605667023416e+04 
       3.798003145249e-03       1.640813904504e+04 
       3.908823866730e-03       1.675456081710e+04 
       4.020046726690e-03       1.709585232797e+04 
       4.131643520835e-03       1.743194989306e+04 
       4.243588484725e-03       1.776280144908e+04 
