# Matter power spectrum P(k) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.608806565107e-06       6.158146699356e+01 
       2.145156745703e-05       1.335748254595e+02 
       3.332954735221e-05       2.042782175291e+02 
       4.526975115419e-05       2.744214421182e+02 
       5.729956186539e-05       3.444079380786e+02 
       6.944694710181e-05       4.145323193485e+02 
       8.174067122832e-05       4.850410145490e+02 
       9.421051552855e-05       5.561567712243e+02 
       1.068875088434e-04       6.280909691733e+02 
       1.198041711362e-04       7.010508241930e+02 
       1.329947724596e-04       7.752441866059e+02 
       1.464956097987e-04       8.508830953437e+02 
       1.603453042204e-04       9.281866610529e+02 
       1.745851206528e-04       1.007383582441e+03 
       1.892593124115e-04       1.088714473504e+03 
       2.044154922346e-04       1.172434089942e+03 
       2.201050310352e-04       1.258813528850e+03 
       2.363834847410e-04       1.348142419950e+03 
       2.533110483824e-04       1.440731129965e+03 
       2.709530348823e-04       1.536912966150e+03 
       2.893803736693e-04       1.637046353058e+03 
       3.086701210935e-04       1.741516927872e+03 
       3.289059705157e-04       1.850739492520e+03 
       3.501787446709e-04       1.965159699709e+03 
       3.725868463269e-04       2.085255344476e+03 
       3.962366352877e-04       2.211537078741e+03 
       4.212426904911e-04       2.344548307990e+03 
       4.477279056125e-04       2.484864002446e+03 
       4.758233558858e-04       2.633088106236e+03 
       5.056678639574e-04       2.789849169713e+03 
       5.374071853343e-04       2.955793834720e+03 
       5.711927319294e-04       3.131577802375e+03 
       6.071797585811e-04       3.317854021173e+03 
       6.455249558241e-04       3.515257859387e+03 
       6.863834258880e-04       3.724389375067e+03 
       7.299050697801e-04       3.945793013689e+03 
       7.762304804195e-04       4.179935310628e+03 
       8.254865149471e-04       4.427181945857e+03 
       8.777817983007e-04       4.687775391386e+03 
       9.332024751379e-04       4.961815133011e+03 
       9.918085613878e-04       5.249242261485e+03 
       1.053631235555e-03       5.549830264064e+03 
       1.118671346315e-03       5.863183290579e+03 
       1.186899301353e-03       6.188742445544e+03 
       1.258256359613e-03       6.525799880677e+03 
       1.332657200755e-03       6.873519596452e+03 
       1.340840250952e-03       6.911533362266e+03 
       1.409993519211e-03       7.230962745624e+03 
       1.490138307530e-03       7.597115718378e+03 
       1.572950464739e-03       7.970918451714e+03 
       1.658279387686e-03       8.351291130571e+03 
       1.745969263858e-03       8.737158481235e+03 
       1.835862865565e-03       9.127470212061e+03 
       1.927804730282e-03       9.521217460717e+03 
       2.021643687598e-03       9.917445033220e+03 
       2.117234751992e-03       1.031526018038e+04 
       2.214440440455e-03       1.071383685664e+04 
       2.313131596169e-03       1.111241779468e+04 
       2.413187807521e-03       1.151031480244e+04 
       2.514497509855e-03       1.190690621654e+04 
       2.616957849248e-03       1.230163432832e+04 
       2.720474376409e-03       1.269400124082e+04 
       2.824960626633e-03       1.308356523904e+04 
       2.930337630105e-03       1.346993593961e+04 
       3.036533386399e-03       1.385276935633e+04 
       3.143482328220e-03       1.423176492447e+04 
       3.251124792182e-03       1.460666033597e+04 
       3.359406508800e-03       1.497722862510e+04 
       3.468278119440e-03       1.534327373698e+04 
       3.577694724771e-03       1.570462867464e+04 
       3.687615466840e-03       1.606115157198e+04 
       3.798003145249e-03       1.641272289656e+04 
       3.908823866730e-03       1.675924450934e+04 
       4.020046726690e-03       1.710063414103e+04 
       4.131643520835e-03       1.743682903776e+04 
       4.243588484725e-03       1.776777697556e+04 
       4.355858059030e-03       1.809344081906e+04 
       4.468430678260e-03       1.841379289768e+04 
       4.581286580801e-03       1.872881653262e+04 
       4.694407638220e-03       1.903850294558e+04 
       4.807777201933e-03       1.934285185864e+04 
       4.921379965466e-03       1.964186641364e+04 
       5.035201840715e-03       1.993556080597e+04 
       5.149229846737e-03       2.022395267821e+04 
       5.263452009761e-03       2.050706436141e+04 
       5.377857273226e-03       2.078492008168e+04 
       5.492435416790e-03       2.105755289976e+04 
       5.607176983354e-03       2.132499404871e+04 
       5.722073213252e-03       2.158727930868e+04 
       5.837115984859e-03       2.184445147647e+04 
       5.952297760926e-03       2.209654428590e+04 
       6.067611540054e-03       2.234360591987e+04 
       6.183050812766e-03       2.258567874901e+04 
