# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       9.608806565107e-06      -1.307810043221e-03      -9.813765911857e-04      -9.813766146435e-04      -1.308976573248e-03      -1.307795100709e-03      -9.814803116593e-04       4.492604596852e-01       4.491107027664e-01 
       2.145156745703e-05      -6.504377039185e-03      -4.891163948583e-03      -4.891164531096e-03      -6.509882121512e-03      -6.504006150813e-03      -4.891676883275e-03       4.492567582154e-01       4.491074598776e-01 
       3.332954735221e-05      -1.564306907805e-02      -1.180723842739e-02      -1.180724181963e-02      -1.565504494878e-02      -1.564091443347e-02      -1.180845958889e-02       4.492502224866e-01       4.491017325445e-01 
       4.526975115419e-05      -2.870353412524e-02      -2.178206267418e-02      -2.178207420773e-02      -2.872215655857e-02      -2.869623035323e-02      -2.178427028894e-02       4.492408068014e-01       4.490934770809e-01 
       5.729956186539e-05      -4.566025503906e-02      -3.489607433071e-02      -3.489610389426e-02      -4.568284723999e-02      -4.564160873988e-02      -3.489951644005e-02       4.492284525345e-01       4.490826379896e-01 
       6.944694710181e-05      -6.648013731050e-02      -5.125890134117e-02      -5.125896502662e-02      -6.650020824396e-02      -6.644017245921e-02      -5.126378538501e-02       4.492130714802e-01       4.490691313828e-01 
       8.174067122832e-05      -9.111925533707e-02      -7.101108025675e-02      -7.101120224366e-02      -9.112544922328e-02      -9.104317272502e-02      -7.101756126788e-02       4.491945602965e-01       4.490528593021e-01 
       9.421051552855e-05      -1.195186506288e-01      -9.432631212136e-02      -9.432652687095e-02      -1.194935874227e-01      -1.193856816709e-01      -9.433447911603e-02       4.491727857647e-01       4.490336948287e-01 
       1.068875088434e-04      -1.515990696654e-01      -1.214143113537e-01      -1.214146662090e-01      -1.515180508989e-01      -1.513812001063e-01      -1.214241714715e-01       4.491475907272e-01       4.490114878876e-01 
       1.198041711362e-04      -1.872544872956e-01      -1.525243107327e-01      -1.525248690295e-01      -1.870840482315e-01      -1.869150332526e-01      -1.525357706175e-01       4.491187896583e-01       4.489860605714e-01 
       1.329947724596e-04      -2.263442577410e-01      -1.879493059995e-01      -1.879501508125e-01      -2.260405470883e-01      -2.258362748270e-01      -1.879621498540e-01       4.490861677272e-01       4.489572059115e-01 
       1.464956097987e-04      -2.686837242135e-01      -2.280311391133e-01      -2.280323778106e-01      -2.681906955299e-01      -2.679482369346e-01      -2.280450028148e-01       4.490494783490e-01       4.489246850617e-01 
       1.603453042204e-04      -3.140331125653e-01      -2.731665401837e-01      -2.731683099500e-01      -3.132805292706e-01      -3.129971657018e-01      -2.731808807477e-01       4.490084403289e-01       4.488882239555e-01 
       1.745851206528e-04      -3.620846006872e-01      -3.238142705069e-01      -3.238167451176e-01      -3.609858461524e-01      -3.606591266160e-01      -3.238283302073e-01       4.489627346141e-01       4.488475094679e-01 
       1.892593124115e-04      -4.124474543479e-01      -3.805035358448e-01      -3.805069339093e-01      -4.108972029635e-01      -4.105250124415e-01      -3.805163001650e-01       4.489120020204e-01       4.488021863724e-01 
       2.044154922346e-04      -4.646313607911e-01      -4.438438640606e-01      -4.438484591916e-01      -4.625031213833e-01      -4.620837624746e-01      -4.438540128253e-01       4.488558387267e-01       4.487518519006e-01 
       2.201050310352e-04      -5.180281290905e-01      -5.145366768866e-01      -5.145428101148e-01      -5.151718151554e-01      -5.147041026021e-01      -5.145425278092e-01       4.487937931904e-01       4.486960514870e-01 
       2.363834847410e-04      -5.718924222560e-01      -5.933888138780e-01      -5.933969088940e-01      -5.681320848567e-01      -5.676154532653e-01      -5.933882581050e-01       4.487253614478e-01       4.486342726532e-01 
       2.533110483824e-04      -6.253225377639e-01      -6.813283056700e-01      -6.813388874507e-01      -6.204545401941e-01      -6.198891659349e-01      -6.813187351328e-01       4.486499831927e-01       4.485659393833e-01 
