# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.413261509792e-10       4.228186495377e-15       3.512616887785e-13       0.000000000000e+00       8.018685363925e-09       4.689219325698e-10      -1.855750358071e-12 
    3       1.331302833797e-10       5.369308087247e-15       3.956386943779e-13       0.000000000000e+00       5.013102115541e-09       3.323433952183e-10      -1.395807194678e-12 
    4       1.255565354111e-10       4.591213357219e-15       3.694077726176e-13       0.000000000000e+00       3.496648404699e-09       2.511192197324e-10      -9.051143377708e-13 
    5       1.199148286436e-10       3.026631131960e-15       3.138815390325e-13       0.000000000000e+00       2.612531759182e-09       1.979734650199e-10      -4.953334210795e-13 
    6       1.160293949480e-10       1.676613964001e-15       2.521922621200e-13       0.000000000000e+00       2.040796565077e-09       1.608681218345e-10      -1.963394273258e-13 
    7       1.135384238011e-10       9.064575778161e-16       1.976287835353e-13       0.000000000000e+00       1.645138663348e-09       1.337518641172e-10      -8.425552833815e-15 
    8       1.120148285448e-10       5.911108959726e-16       1.559459250385e-13       0.000000000000e+00       1.358615016486e-09       1.132195103094e-10       8.477316302918e-14 
    9       1.112548216743e-10       4.762593320225e-16       1.282857261263e-13       0.000000000000e+00       1.143986673116e-09       9.724619307162e-11       1.078934778257e-13 
   10       1.110644552011e-10       4.035589701920e-16       1.131298483489e-13       0.000000000000e+00       9.784060204099e-10       8.457660080978e-11       8.775918053115e-14 
   11       1.112754759647e-10       3.375922934634e-16       1.077747871404e-13       0.000000000000e+00       8.242227920519e-10       7.461201644027e-11       4.894685822341e-14 
   12       1.118609670566e-10       2.948915935210e-16       1.092094019689e-13       0.000000000000e+00       7.202319278064e-10       6.610717596380e-11       9.237788789763e-15 
   13       1.126798036908e-10       2.843339843917e-16       1.146504992547e-13       0.000000000000e+00       6.348584504845e-10       5.897240932560e-11      -2.014596976385e-14 
   14       1.136674269488e-10       2.966888058447e-16       1.220871801937e-13       0.000000000000e+00       5.638129598496e-10       5.284311489915e-11      -3.508296201614e-14 
   15       1.148489253912e-10       3.209095131665e-16       1.303135992382e-13       0.000000000000e+00       5.040078391839e-10       4.767029327469e-11      -3.657213544241e-14 
   16       1.161949905612e-10       3.557912666803e-16       1.386295737927e-13       0.000000000000e+00       4.531559522241e-10       4.326307505637e-11      -2.902243916549e-14 
   17       1.176294681667e-10       4.071946644462e-16       1.469597926755e-13       0.000000000000e+00       4.095297692091e-10       3.941453032715e-11      -1.789410255090e-14 
   18       1.191697292091e-10       4.797335350616e-16       1.555182330037e-13       0.000000000000e+00       3.716599821844e-10       3.600476361597e-11      -7.938132527588e-15 
   19       1.208245625893e-10       5.733455820761e-16       1.645084403709e-13       0.000000000000e+00       3.389482119940e-10       3.300927590703e-11      -1.457150310518e-15 
   20       1.225354392917e-10       6.858888490984e-16       1.740772514237e-13       0.000000000000e+00       3.101354871118e-10       3.035652429473e-11       2.223557882705e-16 
   21       1.243145029857e-10       8.168898966492e-16       1.841418974257e-13       0.000000000000e+00       2.847700846058e-10       2.803131825730e-11      -2.100234734080e-15 
   22       1.261640536739e-10       9.661131933882e-16       1.944727818808e-13       0.000000000000e+00       2.622457415163e-10       2.599298426489e-11      -6.506396258546e-15 
   23       1.280778911198e-10       1.133629087401e-15       2.047714002975e-13       0.000000000000e+00       2.422530122166e-10       2.418696582928e-11      -1.125158304963e-14 
   24       1.300270688239e-10       1.319471010470e-15       2.146608989278e-13       0.000000000000e+00       2.243299880421e-10       2.253244788829e-11      -1.458533691892e-14 
   25       1.320160275772e-10       1.523948120300e-15       2.237823229288e-13       0.000000000000e+00       2.082664174583e-10       2.100927032424e-11      -1.592487246582e-14 
   26       1.340456055475e-10       1.747678585423e-15       2.318087142310e-13       0.000000000000e+00       1.937722879868e-10       1.960657495566e-11      -1.522003688531e-14 
   27       1.361228501583e-10       1.992699448868e-15       2.387265593289e-13       0.000000000000e+00       1.806741037237e-10       1.833642980069e-11      -1.311120535335e-14 
   28       1.382460691479e-10       2.261467941945e-15       2.446382449031e-13       0.000000000000e+00       1.687463113937e-10       1.720610425207e-11      -1.054029874231e-14 
   29       1.404182737313e-10       2.555391254280e-15       2.495979207538e-13       0.000000000000e+00       1.579279649366e-10       1.620083613087e-11      -8.128109733015e-15 
   30       1.426301035224e-10       2.875527026481e-15       2.536700867458e-13       0.000000000000e+00       1.481027558028e-10       1.528434873145e-11      -6.501085559905e-15 
   31       1.448618007463e-10       3.222867419920e-15       2.569199450435e-13       0.000000000000e+00       1.390701740157e-10       1.441343357292e-11      -6.217261477607e-15 
   32       1.471178475662e-10       3.598323246484e-15       2.592909304567e-13       0.000000000000e+00       1.307837256926e-10       1.359090539560e-11      -7.016696265126e-15 
   33       1.494027184296e-10       4.002720598742e-15       2.606803065610e-13       0.000000000000e+00       1.231850939777e-10       1.283119615843e-11      -8.274611070584e-15 
   34       1.517139300061e-10       4.436839921374e-15       2.609720008062e-13       0.000000000000e+00       1.161682435182e-10       1.214345813306e-11      -9.323685023697e-15 
   35       1.540534514412e-10       4.901565111945e-15       2.600457823162e-13       0.000000000000e+00       1.096973063464e-10       1.152176246870e-11      -9.950939302737e-15 
   36       1.564185510584e-10       5.397778675067e-15       2.577692224827e-13       0.000000000000e+00       1.037203401524e-10       1.095046260063e-11      -1.006851057110e-14 
   37       1.588025654541e-10       5.926313775069e-15       2.540208245028e-13       0.000000000000e+00       9.815953536278e-11       1.041162571863e-11      -9.628765084089e-15 
   38       1.612110558642e-10       6.487936654852e-15       2.487816446158e-13       0.000000000000e+00       9.300053751481e-11       9.903946174964e-12      -8.782305755889e-15 
   39       1.636498534655e-10       7.083351912621e-15       2.420745018750e-13       0.000000000000e+00       8.822700811065e-11       9.429481438807e-12      -7.776358810442e-15 
   40       1.661200561898e-10       7.713202126158e-15       2.339408773542e-13       0.000000000000e+00       8.379345604642e-11       8.988345129837e-12      -6.917361292260e-15 
   41       1.686194477162e-10       8.378097247076e-15       2.244235664189e-13       0.000000000000e+00       7.964109003949e-11       8.578964383113e-12      -6.490326470866e-15 
