# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.413266153718e-10       4.228412023313e-15       3.512616848064e-13       2.255279311897e-19       8.018685363925e-09       4.689219325698e-10      -1.855750358071e-12 
    3       1.331312099377e-10       5.369759257044e-15       3.956386766744e-13       4.511697444057e-19       5.013102115541e-09       3.323433952183e-10      -1.395807194678e-12 
    4       1.255580747851e-10       4.591965556981e-15       3.694077217428e-13       7.521995030952e-19       3.496648404699e-09       2.511192197324e-10      -9.051143377708e-13 
    5       1.199171286791e-10       3.027759893250e-15       3.138814231174e-13       1.128760421875e-18       2.612531759182e-09       1.979734650199e-10      -4.953334210795e-13 
    6       1.160326001213e-10       1.678194990675e-15       2.521920341536e-13       1.581024369844e-18       2.040796565077e-09       1.608681218345e-10      -1.963394273258e-13 
    7       1.135426747389e-10       9.085667705100e-16       1.976283788893e-13       2.109187511051e-18       1.645138663348e-09       1.337518641172e-10      -8.425552833815e-15 
    8       1.120202616384e-10       5.938243716990e-16       1.559452592645e-13       2.713465457724e-18       1.358615016486e-09       1.132195103094e-10       8.477316302918e-14 
    9       1.112615687945e-10       4.796534384850e-16       1.282846930471e-13       3.394088119235e-18       1.143986673116e-09       9.724619307162e-11       1.078934778257e-13 
   10       1.110726435170e-10       4.077102945899e-16       1.131283184588e-13       4.151294439609e-18       9.784060204099e-10       8.457660080978e-11       8.775918053115e-14 
   11       1.112852278673e-10       3.425776657173e-16       1.077726063190e-13       4.985327218153e-18       8.242227920519e-10       7.461201644027e-11       4.894685822341e-14 
   12       1.118724001822e-10       3.007880840067e-16       1.092063905067e-13       5.896428201710e-18       7.202319278064e-10       6.610717596380e-11       9.237788789763e-15 
   13       1.126930310377e-10       2.912188964135e-16       1.146464511807e-13       6.884833623102e-18       6.348584504845e-10       5.897240932560e-11      -2.014596976385e-14 
   14       1.136825570774e-10       3.046396632046e-16       1.220818628868e-13       7.950770339380e-18       5.638129598496e-10       5.284311489915e-11      -3.508296201614e-14 
   15       1.148660626948e-10       3.300040432860e-16       1.303067533036e-13       9.094452696191e-18       5.040078391839e-10       4.767029327469e-11      -3.657213544241e-14 
   16       1.162142355925e-10       3.661073798070e-16       1.386209131764e-13       1.031608021224e-17       4.531559522241e-10       4.326307505637e-11      -2.902243916549e-14 
   17       1.176509180049e-10       4.188104295208e-16       1.469490049920e-13       1.161583614173e-17       4.095297692091e-10       3.941453032715e-11      -1.789410255090e-14 
   18       1.191934778569e-10       4.927271525774e-16       1.555049800606e-13       1.299388650971e-17       3.716599821844e-10       3.600476361597e-11      -7.938132527588e-15 
   19       1.208507013384e-10       5.877953560411e-16       1.644923587971e-13       1.445038257266e-17       3.389482119940e-10       3.300927590703e-11      -1.457150310518e-15 
   20       1.225640571606e-10       7.018731545274e-16       1.740579535624e-13       1.598545733728e-17       3.101354871118e-10       3.035652429473e-11       2.223557882705e-16 
   21       1.243456870176e-10       8.344871496402e-16       1.841189721818e-13       1.759923366607e-17       2.847700846058e-10       2.803131825730e-11      -2.100234734080e-15 
   22       1.261978893177e-10       9.854018163026e-16       1.944457958539e-13       1.929182021831e-17       2.622457415163e-10       2.599298426489e-11      -6.506396258546e-15 
   23       1.281144624286e-10       1.154687477611e-15       2.047398988422e-13       2.106332116812e-17       2.422530122166e-10       2.418696582928e-11      -1.125158304963e-14 
   24       1.300664587372e-10       1.342377504091e-15       2.146244075082e-13       2.291383210608e-17       2.243299880421e-10       2.253244788829e-11      -1.458533691892e-14 
   25       1.320583179725e-10       1.548780960158e-15       2.237403484036e-13       2.484345134859e-17       2.082664174583e-10       2.100927032424e-11      -1.592487246582e-14 
   26       1.340908773941e-10       1.774515883610e-15       2.317607464417e-13       2.685227510394e-17       1.937722879868e-10       1.960657495566e-11      -1.522003688531e-14 
   27       1.361711834591e-10       2.021619152307e-15       2.386720726960e-13       2.894040719297e-17       1.806741037237e-10       1.833642980069e-11      -1.311120535335e-14 
   28       1.382975429457e-10       2.292547793215e-15       2.445767003151e-13       3.110795565814e-17       1.687463113937e-10       1.720610425207e-11      -1.054029874231e-14 
   29       1.404729658199e-10       2.588708754899e-15       2.495287676060e-13       3.335504364733e-17       1.579279649366e-10       1.620083613087e-11      -8.128109733015e-15 
   30       1.426880903554e-10       2.911159394421e-15       2.535927651981e-13       3.568180232840e-17       1.481027558028e-10       1.528434873145e-11      -6.501085559905e-15 
   31       1.449231573356e-10       3.260891543565e-15       2.568338885686e-13       3.808837002473e-17       1.390701740157e-10       1.441343357292e-11      -6.217261477607e-15 
   32       1.471826470744e-10       3.638815636556e-15       2.591955689142e-13       4.057489854764e-17       1.307837256926e-10       1.359090539560e-11      -7.016696265126e-15 
   33       1.494710319152e-10       4.045757338301e-15       2.605750692332e-13       4.314155098084e-17       1.231850939777e-10       1.283119615843e-11      -8.274611070584e-15 
   34       1.517858262038e-10       4.482496611245e-15       2.608563197547e-13       4.578849879589e-17       1.161682435182e-10       1.214345813306e-11      -9.323685023697e-15 
   35       1.541289964749e-10       4.949916805072e-15       2.599190967074e-13       4.851591377653e-17       1.096973063464e-10       1.152176246870e-11      -9.950939302737e-15 
   36       1.564978081544e-10       5.448899814494e-15       2.576309826107e-13       5.132397477108e-17       1.037203401524e-10       1.095046260063e-11      -1.006851057110e-14 
   37       1.588855947265e-10       5.980278126679e-15       2.538704961538e-13       5.421286224238e-17       9.815953536278e-11       1.041162571863e-11      -9.628765084089e-15 
   38       1.612979143804e-10       6.544817219590e-15       2.486187147964e-13       5.718272944431e-17       9.300053751481e-11       9.903946174964e-12      -8.782305755889e-15 
   39       1.637405950880e-10       7.143220848231e-15       2.418984839992e-13       6.023372232331e-17       8.822700811065e-11       9.429481438807e-12      -7.776358810442e-15 
   40       1.662147313184e-10       7.776130671005e-15       2.337513163623e-13       6.336598737084e-17       8.379345604642e-11       8.988345129837e-12      -6.917361292260e-15 
   41       1.687181031973e-10       8.444155636056e-15       2.242200443689e-13       6.657965902211e-17       7.964109003949e-11       8.578964383113e-12      -6.490326470866e-15 
   42       1.712512650932e-10       9.147981198142e-15       2.132873118907e-13       6.987481667980e-17       7.575769572774e-11       8.199410591721e-12      -6.476247767336e-15 
   43       1.738125460173e-10       9.888288967089e-15       2.009189325412e-13       7.325151386732e-17       7.213297021672e-11       7.846181268423e-12      -6.749087589751e-15 
   44       1.763958816292e-10       1.066572476659e-14       1.870804680358e-13       7.670978896221e-17       6.874055380407e-11       7.513632818598e-12      -7.150293902158e-15 
   45       1.789940450874e-10       1.148087670865e-14       1.717344795872e-13       8.024965612865e-17       6.554744644096e-11       7.195721139068e-12      -7.523995902037e-15 
   46       1.816104264242e-10       1.233420558950e-14       1.548316796622e-13       8.387107672578e-17       6.254862628571e-11       6.892220142940e-12      -7.839883545708e-15 
   47       1.842500998051e-10       1.322609080517e-14       1.363168624771e-13       8.757397802092e-17       5.974060642060e-11       6.604090772973e-12      -8.103638964738e-15 
   48       1.869163186456e-10       1.415684599365e-14       1.161309615477e-13       9.135825950586e-17       5.711099355339e-11       6.331693259188e-12      -8.323042450283e-15 
   49       1.896103277524e-10       1.512671617684e-14       9.421074043997e-14       9.522379163744e-17       5.463782570941e-11       6.074736914636e-12      -8.508101784485e-15 
   50       1.923320408834e-10       1.613588420606e-14       7.049902835342e-14       9.917042092061e-17       5.229618651308e-11       5.832505371017e-12      -8.670354939786e-15 
   51       1.950827260808e-10       1.718449879211e-14       4.497941971798e-14       1.031979897061e-16       5.008170115705e-11       5.604720834782e-12      -8.820254991817e-15 
   52       1.978627245156e-10       1.827264914325e-14       1.765045885350e-14       1.073063195897e-16       4.799227330843e-11       5.390827642481e-12      -8.969298927924e-15 
   53       2.006705051326e-10       1.940035396367e-14      -1.148389911041e-14       1.114952046009e-16       4.602105364505e-11       5.189700965639e-12      -9.130880524767e-15 
   54       2.035025175172e-10       2.056755903316e-14      -4.241410125662e-14       1.157644102422e-16       4.415611997519e-11       4.999609568392e-12      -9.320380779385e-15 
   55       2.063549411357e-10       2.177417572424e-14      -7.512988154468e-14       1.201137000282e-16       4.238411357031e-11       4.818702000780e-12      -9.550016185933e-15 
   56       2.092297789946e-10       2.302021330317e-14      -1.096367641459e-13       1.245429250243e-16       4.070293882146e-11       4.646691935540e-12      -9.811677713410e-15 
   57       2.121300200620e-10       2.430567525597e-14      -1.459433323848e-13       1.290519548681e-16       3.911165815495e-11       4.483526272232e-12      -1.008998705870e-14 
   58       2.150578038685e-10       2.563052042330e-14      -1.840565266824e-13       1.336406523263e-16       3.760665009514e-11       4.328881901192e-12      -1.036705395658e-14 
   59       2.180143472595e-10       2.699466217508e-14      -2.239816551750e-13       1.383088734050e-16       3.618144352247e-11       4.182148854767e-12      -1.062236237102e-14 
   60       2.209998711455e-10       2.839796758519e-14      -2.657224043330e-13       1.430564674601e-16       3.482655193148e-11       4.042413458551e-12      -1.083265668645e-14 
   61       2.240141663281e-10       2.984018483439e-14      -3.092795840251e-13       1.478833088372e-16       3.353210700010e-11       3.908722129396e-12      -1.097702123808e-14 
   62       2.270586050960e-10       3.132070824444e-14      -3.546470095261e-13       1.527893998388e-16       3.229682502734e-11       3.780980079229e-12      -1.105370870751e-14 
   63       2.301344532271e-10       3.283875879881e-14      -4.018147098181e-13       1.577747911703e-16       3.112076815604e-11       3.659225354562e-12      -1.106690427604e-14 
   64       2.332422188363e-10       3.439344821931e-14      -4.507700826289e-13       1.628395535392e-16       3.000264725994e-11       3.543358203497e-12      -1.102191556543e-14 
   65       2.363815994040e-10       3.598377586354e-14      -5.014978648952e-13       1.679837787659e-16       2.893974502174e-11       3.433133131675e-12      -1.092522360992e-14 
   66       2.395514288052e-10       3.760862562230e-14      -5.539801032266e-13       1.732075808944e-16       2.792783901108e-11       3.328150958216e-12      -1.078453382825e-14 
   67       2.427496243380e-10       3.926676281697e-14      -6.081961243689e-13       1.785110973034e-16       2.696112476264e-11       3.227850871669e-12      -1.060882699563e-14 
   68       2.459741341246e-10       4.095695281255e-14      -6.641232706591e-13       1.838944798004e-16       2.603376521302e-11       3.131659738032e-12      -1.040731892367e-14 
   69       2.492261206401e-10       4.267835170092e-14      -7.217393454621e-13       1.893578633260e-16       2.514507552819e-11       3.039492913414e-12      -1.018598078150e-14 
