#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       7.008123183585e-02       1.512091023998e-07      -1.201114494113e+00       2.104121772291e-06       3.786524240588e-14       9.466310601470e-14       9.582412779371e-24       1.893262120294e-14      -9.008358705849e-01       2.104121772291e-06       6.013507490555e-01       6.997214010744e-01      -9.008358705849e-01       2.104121867884e-06      -1.201114494282e+00       2.104121726156e-06       1.970243341936e-08       3.333333333333e-01 
       7.015357606181e-02       1.513652140570e-07      -1.201113359032e+00       2.106291570631e-06       3.798259626461e-14       9.495649066151e-14       9.631968835907e-24       1.899129813230e-14      -9.008350192742e-01       2.106291570631e-06       6.013512068809e-01       6.997216848954e-01      -9.008350192742e-01       2.106291666520e-06      -1.201113359201e+00       2.106291524353e-06       1.974310189915e-08       3.333333333333e-01 
       7.022592028778e-02       1.515213257551e-07      -1.201112272014e+00       2.108461449348e-06       3.810019381850e-14       9.525048454626e-14       9.681730086004e-24       1.905009690925e-14      -9.008342040108e-01       2.108461449348e-06       6.013516533080e-01       6.997219567007e-01      -9.008342040108e-01       2.108461545535e-06      -1.201112272184e+00       2.108461402927e-06       1.978381216759e-08       3.333333333333e-01 
       7.053521417913e-02       1.521887519025e-07      -1.201115090767e+00       2.117751460876e-06       3.860593633165e-14       9.651484082912e-14       9.896860840106e-24       1.930296816582e-14      -9.008363180753e-01       2.117751460876e-06       6.013518566068e-01       6.997212522304e-01      -9.008363180753e-01       2.117751558339e-06      -1.201115090938e+00       2.117751413838e-06       1.995830036884e-08       3.333333333333e-01 
       7.084450807049e-02       1.528561787985e-07      -1.201121639373e+00       2.127048111935e-06       3.911625712524e-14       9.779064281310e-14       1.011583069721e-23       1.955812856262e-14      -9.008412295296e-01       2.127048111935e-06       6.013511987524e-01       6.997196152978e-01      -9.008412295296e-01       2.127048210686e-06      -1.201121639545e+00       2.127048064276e-06       2.013353872515e-08       3.333333333333e-01 
       7.115380196184e-02       1.535236064432e-07      -1.201129189546e+00       2.136346632711e-06       3.963109047323e-14       9.907772618308e-14       1.033866856360e-23       1.981554523662e-14      -9.008468921593e-01       2.136346632711e-06       6.013502996857e-01       6.997177279744e-01      -9.008468921593e-01       2.136346732761e-06      -1.201129189720e+00       2.136346584425e-06       2.030953941640e-08       3.333333333333e-01 
       7.146309585320e-02       1.541910348366e-07      -1.201136825311e+00       2.145645414975e-06       4.015042675490e-14       1.003760668872e-13       1.056541778285e-23       2.007521337745e-14      -9.008526189832e-01       2.145645414975e-06       6.013493669866e-01       6.997158192538e-01      -9.008526189832e-01       2.145645516335e-06      -1.201136825487e+00       2.145645366057e-06       2.048630715107e-08       3.333333333333e-01 
       7.214229593272e-02       1.556566901343e-07      -1.201152591908e+00       2.166063829913e-06       4.130672686056e-14       1.032668171514e-13       1.107731813249e-23       2.065336343028e-14      -9.008644439307e-01       2.166063829913e-06       6.013475118178e-01       6.997118780927e-01      -9.008644439307e-01       2.166063934191e-06      -1.201152592086e+00       2.166063779587e-06       2.087717796236e-08       3.333333333333e-01 
       7.282149601224e-02       1.571223490422e-07      -1.201167833147e+00       2.186481775804e-06       4.248500968679e-14       1.062125242170e-13       1.160886901789e-23       2.124250484340e-14      -9.008758748599e-01       2.186481775804e-06       6.013457150902e-01       6.997080682757e-01      -9.008758748599e-01       2.186481883055e-06      -1.201167833329e+00       2.186481724043e-06       2.127175092792e-08       3.333333333333e-01 
       7.350069609176e-02       1.585880115604e-07      -1.201182622361e+00       2.206899356268e-06       4.368548401337e-14       1.092137100334e-13       1.216063132641e-23       2.184274200668e-14      -9.008869667709e-01       2.206899356268e-06       6.013439617740e-01       6.997043714693e-01      -9.008869667709e-01       2.206899466548e-06      -1.201182622547e+00       2.206899303045e-06       2.167002570333e-08       3.333333333333e-01 
       7.417989617129e-02       1.600536776888e-07      -1.201196989669e+00       2.227316605733e-06       4.490835736976e-14       1.122708934244e-13       1.273317618304e-23       2.245417868488e-14      -9.008977422515e-01       2.227316605733e-06       6.013422477597e-01       6.997007801444e-01      -9.008977422515e-01       2.227316719098e-06      -1.201196989858e+00       2.227316551021e-06       2.207200228062e-08       3.333333333333e-01 
       7.588255610232e-02       1.637279142544e-07      -1.201231972805e+00       2.278499769375e-06       4.807378371822e-14       1.201844592956e-13       1.426369443957e-23       2.403689185911e-14      -9.009239796041e-01       2.278499769375e-06       6.013379357351e-01       6.996920356388e-01      -9.009239796041e-01       2.278499890725e-06      -1.201231973003e+00       2.278499710808e-06       2.309597367871e-08       3.333333333333e-01 
       7.758521603335e-02       1.674021735080e-07      -1.201265063168e+00       2.329681921942e-06       5.138455860168e-14       1.284613965042e-13       1.593797267603e-23       2.569227930084e-14      -9.009487973757e-01       2.329681921942e-06       6.013337398366e-01       6.996837643560e-01      -9.009487973757e-01       2.329682051645e-06      -1.201265063374e+00       2.329681859344e-06       2.414320809297e-08       3.333333333333e-01 
       7.928787596439e-02       1.710764554497e-07      -1.201296029838e+00       2.380862364169e-06       5.484392782627e-14       1.371098195657e-13       1.776590356454e-23       2.742196391313e-14      -9.009720223782e-01       2.380862364169e-06       6.013297550516e-01       6.996760240253e-01      -9.009720223782e-01       2.380862502598e-06      -1.201296030054e+00       2.380862297359e-06       2.521370492477e-08       3.333333333333e-01 
       8.099053589542e-02       1.747507600794e-07      -1.201324877308e+00       2.432040834566e-06       5.845514487331e-14       1.461378621833e-13       1.975782574015e-23       2.922757243665e-14      -9.009936579808e-01       2.432040834566e-06       6.013260137176e-01       6.996688135235e-01      -9.009936579808e-01       2.432040982105e-06      -1.201324877533e+00       2.432040763360e-06       2.630746347844e-08       3.333333333333e-01 
       8.269319582645e-02       1.784250873971e-07      -1.201351778679e+00       2.483217420579e-06       6.222147076022e-14       1.555536769006e-13       2.192453401418e-23       3.111073538011e-14      -9.010138340095e-01       2.483217420579e-06       6.013225027683e-01       6.996620895755e-01      -9.010138340095e-01       2.483217577619e-06      -1.201351778914e+00       2.483217344787e-06       2.742448287433e-08       3.333333333333e-01 
       8.682308034937e-02       1.873374413737e-07      -1.201409833065e+00       2.607341296743e-06       7.202124761714e-14       1.800531190429e-13       2.797615799076e-23       3.601062380857e-14      -9.010573747986e-01       2.607341296743e-06       6.013148778674e-01       6.996475794830e-01      -9.010573747986e-01       2.607341478502e-06      -1.201409833324e+00       2.607341209021e-06       3.023049791816e-08       3.333333333333e-01 
       9.095296487228e-02       1.962499288306e-07      -1.201459746828e+00       2.731456782796e-06       8.279933252592e-14       2.069983313148e-13       3.529588814093e-23       4.139966626296e-14      -9.010948101211e-01       2.731456782796e-06       6.013082454799e-01       6.996351047169e-01      -9.010948101211e-01       2.731456991740e-06      -1.201459747112e+00       2.731456681953e-06       3.317334546659e-08       3.333333333333e-01 
       9.508284939520e-02       2.051625497678e-07      -1.201503210491e+00       2.855565376476e-06       9.460229406497e-14       2.365057351624e-13       4.407335447713e-23       4.730114703248e-14      -9.011274078684e-01       2.855565376476e-06       6.013024103010e-01       6.996242426468e-01      -9.011274078684e-01       2.855565615189e-06      -1.201503210802e+00       2.855565261265e-06       3.625301717887e-08       3.333333333333e-01 
