# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.540043746594e-10       4.301604995155e-15       3.390438998509e-13       2.131700869255e-19       7.643672051381e-09       5.339357837903e-10      -1.844465493659e-12 
    3       1.427037207918e-10       5.321169634852e-15       3.861439950097e-13       4.264482190059e-19       4.750886693926e-09       3.746320431562e-10      -1.369234235350e-12 
    4       1.330286708340e-10       4.411738195406e-15       3.614872378867e-13       7.109842258770e-19       3.313117214830e-09       2.814231159623e-10      -8.644794859816e-13 
    5       1.259598598152e-10       2.817117236199e-15       3.066511318365e-13       1.066914186709e-18       2.475167730976e-09       2.210282995116e-10      -4.504749276669e-13 
    6       1.210880204779e-10       1.527484645512e-15       2.456565524454e-13       1.494401585279e-18       1.933403552307e-09       1.790362526903e-10      -1.564201943470e-13 
    7       1.178396244876e-10       8.359371876058e-16       1.921438077985e-13       1.993633273214e-18       1.558535217055e-09       1.483876914856e-10       2.048396938983e-14 
    8       1.158031579074e-10       5.666116068641e-16       1.518060774974e-13       2.564814979140e-18       1.286761317801e-09       1.253016751577e-10       1.003810085337e-13 
    9       1.146900687390e-10       4.625103247269e-16       1.255716095081e-13       3.208166531875e-18       1.082939267298e-09       1.074880290106e-10       1.114153147859e-13 
   10       1.141981122922e-10       3.878470338349e-16       1.117791595233e-13       3.923916974775e-18       9.256819299430e-10       9.338256559227e-11       8.288563618561e-14 
   11       1.142134264536e-10       3.240910624207e-16       1.075359585400e-13       4.712299750160e-18       7.838740400717e-10       8.226096833518e-11       4.047339973495e-14 
   12       1.146287330461e-10       2.887508822127e-16       1.096625838698e-13       5.573548127111e-18       6.848988685122e-10       7.268736027138e-11       1.302528990071e-15 
   13       1.153097887458e-10       2.846566865479e-16       1.154825726970e-13       6.507891033329e-18       6.036305255835e-10       6.480923470333e-11      -2.458575995581e-14 
   14       1.162731604923e-10       3.001240198370e-16       1.230913110709e-13       7.515549432522e-18       5.359953611989e-10       5.802894196134e-11      -3.510241167175e-14 
   15       1.173900076239e-10       3.269231666788e-16       1.313001664713e-13       8.596733363874e-18       4.790546323709e-10       5.227579922612e-11      -3.279745287575e-14 
   16       1.186964677533e-10       3.670523150611e-16       1.396185667410e-13       9.751639730525e-18       4.306349389835e-10       4.732640828981e-11      -2.314390066878e-14 
   17       1.201383987782e-10       4.263169268706e-16       1.480086365560e-13       1.098045089096e-17       3.890941048792e-10       4.306580361992e-11      -1.182568157411e-14 
   18       1.216846314491e-10       5.071301446198e-16       1.567311343385e-13       1.228333368498e-17       3.530368061062e-10       3.934207851338e-11      -3.301383583490e-15 
   19       1.233512404660e-10       6.085199441057e-16       1.659778330932e-13       1.366044158715e-17       3.218888888796e-10       3.608467850781e-11       8.189622293871e-16 
   20       1.251039236322e-10       7.280866111254e-16       1.758413299539e-13       1.511191144559e-17       2.944548978876e-10       3.317860994212e-11       1.766428990070e-16 
   21       1.269409815508e-10       8.659132559382e-16       1.861733990381e-13       1.663787079945e-17       2.703047513574e-10       3.060594377398e-11      -3.817303780209e-15 
   22       1.288399312990e-10       1.022546752663e-15       1.966637906668e-13       1.823843408866e-17       2.488604521480e-10       2.833399215226e-11      -8.796683295593e-15 
   23       1.308066943249e-10       1.197733779078e-15       2.069344208258e-13       1.991371146888e-17       2.298276548208e-10       2.630930925493e-11      -1.309821627824e-14 
   24       1.328333831339e-10       1.391013593766e-15       2.165537118968e-13       2.166380498272e-17       2.127672395221e-10       2.445158296137e-11      -1.531577622106e-14 
   25       1.349161882048e-10       1.603533452649e-15       2.252596315955e-13       2.348881885732e-17       1.974786499716e-10       2.275924661553e-11      -1.528470412733e-14 
   26       1.370390605980e-10       1.837071600292e-15       2.328696073764e-13       2.538885499410e-17       1.836851393976e-10       2.123822930833e-11      -1.344236247176e-14 
   27       1.392101194760e-10       2.093490943046e-15       2.393943995541e-13       2.736402183030e-17       1.712212034298e-10       1.987429104795e-11      -1.076828289348e-14 
   28       1.414337193284e-10       2.374663759773e-15       2.449240443311e-13       2.941443116272e-17       1.598719720899e-10       1.863731972932e-11      -8.432587098987e-15 
   29       1.437132451648e-10       2.681880687132e-15       2.495132356453e-13       3.154020815802e-17       1.495794532577e-10       1.751686086054e-11      -6.845829464333e-15 
   30       1.460373993611e-10       3.016219635006e-15       2.532300611791e-13       3.374148470855e-17       1.402331324338e-10       1.649652549859e-11      -6.202765018297e-15 
   31       1.483842099122e-10       3.378690437772e-15       2.561355430818e-13       3.601839861073e-17       1.316423867221e-10       1.555122298279e-11      -6.605772722193e-15 
   32       1.507580122418e-10       3.770213033626e-15       2.581377230610e-13       3.837109956637e-17       1.237627653394e-10       1.467684486493e-11      -7.705168963578e-15 
   33       1.531636858352e-10       4.191617582152e-15       2.590806045674e-13       4.079974691615e-17       1.165384398553e-10       1.386997449287e-11      -8.907323133003e-15 
   34       1.555994240815e-10       4.643704915226e-15       2.587976237740e-13       4.330450696596e-17       1.098681991461e-10       1.312237860389e-11      -9.607875772304e-15 
   35       1.580693192407e-10       5.127465127836e-15       2.571747027907e-13       4.588554588520e-17       1.037177893857e-10       1.243133274718e-11      -9.722011394041e-15 
   36       1.605734662587e-10       5.643929762575e-15       2.541075582774e-13       4.854303560289e-17       9.803775144310e-11       1.179192386716e-11      -9.338078396703e-15 
   37       1.631074333525e-10       6.194060532494e-15       2.495064565365e-13       5.127714884999e-17       9.275404114324e-11       1.119644636226e-11      -8.584606082936e-15 
   38       1.656749525558e-10       6.778571042154e-15       2.433713924229e-13       5.408803333060e-17       8.785294239832e-11       1.064338515318e-11      -7.643444487528e-15 
   39       1.682782260589e-10       7.398038309120e-15       2.357428805816e-13       5.697582949115e-17       8.331886131249e-11       1.013079726321e-11      -6.746108728273e-15 
   40       1.709137678798e-10       8.052942621468e-15       2.266835061918e-13       5.994067750838e-17       7.910850096943e-11       9.653551449866e-12      -6.174276666844e-15 
   41       1.735748842702e-10       8.743757888078e-15       2.162521545151e-13       6.298270595981e-17       7.516592520050e-11       9.205141226049e-12      -6.172659339666e-15 
   42       1.762615168036e-10       9.471272796906e-15       2.044134763997e-13       6.610199327718e-17       7.147945496440e-11       8.784501171299e-12      -6.646039021187e-15 
   43       1.789726017753e-10       1.023636388844e-14       1.911011447891e-13       6.929859383036e-17       6.803922751961e-11       8.390942252109e-12      -7.368830504081e-15 
   44       1.817028944373e-10       1.103990859435e-14       1.762418374078e-13       7.257254750651e-17       6.482012347775e-11       8.022121207454e-12      -8.063758611351e-15 
   45       1.844462952891e-10       1.188269900408e-14       1.597626542924e-13       7.592387170336e-17       6.179071872968e-11       7.674935995026e-12      -8.472455506591e-15 
   46       1.872079190974e-10       1.276515128646e-14       1.416173349764e-13       7.935253619676e-17       5.894619224655e-11       7.348846917781e-12      -8.599714631873e-15 
   47       1.899949812667e-10       1.368751021633e-14       1.217669262267e-13       8.285847950199e-17       5.628319148796e-11       7.043320599719e-12      -8.536994153694e-15 
   48       1.928132353765e-10       1.464992395301e-14       1.001723865584e-13       8.644161436113e-17       5.378990851355e-11       6.756814139313e-12      -8.396183107679e-15 
   49       1.956668030980e-10       1.565243952819e-14       7.679448544666e-14       9.010182658527e-17       5.144545152412e-11       6.486700482621e-12      -8.310750303632e-15 
   50       1.985579335259e-10       1.669507639360e-14       5.159657157331e-14       9.383898004961e-17       4.922612594989e-11       6.230059217778e-12      -8.401837968398e-15 
   51       2.014865987534e-10       1.777808106764e-14       2.455399723560e-14       9.765293596341e-17       4.712774568756e-11       5.986475147132e-12      -8.663027180490e-15 
   52       2.044504945209e-10       1.890173381021e-14      -4.352922131733e-15       1.015435368293e-16       4.514829166684e-11       5.755870358723e-12      -9.046279268112e-15 
