# Matter power spectrum P(k) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.608806565107e-06       6.163512374305e+01 
       2.145156745703e-05       1.336910299819e+02 
       3.332954735221e-05       2.044553707184e+02 
       4.526975115419e-05       2.746583363095e+02 
       5.729956186539e-05       3.447034699848e+02 
       6.944694710181e-05       4.148853727503e+02 
       8.174067122832e-05       4.854504067547e+02 
       9.421051552855e-05       5.566212160385e+02 
       1.068875088434e-04       6.286090389686e+02 
       1.198041711362e-04       7.016209236783e+02 
       1.329947724596e-04       7.758645212143e+02 
       1.464956097987e-04       8.515516383901e+02 
       1.603453042204e-04       9.289011195452e+02 
       1.745851206528e-04       1.008141365030e+03 
       1.892593124115e-04       1.089512652785e+03 
       2.044154922346e-04       1.173269365026e+03 
       2.201050310352e-04       1.259682191312e+03 
       2.363834847410e-04       1.349040321636e+03 
       2.533110483824e-04       1.441653658482e+03 
       2.709530348823e-04       1.537855030828e+03 
       2.893803736693e-04       1.638002386265e+03 
       3.086701210935e-04       1.742480920048e+03 
       3.289059705157e-04       1.851705051131e+03 
       3.501787446709e-04       1.966120166708e+03 
       3.725868463269e-04       2.086203975980e+03 
       3.962366352877e-04       2.212467304672e+03 
       4.212426904911e-04       2.345454094268e+03 
       4.477279056125e-04       2.485740332659e+03 
       4.758233558858e-04       2.633931590845e+03 
       5.056678639574e-04       2.790658777761e+03 
       5.374071853343e-04       2.956571741154e+03 
       5.711927319294e-04       3.132330295026e+03 
       6.071797585811e-04       3.318592368376e+03 
       6.455249558241e-04       3.515999043071e+03 
       6.863834258880e-04       3.725156513729e+03 
       7.299050697801e-04       3.946615299804e+03 
       7.762304804195e-04       4.180847453074e+03 
       8.254865149471e-04       4.428223018902e+03 
       8.777817983007e-04       4.688987415574e+03 
       9.332024751379e-04       4.963241729840e+03 
       9.918085613878e-04       5.250927955634e+03 
       1.053631235555e-03       5.551820861394e+03 
       1.118671346315e-03       5.865527397054e+03 
       1.186899301353e-03       6.191493520951e+03 
       1.258256359613e-03       6.529017938700e+03 
       1.332657200755e-03       6.877271157439e+03 
       1.340840250952e-03       6.915346515072e+03 
       1.409993519211e-03       7.235318948088e+03 
       1.490138307530e-03       7.602148821286e+03 
       1.572950464739e-03       7.976699186769e+03 
       1.658279387686e-03       8.357888122781e+03 
       1.745969263858e-03       8.744640248516e+03 
       1.835862865565e-03       9.135907931853e+03 
       1.927804730282e-03       9.530686476645e+03 
       2.021643687598e-03       9.928023515854e+03 
       2.117234751992e-03       1.032702562279e+04 
       2.214440440455e-03       1.072686280170e+04 
       2.313131596169e-03       1.112677349068e+04 
       2.413187807521e-03       1.152606556488e+04 
       2.514497509855e-03       1.192411573999e+04 
       2.616957849248e-03       1.232036398399e+04 
       2.720474376409e-03       1.271431024042e+04 
       2.824960626633e-03       1.310550859228e+04 
       2.930337630105e-03       1.349356588386e+04 
       3.036533386399e-03       1.387813636124e+04 
       3.143482328220e-03       1.425891981724e+04 
       3.251124792182e-03       1.463565052668e+04 
       3.359406508800e-03       1.500809837187e+04 
       3.468278119440e-03       1.537606039785e+04 
       3.577694724771e-03       1.573936599731e+04 
       3.687615466840e-03       1.609786995852e+04 
       3.798003145249e-03       1.645145072765e+04 
       3.908823866730e-03       1.680000873836e+04 
       4.020046726690e-03       1.714346129964e+04 
