# Matter power spectrum P(k) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.608806565107e-06       6.158145940145e+01 
       2.145156745703e-05       1.335748772969e+02 
       3.332954735221e-05       2.042784078540e+02 
       4.526975115419e-05       2.744219054897e+02 
       5.729956186539e-05       3.444088695973e+02 
       6.944694710181e-05       4.145339656109e+02 
       8.174067122832e-05       4.850436810094e+02 
       9.421051552855e-05       5.561608301600e+02 
       1.068875088434e-04       6.280968616316e+02 
       1.198041711362e-04       7.010590731587e+02 
       1.329947724596e-04       7.752554066815e+02 
       1.464956097987e-04       8.508980044302e+02 
       1.603453042204e-04       9.282060947093e+02 
       1.745851206528e-04       1.007408514820e+03 
       1.892593124115e-04       1.088746037167e+03 
       2.044154922346e-04       1.172473600166e+03 
       2.201050310352e-04       1.258862514712e+03 
       2.363834847410e-04       1.348202659253e+03 
       2.533110483824e-04       1.440804691460e+03 
       2.709530348823e-04       1.537002258381e+03 
       2.893803736693e-04       1.637154179747e+03 
       3.086701210935e-04       1.741646561415e+03 
       3.289059705157e-04       1.850894746802e+03 
       3.501787446709e-04       1.965345025406e+03 
       3.725868463269e-04       2.085475936612e+03 
       3.962366352877e-04       2.211798998241e+03 
       4.212426904911e-04       2.344858622833e+03 
       4.477279056125e-04       2.485230949693e+03 
       4.758233558858e-04       2.633521272528e+03 
       5.056678639574e-04       2.790359685768e+03 
       5.374071853343e-04       2.956394596247e+03 
       5.711927319294e-04       3.132283708424e+03 
       6.071797585811e-04       3.318682213261e+03 
       6.455249558241e-04       3.516227986219e+03 
       6.863834258880e-04       3.725523855221e+03 
       7.299050697801e-04       3.947117267848e+03 
       7.762304804195e-04       4.181478047731e+03 
       8.254865149471e-04       4.428975374891e+03 
       8.777817983007e-04       4.689855465598e+03 
       9.332024751379e-04       4.964221744167e+03 
       9.918085613878e-04       5.252019411982e+03 
       1.053631235555e-03       5.553026187725e+03 
       1.118671346315e-03       5.866850509113e+03 
       1.186899301353e-03       6.192937669597e+03 
       1.258256359613e-03       6.530583912213e+03 
       1.332657200755e-03       6.878956942091e+03 
       1.340840250952e-03       6.917044996075e+03 
       1.409993519211e-03       7.237121284776e+03 
       1.490138307530e-03       7.604065908363e+03 
       1.572950464739e-03       7.978732806798e+03 
       1.658279387686e-03       8.360043550122e+03 
       1.745969263858e-03       8.746923663448e+03 
       1.835862865565e-03       9.138322905581e+03 
       1.927804730282e-03       9.533231954032e+03 
       2.021643687598e-03       9.930694732062e+03 
       2.117234751992e-03       1.032981717531e+04 
       2.214440440455e-03       1.072977148090e+04 
       2.313131596169e-03       1.112979889093e+04 
       2.413187807521e-03       1.152920857287e+04 
       2.514497509855e-03       1.192737677280e+04 
       2.616957849248e-03       1.232374265578e+04 
       2.720474376409e-03       1.271780630739e+04 
       2.824960626633e-03       1.310912255494e+04 
       2.930337630105e-03       1.349729810096e+04 
       3.036533386399e-03       1.388198538529e+04 
       3.143482328220e-03       1.426288180603e+04 
       3.251124792182e-03       1.463972067076e+04 
       3.359406508800e-03       1.501227325245e+04 
       3.468278119440e-03       1.538033921095e+04 
       3.577694724771e-03       1.574374970075e+04 
       3.687615466840e-03       1.610235935659e+04 
       3.798003145249e-03       1.645604525977e+04 
       3.908823866730e-03       1.680470665335e+04 
       4.020046726690e-03       1.714826039466e+04 
       4.131643520835e-03       1.748663851846e+04 
       4.243588484725e-03       1.781978658407e+04 
       4.355858059030e-03       1.814766698078e+04 
       4.468430678260e-03       1.847024675561e+04 
       4.581286580801e-03       1.878750743701e+04 
       4.694407638220e-03       1.909944132756e+04 
       4.807777201933e-03       1.940604192899e+04 
       4.921379965466e-03       1.970731253964e+04 
       5.035201840715e-03       2.000326338843e+04 
       5.149229846737e-03       2.029391085547e+04 
       5.263452009761e-03       2.057927955254e+04 
       5.377857273226e-03       2.085938758849e+04 
       5.492435416790e-03       2.113426550518e+04 
       5.607176983354e-03       2.140394651595e+04 
       5.722073213252e-03       2.166845460500e+04 
       5.837115984859e-03       2.192785042831e+04 
       5.952297760926e-03       2.218215366255e+04 
       6.067611540054e-03       2.243140671008e+04 
       6.183050812766e-03       2.267566195792e+04 
       6.298609521706e-03       2.291495624386e+04 
       6.414282025528e-03       2.314933420313e+04 
       6.530063066118e-03       2.337884989840e+04 
       6.645947738794e-03       2.360353843328e+04 
       6.761931465189e-03       2.382345320017e+04 
       6.878009968562e-03       2.403864150247e+04 
       6.994179251274e-03       2.424915895367e+04 
       7.110435574241e-03       2.445504326288e+04 
       7.226775438162e-03       2.465634742841e+04 
       7.343195566339e-03       2.485313071040e+04 
       7.459692888970e-03       2.504542535083e+04 
       7.576264528736e-03       2.523329611061e+04 
       7.692907787600e-03       2.541679103115e+04 
       7.809620134675e-03       2.559594896224e+04 
       7.926399195086e-03       2.577081327735e+04 
       8.043242739716e-03       2.594145413132e+04 
       8.160148675780e-03       2.610791944658e+04 
       8.277115038132e-03       2.627024640797e+04 
       8.394139981253e-03       2.642848273771e+04 
       8.511221771859e-03       2.658268121673e+04 
       8.628358782070e-03       2.673288768243e+04 
       8.745549483106e-03       2.687914837727e+04 
       8.862792439445e-03       2.702151672340e+04 
       8.980086303427e-03       2.716002669675e+04 
       9.097429810247e-03       2.729473314328e+04 
       9.214821773323e-03       2.742568079066e+04 
       9.332261079998e-03       2.755291364549e+04 
       9.449746687547e-03       2.767648215572e+04 
       9.567277619478e-03       2.779642526531e+04 
       9.684852962090e-03       2.791278693435e+04 
       9.802471861276e-03       2.802561550143e+04 
       9.920133519552e-03       2.813495089284e+04 
       1.003783719329e-02       2.824083572126e+04 
       1.015558219016e-02       2.834331454750e+04 
       1.027336786669e-02       2.844243311740e+04 
       1.039119362611e-02       2.853821791726e+04 
       1.050905891620e-02       2.863072500689e+04 
       1.062696322741e-02       2.871998874686e+04 
       1.074490609101e-02       2.880605999412e+04 
       1.086288707745e-02       2.888895814977e+04 
       1.098090579479e-02       2.896874441025e+04 
       1.109896188722e-02       2.904544310782e+04 
       1.121705503369e-02       2.911909233819e+04 
       1.133518494670e-02       2.918974339548e+04 
       1.145335137105e-02       2.925743756626e+04 
       1.157155408280e-02       2.932220549343e+04 
       1.168979288821e-02       2.938407658246e+04 
       1.180806762280e-02       2.944309754738e+04 
       1.192637815048e-02       2.949929940537e+04 
       1.204472436269e-02       2.955272308027e+04 
       1.216310617768e-02       2.960340704641e+04 
       1.228152353978e-02       2.965136963200e+04 
       1.239997641876e-02       2.969666423263e+04 
       1.251846480920e-02       2.973932216561e+04 
       1.263698872995e-02       2.977936915217e+04 
       1.275554822362e-02       2.981683968321e+04 
       1.287414335609e-02       2.985179243203e+04 
       1.299277421609e-02       2.988423142657e+04 
       1.311144091480e-02       2.991420019165e+04 
       1.323014358550e-02       2.994173857013e+04 
       1.334888238321e-02       2.996687033504e+04 
       1.340840250952e-02       2.997857474859e+04 
       1.346765748445e-02       2.998963109202e+04 
       1.358646908692e-02       3.001005899808e+04 
       1.370531740931e-02       3.002816867928e+04 
       1.382420269108e-02       3.004401735363e+04 
       1.394312519227e-02       3.005760930364e+04 
       1.406208519336e-02       3.006899569442e+04 
       1.418108299514e-02       3.007820196272e+04 
       1.430011891861e-02       3.008524360523e+04 
       1.441919330488e-02       3.009017840909e+04 
       1.453830651516e-02       3.009301205264e+04 
       1.465745893064e-02       3.009379452586e+04 
       1.477665095257e-02       3.009254028033e+04 
       1.489588300219e-02       3.008927078050e+04 
       1.501515552078e-02       3.008403343102e+04 
       1.513446896973e-02       3.007686267402e+04 
       1.525382383055e-02       3.006776205460e+04 
       1.537322060500e-02       3.005677301995e+04 
       1.549265981514e-02       3.004391685447e+04 
       1.561214200349e-02       3.002923281603e+04 
       1.573166773313e-02       3.001276046873e+04 
       1.585123758789e-02       2.999449426346e+04 
       1.597085217246e-02       2.997445928781e+04 
       1.609051211262e-02       2.995272541705e+04 
       1.621021805544e-02       2.992928536024e+04 
       1.632997066945e-02       2.990416881645e+04 
       1.644977064494e-02       2.987742380124e+04 
       1.656961869415e-02       2.984903195354e+04 
       1.668951555156e-02       2.981906455518e+04 
       1.680946197418e-02       2.978751969893e+04 
       1.692945874185e-02       2.975443704599e+04 
       1.704950665752e-02       2.971980459012e+04 
       1.716960654760e-02       2.968371062479e+04 
       1.728975926234e-02       2.964615543080e+04 
       1.740996567612e-02       2.960711182369e+04 
       1.753022668790e-02       2.956666888406e+04 
       1.765054322158e-02       2.952484712298e+04 
       1.777091622640e-02       2.948167649644e+04 
       1.789134667742e-02       2.943708963511e+04 
       1.801183557591e-02       2.939120586852e+04 
       1.813238394985e-02       2.934402448622e+04 
       1.825299285442e-02       2.929555459225e+04 
       1.837366337244e-02       2.924583416436e+04 
       1.849439661498e-02       2.919486897271e+04 
       1.861519372184e-02       2.914270211625e+04 
       1.873605586209e-02       2.908936020229e+04 
       1.885698423471e-02       2.903482593825e+04 
       1.897798006914e-02       2.897911882303e+04 
       1.909904462590e-02       2.892229186068e+04 
       1.922017919724e-02       2.886442004196e+04 
       1.934138510781e-02       2.880543034168e+04 
       1.946266371531e-02       2.874535941804e+04 
       1.958401641121e-02       2.868431995110e+04 
       1.970544462148e-02       2.862215772957e+04 
       1.982694980735e-02       2.855900475455e+04 
       1.994853346605e-02       2.849494755557e+04 
       2.007019713163e-02       2.842996480582e+04 
       2.019194237580e-02       2.836391580042e+04 
       2.031377080876e-02       2.829700447337e+04 
       2.043568408007e-02       2.822913334841e+04 
       2.055768387959e-02       2.816046337193e+04 
       2.067977193838e-02       2.809092874324e+04 
       2.080195002968e-02       2.802053620352e+04 
       2.092421996990e-02       2.794930684333e+04 
       2.104658361966e-02       2.787722505312e+04 
       2.116904288482e-02       2.780445009432e+04 
       2.129159971762e-02       2.773085624900e+04 
