# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       9.608806565107e-06      -1.307809844262e-03      -9.813765296258e-04      -9.813765530905e-04      -1.308976365085e-03      -1.308106230815e-03      -9.814802562734e-04       4.492489126665e-01       4.491086150937e-01 
       2.145156745703e-05      -6.504375365953e-03      -4.891164892284e-03      -4.891165474968e-03      -6.509880187185e-03      -6.511726422452e-03      -4.891677980357e-03       4.492453655268e-01       4.491054974399e-01 
       3.332954735221e-05      -1.564305934021e-02      -1.180724391425e-02      -1.180724730751e-02      -1.565503364478e-02      -1.568577530639e-02      -1.180846596702e-02       4.492390218286e-01       4.490999107338e-01 
       4.526975115419e-05      -2.870350065741e-02      -2.178208103867e-02      -2.178209257559e-02      -2.872211773029e-02      -2.884827527253e-02      -2.178429167406e-02       4.492298766627e-01       4.490918519782e-01 
       5.729956186539e-05      -4.566016999971e-02      -3.489612147682e-02      -3.489615104939e-02      -4.568274813261e-02      -4.602972128427e-02      -3.489957129700e-02       4.492178818685e-01       4.490812759867e-01 
       6.944694710181e-05      -6.647995577030e-02      -5.125900305356e-02      -5.125906675861e-02      -6.649999620217e-02      -6.727189997986e-02      -5.126390362195e-02       4.492029477311e-01       4.490680970618e-01 
       8.174067122832e-05      -9.111891067775e-02      -7.101127533895e-02      -7.101139736264e-02      -9.112504676563e-02      -9.262629026711e-02      -7.101778780246e-02       4.491849733485e-01       4.490522193497e-01 
       9.421051552855e-05      -1.195180509658e-01      -9.432665617437e-02      -9.432687098844e-02      -1.194928870205e-01      -1.221519329428e-01      -9.433487812712e-02       4.491638294855e-01       4.490335195307e-01 
       1.068875088434e-04      -1.515980920043e-01      -1.214148806650e-01      -1.214152356268e-01      -1.515169087734e-01      -1.559126340481e-01      -1.214248308107e-01       4.491393613579e-01       4.490118494559e-01 
       1.198041711362e-04      -1.872529738273e-01      -1.525252077791e-01      -1.525257662439e-01      -1.870822788111e-01      -1.939733191472e-01      -1.525368078953e-01       4.491113883965e-01       4.489870356964e-01 
       1.329947724596e-04      -2.263420077793e-01      -1.879506656873e-01      -1.879515107537e-01      -2.260379168615e-01      -2.363953064270e-01      -1.879637193254e-01       4.490797008840e-01       4.489588759016e-01 
       1.464956097987e-04      -2.686804902749e-01      -2.280331363484e-01      -2.280343754137e-01      -2.681869164725e-01      -2.832302093831e-01      -2.280473036663e-01       4.490440576631e-01       4.489271361716e-01 
       1.603453042204e-04      -3.140285980513e-01      -2.731693991486e-01      -2.731711694428e-01      -3.132752530413e-01      -3.345121082329e-01      -2.731841671687e-01       4.490041834879e-01       4.488915479503e-01 
       1.745851206528e-04      -3.620784396446e-01      -3.238182767502e-01      -3.238207520736e-01      -3.609786586784e-01      -3.902475475927e-01      -3.238329242914e-01       4.489597667213e-01       4.488518051580e-01 
