# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.833896296258e-26       4.803951014765e-09       2.081699611242e+22       1.445351351216e+04       1.445351351216e-10       1.445351351216e+18       2.773456199308e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       1.269459925490e+44       4.231533084967e+43       3.124528103288e+43       1.041509367763e+43       2.778134729041e-08       4.333473271445e+44       5.063499257103e-20       2.000000000000e+14 
       9.930486593843e+13       7.943954705324e-26       4.836692824028e-09       2.052858995218e+22       1.445351351216e+04       1.455468810675e-10       1.435304221664e+18       2.792870392703e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       1.234528479942e+44       4.115094933139e+43       3.038551160563e+43       1.012850386854e+43       2.778134729041e-08       4.214230054249e+44       7.064202994451e-08       1.433565615564e+02 
       9.861456399050e+13       8.055559324979e-26       4.871253622696e-09       2.024417947475e+22       1.445351351216e+04       1.465657092349e-10       1.425326933132e+18       2.812420485452e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       1.200558235187e+44       4.001860783956e+43       2.954940026189e+43       9.849800087298e+42       2.778134729041e-08       4.098268026058e+44       1.412840598890e-07       7.167828077820e+01 
       9.792906056653e+13       8.168731877936e-26       4.905814421363e-09       1.996370932248e+22       1.445351351216e+04       1.475916691996e-10       1.415419000132e+18       2.832107428850e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       1.167522742078e+44       3.891742473593e+43       2.873629600746e+43       9.578765335821e+42       2.778134729041e-08       3.985496899124e+44       2.119260898334e-07       4.778552051880e+01 
       9.724832231036e+13       8.283494392089e-26       4.940375220031e-09       1.968712490469e+22       1.445351351216e+04       1.486248108840e-10       1.405579940548e+18       2.851932180852e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       1.135396279263e+44       3.784654264209e+43       2.794556576140e+43       9.315188587132e+42       2.778134729041e-08       3.875828870130e+44       2.825681197778e-07       3.583914038910e+01 
       9.657231609767e+13       8.399869204803e-26       4.974936018698e-09       1.941437238703e+22       1.445351351216e+04       1.496651845602e-10       1.395809275618e+18       2.871895706118e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       1.104153833157e+44       3.680512777191e+43       2.717659386310e+43       9.058864621032e+42       2.778134729041e-08       3.769178551823e+44       3.532101497222e-07       2.867131231128e+01 
       9.590100903443e+13       8.517878967261e-26       5.009496817365e-09       1.914539868097e+22       1.445351351216e+04       1.507128408521e-10       1.386106529909e+18       2.891998976061e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       1.073771078471e+44       3.579236928236e+43       2.642878159296e+43       8.809593864321e+42       2.778134729041e-08       3.665462906531e+44       4.238521796667e-07       2.389276025940e+01 
       9.523436845525e+13       8.637546648872e-26       5.044057616033e-09       1.888015143348e+22       1.445351351216e+04       1.517678307380e-10       1.376471231290e+18       2.912242968893e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       1.044224359267e+44       3.480747864223e+43       2.570154670622e+43       8.567182235408e+42       2.778134729041e-08       3.564601181511e+44       4.944942096111e-07       2.047950879377e+01 
       9.457236192179e+13       8.758895541742e-26       5.078618414700e-09       1.861857901687e+22       1.445351351216e+04       1.528302055532e-10       1.366902910914e+18       2.932628669675e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       1.015490670543e+44       3.384968901810e+43       2.499432297962e+43       8.331440993206e+42       2.778134729041e-08       3.466514846075e+44       5.651362395555e-07       1.791957019455e+01 
       9.391495722125e+13       8.881949265208e-26       5.114998202771e-09       1.836063051872e+22       1.445351351216e+04       1.539000169921e-10       1.357401103191e+18       2.953157070363e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       9.875476403214e+43       3.291825467738e+43       2.430655977051e+43       8.102186590170e+42       2.778134729041e-08       3.371127530449e+44       6.357782694999e-07       1.592850683960e+01 
       9.326212236469e+13       9.006731770435e-26       5.151377990842e-09       1.810625573194e+22       1.445351351216e+04       1.549773171110e-10       1.347965345771e+18       2.973829169855e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       9.603735122281e+43       3.201245040760e+43       2.363772158819e+43       7.879240529395e+42       2.778134729041e-08       3.278364966305e+44       7.064202994442e-07       1.433565615564e+01 
       9.261382558559e+13       9.133267345078e-26       5.187757778913e-09       1.785540514506e+22       1.445351351216e+04       1.560621583308e-10       1.338595179514e+18       2.994645974044e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       9.339471285549e+43       3.113157095183e+43       2.298728767690e+43       7.662429225635e+42       2.778134729041e-08       3.188154928943e+44       7.770623293886e-07       1.303241468694e+01 
       9.197003533823e+13       9.261580618008e-26       5.222318577580e-09       1.760802993254e+22       1.445351351216e+04       1.571545934391e-10       1.329290148475e+18       3.015608495862e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       9.082479137854e+43       3.027493045951e+43       2.235475161044e+43       7.451583870148e+42       2.778134729041e-08       3.100427181053e+44       8.477043593330e-07       1.194638012970e+01 
       9.133072029615e+13       9.391696564111e-26       5.260517355055e-09       1.736408194530e+22       1.445351351216e+04       1.582546755932e-10       1.320049799876e+18       3.036717755333e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       8.832558585751e+43       2.944186195250e+43       2.173962089781e+43       7.246540299269e+42       2.778134729041e-08       3.015113418029e+44       9.183463892773e-07       1.102742781203e+01 
       9.069584935070e+13       9.523640509140e-26       5.296897143126e-09       1.712351370131e+22       1.445351351216e+04       1.593624583223e-10       1.310873684087e+18       3.057974779620e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       8.589515041723e+43       2.863171680574e+43       2.114141659975e+43       7.047138866583e+42       2.778134729041e-08       2.932147214789e+44       9.889884192217e-07       1.023975439688e+01 
       9.006539160943e+13       9.657438134652e-26       5.333276931196e-09       1.688627837640e+22       1.445351351216e+04       1.604779955306e-10       1.301761354605e+18       3.079380603078e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       8.353159272671e+43       2.784386424224e+43       2.055967295590e+43       6.853224318633e+42       2.778134729041e-08       2.851463974053e+44       1.059630449166e-06       9.557104103756e+00 
       8.943931639467e+13       9.793115483006e-26       5.371475708671e-09       1.665232979511e+22       1.445351351216e+04       1.616013414993e-10       1.292712368029e+18       3.100936267299e-09       1.760730780460e+44       1.779844290434e+33       9.418576810560e+33       8.123307252585e+43       2.707769084195e+43       1.999393702211e+43       6.664645674036e+42       2.778134729041e-08       2.773000876051e+44       1.130272479110e-06       8.959785097271e+00 
       8.881759324197e+13       9.930698962426e-26       5.407855496742e-09       1.642162242171e+22       1.445351351216e+04       1.627325508898e-10       1.283726284040e+18       3.122642821170e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       7.899780019255e+43       2.633260006418e+43       1.944376831779e+43       6.481256105930e+42       2.778134729041e-08       2.696696829612e+44       1.200914509055e-06       8.432738915079e+00 
       8.820019189868e+13       1.007021535215e-25       5.446054274216e-09       1.619411135134e+22       1.445351351216e+04       1.638716787460e-10       1.274802665383e+18       3.144501320918e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       7.682403534934e+43       2.560801178311e+43       1.890873848296e+43       6.302912827655e+42       2.778134729041e-08       2.622492424595e+44       1.271556538999e-06       7.964253419796e+00 
       8.758708232243e+13       1.021169180763e-25       5.484253051691e-09       1.596975230126e+22       1.445351351216e+04       1.650187804973e-10       1.265941077838e+18       3.166512830164e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       7.471008550835e+43       2.490336183612e+43       1.838843094474e+43       6.129476981579e+42       2.778134729041e-08       2.550329885636e+44       1.342198568943e-06       7.545082187175e+00 
