# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.292665730180e-10       4.159440807226e-15       3.673277026132e-13       2.475019425941e-19       8.688122627022e-09       3.917377877241e-10      -1.862828943666e-12 
    3       1.239255329835e-10       5.414850298493e-15       4.070462498019e-13       4.951275291292e-19       5.331481490926e-09       2.817559757398e-10      -1.422822985006e-12 
    4       1.183762371670e-10       4.783115162295e-15       3.791735257194e-13       8.254838243593e-19       3.710859068279e-09       2.150930639473e-10      -9.472697813575e-13 
    5       1.141430298796e-10       3.264566184187e-15       3.229009924365e-13       1.238726108473e-18       2.772583981412e-09       1.707189098192e-10      -5.427834605996e-13 
    6       1.112527766496e-10       1.858650154571e-15       2.603953822228e-13       1.735040547527e-18       2.167616319860e-09       1.393869394660e-10      -2.398379143519e-13 
    7       1.094712494055e-10       1.002315236803e-15       2.046274353796e-13       2.314639358432e-18       1.750208790928e-09       1.163490347745e-10      -4.144459204882e-14 
    8       1.085104937983e-10       6.300323891471e-16       1.613793503854e-13       2.977755436807e-18       1.447372139029e-09       9.884318212397e-11       6.516927148310e-14 
    9       1.081367972157e-10       4.987480103787e-16       1.320738479481e-13       3.724636652148e-18       1.219093740110e-09       8.515786334243e-11       1.011827606171e-13 
   10       1.082766923360e-10       4.291819092292e-16       1.154387428897e-13       4.555540025629e-18       1.042044400355e-09       7.422488254350e-11       9.077813867544e-14 
   11       1.087476719679e-10       3.649193799978e-16       1.088555135076e-13       5.470726007794e-18       8.758763351034e-10       6.558926497906e-11       5.705636135618e-14 
   12       1.094699691012e-10       3.175068786239e-16       1.094528299446e-13       6.470453066498e-18       7.655591663019e-10       5.828505534011e-11       1.812804730232e-14 
   13       1.104583750128e-10       3.015887110801e-16       1.145415607737e-13       7.554972779764e-18       6.749905030019e-10       5.201345173811e-11      -1.410700296536e-14 
   14       1.115917717457e-10       3.124558969819e-16       1.219291866272e-13       8.724525604690e-18       5.996230822511e-10       4.678244690059e-11      -3.337455402139e-14 
   15       1.128464111060e-10       3.375963266419e-16       1.302466633915e-13       9.979337462911e-18       5.361820538626e-10       4.233093478073e-11      -3.913729421010e-14 
   16       1.142440808111e-10       3.718447206795e-16       1.387658175521e-13       1.131961724681e-17       4.822356325057e-10       3.837454908630e-11      -3.470134248542e-14 
   17       1.157395076943e-10       4.194555523736e-16       1.472408507193e-13       1.274555531022e-17       4.359481037122e-10       3.495985647788e-11      -2.464163412023e-14 
   18       1.173273663268e-10       4.870239015853e-16       1.557940437883e-13       1.425732248710e-17       3.957641387172e-10       3.200480617093e-11      -1.378574885022e-14 
   19       1.190046881183e-10       5.761222834683e-16       1.646532680488e-13       1.585507295608e-17       3.610521215979e-10       2.942578517753e-11      -5.098619253541e-15 
   20       1.207124073484e-10       6.857675157842e-16       1.740387302176e-13       1.753894042079e-17       3.304736468838e-10       2.709678167567e-11      -8.831807225716e-16 
   21       1.224730960783e-10       8.148021563779e-16       1.839690597617e-13       1.930904730130e-17       3.035497724060e-10       2.502134690750e-11      -1.060287225086e-15 
   22       1.243028232180e-10       9.617469178032e-16       1.943189467409e-13       2.116550026671e-17       2.796382596561e-10       2.320829394775e-11      -4.337329489124e-15 
   23       1.261889265125e-10       1.127039188091e-15       2.047739866611e-13       2.310840120638e-17       2.584113542963e-10       2.161794951010e-11      -9.066202251132e-15 
   24       1.280930883264e-10       1.311461062101e-15       2.149134010096e-13       2.513784272110e-17       2.393790632509e-10       2.017525655618e-11      -1.330858122018e-14 
   25       1.300339669366e-10       1.514827728613e-15       2.244452153512e-13       2.725392084247e-17       2.223181125043e-10       1.885984580335e-11      -1.599458157774e-14 
   26       1.320301564354e-10       1.736841275664e-15       2.331121251839e-13       2.945672971080e-17       2.069204389374e-10       1.765624704536e-11      -1.647039932429e-14 
   27       1.340716446947e-10       1.979158151799e-15       2.407665773873e-13       3.174637249117e-17       1.930026444661e-10       1.655562763885e-11      -1.515530337821e-14 
   28       1.361316423235e-10       2.244078245258e-15       2.473220384594e-13       3.412295764997e-17       1.803262489766e-10       1.554427179581e-11      -1.290050667938e-14 
   29       1.382174935356e-10       2.533202477460e-15       2.528150365372e-13       3.658661106250e-17       1.688268617809e-10       1.461972501494e-11      -1.032979690912e-14 
   30       1.403365169594e-10       2.847971762992e-15       2.573552884436e-13       3.913746826505e-17       1.583809600906e-10       1.377453088075e-11      -8.123337385707e-15 
   31       1.424858921238e-10       3.189778245138e-15       2.610661389812e-13       4.177567350683e-17       1.487755351057e-10       1.299469022658e-11      -6.949055985017e-15 
   32       1.446692404769e-10       3.559566078386e-15       2.639431831126e-13       4.450138655490e-17       1.399615017579e-10       1.227949383020e-11      -6.791482822491e-15 
