# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.317544913049e-26       4.487446858548e-09       2.228591565643e+22       1.395428497666e+04       1.395428497666e-10       1.395428497666e+18       2.590650876053e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       1.902607020498e+44       6.342023401659e+43       3.124528103288e+43       1.041509367763e+43       4.623070212068e-08       4.966620366453e+44       6.260720370922e-20       2.000000000000e+14 
       9.930486593843e+13       7.420349101532e-26       4.518369678408e-09       2.197715855588e+22       1.395428497666e+04       1.405196497150e-10       1.385728398874e+18       2.608785432185e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       1.850253407593e+44       6.167511358644e+43       3.038551160563e+43       1.012850386854e+43       4.623070212068e-08       4.829954981901e+44       8.734473403870e-08       1.433565615564e+02 
       9.861456399050e+13       7.524597586060e-26       4.549292498268e-09       2.167267908738e+22       1.395428497666e+04       1.415032872630e-10       1.376095728773e+18       2.627046930211e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       1.799340397375e+44       5.997801324582e+43       2.954940026189e+43       9.849800087298e+42       4.623070212068e-08       4.697050188246e+44       1.746894680773e-07       7.167828077820e+01 
       9.792906056653e+13       7.630310657546e-26       4.582034307532e-09       2.137241798708e+22       1.395428497666e+04       1.424938102738e-10       1.366530018642e+18       2.645436258722e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       1.749828349099e+44       5.832761163665e+43       2.873629600746e+43       9.578765335821e+42       4.623070212068e-08       4.567802506145e+44       2.620342021160e-07       4.778552051880e+01 
       9.724832231036e+13       7.737508891974e-26       4.614776116796e-09       2.107631681219e+22       1.395428497666e+04       1.434912669458e-10       1.357030803021e+18       2.663954312533e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       1.701678712810e+44       5.672262376034e+43       2.794556576140e+43       9.315188587132e+42       4.623070212068e-08       4.442111303678e+44       3.493789361546e-07       3.583914038910e+01 
       9.657231609767e+13       7.846213154397e-26       4.645698936656e-09       2.078431792960e+22       1.395428497666e+04       1.444957058144e-10       1.347597619683e+18       2.682601992721e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       1.654853999320e+44       5.516179997735e+43       2.717659386310e+43       9.058864621032e+42       4.623070212068e-08       4.319878717987e+44       4.367236701932e-07       2.867131231128e+01 
       9.590100903443e+13       7.956444603003e-26       4.678440745920e-09       2.049636450468e+22       1.395428497666e+04       1.455071757551e-10       1.338230009616e+18       2.701380206670e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       1.609317751025e+44       5.364392503417e+43       2.642878159296e+43       8.809593864321e+42       4.623070212068e-08       4.201009579085e+44       5.240684042318e-07       2.389276025940e+01 
       9.523436845525e+13       8.068224693231e-26       4.711182555184e-09       2.021240049019e+22       1.395428497666e+04       1.465257259854e-10       1.328927516997e+18       2.720289868116e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       1.565034513515e+44       5.216781711715e+43       2.570154670622e+43       8.567182235408e+42       4.623070212068e-08       4.085411335759e+44       6.114131382703e-07       2.047950879377e+01 
       9.457236192179e+13       8.181575181946e-26       4.743924364448e-09       1.993237061542e+22       1.395428497666e+04       1.475514060673e-10       1.319689689173e+18       2.739331897193e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       1.521969807971e+44       5.073232693237e+43       2.499432297962e+43       8.331440993206e+42       4.623070212068e-08       3.972993983503e+44       6.987578723089e-07       1.791957019455e+01 
       9.391495722125e+13       8.296518131677e-26       4.778485163115e-09       1.965622037537e+22       1.395428497666e+04       1.485842659097e-10       1.310516076636e+18       2.758507220473e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       1.480090104322e+44       4.933633681074e+43       2.430655977051e+43       8.102186590170e+42       4.623070212068e-08       3.863669994450e+44       7.861026063475e-07       1.592850683960e+01 
