# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.675446996312e-10       4.364474089727e-15       3.266683383563e-13       0.000000000000e+00       7.246563788587e-09       5.920892482741e-10      -1.834946697075e-12 
    3       1.528245760931e-10       5.262747506233e-15       3.775318934803e-13       0.000000000000e+00       4.521998428728e-09       4.123573553110e-10      -1.340767209764e-12 
    4       1.408696844059e-10       4.228797387870e-15       3.544172386765e-13       0.000000000000e+00       3.153510807617e-09       3.082720006868e-10      -8.222781985600e-13 
    5       1.322583091959e-10       2.616154385899e-15       3.001951602043e-13       0.000000000000e+00       2.355302857889e-09       2.412363218043e-10      -4.052208052744e-13 
    6       1.263165877000e-10       1.391863272694e-15       2.398246960115e-13       0.000000000000e+00       1.839291266312e-09       1.948838306511e-10      -1.175166298615e-13 
    7       1.223217549022e-10       7.735060975642e-16       1.872603415224e-13       0.000000000000e+00       1.482373653871e-09       1.612340075916e-10       4.722382240136e-14 
    8       1.197508002726e-10       5.409995544783e-16       1.481393235408e-13       0.000000000000e+00       1.223852532136e-09       1.359233555529e-10       1.133240598830e-13 
    9       1.182027971963e-10       4.418936878315e-16       1.232443002869e-13       0.000000000000e+00       1.029980622266e-09       1.163743844723e-10       1.125973847817e-13 
   10       1.174162229384e-10       3.641662838580e-16       1.106959930547e-13       0.000000000000e+00       8.802337986890e-10       1.009360185159e-10       7.667051368711e-14 
   11       1.172108485961e-10       3.026669264475e-16       1.074214573643e-13       0.000000000000e+00       7.469347933757e-10       8.886533491650e-11       3.192882417525e-14 
   12       1.174715322067e-10       2.729879190785e-16       1.102004920535e-13       0.000000000000e+00       6.525306642881e-10       7.844408115052e-11      -5.556674304591e-15 
   13       1.180235127886e-10       2.722942753965e-16       1.163541012192e-13       0.000000000000e+00       5.750055570784e-10       6.985540826037e-11      -2.733835641544e-14 
   14       1.188707100894e-10       2.884108143153e-16       1.240827768563e-13       0.000000000000e+00       5.104820599909e-10       6.243218337438e-11      -3.341249317866e-14 
   15       1.199784252479e-10       3.165498179785e-16       1.322985704172e-13       0.000000000000e+00       4.561570489693e-10       5.617937675132e-11      -2.783730861938e-14 
   16       1.212451840321e-10       3.607739212066e-16       1.405857738918e-13       0.000000000000e+00       4.099599017125e-10       5.081474618485e-11      -1.691117216180e-14 
   17       1.226514458754e-10       4.256802421787e-16       1.491057037264e-13       0.000000000000e+00       3.703255938673e-10       4.616516939177e-11      -6.337961901080e-15 
   18       1.242122008299e-10       5.113595160761e-16       1.580598411528e-13       0.000000000000e+00       3.359245048338e-10       4.212609480767e-11       1.040152012142e-16 
   19       1.259233506470e-10       6.168030138465e-16       1.676025287459e-13       0.000000000000e+00       3.062074191518e-10       3.862676836564e-11       1.643971027316e-15 
   20       1.277128681476e-10       7.403913509617e-16       1.777993049156e-13       0.000000000000e+00       2.800357171591e-10       3.551479229905e-11      -1.097188156100e-15 
   21       1.295847686055e-10       8.821267625536e-16       1.883792906667e-13       0.000000000000e+00       2.569989597510e-10       3.273702246874e-11      -6.206375799487e-15 
   22       1.315354088800e-10       1.042294799179e-15       1.988889017083e-13       0.000000000000e+00       2.365451213355e-10       3.023390159767e-11      -1.106470475254e-14 
   23       1.335707634240e-10       1.221044624705e-15       2.089770319034e-13       0.000000000000e+00       2.183931671115e-10       2.800476969468e-11      -1.430454160394e-14 
   24       1.356762882699e-10       1.418567182333e-15       2.183049672648e-13       0.000000000000e+00       2.021241604756e-10       2.603489629300e-11      -1.508769912965e-14 
   25       1.378471728616e-10       1.636291369275e-15       2.266648614634e-13       0.000000000000e+00       1.875464029891e-10       2.427724006706e-11      -1.374137176695e-14 
   26       1.400667516777e-10       1.876132962695e-15       2.339218668554e-13       0.000000000000e+00       1.743955553109e-10       2.266090924667e-11      -1.116886351429e-14 
   27       1.423381921458e-10       2.139897888697e-15       2.401235600515e-13       0.000000000000e+00       1.625137964194e-10       2.117750244498e-11      -8.470519452048e-15 
   28       1.446601089901e-10       2.429327813214e-15       2.453852687638e-13       0.000000000000e+00       1.516963739178e-10       1.982737488493e-11      -6.768864832616e-15 
   29       1.470379779289e-10       2.745660920948e-15       2.497333836082e-13       0.000000000000e+00       1.418877536221e-10       1.860781162238e-11      -6.204370777759e-15 
   30       1.494657052026e-10       3.089929762615e-15       2.531804778536e-13       0.000000000000e+00       1.329822187108e-10       1.750271178157e-11      -6.552401722769e-15 
   31       1.519261946407e-10       3.463092708923e-15       2.557277902236e-13       0.000000000000e+00       1.247977256322e-10       1.648624153997e-11      -7.485936699680e-15 
   32       1.544230299254e-10       3.866071587385e-15       2.572629819548e-13       0.000000000000e+00       1.172918321159e-10       1.555292953907e-11      -8.609758290839e-15 
   33       1.569579238699e-10       4.299714175135e-15       2.576214068859e-13       0.000000000000e+00       1.104113855814e-10       1.469691463804e-11      -9.423360930624e-15 
   34       1.595251395723e-10       4.764846667179e-15       2.566361874447e-13       0.000000000000e+00       1.040599861225e-10       1.390661979196e-11      -9.464083048668e-15 
   35       1.621253928327e-10       5.262517331694e-15       2.542283193632e-13       0.000000000000e+00       9.820482038720e-11       1.317648960249e-11      -8.865992132419e-15 
   36       1.647549852296e-10       5.793833560143e-15       2.503475218272e-13       0.000000000000e+00       9.279851273291e-11       1.249822896812e-11      -8.001613795363e-15 
   37       1.674065546740e-10       6.359830614159e-15       2.449556829402e-13       0.000000000000e+00       8.777027979158e-11       1.186089542941e-11      -7.256659141691e-15 
   38       1.700875471630e-10       6.961244492129e-15       2.380504185865e-13       0.000000000000e+00       8.310696438012e-11       1.126380675741e-11      -6.738079195280e-15 
   39       1.728067125837e-10       7.598656281839e-15       2.296504634042e-13       0.000000000000e+00       7.879368384365e-11       1.070727453145e-11      -6.473357453548e-15 
   40       1.755685077687e-10       8.272544649305e-15       2.197905001958e-13       0.000000000000e+00       7.478919398166e-11       1.018882107052e-11      -6.488325438422e-15 
   41       1.783731471116e-10       8.983386673571e-15       2.084996652869e-13       0.000000000000e+00       7.104021535461e-11       9.704331914397e-12      -6.787655844641e-15 
   42       1.812180020706e-10       9.732015396779e-15       1.957265324506e-13       0.000000000000e+00       6.753554572530e-11       9.252579831569e-12      -7.289391193376e-15 
