# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       6.702208487411e-26       4.109097062610e-09       2.433200773307e+22       1.330113533749e+04       1.330113533749e-10       1.330113533749e+18       2.372801601592e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       1.902607020498e+44       6.342023401659e+43       1.266298447096e+44       4.220994823654e+43       8.107569152318e-08       5.920466003220e+44       8.265808547411e-20       2.000000000000e+14 
       9.930486593843e+13       6.796367814450e-26       4.138200893067e-09       2.399490333610e+22       1.330113533749e+04       1.339424328485e-10       1.320867461518e+18       2.389411212803e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       1.850253407593e+44       6.167511358644e+43       1.231453995243e+44       4.104846650811e+43       8.107569152318e-08       5.757553861088e+44       1.153181752920e-07       1.433565615564e+02 
       9.861456399050e+13       6.891849985876e-26       4.167304723524e-09       2.366246930484e+22       1.330113533749e+04       1.348800298785e-10       1.311685661885e+18       2.406137091292e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       1.799340397375e+44       5.997801324582e+43       1.197568350398e+44       3.991894501326e+43       8.107569152318e-08       5.599124536024e+44       2.306363505840e-07       7.167828077820e+01 
       9.792906056653e+13       6.988673586327e-26       4.196408553980e-09       2.333464093435e+22       1.330113533749e+04       1.358241900876e-10       1.302567688069e+18       2.422980050931e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       1.749828349099e+44       5.832761163665e+43       1.164615129282e+44       3.882050430939e+43       8.107569152318e-08       5.445054675353e+44       3.459545258759e-07       4.778552051881e+01 
       9.724832231036e+13       7.086857461541e-26       4.225512384437e-09       2.301135441616e+22       1.330113533749e+04       1.367749594182e-10       1.293513096394e+18       2.439940911288e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       1.701678712810e+44       5.672262376034e+43       1.132568674599e+44       3.775228915331e+43       8.107569152318e-08       5.295224320663e+44       4.612727011679e-07       3.583914038910e+01 
       9.657231609767e+13       7.186420722019e-26       4.256435204297e-09       2.269254682581e+22       1.330113533749e+04       1.377323841342e-10       1.284521446270e+18       2.457020497667e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       1.654853999320e+44       5.516179997735e+43       1.101404035060e+44       3.671346783535e+43       8.107569152318e-08       5.149516814416e+44       5.765908764598e-07       2.867131231128e+01 
       9.590100903443e+13       7.287382746742e-26       4.285539034754e-09       2.237815611061e+22       1.330113533749e+04       1.386965108231e-10       1.275592300169e+18       2.474219641150e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       1.609317751025e+44       5.364392503417e+43       1.071096945955e+44       3.570323153183e+43       8.107569152318e-08       5.007818709110e+44       6.919090517517e-07       2.389276025940e+01 
       9.523436845525e+13       7.389763186951e-26       4.314642865211e-09       2.206812107760e+22       1.330113533749e+04       1.396673863989e-10       1.266725223604e+18       2.491539178638e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       1.565034513515e+44       5.216781711715e+43       1.041623810259e+44       3.472079367528e+43       8.107569152318e-08       4.870019678955e+44       8.072272270436e-07       2.047950879377e+01 
       9.457236192179e+13       7.493581969965e-26       4.345565685071e-09       2.176238138157e+22       1.330113533749e+04       1.406450581036e-10       1.257919785108e+18       2.508979952889e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       1.521969807971e+44       5.073232693237e+43       1.012961680262e+44       3.376538934206e+43       8.107569152318e-08       4.736012433969e+44       9.225454023355e-07       1.791957019455e+01 
       9.391495722125e+13       7.598859303061e-26       4.376488504931e-09       2.146087751339e+22       1.330113533749e+04       1.416295735104e-10       1.249175556214e+18       2.526542812559e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       1.480090104322e+44       4.933633681074e+43       9.850882397013e+43       3.283627465671e+43       8.107569152318e-08       4.605692636446e+44       1.037863577627e-06       1.592850683960e+01 
