# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.948924780972e-10       4.470193826300e-15       3.052512563558e-13       1.808339846247e-19       6.655474178661e-09       6.852335548064e-10      -1.814724374329e-12 
    3       1.729844980020e-10       5.127354570152e-15       3.636024355961e-13       3.617616430662e-19       4.130985995420e-09       4.722101553922e-10      -1.280976875393e-12 
    4       1.563628199602e-10       3.880710861120e-15       3.432874211204e-13       6.031418878131e-19       2.880260146799e-09       3.506882656756e-10      -7.378919272311e-13 
    5       1.446543313133e-10       2.268255159099e-15       2.900076119139e-13       9.050931669195e-19       2.151259525896e-09       2.731290531757e-10      -3.186045928918e-13 
    6       1.366019687680e-10       1.179840696157e-15       2.305108130341e-13       1.267758188496e-18       1.679493315874e-09       2.198245004842e-10      -4.702769901920e-14 
    7       1.310817177462e-10       6.866682506706e-16       1.793858546564e-13       1.691300647538e-18       1.353257246324e-09       1.812665624711e-10       9.166623458182e-14 
    8       1.274115507593e-10       5.056101792392e-16       1.422630520806e-13       2.175901577169e-18       1.116979440200e-09       1.523612005901e-10       1.307850591400e-13 
    9       1.250686918744e-10       4.097917499548e-16       1.195978202145e-13       2.721755457231e-18       9.396706516873e-10       1.301379784767e-10       1.092530646527e-13 
   10       1.236987150516e-10       3.310286512633e-16       1.091440476719e-13       3.329066220453e-18       8.025737687802e-10       1.126490592035e-10       6.239900862519e-14 
   11       1.230879634593e-10       2.791134772405e-16       1.075005706973e-13       3.998043297930e-18       6.846649014904e-10       9.900246292300e-11       1.667365565732e-14 
   12       1.229690747646e-10       2.611470232119e-16       1.113562702373e-13       4.728897841528e-18       5.979155702501e-10       8.724526530085e-11      -1.480885795625e-14 
   13       1.232870638770e-10       2.670505966838e-16       1.180818543294e-13       5.521839251019e-18       5.266679936465e-10       7.741243789959e-11      -2.787561552420e-14 
   14       1.239882782491e-10       2.878922937708e-16       1.259156072223e-13       6.377072118919e-18       4.673608482484e-10       6.908665659261e-11      -2.614656348634e-14 
   15       1.249769111812e-10       3.244904537037e-16       1.341183272989e-13       7.294793686553e-18       4.174277538397e-10       6.209453621835e-11      -1.637365642918e-14 
   16       1.262084160179e-10       3.810339449294e-16       1.425278927273e-13       8.275191881838e-18       3.749668121748e-10       5.609357705213e-11      -5.556883923747e-15 
   17       1.276157767719e-10       4.586890504384e-16       1.512693009579e-13       9.318443983414e-18       3.385404667523e-10       5.087143019304e-11       1.542344850931e-15 
   18       1.291830344089e-10       5.556408923269e-16       1.606899443712e-13       1.042471562924e-17       3.069286470517e-10       4.632285344278e-11       3.138938633463e-15 
   19       1.309264907140e-10       6.713660854267e-16       1.708055731299e-13       1.159416225290e-17       2.796223634284e-10       4.239291844293e-11       2.141376691504e-16 
   20       1.327992694724e-10       8.054443242611e-16       1.814075943654e-13       1.282692634533e-17       2.555789610534e-10       3.893089316287e-11      -4.926523691286e-15 
   21       1.347869203364e-10       9.579730508400e-16       1.921643696125e-13       1.412314292591e-17       2.344207848368e-10       3.585921782161e-11      -1.010703265006e-14 
   22       1.368535550290e-10       1.129097145172e-15       2.026260638148e-13       1.548293639047e-17       2.156390800592e-10       3.308091425793e-11      -1.315970528621e-14 
   23       1.390173424794e-10       1.319486480043e-15       2.123729466240e-13       1.690642721373e-17       1.989750587979e-10       3.059426136715e-11      -1.370320471891e-14 
   24       1.412862284399e-10       1.530156382157e-15       2.210199301457e-13       1.839372876085e-17       1.840437238406e-10       2.839406911319e-11      -1.216004844669e-14 
   25       1.436451426134e-10       1.763176702995e-15       2.285569585167e-13       1.994495522509e-17       1.706682201582e-10       2.644309308840e-11      -9.515704891223e-15 
   26       1.460567802195e-10       2.020917147500e-15       2.351140702545e-13       2.156021788276e-17       1.586050566331e-10       2.467449948487e-11      -7.041852653821e-15 
   27       1.485228862447e-10       2.304746076139e-15       2.407507119267e-13       2.323963195789e-17       1.477093577182e-10       2.306005167891e-11      -5.511555118881e-15 
   28       1.510459415395e-10       2.615694977103e-15       2.455061051439e-13       2.498331395945e-17       1.377934358296e-10       2.157365042145e-11      -5.431939724503e-15 
   29       1.536316549821e-10       2.954884185716e-15       2.493438864185e-13       2.679138968539e-17       1.288057993484e-10       2.021348745112e-11      -6.466682438180e-15 
   30       1.562724295049e-10       3.323413754983e-15       2.522033663941e-13       2.866398859884e-17       1.206486826040e-10       1.897379509052e-11      -7.865911656901e-15 
   31       1.589497723858e-10       3.722351736063e-15       2.540054563536e-13       3.060124312596e-17       1.131543605486e-10       1.783847958929e-11      -8.830296498977e-15 
   32       1.616698067051e-10       4.152860822277e-15       2.545992977971e-13       3.260329395955e-17       1.062836136439e-10       1.680204101372e-11      -9.185767287859e-15 
   33       1.644383195786e-10       4.616112114207e-15       2.537922776564e-13       3.467028764011e-17       9.998762670676e-11       1.585435955295e-11      -8.958008594364e-15 
   34       1.672538010161e-10       5.113205158159e-15       2.514067847389e-13       3.680237439259e-17       9.417798860353e-11       1.497913521377e-11      -8.235281052585e-15 
   35       1.701199020011e-10       5.645015364226e-15       2.474375494707e-13       3.899970339775e-17       8.882444615020e-11       1.417110224531e-11      -7.288155621686e-15 
   36       1.730354927204e-10       6.212282235816e-15       2.419510958224e-13       4.126242664259e-17       8.388339886271e-11       1.342360125369e-11      -6.500336254010e-15 
   37       1.759939901203e-10       6.815711949621e-15       2.350190621465e-13       4.359069512949e-17       7.928981727586e-11       1.272682600362e-11      -6.232403780040e-15 
   38       1.789957029900e-10       7.456217289585e-15       2.266241935851e-13       4.598464014841e-17       7.503142750908e-11       1.207942505570e-11      -6.442027220397e-15 
   39       1.820382321402e-10       8.134750846469e-15       2.167243491253e-13       4.844438601656e-17       7.109438126681e-11       1.148003573538e-11      -6.937928699744e-15 
   40       1.851122972800e-10       8.852238797714e-15       2.052774336211e-13       5.097005503653e-17       6.744070587271e-11       1.092378058354e-11      -7.477129074834e-15 
   41       1.882063177901e-10       9.609552990283e-15       1.922382279322e-13       5.356175915973e-17       6.402143896389e-11       1.040396294795e-11      -7.828281876524e-15 
   42       1.913235788554e-10       1.040742002677e-14       1.775480908298e-13       5.621957182900e-17       6.082622549099e-11       9.918564512327e-12      -7.994762612260e-15 
   43       1.944695119543e-10       1.124647994582e-14       1.611415878582e-13       5.894354688829e-17       5.784633002974e-11       9.465339973386e-12      -8.058397307344e-15 
   44       1.976466072863e-10       1.212730670039e-14       1.429487975352e-13       6.173372547290e-17       5.505976034497e-11       9.039823680053e-12      -8.120068932431e-15 
