#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.008021556668e-02       1.705384524452e-07      -1.165902383492e+00       2.042436717838e-06       4.739343135776e-14       1.184835783944e-13       1.546509027427e-23       2.369671567888e-14      -8.744267876190e-01       2.042436717838e-06       5.836761449517e-01       7.085244280032e-01      -8.744267876190e-01       2.042436813426e-06      -1.165902383661e+00       2.042436673062e-06       1.912063879596e-08       3.333333333333e-01      -1.165902383492e+00       2.042436673207e-06       1.906154796451e-08       3.333333333333e-01 
       7.015255107482e-02       1.707144989524e-07      -1.165901572137e+00       2.044543222720e-06       4.754031093419e-14       1.188507773355e-13       1.554506363069e-23       2.377015546709e-14      -8.744261791031e-01       2.044543222720e-06       5.837790977686e-01       7.085246308911e-01      -8.744261791031e-01       2.044543318605e-06      -1.165901572307e+00       2.044543177805e-06       1.916011032480e-08       3.333333333333e-01      -1.165901572137e+00       2.044543177951e-06       1.906154800770e-08       3.333333333333e-01 
       7.022488658296e-02       1.708905455005e-07      -1.165901223228e+00       2.046650535709e-06       4.768751251737e-14       1.192187812934e-13       1.562537367759e-23       2.384375625869e-14      -8.744259174212e-01       2.046650535709e-06       5.838816183996e-01       7.085247181677e-01      -8.744259174212e-01       2.046650631891e-06      -1.165901223398e+00       2.046650490655e-06       1.919962236991e-08       3.333333333333e-01      -1.165901223228e+00       2.046650490802e-06       1.906154803445e-08       3.333333333333e-01 
       7.053727274263e-02       1.716508158095e-07      -1.165911839629e+00       2.055772473074e-06       4.832720548323e-14       1.208180137081e-13       1.597618560085e-23       2.416360274162e-14      -8.744338797218e-01       2.055772473074e-06       5.843178432649e-01       7.085220642811e-01      -8.744338797218e-01       2.055772570546e-06      -1.165911839800e+00       2.055772427416e-06       1.937069305920e-08       3.333333333333e-01      -1.165911839629e+00       2.055772427572e-06       1.906154794759e-08       3.333333333333e-01 
       7.084965890230e-02       1.724110868821e-07      -1.165933647701e+00       2.064914390098e-06       4.897306797174e-14       1.224326699293e-13       1.633342872701e-23       2.448653398587e-14      -8.744502357756e-01       2.064914390098e-06       5.847455348008e-01       7.085166124778e-01      -8.744502357756e-01       2.064914488870e-06      -1.165933647873e+00       2.064914343830e-06       1.954250854028e-08       3.333333333333e-01      -1.165933647701e+00       2.064914344000e-06       1.906154800245e-08       3.333333333333e-01 
       7.116204506197e-02       1.731713587184e-07      -1.165963692995e+00       2.074071290686e-06       4.962501826036e-14       1.240625456509e-13       1.669715501922e-23       2.481250913018e-14      -8.744727697464e-01       2.074071290686e-06       5.851654811526e-01       7.085091013697e-01      -8.744727697464e-01       2.074071390771e-06      -1.165963693169e+00       2.074071243804e-06       1.971508188779e-08       3.333333333333e-01      -1.165963692995e+00       2.074071243992e-06       1.906154801939e-08       3.333333333333e-01 
       7.147443122165e-02       1.739316313184e-07      -1.166000783758e+00       2.083241237548e-06       5.028304436001e-14       1.257076109000e-13       1.706743962257e-23       2.514152218001e-14      -8.745005878186e-01       2.083241237548e-06       5.855780590680e-01       7.084998288954e-01      -8.745005878186e-01       2.083241338956e-06      -1.166000783934e+00       2.083241190045e-06       1.988841842694e-08       3.333333333333e-01      -1.166000783758e+00       2.083241190258e-06       1.906154793855e-08       3.333333333333e-01 
       7.216214406868e-02       1.756053612799e-07      -1.166104866788e+00       2.103471190486e-06       5.175316870113e-14       1.293829217528e-13       1.790614751945e-23       2.587658435056e-14      -8.745786500912e-01       2.103471190486e-06       5.864614175396e-01       7.084738086177e-01      -8.745786500912e-01       2.103471294849e-06      -1.166104866967e+00       2.103471141599e-06       2.027271588740e-08       3.333333333333e-01      -1.166104866788e+00       2.103471141885e-06       1.906154801959e-08       3.333333333333e-01 
       7.284985691571e-02       1.772790949427e-07      -1.166238548068e+00       2.123758574886e-06       5.325311403086e-14       1.331327850771e-13       1.877801713938e-23       2.662655701543e-14      -8.746789110508e-01       2.123758574886e-06       5.873116051318e-01       7.084403887824e-01      -8.746789110508e-01       2.123758682261e-06      -1.166238548250e+00       2.123758524587e-06       2.066073246375e-08       3.333333333333e-01      -1.166238548068e+00       2.123758524973e-06       1.906154800479e-08       3.333333333333e-01 
       7.353756976275e-02       1.789528323069e-07      -1.166399596890e+00       2.144100817247e-06       5.478316797487e-14       1.369579199372e-13       1.968402764739e-23       2.739158398743e-14      -8.747996976672e-01       2.144100817247e-06       5.881301057101e-01       7.084001270661e-01      -8.747996976672e-01       2.144100927692e-06      -1.166399597075e+00       2.144100765511e-06       2.105247830375e-08       3.333333333333e-01      -1.166399596890e+00       2.144100766023e-06       1.906154794262e-08       3.333333333333e-01 
       7.422528260978e-02       1.806265733723e-07      -1.166585878626e+00       2.164495371283e-06       5.634361546728e-14       1.408590386682e-13       2.062517624510e-23       2.817180773364e-14      -8.749394089693e-01       2.164495371283e-06       5.889183383363e-01       7.083535571259e-01      -8.749394089693e-01       2.164495484855e-06      -1.166585878815e+00       2.164495318082e-06       2.144796343735e-08       3.333333333333e-01      -1.166585878626e+00       2.164495318748e-06       1.906154802748e-08       3.333333333333e-01 
       7.594154379920e-02       1.848035899090e-07      -1.167148686172e+00       2.215605788511e-06       6.037233907075e-14       1.509308476769e-13       2.313388007979e-23       3.018616953537e-14      -8.753615146290e-01       2.215605788511e-06       5.907619276886e-01       7.082128564922e-01      -8.753615146290e-01       2.215605910145e-06      -1.167148686370e+00       2.215605731533e-06       2.245130592795e-08       3.333333333333e-01      -1.167148686172e+00       2.215605732703e-06       1.906154801529e-08       3.333333333333e-01 
       7.765780498862e-02       1.889806294977e-07      -1.167829303790e+00       2.266992904911e-06       6.459655978895e-14       1.614913994724e-13       2.588413419648e-23       3.229827989448e-14      -8.758719778425e-01       2.266992904911e-06       5.924442469722e-01       7.080427033699e-01      -8.758719778425e-01       2.266993034977e-06      -1.167829303997e+00       2.266992843982e-06       2.347812661600e-08       3.333333333333e-01      -1.167829303790e+00       2.266992845830e-06       1.906154795700e-08       3.333333333333e-01 
       7.937406617803e-02       1.931576921383e-07      -1.168604200561e+00       2.318625194454e-06       6.902066730593e-14       1.725516682648e-13       2.889301347337e-23       3.451033365297e-14      -8.764531504209e-01       2.318625194454e-06       5.939821584057e-01       7.078489804888e-01      -8.764531504209e-01       2.318625333335e-06      -1.168604200778e+00       2.318625129395e-06       2.452854712361e-08       3.333333333333e-01      -1.168604200561e+00       2.318625132100e-06       1.906154793798e-08       3.333333333333e-01 
       8.109032736745e-02       1.973347778309e-07      -1.169453825528e+00       2.370475159213e-06       7.364905867112e-14       1.841226466778e-13       3.217837682830e-23       3.682452933556e-14      -8.770903691462e-01       2.370475159213e-06       5.953904420515e-01       7.076365755883e-01      -8.770903691462e-01       2.370475307298e-06      -1.169453825754e+00       2.370475089841e-06       2.560267408297e-08       3.333333333333e-01      -1.169453825528e+00       2.370475093586e-06       1.906154794555e-08       3.333333333333e-01 
       8.280658855686e-02       2.015118865755e-07      -1.170361935873e+00       2.422518793644e-06       7.848613893610e-14       1.962153473402e-13       3.575888540155e-23       3.924306946805e-14      -8.777714519045e-01       2.422518793644e-06       5.966820864078e-01       7.074095493732e-01      -8.777714519045e-01       2.422518951331e-06      -1.170361936108e+00       2.422518719773e-06       2.670060136029e-08       3.333333333333e-01      -1.170361935873e+00       2.422518724744e-06       1.906154794609e-08       3.333333333333e-01 
