# Matter power spectrum P(k) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.063094627304e-06       1.012129544739e+02 
       1.799879852529e-05       2.195142873930e+02 
       2.795531670261e-05       3.355930636009e+02 
       3.794857284474e-05       4.505735611944e+02 
       4.799464795472e-05       5.650431113043e+02 
       5.810986579511e-05       6.794083607135e+02 
       6.831087998549e-05       7.939937716163e+02 
       7.861476346671e-05       9.090808512260e+02 
       8.903910104816e-05       1.024927273946e+03 
       9.960208576256e-05       1.141777606401e+03 
       1.103226197607e-04       1.259870005111e+03 
       1.212204204863e-04       1.379440800532e+03 
       1.323161328746e-04       1.500727896956e+03 
       1.436314483177e-04       1.623973477674e+03 
       1.551892311236e-04       1.749426283256e+03 
       1.670136531707e-04       1.877343646586e+03 
       1.791303374080e-04       2.007993363607e+03 
       1.915665107696e-04       2.141655482084e+03 
       2.043511669539e-04       2.278624045278e+03 
       2.175152393408e-04       2.419208811081e+03 
       2.310917840800e-04       2.563736965765e+03 
       2.451161730514e-04       2.712554833603e+03 
       2.596262959596e-04       2.866029581264e+03 
       2.746627702457e-04       3.024550889280e+03 
       2.902691567586e-04       3.188532584462e+03 
       3.064921781847e-04       3.358414172744e+03 
       3.233819360610e-04       3.534662245369e+03 
       3.409921207563e-04       3.717771668521e+03 
       3.593802070753e-04       3.908266479858e+03 
       3.786076260986e-04       4.106700393060e+03 
       3.987399015405e-04       4.313656757289e+03 
       4.198467363095e-04       4.529747830096e+03 
       4.420020322063e-04       4.755613178334e+03 
       4.652838229331e-04       4.991916987307e+03 
       4.897740980930e-04       5.239344068429e+03 
       5.155584939622e-04       5.498594295015e+03 
       5.427258260208e-04       5.770375296749e+03 
       5.713674391044e-04       6.055393134978e+03 
       6.015763542509e-04       6.354340893945e+03 
       6.334461975377e-04       6.667885096961e+03 
       6.670699059687e-04       6.996650145027e+03 
       7.025382190504e-04       7.341200991931e+03 
       7.399379818654e-04       7.702024669930e+03 
       7.793503053074e-04       8.079511394867e+03 
       8.208486500002e-04       8.473936051944e+03 
       8.644969197837e-04       8.885441426822e+03 
       9.103476654871e-04       9.314023678065e+03 
       9.584405068746e-04       9.759521238335e+03 
       1.008800877574e-03       1.022160804680e+04 
       1.061439183157e-03       1.069979085145e+04 
       1.072483128768e-03       1.079949629777e+04 
       1.116350436862e-03       1.119341214161e+04 
       1.173514403223e-03       1.170165830017e+04 
       1.232896241352e-03       1.222357369447e+04 
       1.294447601936e-03       1.275808083760e+04 
       1.358108100175e-03       1.330400547552e+04 
       1.423807064833e-03       1.386010372270e+04 
       1.491465453149e-03       1.442508964304e+04 
       1.560997822702e-03       1.499765857472e+04 
       1.632314262396e-03       1.557650613871e+04 
       1.705322202710e-03       1.616034406300e+04 
       1.779928046787e-03       1.674791305932e+04 
       1.856038585803e-03       1.733799536326e+04 
       1.933562181946e-03       1.792942986134e+04 
       2.012409718799e-03       1.852112139542e+04 
       2.092495331292e-03       1.911205040049e+04 
       2.173736935682e-03       1.970127362926e+04 
       2.256056584747e-03       2.028792680159e+04 
       2.339380675166e-03       2.087122117795e+04 
       2.423640033730e-03       2.145044474279e+04 
       2.508769907240e-03       2.202495678545e+04 
       2.594709878323e-03       2.259418477388e+04 
       2.681403726373e-03       2.315761361806e+04 
       2.768799249735e-03       2.371477856305e+04 
       2.856848062322e-03       2.426526585694e+04 
       2.945505375205e-03       2.480870881777e+04 
       3.034729771363e-03       2.534479718538e+04 
       3.124482979861e-03       2.587325505457e+04 
       3.214729654051e-03       2.639386671914e+04 
       3.305437157091e-03       2.690643709995e+04 
       3.396575357037e-03       2.741081186760e+04 
       3.488116432894e-03       2.790686198565e+04 
       3.580034692457e-03       2.839447463863e+04 
       3.672306402225e-03       2.887356538511e+04 
       3.764909629376e-03       2.934405680535e+04 
       3.857824095512e-03       2.980590319751e+04 
       3.951031041736e-03       3.025907161797e+04 
       4.044513104485e-03       3.070353679184e+04 
       4.138254201498e-03       3.113931917931e+04 
       4.232239427261e-03       3.156642549433e+04 
       4.326454957242e-03       3.198488924217e+04 
       4.420887960284e-03       3.239473784467e+04 
       4.515526518479e-03       3.279600672663e+04 
       4.610359553953e-03       3.318873722788e+04 
       4.705376761949e-03       3.357298213939e+04 
       4.800568549696e-03       3.394879711838e+04 
       4.895925980552e-03       3.431624626465e+04 
       4.991440722952e-03       3.467541175628e+04 
       5.087105003751e-03       3.502636173114e+04 
       5.182911565553e-03       3.536917794916e+04 
       5.278853627679e-03       3.570394744509e+04 
       5.374924850450e-03       3.603073323272e+04 
       5.471119302468e-03       3.634963330945e+04 
       5.567431430657e-03       3.666071762847e+04 
       5.663856032782e-03       3.696407506499e+04 
       5.760388232250e-03       3.725979079938e+04 
       5.857023454974e-03       3.754796353477e+04 
       5.953757408127e-03       3.782867530433e+04 
       6.050586060610e-03       3.810204424129e+04 
       6.147505625087e-03       3.836813935600e+04 
       6.244512541451e-03       3.862706240773e+04 
       6.341603461591e-03       3.887888488657e+04 
       6.438775235358e-03       3.912370760082e+04 
       6.536024897612e-03       3.936160175389e+04 
       6.633349656274e-03       3.959286206274e+04 
       6.730746881282e-03       3.981732453558e+04 
       6.828214094389e-03       4.003500006834e+04 
       6.925748959723e-03       4.024604216064e+04 
       7.023349275051e-03       4.045061010015e+04 
       7.121012963686e-03       4.064888382386e+04 
       7.218738066990e-03       4.084099396925e+04 
       7.316522737415e-03       4.102698776731e+04 
       7.414365232052e-03       4.120689153972e+04 
       7.512263906638e-03       4.138072274907e+04 
       7.610217209981e-03       4.154850779197e+04 
       7.708223678793e-03       4.171035717148e+04 
       7.806281932865e-03       4.186638468822e+04 
       7.904390670592e-03       4.201674255750e+04 
       8.002548664795e-03       4.216156262507e+04 
       8.100754758836e-03       4.230093393173e+04 
