# Matter power spectrum P(k) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.063094627304e-06       1.010797682841e+02 
       1.799879852529e-05       2.192259773086e+02 
       2.795531670261e-05       3.351537679600e+02 
       3.794857284474e-05       4.499865888104e+02 
       4.799464795472e-05       5.643116554012e+02 
       5.810986579511e-05       6.785357517884e+02 
       6.831087998549e-05       7.929836083773e+02 
       7.861476346671e-05       9.079370870314e+02 
       8.903910104816e-05       1.023654285016e+03 
       9.960208576256e-05       1.140380252748e+03 
       1.103226197607e-04       1.258353689445e+03 
       1.212204204863e-04       1.377811527860e+03 
       1.323161328746e-04       1.498992336305e+03 
       1.436314483177e-04       1.622139026619e+03 
       1.551892311236e-04       1.747501135452e+03 
       1.670136531707e-04       1.875336861964e+03 
       1.791303374080e-04       2.005914940561e+03 
       1.915665107696e-04       2.139516430399e+03 
       2.043511669539e-04       2.276436458013e+03 
       2.175152393408e-04       2.416985932936e+03 
       2.310917840800e-04       2.561493254634e+03 
       2.451161730514e-04       2.710306011037e+03 
       2.596262959596e-04       2.863792666483e+03 
       2.746627702457e-04       3.022344210091e+03 
       2.902691567586e-04       3.186375757126e+03 
       3.064921781847e-04       3.356328041487e+03 
       3.233819360610e-04       3.532668771053e+03 
       3.409921207563e-04       3.715893755194e+03 
       3.593802070753e-04       3.906527727839e+03 
       3.786076260986e-04       4.105124768340e+03 
       3.987399015405e-04       4.312268169911e+03 
       4.198467363095e-04       4.528569619570e+03 
       4.420020322063e-04       4.754667512631e+03 
       4.652838229331e-04       4.991224194178e+03 
       4.897740980930e-04       5.238921933691e+03 
       5.155584939622e-04       5.498457381241e+03 
       5.427258260208e-04       5.770534355107e+03 
       5.713674391044e-04       6.055854698587e+03 
       6.015763542509e-04       6.355107146335e+03 
       6.334461975377e-04       6.668954095936e+03 
       6.670699059687e-04       6.998016442059e+03 
       7.025382190504e-04       7.342856616180e+03 
       7.399379818654e-04       7.703960349491e+03 
       7.793503053074e-04       8.081717787182e+03 
       8.208486500002e-04       8.476404690387e+03 
       8.644969197837e-04       8.888165113482e+03 
       9.103476654871e-04       9.316996207055e+03 
       9.584405068746e-04       9.762736619173e+03 
       1.008800877574e-03       1.022505973206e+04 
       1.061439183157e-03       1.070347168438e+04 
       1.072483128768e-03       1.080322312530e+04 
       1.116350436862e-03       1.119731561958e+04 
       1.173514403223e-03       1.170578117863e+04 
       1.232896241352e-03       1.222791906235e+04 
       1.294447601936e-03       1.276266001981e+04 
       1.358108100175e-03       1.330883706306e+04 
       1.423807064833e-03       1.386520907129e+04 
       1.491465453149e-03       1.443048604675e+04 
       1.560997822702e-03       1.500335300141e+04 
       1.632314262396e-03       1.558249268812e+04 
       1.705322202710e-03       1.616660664456e+04 
       1.779928046787e-03       1.675443199168e+04 
       1.856038585803e-03       1.734475449084e+04 
       1.933562181946e-03       1.793642086496e+04 
       2.012409718799e-03       1.852834413843e+04 
       2.092495331292e-03       1.911951063148e+04 
       2.173736935682e-03       1.970898018681e+04 
       2.256056584747e-03       2.029588929154e+04 
       2.339380675166e-03       2.087944751438e+04 
       2.423640033730e-03       2.145893790481e+04 
       2.508769907240e-03       2.203371180600e+04 
       2.594709878323e-03       2.260318842335e+04 
       2.681403726373e-03       2.316684838529e+04 
       2.768799249735e-03       2.372422953520e+04 
       2.856848062322e-03       2.427492651096e+04 
       2.945505375205e-03       2.481858210500e+04 
       3.034729771363e-03       2.535489154076e+04 
       3.124482979861e-03       2.588357828675e+04 
       3.214729654051e-03       2.640442147275e+04 
       3.305437157091e-03       2.691721951839e+04 
       3.396575357037e-03       2.742181274866e+04 
       3.488116432894e-03       2.791806904042e+04 
       3.580034692457e-03       2.840587532403e+04 
       3.672306402225e-03       2.888515024681e+04 
       3.764909629376e-03       2.935582237617e+04 
       3.857824095512e-03       2.981785254455e+04 
       3.951031041736e-03       3.027121132293e+04 
       4.044513104485e-03       3.071587161827e+04 
       4.138254201498e-03       3.115184769390e+04 
       4.232239427261e-03       3.157913935195e+04 
       4.326454957242e-03       3.199777625391e+04 
       4.420887960284e-03       3.240778644934e+04 
       4.515526518479e-03       3.280920928365e+04 
       4.610359553953e-03       3.320209106505e+04 
       4.705376761949e-03       3.358648875035e+04 
       4.800568549696e-03       3.396246015409e+04 
       4.895925980552e-03       3.433006869915e+04 
       4.991440722952e-03       3.468939291356e+04 
       5.087105003751e-03       3.504049560487e+04 
       5.182911565553e-03       3.538345422926e+04 
       5.278853627679e-03       3.571835509702e+04 
       5.374924850450e-03       3.604526457407e+04 
       5.471119302468e-03       3.636428609547e+04 
       5.567431430657e-03       3.667549404654e+04 
       5.663856032782e-03       3.697897870067e+04 
       5.760388232250e-03       3.727482348729e+04 
       5.857023454974e-03       3.756312347016e+04 
       5.953757408127e-03       3.784395673069e+04 
       6.050586060610e-03       3.811743859894e+04 
       6.147505625087e-03       3.838363758853e+04 
       6.244512541451e-03       3.864265783708e+04 
       6.341603461591e-03       3.889457525469e+04 
       6.438775235358e-03       3.913949493689e+04 
       6.536024897612e-03       3.937750755692e+04 
       6.633349656274e-03       3.960868891129e+04 
       6.730746881282e-03       3.983316460110e+04 
       6.828214094389e-03       4.005098469343e+04 
       6.925748959723e-03       4.026226289046e+04 
       7.023349275051e-03       4.046707155143e+04 
       7.121012963686e-03       4.066550741547e+04 
       7.218738066990e-03       4.085766382131e+04 
       7.316522737415e-03       4.104361131924e+04 
       7.414365232052e-03       4.122344346435e+04 
       7.512263906638e-03       4.139725199966e+04 
       7.610217209981e-03       4.156510766324e+04 
       7.708223678793e-03       4.172711614207e+04 
       7.806281932865e-03       4.188334289906e+04 
       7.904390670592e-03       4.203387371225e+04 
       8.002548664795e-03       4.217878791316e+04 
       8.100754758836e-03       4.231816010455e+04 
       8.199007862992e-03       4.245209114194e+04 
       8.297306951075e-03       4.258064077606e+04 
       8.395651057279e-03       4.270388393476e+04 
       8.494039273238e-03       4.282191764197e+04 
       8.592470745275e-03       4.293479361727e+04 
       8.690944671840e-03       4.304258196062e+04 
       8.789460301109e-03       4.314539565903e+04 
       8.888016928741e-03       4.324326996207e+04 
       8.986613895789e-03       4.333629554246e+04 
       9.085250586731e-03       4.342452685743e+04 
       9.183926427650e-03       4.350805871629e+04 
       9.282640884508e-03       4.358696687739e+04 
       9.381393461552e-03       4.366127987583e+04 
       9.480183699808e-03       4.373110680034e+04 
       9.579011175682e-03       4.379649528601e+04 
       9.677875499646e-03       4.385751738684e+04 
       9.776776315010e-03       4.391421514434e+04 
       9.875713296772e-03       4.396667378792e+04 
       9.974686150551e-03       4.401496452495e+04 
       1.007369461157e-02       4.405913818068e+04 
       1.017273844375e-02       4.409926884249e+04 
       1.027181743879e-02       4.413539967998e+04 
       1.037093141537e-02       4.416760183786e+04 
       1.047008021843e-02       4.419594446966e+04 
       1.056926371837e-02       4.422047407808e+04 
