# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       8.063094627304e-06      -1.289045657784e-03      -9.673064301367e-04      -9.673064554310e-04      -1.290195033510e-03      -1.289342922371e-03      -9.674282785299e-04       4.024826716835e-01       4.023555346517e-01 
       1.799879852529e-05      -6.409359843538e-03      -4.819972978138e-03      -4.819973605963e-03      -6.414774024456e-03      -6.416729125105e-03      -4.820575775283e-03       4.024788695044e-01       4.023521295016e-01 
       2.795531670261e-05      -1.540281243442e-02      -1.162736028153e-02      -1.162736393249e-02      -1.541454430072e-02      -1.544557489931e-02      -1.162879589552e-02       4.024721635604e-01       4.023461221653e-01 
       3.794857284474e-05      -2.822777697533e-02      -2.142572868993e-02      -2.142574107414e-02      -2.824589405006e-02      -2.837237752904e-02      -2.142832514401e-02       4.024625244803e-01       4.023374836150e-01 
       4.799464795472e-05      -4.482726283898e-02      -3.427049545417e-02      -3.427052709605e-02      -4.484896648632e-02      -4.519519664097e-02      -3.427454641666e-02       4.024499113539e-01       4.023261733974e-01 
       5.810986579511e-05      -6.512733928534e-02      -5.023682205600e-02      -5.023688993584e-02      -6.514605400762e-02      -6.591261593379e-02      -5.024257565015e-02       4.024342689955e-01       4.023121368966e-01 
       6.831087998549e-05      -8.903503693521e-02      -6.942043843923e-02      -6.942056779978e-02      -8.903945776774e-02      -9.052234933046e-02      -6.942808513857e-02       4.024155264949e-01       4.022953039602e-01 
       7.861476346671e-05      -1.164357062098e-01      -9.193871744227e-02      -9.193894380440e-02      -1.164087970505e-01      -1.190194469889e-01      -9.194837679911e-02       4.023935982490e-01       4.022755897800e-01 
       8.903910104816e-05      -1.471898160801e-01      -1.179320160384e-01      -1.179323874825e-01      -1.471077503236e-01      -1.513940423865e-01      -1.179437219877e-01       4.023683820224e-01       4.022528928491e-01 
       9.960208576256e-05      -1.811291740167e-01      -1.475653058533e-01      -1.475658856310e-01      -1.809602127477e-01      -1.876285687626e-01      -1.475789903213e-01       4.023397592210e-01       4.022270950777e-01 
       1.103226197607e-04      -2.180525453654e-01      -1.810301192123e-01      -1.810309887309e-01      -2.177558598744e-01      -2.276943562379e-01      -1.810455937185e-01       4.023075938251e-01       4.021980605370e-01 
       1.212204204863e-04      -2.577207044453e-01      -2.185468428757e-01      -2.185481052019e-01      -2.572451196279e-01      -2.715475045087e-01      -2.185637778893e-01       4.022717312104e-01       4.021656340948e-01 
       1.323161328746e-04      -2.998508709488e-01      -2.603673979622e-01      -2.603691818523e-01      -2.991335745797e-01      -3.191239079387e-01      -2.603852996278e-01       4.022319974932e-01       4.021296404648e-01 
       1.436314483177e-04      -3.441106490813e-01      -3.067783505208e-01      -3.067808151712e-01      -3.430758468178e-01      -3.703332902211e-01      -3.067965345220e-01       4.021881986032e-01       4.020898829967e-01 
       1.551892311236e-04      -3.901114734794e-01      -3.581045041701e-01      -3.581078447045e-01      -3.886690633961e-01      -4.250520854771e-01      -3.581220663332e-01       4.021401184768e-01       4.020461414927e-01 
       1.670136531707e-04      -4.374018262583e-01      -4.147130360818e-01      -4.147174900892e-01      -4.354460606495e-01      -4.831149862539e-01      -4.147288195969e-01       4.020875185075e-01       4.019981712617e-01 
