# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       1.000000000000e+14       7.559183221947e-26       4.634785000235e-09       2.157351977802e+22       1.419311605844e+04       1.419311605844e-10       1.419311605844e+18       2.676198761864e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       1.902607020498e+44       6.342023401659e+43       3.667546103802e-08       4.654167556124e+44       5.656416199612e-20       2.000000000000e+14 
       9.930486593843e+13       7.665382187032e-26       4.667526809499e-09       2.127463246650e+22       1.419311605844e+04       1.429246787085e-10       1.409445487432e+18       2.694932153197e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       1.850253407593e+44       6.167511358644e+43       3.667546103802e-08       4.526099865845e+44       7.891394908195e-08       1.433565615564e+02 
       9.861456399050e+13       7.773073141377e-26       4.700268618762e-09       2.097988604742e+22       1.419311605844e+04       1.439251514594e-10       1.399647951770e+18       2.713796678269e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       1.799340397375e+44       5.997801324582e+43       3.667546103802e-08       4.401556185627e+44       1.578278981638e-07       7.167828077820e+01 
       9.792906056653e+13       7.882277045941e-26       4.733010428026e-09       2.068922315137e+22       1.419311605844e+04       1.449326275197e-10       1.389918522115e+18       2.732793255017e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       1.749828349099e+44       5.832761163665e+43       3.667546103802e-08       4.280439546071e+44       2.367418472457e-07       4.778552051880e+01 
       9.724832231036e+13       7.993015156159e-26       4.765752237290e-09       2.040258720374e+22       1.419311605844e+04       1.459471559123e-10       1.380256725039e+18       2.751922807802e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       1.701678712810e+44       5.672262376034e+43       3.667546103802e-08       4.162655646064e+44       3.156557963276e-07       3.583914038910e+01 
       9.657231609767e+13       8.105309026088e-26       4.800313035958e-09       2.011992241376e+22       1.419311605844e+04       1.469687860037e-10       1.370662090407e+18       2.771186267456e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       1.654853999320e+44       5.516179997735e+43       3.667546103802e-08       4.048112779356e+44       3.945697454094e-07       2.867131231128e+01 
       9.590100903443e+13       8.219180512595e-26       4.833054845221e-09       1.984117376355e+22       1.419311605844e+04       1.479975675057e-10       1.361134151347e+18       2.790584571328e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       1.609317751025e+44       5.364392503417e+43       3.667546103802e-08       3.936721763155e+44       4.734836944913e-07       2.389276025940e+01 
       9.523436845525e+13       8.334651779617e-26       4.867615643889e-09       1.956628699753e+22       1.419311605844e+04       1.490335504783e-10       1.351672444238e+18       2.810118663328e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       1.565034513515e+44       5.216781711715e+43       3.667546103802e-08       3.828395868696e+44       5.523976435731e-07       2.047950879377e+01 
       9.457236192179e+13       8.451745302468e-26       4.902176442556e-09       1.929520861174e+22       1.419311605844e+04       1.500767853316e-10       1.342276508677e+18       2.829789493971e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       1.521969807971e+44       5.073232693237e+43       3.667546103802e-08       3.723050753707e+44       6.313115926550e-07       1.791957019455e+01 
       9.391495722125e+13       8.570483872223e-26       4.934918251820e-09       1.902788584353e+22       1.419311605844e+04       1.511273228289e-10       1.332945887465e+18       2.849598020428e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       1.480090104322e+44       4.933633681074e+43       3.667546103802e-08       3.620604396744e+44       7.102255417368e-07       1.592850683960e+01 
