# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02735e-05 to 23.4548 h/Mpc,
# number of wavenumbers equal to 850
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.027347021217e-05      -1.315148269490e-03      -9.868793832489e-04      -9.868794060693e-04      -1.316321501022e-03      -9.869771375714e-04       4.673087092508e-01       4.671627036199e-01 
       2.293667112533e-05      -6.541687577000e-03      -4.919127886794e-03      -4.919128453613e-03      -6.547228116545e-03      -4.919611414878e-03       4.673052175499e-01       4.671596553445e-01 
       3.564291528140e-05      -1.573845186195e-02      -1.187871528107e-02      -1.187871858413e-02      -1.575052282407e-02      -1.187986700394e-02       4.672989948309e-01       4.671542147645e-01 
       4.842524124687e-05      -2.889541566076e-02      -2.192605037362e-02      -2.192606161648e-02      -2.891423397517e-02      -2.192813406796e-02       4.672900157151e-01       4.671463592945e-01 
       6.131721588657e-05      -4.600242428081e-02      -3.515389938756e-02      -3.515392825142e-02      -4.602535503595e-02      -3.515715165046e-02       4.672782213635e-01       4.671360344234e-01 
       7.435322367328e-05      -6.704646641404e-02      -5.168899047674e-02      -5.168905278023e-02      -6.706703508663e-02      -5.169361105525e-02       4.672635117469e-01       4.671231460057e-01 
       8.756876495136e-05      -9.200796856104e-02      -7.169428893608e-02      -7.169440856846e-02      -9.201476112061e-02      -7.170042949494e-02       4.672457675643e-01       4.671075821288e-01 
       1.010007669986e-04      -1.208559505881e-01      -9.537199802019e-02      -9.537220923775e-02      -1.208313717970e-01      -9.537974886542e-02       4.672248394335e-01       4.670892021561e-01 
       1.146879117604e-04      -1.535418509226e-01      -1.229673654759e-01      -1.229677156747e-01      -1.534607071150e-01      -1.229767396901e-01       4.672005471147e-01       4.670678357993e-01 
       1.286709841634e-04      -1.899917720779e-01      -1.547733966191e-01      -1.547739497112e-01      -1.898196536991e-01      -1.547843109733e-01       4.671726788381e-01       4.670432821861e-01 
       1.429932449243e-04      -2.300968914011e-01      -1.911365990291e-01      -1.911374396109e-01      -2.297883083065e-01      -1.911488509722e-01       4.671409875150e-01       4.670153058105e-01 
       1.577008317338e-04      -2.737016747177e-01      -2.324639133713e-01      -2.324651518317e-01      -2.731979537711e-01      -2.324771532156e-01       4.671051869260e-01       4.669836322513e-01 
       1.728431925524e-04      -3.205896561330e-01      -2.792310176988e-01      -2.792327966109e-01      -3.198165347369e-01      -2.792447151519e-01       4.670649491020e-01       4.669479450703e-01 
       1.884735544710e-04      -3.704663805441e-01      -3.319922268188e-01      -3.319947288413e-01      -3.693313422894e-01      -3.320056307396e-01       4.670198991247e-01       4.669078798635e-01 
       2.046494310612e-04      -4.229393749520e-01      -3.913922530448e-01      -3.913957108360e-01      -4.213287064857e-01      -3.914043434065e-01       4.669696119951e-01       4.668630202208e-01 
       2.214331702803e-04      -4.774949555502e-01      -4.581801339676e-01      -4.581848424414e-01      -4.752706600843e-01      -4.581895647369e-01       4.669136051047e-01       4.668128889872e-01 
       2.388925436593e-04      -5.334723457308e-01      -5.332256923286e-01      -5.332320242738e-01      -5.304688760582e-01      -5.332307245629e-01       4.668513355743e-01       4.667569441117e-01 
       2.571013755133e-04      -5.900352880541e-01      -6.175389297217e-01      -6.175473547247e-01      -5.860566874236e-01      -6.175373532881e-01       4.667821907651e-01       4.666945672266e-01 
       2.761402080523e-04      -6.461435705151e-01      -7.122928286025e-01      -7.123039373835e-01      -6.409608646801e-01      -7.122818732351e-01       4.667054866249e-01       4.666250596877e-01 
       2.960969942675e-04      -7.005261703960e-01      -8.188500531904e-01      -8.188645874339e-01      -6.938760440839e-01      -8.188262884014e-01       4.666204567140e-01       4.665476287601e-01 
       3.170678050143e-04      -7.516613393558e-01      -9.387941100830e-01      -9.388130000949e-01      -7.432465252590e-01      -9.387533366778e-01       4.665262494356e-01       4.664613815359e-01 
       3.391575294584e-04      -7.977696263167e-01      -1.073965506763e+00      -1.073989917429e+00      -7.872625723331e-01      -1.073902642910e+00       4.664219210819e-01       4.663653142139e-01 
       3.624805386718e-04      -8.368304581469e-01      -1.226503434089e+00      -1.226534822177e+00      -8.238814394867e-01      -1.226412404004e+00       4.663064301128e-01       4.662583023187e-01 
       3.871612703982e-04      -8.666350451956e-01      -1.398893412037e+00      -1.398933596080e+00      -8.508869563121e-01      -1.398767047625e+00       4.661786344857e-01       4.661390939773e-01 
       4.133346787621e-04      -8.848930373779e-01      -1.594021132303e+00      -1.594072378529e+00      -8.660049256271e-01      -1.593851105050e+00       4.660372859127e-01       4.660063006687e-01 
       4.411464762738e-04      -8.894112542676e-01      -1.815232470528e+00      -1.815297595161e+00      -8.670937327053e-01      -1.815009273901e+00       4.658810305760e-01       4.658583958380e-01 
       4.707530777243e-04      -8.783627106124e-01      -2.066399114397e+00      -2.066481602467e+00      -8.524277920275e-01      -2.066112122345e+00       4.657084063229e-01       4.656937126281e-01 
       5.023211382382e-04      -8.506574969971e-01      -2.351988610740e+00      -2.352092760057e+00      -8.210822041260e-01      -2.351626248464e+00       4.655178423026e-01       4.655104482879e-01 
       5.360265637989e-04      -8.064001369549e-01      -2.677136719251e+00      -2.677267797355e+00      -7.734047644523e-01      -2.676686761125e+00       4.653076571726e-01       4.653066734108e-01 
       5.720528663629e-04      -7.473870809766e-01      -3.047718775812e+00      -3.047883187872e+00      -7.115207512594e-01      -3.047168780084e+00       4.650760541279e-01       4.650803461133e-01 
       6.105887430447e-04      -6.775364846469e-01      -3.470415416155e+00      -3.470620891251e+00      -6.397535556867e-01      -3.469753282218e+00       4.648211123481e-01       4.648293319941e-01 
       6.518247864876e-04      -6.030584954127e-01      -3.952766583973e+00      -3.953022335919e+00      -5.647661789088e-01      -3.951981119309e+00       4.645407700102e-01       4.645514245549e-01 
       6.959492877995e-04      -5.321211725192e-01      -4.503206377452e+00      -4.503523256225e+00      -4.951596084240e-01      -4.502287738781e+00       4.642328049067e-01       4.642443682558e-01 
       7.431431780706e-04      -4.737382366469e-01      -5.131070460562e+00      -5.131461040244e+00      -4.402571786983e-01      -5.130010196175e+00       4.638948126019e-01       4.639058757517e-01 
       7.935742677405e-04      -4.357416991225e-01      -5.846567691552e+00      -5.847046284740e+00      -4.079405737378e-01      -5.845358110922e+00       4.635241970974e-01       4.635336406514e-01 
       8.473910745535e-04      -4.220348515188e-01      -6.660708852018e+00      -6.661291420850e+00      -4.017657592495e-01      -6.659341496337e+00       4.631181893323e-01       4.631253442550e-01 
       9.047166600686e-04      -4.298887100711e-01      -7.585188133245e+00      -7.585892077396e+00      -4.181792902842e-01      -7.583651364258e+00       4.626739166618e-01       4.626786649964e-01 
       9.656429926378e-04      -4.486672028823e-01      -8.632217285704e+00      -8.633061118644e+00      -4.452939726996e-01      -8.630493457045e+00       4.621885382263e-01       4.621913030265e-01 
       1.030226389989e-03      -4.616072064222e-01      -9.814317857895e+00      -9.815320763084e+00      -4.649048672530e-01      -9.812381005107e+00       4.616594468083e-01       4.616610405064e-01 
       1.098484543128e-03      -4.515310357428e-01      -1.114408247275e+01      -1.114526387024e+01      -4.586097824784e-01      -1.114189783092e+01       4.610845047475e-01       4.610858518596e-01 
       1.170395479537e-03      -4.093029496612e-01      -1.263392114945e+01      -1.263530028309e+01      -4.167074793724e-01      -1.263144733134e+01       4.604622528328e-01       4.604640651943e-01 
       1.245898606508e-03      -3.410604223855e-01      -1.429581098904e+01      -1.429740673921e+01      -3.456826549285e-01      -1.429300460790e+01       4.597920128366e-01       4.597945432966e-01 
       1.324897726323e-03      -2.686696362425e-01      -1.614106814288e+01      -1.614289906236e+01      -2.685231056188e-01      -1.613788880934e+01       4.590738441561e-01       4.590768395876e-01 
       1.407265685947e-03      -2.199605765089e-01      -1.818015692677e+01      -1.818224182227e+01      -2.144462759484e-01      -1.817656979631e+01       4.583083570169e-01       4.583112516319e-01 
       1.458125550442e-03      -2.100567017887e-01      -1.949759241416e+01      -1.949983871457e+01      -2.015141892357e-01      -1.949374601628e+01       4.578278290824e-01       4.578303915494e-01 
       1.492850161401e-03      -2.117492653845e-01      -2.042254730251e+01      -2.042490599299e+01      -2.013527767842e-01      -2.041852069751e+01       4.574964839045e-01       4.574987448546e-01 
       1.581480007379e-03      -2.361087986693e-01      -2.287662372840e+01      -2.287927851469e+01      -2.219052550857e-01      -2.287212328040e+01       4.566393194759e-01       4.566407532892e-01 
       1.672971626480e-03      -2.619780808383e-01      -2.554964519184e+01      -2.555262242063e+01      -2.454653623869e-01      -2.554462859324e+01       4.557381151475e-01       4.557389497189e-01 
       1.767134908327e-03      -2.553596748083e-01      -2.844774944240e+01      -2.845108124074e+01      -2.387231871344e-01      -2.844216739740e+01       4.547943865934e-01       4.547950797413e-01 
       1.863778424053e-03      -2.057007547537e-01      -3.157599419739e+01      -3.157972008930e+01      -1.919091242045e-01      -3.156979908392e+01       4.538100283913e-01       4.538109419462e-01 
       1.962713703573e-03      -1.367543617692e-01      -3.493842442380e+01      -3.494259240312e+01      -1.286869641995e-01      -3.493158158959e+01       4.527872851035e-01       4.527884615933e-01 
       2.063758547357e-03      -8.924327879696e-02      -3.853815713818e+01      -3.854282412790e+01      -8.787386716858e-02      -3.853065038706e+01       4.517285794419e-01       4.517297774920e-01 
       2.166739417868e-03      -8.663113327275e-02      -4.237747561446e+01      -4.238270726432e+01      -8.961140829345e-02      -4.236930198081e+01       4.506362997833e-01       4.506372380446e-01 
       2.271493015384e-03      -1.138487902932e-01      -4.645792661300e+01      -4.646379616183e+01      -1.161568537231e-01      -4.644908424742e+01       4.495126872811e-01       4.495132824297e-01 
       2.377867172534e-03      -1.307929134312e-01      -5.078041066163e+01      -5.078699738111e+01      -1.275846037268e-01      -5.077089061861e+01       4.483598379348e-01       4.483602429665e-01 
       2.485721208567e-03      -1.104679471277e-01      -5.534527249994e+01      -5.535265989790e+01      -1.000110781523e-01      -5.533506164591e+01       4.471798469876e-01       4.471802828632e-01 
       2.594925876004e-03      -6.533654445555e-02      -6.015237798424e+01      -6.016065192866e+01      -4.938034828836e-02      -6.014146933821e+01       4.459748408576e-01       4.459753958844e-01 
       2.705363015595e-03      -3.418018478809e-02      -6.520118577571e+01      -6.521043295161e+01      -1.541664637900e-02      -6.518958484873e+01       4.447469268784e-01       4.447475083312e-01 
       2.816925015398e-03      -4.116035626785e-02      -7.049080910709e+01      -7.050111634570e+01      -2.053272264854e-02      -7.047852876728e+01       4.434980744843e-01       4.434985356291e-01 
       2.929514149712e-03      -6.938150829774e-02      -7.602007142607e+01      -7.603152592255e+01      -4.632041517440e-02      -7.600711999050e+01       4.422300624952e-01       4.422303601012e-01 
       3.043041855314e-03      -7.815889517527e-02      -8.178754837794e+01      -8.180023848368e+01      -5.350157971935e-02      -8.177392363495e+01       4.409444909750e-01       4.409447164357e-01 
       3.157427986992e-03      -4.678285199318e-02      -8.779161076333e+01      -8.780562816794e+01      -2.461644392029e-02      -8.777730803059e+01       4.396428947678e-01       4.396431651915e-01 
       3.272600081755e-03       2.669545436864e-03      -9.403045603122e+01      -9.404589817613e+01       1.729637499658e-02      -9.401548267875e+01       4.383267699198e-01       4.383271074343e-01 
       3.388492651335e-03       2.938761219740e-02      -1.005021396679e+02      -1.005191120807e+02       3.517759029444e-02      -1.004865221196e+02       4.369975462635e-01       4.369978705960e-01 
       3.505046515179e-03       1.864623043604e-02      -1.072045985021e+02      -1.072232175817e+02       2.000903002965e-02      -1.071883766199e+02       4.356565178600e-01       4.356567458344e-01 
       3.622208180690e-03      -2.895875132111e-03      -1.141356681639e+02      -1.141560624493e+02       6.015793846342e-04      -1.141188844738e+02       4.343048118597e-01       4.343049468795e-01 
       3.739929273651e-03       1.159041183771e-03      -1.212931162433e+02      -1.213154277161e+02       9.823581160267e-03      -1.212758148457e+02       4.329434996447e-01       4.329436184509e-01 
       3.858166019066e-03       3.483450707663e-02      -1.286746337198e+02      -1.286990175581e+02       4.641174442951e-02      -1.286568699438e+02       4.315735583704e-01       4.315737221775e-01 
       3.976878770958e-03       6.617639614837e-02      -1.362778812057e+02      -1.363045045593e+02       7.688470210520e-02      -1.362597308274e+02       4.301959971072e-01       4.301961918240e-01 
       4.096031588510e-03       6.611955924348e-02      -1.441004591290e+02      -1.441295000269e+02       7.497972850491e-02      -1.440820160854e+02       4.288116807933e-01       4.288118468668e-01 
       4.215591855380e-03       4.335823157450e-02      -1.521399468423e+02      -1.521715910266e+02       5.175432308472e-02      -1.521213094034e+02       4.274214003103e-01       4.274215076892e-01 
       4.335529938678e-03       3.324760511779e-02      -1.603939481539e+02      -1.604283882155e+02       4.094152917368e-02      -1.603752107468e+02       4.260259881550e-01       4.260260676541e-01 
       4.455818884074e-03       5.387168190893e-02      -1.688599657338e+02      -1.688973988985e+02       5.794405820134e-02      -1.688412223749e+02       4.246259935650e-01       4.246260950166e-01 
       4.576434143550e-03       8.268369858038e-02      -1.775355738753e+02      -1.775762012594e+02       8.231315582710e-02      -1.775169290212e+02       4.232221679612e-01       4.232223012825e-01 
       4.697353332514e-03       2.341444016849e-01      -1.864182821239e+02      -1.864623097325e+02       8.449841575126e-02      -1.863998285585e+02       4.218151044350e-01       4.218151535207e-01 
       4.818556013182e-03       2.333613475660e-01      -1.955056256278e+02      -1.955532640934e+02       6.333159025563e-02      -1.954875092109e+02       4.204053093942e-01       4.204053433699e-01 
       4.940023501429e-03       2.325770961328e-01      -2.047951393487e+02      -2.048466072404e+02       4.786849512231e-02      -2.047774830588e+02       4.189933273465e-01       4.189933500154e-01 
       5.061738694520e-03       2.317919205357e-01      -2.142843427347e+02      -2.143398683499e+02       6.142761377564e-02      -2.142672756331e+02       4.175796046745e-01       4.175796300375e-01 
       5.183685917414e-03       2.310060534970e-01      -2.239707744037e+02      -2.240305974136e+02       9.247870149954e-02      -2.239544372481e+02       4.161645930732e-01       4.161646279096e-01 
       5.305850785555e-03       2.302196722238e-01      -2.338519480191e+02      -2.339163225836e+02       1.084420717736e-01      -2.338364984487e+02       4.147486623635e-01       4.147486991863e-01 
       5.428220082303e-03       2.294329439334e-01      -2.439253674431e+02      -2.439945626876e+02       9.522218532907e-02      -2.439109781357e+02       4.133321246952e-01       4.133321522204e-01 
       5.550781649350e-03       2.286462153082e-01      -2.541887216550e+02      -2.542630222876e+02       7.365795348190e-02      -2.541755765447e+02       4.119155523421e-01       4.119155693002e-01 
       5.673524288655e-03       2.278595774093e-01      -2.646394611151e+02      -2.647191673319e+02       7.313347036990e-02      -2.646277543445e+02       4.104990632112e-01       4.104990788833e-01 
       5.796437674597e-03       2.270731921639e-01      -2.752751506958e+02      -2.753605781678e+02       9.573246834360e-02      -2.752650898897e+02       4.090829406033e-01       4.090829628607e-01 
       5.919512275208e-03       2.262872334902e-01      -2.860934555831e+02      -2.861849312706e+02       1.152216163335e-01      -2.860852617414e+02       4.076675730234e-01       4.076675993575e-01 
       6.042739281462e-03       2.255017764514e-01      -2.970918998518e+02      -2.971897621653e+02       1.108683322454e-01      -2.970858068580e+02       4.062530990005e-01       4.062531208603e-01 
       6.166110543727e-03       2.247170265300e-01      -3.082682026280e+02      -3.083727981211e+02       9.284903381972e-02      -3.082644506534e+02       4.048398850855e-01       4.048398989108e-01 
       6.289618514588e-03       2.239330603135e-01      -3.196199078233e+02      -3.197315936493e+02       8.789082296659e-02      -3.196187434332e+02       4.034280199235e-01       4.034280309458e-01 
       6.413256197345e-03       2.231499971384e-01      -3.311446901083e+02      -3.312638286665e+02       1.046619332772e-01      -3.311463639163e+02       4.020177323941e-01       4.020177474108e-01 
       6.537017099560e-03       2.223679541543e-01      -3.428402533448e+02      -3.429672166872e+02       1.233572186643e-01      -3.428450271708e+02       4.006092572760e-01       4.006092762935e-01 
       6.660895191115e-03       2.215870156207e-01      -3.547042786395e+02      -3.548394477725e+02       1.220066738533e-01      -3.547124251921e+02       3.992027655515e-01       3.992027825815e-01 
       6.784884866300e-03       2.208072353002e-01      -3.667344010887e+02      -3.668781693631e+02       1.048499452299e-01      -3.667462036437e+02       3.977983482846e-01       3.977983594146e-01 
       6.908980909492e-03       2.200287291720e-01      -3.789283624689e+02      -3.790811345968e+02       9.631494842880e-02      -3.789441115568e+02       3.963961853280e-01       3.963961934774e-01 
       7.033178464057e-03       2.192515913237e-01      -3.912839123451e+02      -3.914461078007e+02       1.089179397947e-01      -3.913039100563e+02       3.949964367029e-01       3.949964474947e-01 
       7.157473004142e-03       2.184758090431e-01      -4.037986570274e+02      -4.039707143791e+02       1.270028669721e-01      -4.038232241214e+02       3.935991006471e-01       3.935991152790e-01 
       7.281860309047e-03       2.177015239668e-01      -4.164705116339e+02      -4.166528813649e+02       1.271725043539e-01      -4.164999823524e+02       3.922044543192e-01       3.922044685116e-01 
       7.406336439925e-03       2.169287632937e-01      -4.292971789601e+02      -4.294903362498e+02       1.087324914809e-01      -4.293319090768e+02       3.908125446131e-01       3.908125544450e-01 
       7.530897718571e-03       2.161575310740e-01      -4.422763235362e+02      -4.424807561617e+02       9.463174317226e-02      -4.423166773219e+02       3.894233583918e-01       3.894233652047e-01 
       7.655540708090e-03       2.153879554946e-01      -4.554058902940e+02      -4.556220971560e+02       1.019760065765e-01      -4.554522399044e+02       3.880371137196e-01       3.880371220552e-01 
       7.780262195262e-03       2.146200594237e-01      -4.686836592112e+02      -4.689121601786e+02       1.204149611446e-01      -4.687363963500e+02       3.866538661309e-01       3.866538777909e-01 
       7.905059174430e-03       2.138538636315e-01      -4.821074410905e+02      -4.823487659358e+02       1.262753750734e-01      -4.821669693172e+02       3.852736741653e-01       3.852736860983e-01 
       8.029928832773e-03       2.130893896992e-01      -4.956750477904e+02      -4.959297369994e+02       1.137942934239e-01      -4.957417810231e+02       3.838965802051e-01       3.838965885960e-01 
       8.154868536831e-03       2.123266747876e-01      -5.093843273287e+02      -5.096529335635e+02       1.027840572204e-01      -5.094586879553e+02       3.825226382640e-01       3.825226432929e-01 
       8.279875820148e-03       2.115658014255e-01      -5.232332670199e+02      -5.235163475887e+02       1.128204318818e-01      -5.233156795534e+02       3.811519836619e-01       3.811519889584e-01 
       8.404948371955e-03       2.108067535277e-01      -5.372195590207e+02      -5.375176874571e+02       1.451934516652e-01      -5.373104621462e+02       3.797845266546e-01       3.797845435691e-01 
       8.530084026770e-03       2.100494767591e-01      -5.513411802539e+02      -5.516549418724e+02       1.266418768927e-01      -5.514410320683e+02       3.784203782463e-01       3.784204001476e-01 
       8.655280754846e-03       2.092941156998e-01      -5.655961885607e+02      -5.659261779793e+02       3.485954192914e-02      -5.657054582723e+02       3.770596777611e-01       3.770596917483e-01 
       8.780536653391e-03       2.085406542442e-01      -5.799824069559e+02      -5.803292340437e+02      -4.980758781198e-02      -5.801015674772e+02       3.757023828519e-01       3.757023901072e-01 
       8.905849938479e-03       2.077891313249e-01      -5.944977680857e+02      -5.948620574245e+02      -5.838496035786e-02      -5.946272969305e+02       3.743485158883e-01       3.743485278229e-01 
       9.031218937608e-03       2.070395508121e-01      -6.091402183799e+02      -6.095226128597e+02      -1.856182727679e-02      -6.092806124321e+02       3.729981056957e-01       3.729981283288e-01 
       9.156642082825e-03       2.062918956442e-01      -6.239077066585e+02      -6.243088665586e+02      -1.298863681879e-02      -6.240594880791e+02       3.716511753129e-01       3.716512022785e-01 
