# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.091593660018e-26       4.349203663878e-09       2.299598603114e+22       1.372220133697e+04       1.372220133697e-10       1.372220133697e+18       2.510656722472e-09       2.751560535470e+44       2.487691924226e+33       1.316436364420e+34       6.331492235481e+43       2.110497411827e+43       5.700558260441e-08       1.903443976270e+44       5.288153735445e+44       6.909794145790e-20       2.000000000000e+14 
       9.930486593843e+13       7.191223459348e-26       4.378307494335e-09       2.267739135993e+22       1.372220133697e+04       1.381825674633e-10       1.362681364148e+18       2.528231319529e-09       2.675846458098e+44       2.436173331184e+33       1.289173764633e+34       6.157269976216e+43       2.052423325405e+43       5.700558260441e-08       1.851067333040e+44       5.142640788914e+44       9.640010991855e-08       1.433565615564e+02 
       9.861456399050e+13       7.292252957728e-26       4.409230314195e-09       2.236321061401e+22       1.372220133697e+04       1.391498454355e-10       1.353208901835e+18       2.545928938766e-09       2.602215788102e+44       2.385721657001e+33       1.262475756775e+34       5.987841751990e+43       1.995947250663e+43       5.700558260441e-08       1.800131926217e+44       5.001131889668e+44       1.928002198370e-07       7.167828077820e+01 
       9.792906056653e+13       7.394701819531e-26       4.440153134055e-09       2.205338264129e+22       1.372220133697e+04       1.401238943536e-10       1.343802285834e+18       2.563750441337e-09       2.530611196824e+44       2.336314806433e+33       1.236330648490e+34       5.823075646409e+43       1.941025215470e+43       5.700558260441e-08       1.750598097619e+44       4.863516859231e+44       2.892003297555e-07       4.778552051880e+01 
       9.724832231036e+13       7.498589985394e-26       4.471075953916e-09       2.174784713687e+22       1.372220133697e+04       1.411047616140e-10       1.334461058425e+18       2.581696694427e-09       2.460976933110e+44       2.287931141817e+33       1.210726989562e+34       5.662843372996e+43       1.887614457665e+43       5.700558260441e-08       1.702427280332e+44       4.729688550885e+44       3.856004396739e-07       3.583914038910e+01 
       9.657231609767e+13       7.603937676098e-26       4.503817763180e-09       2.144654463134e+22       1.372220133697e+04       1.420924949453e-10       1.325184765070e+18       2.599768571288e-09       2.393258779894e+44       2.240549473590e+33       1.185653566904e+34       5.507020175302e+43       1.835673391767e+43       5.700558260441e-08       1.655581968676e+44       4.599542766242e+44       4.820005495924e-07       2.867131231128e+01 
       9.590100903443e+13       7.710765396510e-26       4.534740583040e-09       2.114941647923e+22       1.372220133697e+04       1.430871424099e-10       1.315972954389e+18       2.617966951287e-09       2.327404011992e+44       2.194149051016e+33       1.161099399643e+34       5.355484729774e+43       1.785161576591e+43       5.700558260441e-08       1.610025689010e+44       4.472978174118e+44       5.784006595108e-07       2.389276025940e+01 
       9.523436845525e+13       7.819093939565e-26       4.565663402900e-09       2.085640484753e+22       1.372220133697e+04       1.440887524068e-10       1.306825178142e+18       2.636292719945e-09       2.263361355047e+44       2.148709553089e+33       1.137053734314e+34       5.208119051293e+43       1.736039683764e+43       5.700558260441e-08       1.565722971329e+44       4.349896231640e+44       6.748007694292e-07       2.047950879377e+01 
       9.457236192179e+13       7.928944390322e-26       4.598405212164e-09       2.056745270448e+22       1.372220133697e+04       1.450973736737e-10       1.297740991203e+18       2.654746768985e-09       2.201080945604e+44       2.104211079643e+33       1.113506040150e+34       5.064808401308e+43       1.688269467103e+43       5.700558260441e-08       1.522639321645e+44       4.230201107512e+44       7.712008793476e-07       1.791957019455e+01 
       9.391495722125e+13       8.040338130062e-26       4.631147021428e-09       2.028250380848e+22       1.372220133697e+04       1.461130552894e-10       1.288719951543e+18       2.673329996368e-09       2.140514292293e+44       2.060634142632e+33       1.090446004470e+34       4.925441198507e+43       1.641813732836e+43       5.700558260441e-08       1.480741195137e+44       4.113799607411e+44       8.676009892660e-07       1.592850683960e+01 
