# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.676504154511e-10       4.364631358221e-15       3.269149849473e-13       0.000000000000e+00       7.249425813106e-09       5.920107823638e-10      -1.834918833790e-12 
    3       1.529204137458e-10       5.262507214553e-15       3.778044937134e-13       0.000000000000e+00       4.518622873498e-09       4.122694068793e-10      -1.340600353453e-12 
    4       1.409535716769e-10       4.228221590936e-15       3.546612935429e-13       0.000000000000e+00       3.150754520653e-09       3.081978422738e-10      -8.221054934728e-13 
    5       1.323306062152e-10       2.615544146245e-15       3.003822486876e-13       0.000000000000e+00       2.353124184134e-09       2.411665926359e-10      -4.050701844349e-13 
    6       1.263768343971e-10       1.391429473130e-15       2.399558486515e-13       0.000000000000e+00       1.837481002882e-09       1.948144287887e-10      -1.174026040158e-13 
    7       1.223703793305e-10       7.732584950025e-16       1.873449144272e-13       0.000000000000e+00       1.480956836558e-09       1.611677299375e-10       4.729677479579e-14 
    8       1.197896467386e-10       5.408404170626e-16       1.481859029740e-13       0.000000000000e+00       1.222669041303e-09       1.358615675145e-10       1.133533300523e-13 
    9       1.182315272162e-10       4.417421327920e-16       1.232606029216e-13       0.000000000000e+00       1.028942410802e-09       1.163173389564e-10       1.125895603931e-13 
   10       1.174344568500e-10       3.640004693706e-16       1.106930298500e-13       0.000000000000e+00       8.793143592033e-10       1.008813908448e-10       7.664592921903e-14 
   11       1.172188365979e-10       3.024906409150e-16       1.074066485630e-13       0.000000000000e+00       7.462966891582e-10       8.881509231364e-11       3.191161436653e-14 
   12       1.174680760569e-10       2.728001774504e-16       1.101745916750e-13       0.000000000000e+00       6.519507523386e-10       7.839395533328e-11      -5.559210183430e-15 
   13       1.180114845693e-10       2.720785442696e-16       1.163245257532e-13       0.000000000000e+00       5.744750718478e-10       6.981106153645e-11      -2.732931808639e-14 
   14       1.188480316447e-10       2.881418061219e-16       1.240471237112e-13       0.000000000000e+00       5.099942615544e-10       6.238995539779e-11      -3.340784613144e-14 
   15       1.199453073314e-10       3.162254141653e-16       1.322524828339e-13       0.000000000000e+00       4.557063398979e-10       5.613769835412e-11      -2.784221289083e-14 
   16       1.212016423084e-10       3.603792724472e-16       1.405474761706e-13       0.000000000000e+00       4.095417191424e-10       5.077342946729e-11      -1.692120528808e-14 
   17       1.225969153874e-10       4.251647098470e-16       1.490676510218e-13       0.000000000000e+00       3.699361931403e-10       4.612548064879e-11      -6.345191484733e-15 
   18       1.241472125616e-10       5.107407552496e-16       1.580293419316e-13       0.000000000000e+00       3.355608828021e-10       4.208854069386e-11       1.053362998740e-16 
   19       1.258481124580e-10       6.160628176345e-16       1.675698066993e-13       0.000000000000e+00       3.058666202310e-10       3.859113749706e-11       1.659109510685e-15 
   20       1.276267302282e-10       7.394447128921e-16       1.777284410623e-13       0.000000000000e+00       2.797156177625e-10       3.548050144171e-11      -1.063152563614e-15 
   21       1.294877258482e-10       8.809691016013e-16       1.882745550393e-13       0.000000000000e+00       2.566976191261e-10       3.270375012741e-11      -6.151118689897e-15 
   22       1.314284444206e-10       1.041024030202e-15       1.988084961880e-13       0.000000000000e+00       2.362608663368e-10       3.020182024254e-11      -1.099110151752e-14 
   23       1.334542954694e-10       1.219625220531e-15       2.089412596337e-13       0.000000000000e+00       2.181244570178e-10       2.797408489013e-11      -1.422492509778e-14 
   24       1.355496875878e-10       1.416784225526e-15       2.182699531707e-13       0.000000000000e+00       2.018697271081e-10       2.600569313737e-11      -1.502332977729e-14 
   25       1.377098132081e-10       1.634051080444e-15       2.265928134151e-13       0.000000000000e+00       1.873050724168e-10       2.424949756559e-11      -1.370678041223e-14 
   26       1.399183837650e-10       1.873538429024e-15       2.338047974470e-13       0.000000000000e+00       1.741663162758e-10       2.263451867782e-11      -1.116501994077e-14 
   27       1.421789201156e-10       2.137002245966e-15       2.399676940372e-13       0.000000000000e+00       1.622957322894e-10       2.115236194062e-11      -8.485971558987e-15 
   28       1.444903309179e-10       2.426061323564e-15       2.452066974001e-13       0.000000000000e+00       1.514887123062e-10       1.980340295767e-11      -6.781944131214e-15 
   29       1.468579572366e-10       2.741931954085e-15       2.495537087340e-13       0.000000000000e+00       1.416897369023e-10       1.858481042991e-11      -6.198739462284e-15 
