# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.676508377835e-10       4.364829548217e-15       3.269149812766e-13       1.981899882042e-19       7.249425813106e-09       5.920107823638e-10      -1.834918833790e-12 
    3       1.529212566749e-10       5.262903696704e-15       3.778044773519e-13       3.964820757420e-19       4.518622873498e-09       4.122694068793e-10      -1.340600353453e-12 
    4       1.409549727418e-10       4.228882618965e-15       3.546612465194e-13       6.610276608064e-19       3.150754520653e-09       3.081978422738e-10      -8.221054934728e-13 
    5       1.323327007515e-10       2.616536102994e-15       3.003821415337e-13       9.919554980931e-19       2.353124184134e-09       2.411665926359e-10      -4.050701844349e-13 
    6       1.263797550787e-10       1.392818896917e-15       2.399556378825e-13       1.389420413742e-18       1.837481002882e-09       1.948144287887e-10      -1.174026040158e-13 
    7       1.223742557682e-10       7.751121023130e-16       1.873445402403e-13       1.853599569676e-18       1.480956836558e-09       1.611677299375e-10       4.729677479579e-14 
    8       1.197946051438e-10       5.432251210948e-16       1.481852871929e-13       2.384688304915e-18       1.222669041303e-09       1.358615675145e-10       1.133533300523e-13 
    9       1.182376901336e-10       4.447250575166e-16       1.232596472085e-13       2.982895708143e-18       1.028942410802e-09       1.163173389564e-10       1.125895603931e-13 
   10       1.174419429633e-10       3.676489588848e-16       1.106916142000e-13       3.648440084167e-18       8.793143592033e-10       1.008813908448e-10       7.664592921903e-14 
   11       1.172277606089e-10       3.068722640062e-16       1.074046300860e-13       4.381544478552e-18       7.462966891582e-10       8.881509231364e-11       3.191161436653e-14 
   12       1.174785486365e-10       2.779827274100e-16       1.101718036649e-13       5.182432419708e-18       6.519507523386e-10       7.839395533328e-11      -5.559210183430e-15 
   13       1.180236123764e-10       2.781300341159e-16       1.163207770362e-13       6.051324026169e-18       5.744750718478e-10       6.981106153645e-11      -2.732931808639e-14 
   14       1.188619174084e-10       2.951304594901e-16       1.240421982604e-13       6.988432609329e-18       5.099942615544e-10       6.238995539779e-11      -3.340784613144e-14 
   15       1.199610499876e-10       3.242196522097e-16       1.322461396325e-13       7.993961879109e-18       4.557063398979e-10       5.613769835412e-11      -2.784221289083e-14 
   16       1.212193371841e-10       3.694476971584e-16       1.405394493031e-13       9.068103832991e-18       4.095417191424e-10       5.077342946729e-11      -1.692120528808e-14 
   17       1.226166544204e-10       4.353760842278e-16       1.490576499707e-13       1.021103737867e-17       3.699361931403e-10       4.612548064879e-11      -6.345191484733e-15 
   18       1.241690845520e-10       5.221639806128e-16       1.580170520663e-13       1.142292735582e-17       3.355608828021e-10       4.208854069386e-11       1.053362998740e-16 
   19       1.258722033115e-10       6.287669096125e-16       1.675548898799e-13       1.270392641083e-17       3.058666202310e-10       3.859113749706e-11       1.659109510685e-15 
   20       1.276531232535e-10       7.534987735105e-16       1.777105364889e-13       1.405417194298e-17       2.797156177625e-10       3.548050144171e-11      -1.063152563614e-15 
   21       1.295165019799e-10       8.964422927166e-16       1.882532800916e-13       1.547379269983e-17       2.566976191261e-10       3.270375012741e-11      -6.151118689897e-15 
   22       1.314596825020e-10       1.057985542668e-15       1.987834475282e-13       1.696290523967e-17       2.362608663368e-10       3.020182024254e-11      -1.099110151752e-14 
